Program,Activity,Presenting Organization,Project Title,URL,Text,Activity_Detail
Cross-Cutting,Portfolio,Oak Ridge National Laboratory,BTO Transactive Portfolio at ORNL,https://www.energy.gov/eere/buildings/downloads/bto-peer-review-2019-bto-transactive-portfolio-ornl ,Reviewer comment summaries and portfolio scores coming soon.,S&C and BEM Cross-Cut (Portfolio)
Cross-Cutting,Portfolio,Pacific Northwest National Laboratory,BTO Transactive Portfolio at PNNL,https://www.energy.gov/eere/buildings/downloads/bto-peer-review-2019-bto-transactive-portfolio-pnnl ,Reviewer comment summaries and portfolio scores coming soon.,S&C and BEM Cross-Cut (Portfolio)
Cross-Cutting,Portfolio,Lawrence Berkeley National Laboratory,Developing Prospective Technology targets for BTO Sensors & Controls: Methods and Assumptions,https://www.energy.gov/eere/buildings/scout,Reviewer comment summaries and portfolio scores coming soon.,S&C and BEM Cross-Cut (Portfolio)
Cross-Cutting,Portfolio,U.S. Department of Energy,"Grid-Interactive Efficient Buildings Portfolio ( Sensors, Controls, Modeling, and Data Analytics Technical Report)",https://www.energy.gov/eere/buildings/downloads/bto-peer-review-2019-grid-interactive-efficient-buildings-portfolio-sensors,Reviewer comment summaries and portfolio scores coming soon.,S&C and BEM Cross-Cut (Portfolio)
Cross-Cutting,Portfolio,U.S. Department of Energy,S&C R&D Opportunity Adaptive & Autonomous focus area,,"This report was presented, but not reviewed, at the 2019 BTO Peer Review.",Sensors & Controls (Portfolio)
Cross-Cutting,Portfolio,U.S. Department of Energy,S&C R&D Opportunity Occupant-centric Controls focus area,,"This report was presented, but not reviewed, at the 2019 BTO Peer Review.",Sensors & Controls (Portfolio)
Cross-Cutting,Portfolio,U.S. Department of Energy,S&C R&D Opportunity Sub-metering / Analytics focus area,,"This report was presented, but not reviewed, at the 2019 BTO Peer Review.",Sensors & Controls (Portfolio)
Cross-Cutting,Portfolio,U.S. Department of Energy,S&C R&D Opportunity Wireless Sensor focus area,,"This report was presented, but not reviewed, at the 2019 BTO Peer Review.",Sensors & Controls (Portfolio)
Cross-Cutting,Portfolio,U.S. Department of Energy,Sensors and Controls Portfolio (Cybersecurity),https://www.energy.gov/eere/buildings/downloads/bto-peer-review-2019-sensors-and-controls-portfolio ,Reviewer comment summaries and portfolio scores coming soon.,Sensors & Controls (Portfolio)
Cross-Cutting,Portfolio,U.S. Department of Energy,Sensors and Controls Portfolio (Goals),https://www.energy.gov/eere/buildings/downloads/bto-peer-review-2019-sensors-and-controls-portfolio ,"<p><strong>Weighted Average:</strong> 3.57&nbsp;&nbsp;&nbsp; <strong># of Reviewers:</strong> 6</p>
<p><strong>Scope:</strong> 3.33&nbsp;&nbsp;&nbsp; <strong>Impact:</strong> 3.67&nbsp;&nbsp;&nbsp; <strong>Collaboration, Coordination, and Integration:</strong> 3.83&nbsp;&nbsp;&nbsp;</p>
<p><strong>Communication and Stakeholder Engagement:</strong> 3.50&nbsp;&nbsp;&nbsp; <strong>Metrics:</strong> 3.50</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>In general, reviewers agreed that the barriers are real, significant, and appropriate for DOE and the labs to work on. The barriers and technical challenges identified for adoption of optimized building operation strategies are widespread problems that only can be addressed with a large-scale effort initiated by the federal government. Reviewers were generally in consensus that the major barriers and technical challenges have been adequately identified in the research agenda.</p>
<p>Multiple reviewers stressed the importance of technology-specific barriers, such as adoption of existing technology and evolving technology. Examples include use of programmable, learning thermostats in residential homes and building automation systems in small commercial buildings. One reviewer suggested a prioritization of which barrier(s) to address first in order to achieve BTO's targets to help to prioritize funding.</p>
<p>Most of the reviewers agreed that the subprogram advances the state-of-the-art, particularly in controls and benchmarking, and has an opportunity to lead in the emerging area of comfort sensing. This program should be out in front in large part to encourage open-source, interoperable sensors and equipment. However, one reviewer did caution that there may be some challenges, particularly in meeting BTO's long-term energy saving goals, as more ""smart"" systems come online with buildings (both residential and commercial).</p>
<p>Reviewers generally agreed that the subprogram is supporting industry and contributing to BTO's energy-savings goals. Industry is involved in several projects through industrial advisory boards and the development of better sensors and controls, particularly related to building-grid interactions and grid harmonization, is critical to the achievement of BTO's energy goals as the grid evolves and as energy codes become more stringent. Reviewers suggested more engagement with building owners and managers who may see the most benefits both from energy savings and from user satisfaction point-of-view and more engagement with private sector partners in deployment, particularly of pilot projects.</p>
<p>Many reviewers described the subprogram as well-integrated, particularly within BTO, EERE, and DOE. It effectively leverages subprogram support and other subprograms. In addition, BTO is clearly integrated within other sectors of DOE. For example, grid-to-building interoperability is part of the portfolio.</p>
<p>Reviewers agreed that the subprogram has good coordination with public organizations and private organizations (through industrial advisory boards), but reviewers did make suggestions for further coordination. It will be key to collaborate with ASHRAE, BACnet, Project Haystack, Brick, etc., as well as with private manufacturers interested in open communications protocols and interoperability to ensure that all technology developed by this program can be commercialized in a way that benefits all players in the market, as well as advances DOE's and BTO's efficiency goals. Also, coordination/collaboration with public and private organizations in sectors outside the energy sector, such as advanced manufacturing and entertainment sectors, would be beneficial.</p>
<p>As for communication and stakeholder engagement, reviewers agreed that this is a strength for the subprogram. The subprogram integrates inputs from national labs, industry, and academia, and the subprogram partners reach out to stakeholders, including building owners, managers, and users. Overall, reviewer consensus was that BTO Sensors and Controls is doing a great job of reaching out, engaging, and communicating with the proper stakeholders (public and private sectors).</p>
<p>Reviewers agreed that the subprogram had good external communication/publication of results, and reviewers provided many examples of this. BTO does an excellent job of announcing funding opportunities and communicating project status and opportunities (e.g., publications, reports, announcements, etc.). Also, the BTO peer review and Better Buildings Accelerators are excellent ways to bring stakeholders together and communicate success.</p>
<p>Overall, reviewers agreed that the subprogram has the proper progress and impact metrics, as well as methods of tracking them. Furthermore, the subprogram is investing in benchmarking to help validate developed technology and its potential impact. The subprogram meets its energy-savings goals and is the leader in defining occupant-centric measures.</p>
<p>However, reviewers made multiple suggestions for improving the subprogram's metrics. It should be considered to validate the cost and efficiency predictions of SCOPE and to include alternative technologies, as well as those outside the BTO scope, in order to ensure that the developed technologies are ultimately successful in the market. Also, a greater focus on accelerating technology adoption would be welcomed. The program could support this through education, outreach, and tools but also through technology development (e.g., simplification, self-configuration, self-commissioning).</p>
<h4>Program Response</h4>
<p>The Building Technologies Office recognizes peer review as an effective program management tool and will appropriately use the feedback provided by the reviewers of these portfolio activities to inform future portfolio planning.</p>",Sensors & Controls (Portfolio)
Cross-Cutting,Portfolio,U.S. Department of Energy,Sensors and Controls Portfolio (Interoperability),https://www.energy.gov/eere/buildings/downloads/bto-peer-review-2019-sensors-and-controls-portfolio ,Reviewer comment summaries and portfolio scores coming soon.,Sensors & Controls (Portfolio)
Cross-Cutting,Portfolio,U.S. Department of Energy,Sensors and Controls Portfolio (MELs),https://www.energy.gov/eere/buildings/downloads/bto-peer-review-2019-sensors-and-controls-portfolio ,Reviewer comment summaries and portfolio scores coming soon.,Sensors & Controls (Portfolio)
Emerging Technologies,R&D - Building Energy Modeling,Lawrence Berkeley National Laboratory,Empirical Validation and Uncertainty Quantification of Energy Simulation,https://www.energy.gov/eere/buildings/downloads/validation-and-uncertainty-characterization-energy-simulation,"<p><strong>Weighted Average:</strong> 3.70&nbsp;&nbsp;&nbsp; <strong># of Reviewers:</strong> 2&nbsp;</p>
<p><strong>Approach:</strong> 3.50&nbsp;&nbsp;&nbsp;&nbsp;<strong>Impact:</strong> 3.50&nbsp;&nbsp;&nbsp; <strong>Progress:</strong> 4.00&nbsp;&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong> 4.00&nbsp;&nbsp;&nbsp; <strong>Remaining Work:</strong> 3.50&nbsp;</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>The reviewers feel the project is well-planned and organized, and that it addresses an important issue related to building energy modeling (BEM) accuracy&nbsp;and adoption&nbsp;of&nbsp;BEM&nbsp;tools.&nbsp;Reviewers&nbsp;praised the project for its&nbsp;potential impact and&nbsp;contribution to program goals.&nbsp;Reviewers also highlighted&nbsp;the team's plan to&nbsp;address&nbsp;the potential for input errors.&nbsp;One reviewer&nbsp;specifically&nbsp;noted&nbsp;that&nbsp;the test facilities are well-suited to the project.&nbsp;They also&nbsp;remarked&nbsp;that support for&nbsp;ASHRAE&nbsp;Standard&nbsp;140 aligns with program goals.</p>
<p>Reviewers&nbsp;commended the&nbsp;substantial progress&nbsp;made&nbsp;toward the project&nbsp;goals.&nbsp;Reviewers&nbsp;also&nbsp;rated the project's collaboration efforts highly, citing the importance of collaboration with ASHRAE. Reviewers&nbsp;commented positively on the plans for remaining project work and expressed confidence that&nbsp;the project would&nbsp;be able to achieve its goals. However, one reviewer added that additional work on modeling outdoor environments would be beneficial.</p>
<p>Reviewers highlighted the empirical test data generated by the project as a strength of this effort, along with the use of the robust testing facilities. One&nbsp;reviewer stated that the value of the data demonstrates the need for more related testing efforts. Both reviewers recommended further research given the value of the work completed thus far, with one reviewer specifying that educational outreach would be useful for collecting&nbsp;user input regarding variables that are more meaningful versus those parameters that may fall within the margin of error.</p>
<h4>Program Response</h4>
<p>The Building Technologies Office recognizes the peer review as an effective program management tool and will appropriately use the feedback provided by the reviewers to inform potential updates to this project.</p>",R&D - Building Energy Modeling
Emerging Technologies,R&D - Building Envelope,Argonne National Laboratory,Dynamic Phononic Metamaterial (DPM) for Building Envelopes,https://www.energy.gov/eere/buildings/downloads/dynamic-phononic-metamaterial-dpm-building-envelopes,"<p><strong>Weighted Average:</strong>&nbsp;2.95&nbsp;&nbsp;&nbsp;&nbsp;<strong># of Reviewers:</strong>&nbsp;5&nbsp;</p>
<p><strong>Approach:</strong>&nbsp;3.00&nbsp;&nbsp;&nbsp;&nbsp;<strong>Impact:</strong>&nbsp;3.20&nbsp;&nbsp;&nbsp;&nbsp;<strong>Progress:</strong>&nbsp;3.00&nbsp;&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong>&nbsp;3.00&nbsp;&nbsp;&nbsp; <strong>Remaining Work:</strong>&nbsp;2.40&nbsp;</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>The reviewers had a variety of perspectives on the project&nbsp;as&nbsp;several reviewers&nbsp;commented positively&nbsp;on&nbsp;the new approach for fabricating building envelope material. While the approach was considered intriguing and well-established by two reviewers, a third reviewer expressed doubts about the experimental realization of the project's simulations. The approach was also described as risky, but the reviewer followed up&nbsp;and&nbsp;mentioned&nbsp;that the project was appropriately scheduled for only one year. Another reviewer noted that the principal investigators are still uncertain how to accurately measure thermal conductivity for small samples. This was stated multiple times by reviewers as a potential concern as the project progresses.</p>
<p>Most of the reviewers were in consensus as to the potential impact of the new building envelope material. Several reviewers remarked that if the project accomplished its goals, it would result in a transformative material that would have a significant impact on energy usage. It is important to note that a few reviewers were skeptical about whether the project team could successfully reach the targeted R-value.</p>
<p>The reviewers were pleased with the project's progress especially with regards to modeling. Two of the five reviewers expressed their hope to see further results. With regards to collaboration, one reviewer approved of the team's internal composition of experts, while several of the other reviewers&nbsp;emphasized&nbsp;the&nbsp;room for improvement with stakeholder engagement as the project moves forward.</p>
<p>Given the early stage of the research, reviewers were concerned whether the team would be able to fabricate a sample material in the remainder of the project term. As previously mentioned, two reviewers reiterated the issue of successfully measuring the low thermal conductivity of a sample.</p>
<h4>Program Response</h4>
<p>The Building Technologies Office recognizes the peer review as an effective program management tool and will appropriately use the feedback provided by the reviewers to inform potential updates to this project.</p>",R&D - Building Envelope
Emerging Technologies,R&D - Building Envelope,Ashwin-Ushas Corporation,Electrochromic Auto-Darkening Windows,https://www.energy.gov/eere/buildings/downloads/electrochromic-auto-darkening-windows-buildings-energy-conservation-based,"<p><strong>Weighted Average:</strong> 2.70&nbsp;&nbsp;&nbsp; <strong># of Reviewers:</strong> 5&nbsp;</p>
<p><strong>Approach:</strong> 2.60&nbsp;&nbsp;&nbsp;&nbsp;<strong>Impact:</strong> 2.80&nbsp;&nbsp;&nbsp; <strong>Progress:</strong> 3.00&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong> 3.00&nbsp;&nbsp;&nbsp; <strong>Remaining Work:</strong> 2.20&nbsp;</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>Reviewers&nbsp;acknowledged that&nbsp;the project overcame some barriers to transferring the methodology used to darken sunglasses to windows. Reviewers&nbsp;also&nbsp;noted a number of technical obstacles the project&nbsp;still&nbsp;needs to overcome. Although the data shown indicated electrochromic cycling durability greater than 1 million cycles and also&nbsp; acceptable temperature and physical stress durability,&nbsp;reviewers cited challenges&nbsp;related to durability including problems related to all-plastic&nbsp;construction issues&nbsp;associated with visible transmission;&nbsp;whether glare reduction would be adequate;&nbsp;high solar heat gain coefficient (SHGC) in the dark state;&nbsp;and infrared (IR) blocking.</p>
<p>Some reviewers&nbsp;stated that&nbsp;the project demonstrated the&nbsp;methodology is feasible, but one felt SHCG performance would be poor. Besides the challenges noted above, one reviewer&nbsp;highlighted&nbsp;transparency as another issue to be resolved. Two reviewers&nbsp;expressed&nbsp;concern about whether a retrofit market will be available.&nbsp;One reviewer noted that the project concept appears to be cost-effective and useful for after-market applications. Additionally, this reviewer thought the concept might be applicable to glare reduction on skylights or the non-vision parts of windows. Another reviewer also highlighted the cheaper manufacturing process, while a separate reviewer commented that the project is quite promising with a clear potential impact.</p>
<p>Four of the reviewers judged that the project has progressed toward its project goals. One reviewer&nbsp;commented&nbsp;that applying the methodology to larger size windows would not be feasible due to expenses related to resolving grid lines, although another reviewer stated&nbsp;they&nbsp;had no concerns about grid lines. Reviewers generally felt the project's collaborative efforts are good, but one reviewer felt&nbsp;the project had not obtained clear&nbsp;guidance from industry partners concerning glazing requirements.</p>
<p>Although some reviewers felt the project has some potential for achieving its goals, the number and nature of the challenges as described&nbsp;above affected the score for remaining project work. One reviewer felt it was unclear&nbsp;if&nbsp;the project methodology would translate to sufficient production capability or be feasible. Another reviewer felt that enhancements to the product would be required such that no cost savings would be achieved; product quality would be suboptimal as well.</p>
<h4>Program Response</h4>
<p>The Building Technologies Office recognizes the peer review as an effective program management tool and will appropriately use the feedback provided by the reviewers to inform potential updates to this project.</p>",R&D - Building Envelope
Emerging Technologies,R&D - Building Envelope,EA Membranes,Adaptive Weather Resistant Barrier for Building Envelopes to Control Moisture Ingression and Increase Energy Efficiency,https://www.energy.gov/eere/buildings/downloads/adaptive-weather-resistant-barrier-building-envelopes-control-moisture,"<p><strong>Weighted Average:</strong>&nbsp;2.92&nbsp;&nbsp;&nbsp; <strong># of Reviewers:</strong>&nbsp;5&nbsp;</p>
<p><strong>Approach:</strong>&nbsp;3.00&nbsp;&nbsp;&nbsp;&nbsp;<strong>Impact:</strong>&nbsp;2.40&nbsp;&nbsp;&nbsp; <strong>Progress:</strong>&nbsp;3.00&nbsp;&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong>&nbsp;3.20&nbsp;&nbsp;&nbsp;&nbsp;<strong>Remaining Work:</strong>&nbsp;3.00&nbsp;</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>The project approach to develop an adaptive weather-resistant barrier to control moisture levels in building envelopes was generally well-received. Reviewers appreciated the team's project design and remarked on the project's progression from small-scale to building-scale demonstration. One reviewer agreed with the team's decision to pause their technical research to focus on the economics and market potential of the technology. However, a different reviewer expressed concern about the safety of the membranes as they may short-circuit if punctured, but the reviewer continued by noting that the team was&nbsp;accounting for&nbsp;this in the design.</p>
<p>With regards to the project impact, comments varied&nbsp;as some&nbsp;reviewers disagreed&nbsp;on the project's potential to contribute to DOE goals. Several reviewers found the membranes to be an interesting product idea that could extend the life of highly insulating building envelopes. On the other hand, some reviewers noted that the project would not directly reduce energy usage, but instead, it would address the embodied energy in a building. One of these reviewers stressed that the project would add value to buildings and suggested that DOE determine how to quantify the benefits of decreasing embodied energy. In addition, a reviewer described the solution for shedding absorbed water as ""unnecessarily complex"" and proposed applying the technology to other applications.</p>
<p>While reviewers were complimentary of the project's current progress, they emphasized the importance of the building-scale prototype and validating market interest. A couple of reviewers questioned whether the team would finish the remaining work in the allotted time. In addition, the team's collaboration and coordination were highlighted by the majority of reviewers as areas of strength for the project. These reviewers applauded the team's work with Oak Ridge National Laboratory and the partnering private companies. However, one reviewer recommended additional commercialization support that could assist the project team in identifying other applications for the technology.</p>
<h4>Program Response</h4>
<p>The Building Technologies Office recognizes the peer review as an effective program management tool and will appropriately use the feedback provided by the reviewers to inform potential updates to this project.</p>",R&D - Building Envelope
Emerging Technologies,R&D - Building Envelope,Fraunhofer CSE,Development of R-12/in Isocyanurate-Based Super Insulation at Atmospheric Pressure,https://www.energy.gov/eere/buildings/downloads/development-isocyanurate-based-super-insulation-atmospheric-pressure-siap,"<p><strong>Weighted Average:</strong>&nbsp;3.33&nbsp;&nbsp;&nbsp; <strong># of Reviewers:</strong>&nbsp;6&nbsp;</p>
<p><strong>Approach:</strong>&nbsp;3.33&nbsp;&nbsp;&nbsp;&nbsp;<strong>Impact:</strong>&nbsp;3.33&nbsp;&nbsp;&nbsp; <strong>Progress:</strong>&nbsp;3.33&nbsp;&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong>&nbsp;3.67&nbsp;&nbsp;&nbsp; <strong>Remaining Work:</strong>&nbsp;2.83&nbsp;</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>Overall, reviewers approved of the approach to&nbsp;analyze production costs paired with efforts to increase the R-value of&nbsp;nanoporous&nbsp;polyisocyanurate (PIR), while aiming to both reduce the cost and improve the long-term performance of foam insulation. The freeze-drying approach to making insulation should be able to yield their target&nbsp;nanoporous&nbsp;material morphology. Most reviewers agreed that this is a very well-established approach.</p>
<p>Reviewers generally agreed that, if successful, the results of this project could lead to significant improvements in energy efficiency and industry adoption. This project seems like a good path to making a better foam board, and new insulation materials such as this will be critical to reducing building energy use. One reviewer pointed out that this material is not as exotic as some of the other materials presented in this review, but this is a good thing because it means that the time to market can be much quicker in this case.</p>
<p>Most reviewers highlighted that the project has so far achieved an R-value as high as R-10/inch.&nbsp;Significant progress has been made to date, even though it is still lower than the project target of R-12/inch. One reviewer praised the project team for developing and running a cost model to estimate economic feasibility, showing cost-competitiveness with current polyiso&nbsp;insulation, and demonstrating scalable manufacturing processes with successful freeze-drying.</p>
<p>All reviewers praised the project team for their great collaboration, particularly with manufacturers from industry. There are additional key team members from the research community, academia, and industry, and there is good collaboration between the members of the project team, which is impressive considering that various institutions are involved and that the principal investigator has been recently changed. One reviewer was impressed with the collaboration to produce potential commercialization pathways and great intel on actual costs at-scale, while another reviewer praised the team's close work with companies to conduct their techno-economic analysis.</p>
<p>Many reviewers expressed concern about whether they will be able to get to R-12/inch by the time the project is completed. It is unclear whether the project team will be able to achieve the targeted R-value level for the insulating samples and test their long-term performance without significantly affecting the production costs. Other reviewers agreed that the remaining work will meet the project-specific goals, stating that it appropriately focuses on continued optimization of material synthesis and processing, it can be completed within the established timeframe, and it seems much closer to market than some of the other projects.</p>
<h4>Program Response</h4>
<p>The Building Technologies Office recognizes the peer review as an effective tool for program management and will use the feedback provided by the reviewers to inform potential updates to this project.</p>",R&D - Building Envelope
Emerging Technologies,R&D - Building Envelope,Glint Photonics,Stationary Concentrator Daylighting System,https://www.energy.gov/eere/buildings/downloads/stationary-concentrator-daylighting-system,"<p><strong>Weighted Average:</strong>&nbsp;3.33&nbsp;&nbsp;&nbsp;&nbsp;<strong># of Reviewers:</strong>&nbsp;5&nbsp;</p>
<p><strong>Approach:</strong>&nbsp;3.60&nbsp;&nbsp;&nbsp;&nbsp;<strong>Impact:</strong>&nbsp;3.20&nbsp;&nbsp;&nbsp; <strong>Progress:</strong>&nbsp;3.00&nbsp;&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong>&nbsp;3.40&nbsp;&nbsp;&nbsp; <strong>Remaining Work:</strong>&nbsp;3.20&nbsp;</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>In general, the reviewers approved of the project approach and recognized that the team has done well in identifying the relevant risks. The team anticipated possible difficulties and has sound plans to overcome them. Two reviewers expressed concerns about developing a prototype that can last more than 10 years of operation, since the concentrators are made of acrylic materials.</p>
<p>Overall, the reviewers agreed that the project will reduce energy use and lighting costs. However, two reviewers recognized that there are some major barriers to adoption. A building owner would have to buy this system in addition to a traditional lighting system since it does not produce light at night and this could be a&nbsp;significant hindrance&nbsp;to market adoption.</p>
<p>Most of the reviewers agreed that the project is showing good progress, despite some minor delays.&nbsp;This project is about 2.5 years into a 3.5-year timeline and many of the key risks were mitigated. One reviewer described the progress, stating that an integrated motor platform was developed, the panel sealing process was created, which survived thermal cycling, and the tests of the panel at nine different incidence angles and five different temperatures were satisfactory.</p>
<p>The reviewers generally praised the project's collaboration and coordination, particularly with lighting designers and industry experts. The feedback from industry was incorporated into design iterations. All the steps required major coordination from team members, and it seems as though all are working fine.</p>
<p>Overall, the reviewers agreed that the remaining project work is appropriate for this stage in the project. Their plan for the remaining period of time is reasonable and the data from field installation will be invaluable. However, one reviewer highlighted that the principal investigator did not provide a plan to catch up or ask for an extension, but building interface and operational demonstration are still not finished.</p>
<h4>Program Response</h4>
<p>The Building Technologies Office recognizes the peer review as an effective program management tool and will use the feedback provided by reviewers to inform potential updates to this project as appropriate.</p>",R&D - Building Envelope
Emerging Technologies,R&D - Building Envelope,Inventwood,Lightweight and Thermally Insulating Nanowood,https://www.energy.gov/eere/buildings/downloads/lightweight-and-thermally-insulating-nanowood,"<p><strong>Weighted Average:</strong>&nbsp;2.54&nbsp;&nbsp;&nbsp; <strong># of Reviewers:</strong>&nbsp;7&nbsp;</p>
<p><strong>Approach:</strong>&nbsp;2.57&nbsp;&nbsp;&nbsp;&nbsp;<strong>Impact:</strong>&nbsp;2.43&nbsp;&nbsp;&nbsp; <strong>Progress:</strong>&nbsp;2.71&nbsp;&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong>&nbsp;2.43&nbsp;&nbsp;&nbsp; <strong>Remaining Work:</strong>&nbsp;2.57&nbsp;</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>The reviewers were divided on their opinions of the project approach. Many reviewers expressed concerns about the project's ability to attain the very low thermal conductivity targets of this program. There are still many questions that need to be answered and it is unclear whether the presented approach will lead to the proposed outcomes. However, some reviewers praised the project&nbsp;and&nbsp;stated&nbsp;that the group is working to develop an insulating material with high mechanical strength, which could allow reducing thermal bridging through structural materials. If all claims are true regarding strength and insulation value, it&nbsp;was touted as&nbsp;a potentially exciting new product.</p>
<p>Reviewers&nbsp;also&nbsp;provided mixed opinions of the project's impact. Many reviewers highlighted the project's potential for reducing thermal bridging and possible appeal in the market as a ""green"" product. While it may ultimately be a niche product, it does have the potential to be a new building material with unique properties compared to standard building materials. However, one reviewer pointed out that the project could contribute to the program goals if it were to be successful, but the success of this project, as presented, is uncertain.</p>
<p>Overall, most reviewers agreed that the project has made significant progress, but additional efforts are needed to reach the target thermal conductivity. The team has demonstrated progress in hydrophobicity coatings, improvement in mechanical performance, and improvement in thermal performance, but the thermal properties of the material must be verified by an independent party. One reviewer critiqued the team by emphasizing that&nbsp;if the goal was to&nbsp;achieve&nbsp;very low thermal conductivity, they should have spent more time on that part of the project.</p>
<p>Many reviewers praised the project's collaboration and coordination, particularly their work with potential customers of the product. This project is engaging stakeholders, but not necessarily building insulation stakeholders, so one reviewer suggested taking advantage of the structural properties of the material and using it for window frames, door frames, and other structural components that need to be better insulating. Another reviewer commented that it was not clear from the presentation how the various members of the team were interacting.</p>
<p>Multiple reviewers noted that the project seems on track, with remaining work focusing on continued process development and exploration of manufacturing processes and market opportunities. One reviewer recommended the project team get third-party verification of both thermal properties and mechanical strength.</p>
<p>Many reviewers agreed that the concept is interesting with unique material properties. Multiple reviewers commented on the strength of having low-cost and wood-based coatings that are both structural and highly insulating. Different applications for the project were noted, including new construction, retrofits, flowing and window framing. One reviewer found that the use of natural wood could be viewed as both a strength and weakness of the project, depending on carbon intensity and environmental impact of treating the wood, and the balance of wood harvesting and planting new trees.</p>
<h4>Program Response</h4>
<p>Reviewer feedback was critical of the potential to achieve the thermal conductivity goals within the stated project timeline. The project team also acknowledged that the original thermal conductivity target was overly aggressive and hence relaxed that requirement during the course of the project (new target: 0.012 W/m-K). Moving forward, this project was selected for a Phase II SBIR funding award and as a result, the project timeline will be extended to help achieve new goals.</p>",R&D - Building Envelope
Emerging Technologies,R&D - Building Envelope,Lawrence Berkeley National Laboratory,Core Windows Research & Development,https://energy.gov/eere/buildings/downloads/core-research-support-bto-windows-program,"<p><strong>Weighted Average:</strong>&nbsp;3.46&nbsp;&nbsp;&nbsp; <strong># of Reviewers:</strong>&nbsp;6&nbsp;</p>
<p><strong>Approach:</strong>&nbsp;3.50&nbsp;&nbsp;&nbsp;&nbsp;<strong>Impact:</strong>&nbsp;3.67&nbsp;&nbsp;&nbsp; <strong>Progress:</strong>&nbsp;3.17&nbsp;&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong>&nbsp;3.50&nbsp;&nbsp;&nbsp; <strong>Remaining Work:</strong>&nbsp;3.33&nbsp;</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>Overall, reviewers praised the triple pane insulating glass unit (IGU) approach.&nbsp;Reviewers agreed that the Core Windows Research &amp; Development&nbsp;work is based on a solid background of existing&nbsp;research&nbsp;and utilization of current technology for thin glass beyond televisions.&nbsp;Reviewers noted that the&nbsp;approach to characterize and evaluate energy-saving window technologies&nbsp;is&nbsp;incredibly comprehensive and analytical. One reviewer highlighted that the largest hurdle may be thin glass manufacturing and handling.</p>
<p>Reviewers generally agreed that this project provides tools, methods, and analysis of advanced window technologies to guide materials/product developers and window manufacturers to optimum performance products, although it is not focused on new window technologies. Based on initial assumptions, the impact of this project as modelled is tremendous, and&nbsp;two&nbsp;reviewers&nbsp;singled out&nbsp;the importance of the Foundational Design Research Aid (FDRA) project as crucial and something most technical subjects lack, adding that the project has merit and should be continued.&nbsp;Another&nbsp;reviewer&nbsp;expressed&nbsp;uncertainty over&nbsp;the&nbsp;impact of the&nbsp;FDRA&nbsp;project.</p>
<p>Most of the reviewers did not find any concerns with the project's progress to date.&nbsp;Reviewers mentioned that the team has&nbsp;achieved&nbsp;good early results in all four areas, with the triple pane IGU having made most progress and the educational videos at the earliest stage, and it has been many years of focused development and continuous improvement of window materials, technologies, evaluation, and testing techniques and tools.&nbsp;On the other hand, reviewers were somewhat split as to the extent to which the&nbsp;FDRA&nbsp;project has demonstrated&nbsp;contribution to the project-specific goals.</p>
<p>In general, reviewers agreed that the team is working on collaborative projects. Regarding the FDRA project, some&nbsp;reviewers&nbsp;suggested&nbsp;additional collaboration with organizations such as additional universities with window projects, existing ARPA-E projects (such as&nbsp;SHIELD), NFRC, AAMA, WDMA, and IWFA. There is excellent diversity of stakeholders to reach out to and identify. One reviewer suggested diversifying collaborators on the educational/training videos to include manufacturers, R&amp;D, and engineering functions.</p>
<p>Overall, many reviewers praised the forward-looking analysis and the future work planned for all projects. Reviewers commented that&nbsp;everything appears to be in line, and&nbsp;noted that&nbsp;the researchers should continue to support updating and education of product developers in understanding basic window performance technologies and features.</p>
<h4>Program Response</h4>
<p>The project team recognized reviewer feedback and is working to address comments suggesting collaborations with additional organizations. Specifically, the team is reaching out to stakeholders including existing and past ARPA-E SHIELD teams and will incorporate input from any additional collaborators as appropriate.</p>",R&D - Building Envelope
