title,status,url,latitude,longitude,solicitation,subprogram,name,project_lead,funding_awarded,state,start_date,brief_description,principal_investigator,other_partners,topic_area,end_date,project_identifier,solicitation_url
"Advanced Multiphase (MP) forming for enhanced efficiency of drying paper, tissue and other fiber composite products",Active,,33.7759,-84.3927,FY 2020 Multi-Topic FOA,Energy- and Emission-Intensive Industries RD&D,"Advanced Multiphase (MP) forming for enhanced efficiency of drying paper, tissue and other fiber composite products","Georgia Institute of Technology         
",2999673,GA,6/1/2021,"In papermaking, a significant portion of energy use occurs during evaporative drying of paper as the final stage of production. The objective of this project is to advance multiphase (MP) forming towards commercialization. In MP forming, water is replaced by high-density (HD) foam with about 50% or more air in the form of small air bubbles in water. In addition to significant reduction in water and energy consumption, MP forming may provide product quality improvement and reduced production costs. However, several technical barriers remain. This project will address these barriers by developing new technologies for fiber orientation control and enhanced dewatering, along with a machine interface software for system control. These technologies will be implemented on an MP forming system, which will serve as a platform for demonstration and as a resource for future developments in MP forming.",Cyrus Aidun,"Solenis LLC, Kimberly-Clark Corp., Sandia National Laboratories",Industrial Drying Processes,5/31/2024,,https://www.energy.gov/eere/articles/energy-department-announces-approximately-1236-million-funding-46-projects-bolster
Advanced Techniques for Energy Input Reduction in Gypsum Wallboard Drying,Active,,42.33007,-71.63518,FY 2020 Multi-Topic FOA,Energy- and Emission-Intensive Industries RD&D,Advanced Techniques for Energy Input Reduction in Gypsum Wallboard Drying,"Saint-Gobain
",2282705,MA,8/1/2021,"Gypsum board, commonly known as drywall, is a ubiquitous construction product whose production is energy and water intensive. In this project, a rapid microwave or radio frequency calcination technique will be developed to produce high quality stucco particles that do not disintegrate in water, and that meet the high throughput demand of the wall board manufacturing process. In addition, knowledge and know-how to further reduce excess water usage will be enabled by controlling the size distribution of high-quality stucco particles and optimizing stucco rheology. Successful development of these efforts have the potential to reduce energy consumption of the gypsum production process by over 40%.",,N/A,Industrial Drying Processes,10/31/2024,,https://www.energy.gov/eere/articles/energy-department-announces-approximately-1236-million-funding-46-projects-bolster
Advanced Turbine Airfoils for Efficient CHP systems,Closed,,40.34978,-79.97652,FY 2019 Lab Call,Cross-Sector Technologies RD&D,Advanced Turbine Airfoils for Efficient CHP systems,National Energy Technology Laboratory (NETL),3900000,PA,9/1/2019,"The project will evaluate how a combination of new materials, additive manufacturing technologies, and airfoil cooling design can raise the efficiency of turbines used in CHP systems by demonstrating how to increase the turbine firing temperature by 100°C compared to a 2015 baseline. The project team will also estimate the economic benefits from these efficiency gains in CHP systems that use turbines smaller than 20 MW.",,Oak Ridge National Lab,combined Heat and Power & District Energy,9/30/2022,,
"Advanced, Modular, High Temperature Heat Pump System for Industrial Applications",Awarded,,28.579737,-81.188811,AMO Industrial Efficiency and Decarbonization FOA,,"Advanced, Modular, High Temperature Heat Pump System for Industrial Applications","Siemens Energy, Inc.","$2,999,852 ",FL,10/1/2023,"Siemens Energy, Inc. will partner with Dow Chemical to decarbonize process heat by advancing the design of modular heat pump systems with a two-stage hermetic solution for centrifugal compressors. The modular hermetic compressor for industrial heat pumps has the potential to advance the state of the art for industrial heat pumps by preventing refrigerant leakage and offering a smaller footprint than conventional compressors. Modular heat pumps can help decarbonize process steam by replacing fossil fuel combustion. The final assembly aims to achieve 2.56 COP with a 20-year design life.",Bob Warren,Dow Chemical,Topic 6: Cross-Sector Decarbonization Technologies,10/1/2026,,https://www.energy.gov/eere/iedo/funding-selections-industrial-efficiency-and-decarbonization-foa-0
Advancement of TurboCracker Technology to Technology Readiness Level (TRL) 6,Awarded,,28.579737,-81.188811,AMO Industrial Efficiency and Decarbonization FOA,Energy- and Emissions-Intensive Industries,Advancement of TurboCracker Technology to Technology Readiness Level (TRL) 6,Siemens Energy Inc.,"$9,999,889 ",FL,10/1/2023,"Siemens Energy, Inc and its partners aim to validate the performance of its rotary olefin cracker (ROC), which can produce ethylene, propylene, and other ""building block"" chemicals without burning fossil fuels. When powered through zero-carbon energy sources, this technology can eliminate energy-related emissions in the production of light olefins. Siemens and its partners will work to manufacture, install, test, and optimize the ROC to replace conventional, methane-driven steam crackers with an electrified process that also reduces energy consumption and carbon intensity.",Bob Warren,"Technip Energies Inc., Southwest Research Institute",Topic 1: Decarbonizing Chemicals,12/31/2026,,https://www.energy.gov/eere/iedo/funding-selections-industrial-efficiency-and-decarbonization-foa-0
Advances on CHP District Energy and Microgrids Deployment: Simplified Tool for Rapidly Deploying Feasibility Analytics for the Non-Technical User,Active,/node/4826966,30.17724,-95.49666,FY 2019 Multi-Topic FOA,Cross-Sector Technologies RD&D,Advances on CHP District Energy and Microgrids Deployment: Simplified Tool for Rapidly Deploying Feasibility Analytics for the Non-Technical User,Houston Advanced Research Center,1463534,TX,9/1/2020,"This project will develop a cloud-based user-friendly tool for stakeholders with very limited engineering knowledge to expedite feasibility analyses of CHP-based District Energy (DE) systems, stimulating the integration of efficient CHP systems, renewable energy sources and thermal energy storage into innovative community-based DE systems and microgrids.",Gavin Dillingham,U of Houston; Rice University; Fugro,combined Heat and Power & District Energy,11/30/2023,,https://eere-exchange.energy.gov/Default.aspx?foaId=eaf73ef3-8146-47bd-9f99-a5d7af08a6b6
An Innovative Process for Direct Utilization of CO2 in Solid Synthetic Pozzolan Production,Active,,40.55176,-74.46467,FY 2020 Multi-Topic FOA,Energy- and Emission-Intensive Industries RD&D,An Innovative Process for Direct Utilization of CO2 in Solid Synthetic Pozzolan Production,Solidia Technologies  ,2100000,NJ,7/1/2021,Funding was provided to Solidia Technologies to develop and test methods for carbonating Solidia Cement. A process would be developed for producing synthetic supplemental cementitious material (SCM) through direct capture and utilization of carbon dioxide (CO2) from the flue gas stream of an operating cement plant. The carbonated SCM would be added to concrete to create a product that would yield similar or better performance when compared to concrete made with commonly used SCMs such as fly ash and ground granulated blast furnace slag. ,,"LafargeHolcim, FLSmidth, CRH",Integrating Carbon Capture and Utilization into Industrial Processes,3/31/2023,,https://www.energy.gov/eere/articles/energy-department-announces-approximately-1236-million-funding-46-projects-bolster
"Artificial Intelligence (AI) – Assisted Hybrid Renewable Energy, Nutrient, and Water Recovery from Municipal Wastewater",Active,,41.78039,-87.59695,Advanced Water Resource Recovery Systems,Cross-Sector Technologies RD&D,"Artificial Intelligence (AI) – Assisted Hybrid Renewable Energy, Nutrient, and Water Recovery from Municipal Wastewater",University of Chicago,2000000,IL,10/1/2021,"Development and AI-based process control testing of a two-stage bioprocess (CANDO+P) for nutrient removal, energy recovery, and P recovery from pre-concentrated wastewater; and 2) techno-economic and life-cycle assessment analyses of integrated technologies. All work will be performed in close collaboration with the University of Chicago and Argonne National Laboratory.",,"Great Lakes Water Authority; Milwaukee Metropolitan Sewerage District; NanoAffix; and two regional water innovation hubs (Current and The Water Council), Argonne National Laboratory; Northwestern University",Advanced Water Resource Recovery Systems ,9/30/2024,,
Beyond Portland: Creating the Next Generation of Low Carbon Hybrid Cements,Awarded,,38.028302,-84.50314,AMO Industrial Efficiency and Decarbonization FOA,Energy- and Emissions-Intensive Industries,Beyond Portland: Creating the Next Generation of Low Carbon Hybrid Cements,University of Kentucky,"$2,686,624 ",KY,10/1/2023,"The University of Kentucky and its partners will develop three hybrid cements that can be produced from readily-available materials at lower temperatures and with fewer carbon emissions than conventional Ordinary Portland Cement (OPC) production. The cements will be tested in an industrial kiln and placed into service with an at-scale concrete project, targeting a reduction in carbon intensity of at least 50% and a minimum 20% reduction in energy intensity compared to conventional cement production.",Robert Jewell,"Oak Ridge National Laboratory; Titan Cement, America; Buzzi Unicem USA; Designs by Natural Processes; Ozinga; Nathans Ball consultancy; UK CAER Communications",Topic 4: Decarbonizing Cement and Concrete,9/30/2026,,https://www.energy.gov/eere/iedo/funding-selections-industrial-efficiency-and-decarbonization-foa-0
BIO-coke for reducing CO2 emissions in iron and steel manufacturing,Awarded,,40.802605,-77.860639,AMO Industrial Efficiency and Decarbonization FOA,Energy- and Emissions-Intensive Industries,BIO-coke for reducing CO2 emissions in iron and steel manufacturing,Penn State University Park,"$1,335,018 ",PA,10/1/2023,Penn State will collaborate with ArcelorMittal Dofasco to accelerate a carbon-neutral steelmaking process that converts several sources of biomass to a bio-coke pellet as a direct substitute for coke. The proposed pelletized biomass-based coke technology is derived from biogenic feedstocks with a nearly carbon-zero footprint. The proposed development of biochar and biocoke for use in steel industry furnaces is an innovative approach that may allow industry to continue using presently installed or operating steelmaking equipment without major changes in design or operation.,Brian Fronk,ArcelorMittal Dofasco,Topic 2: Decarbonizing Iron and Steel,10/1/2026,,https://www.energy.gov/eere/iedo/funding-selections-industrial-efficiency-and-decarbonization-foa-0
Biodegradable PFAS-Free Paper and Molded Fiber Tableware for Food Packaging,Awarded,,33.437924,-88.825142,SBIR / STTR Phase I 2023,Energy- and Emissions-Intensive Industries,Biodegradable PFAS-Free Paper and Molded Fiber Tableware for Food Packaging,Creekside Environmental Products,"$199,858 ",MS,7/10/2023,"This project will develop a novel Metal-Cation-induced Surface Nano-Engineering (MX+-SNE) technology to manufacture polyfluoroalkyl substances (PFAS)-free water- and oil-resistant packaging paper and tableware. If successful, this project could lead to a low-cost, biodegradable alternative to plastics and toxic PFAS-coated paper in the food packaging industry, creating fully recyclable packaging. The proposed project can potentially eliminate the use of PFAS in consumer food packaging, reducing the impact of consumer goods on the environment.  ","Zhang, Xuefeng",,Paper and Forest Products,1/6/2024,,https://www.energy.gov/eere/iedo/articles/funding-selections-industrial-efficiency-and-decarbonization-small-business
Bioreactor Optimization Through Multi-Phase Flow Models  ,Awarded,,38.79369,-77.53645,HPC Fall 2022,Cross-Sector Technologies,,"Capra Biosciences, Inc. ","$300,000 ",VA,8/1/2023,"With the use of Lawrence Berkeley National Laboratory's NERSC HPC capabilities, Capra Biosciences, Inc. will develop multiscale modeling framework with MFIX-Exa software to simulate bioreactor multiphase flows of solid particles in a liquid-gas bubble mixture to optimize bioreactor design. Annual energy saving nationwide will be 300M GJ and a CO2 reduction of 70M tons a year.","Andrew Magyar, Elizabeth Onderko",Lawrence Berkeley National Laboratory,,1/28/2024,,https://www.energy.gov/eere/ammto/high-performance-computing-energy-innovation-fy22-selected-projects
Carbon Capture to Reach Carbon Neutral Vehicles: CO2-Derived Platform Molecules for Polyurethane Foams,Awarded,,42.3225,-83.1764,FY 2021 Multi-Topic FOA,Energy- and Emission-Intensive Industries RD&D,Carbon Capture to Reach Carbon Neutral Vehicles: CO2-Derived Platform Molecules for Polyurethane Foams,Ford Motor Company,2493748,MI,10/1/2022,"Ford has teamed with Oak Ridge National Laboratory and Troy Polymers, Inc. to develop an AI-enabled polyol molecular platform for production of decarbonized polyurethane (PU) foams from waste CO2. The project will increase the CO2 content in polyols while achieving desired thermal and rheological properties of polyurethane manufacturing for automotive seating. ",Melissa Hendra,,Sustainable Chemistry Practices in Manufacturing ,9/30/2025,,https://www.energy.gov/eere/amo/doe-awards-579-million-reduce-industrial-emissions-and-manufacture-clean-energy
Carbon-Free Iron for a Sustainable Future,Closed,https://www.energy.gov/sites/prod/files/2019/07/f65/Carbon%20Free%20Iron%20for%20Sustainable%20Future.pdf,42.48953,-71.15888,Emerging Resource Explorations,Energy- and Emission-Intensive Industries RD&D,Carbon-Free Iron for a Sustainable Future,Boston Metal,2000000,MA,8/1/2018,"The project objective is to mature the molten oxide electrolysis (MOE) technology for iron production. Significant development is needed to successfully run an inert anode in a MOE self-heated cell at a production scale to produce carbon-free iron. The project outcomes address MOE cell design steps: (a) development and design of inert anodes with respect to operational requirements; (b) modification and optimization of the MOE cell design to accommodate anode operation; and (c) pilot-scale demonstration of carbon-free iron ingots. The pilot-scale MOE cells should benchmark the inert anodes’ performance and functional behavior, and validate stable iron and oxygen production with an anode mass reduction of less than 5% over the course of the week-long experiment",Guillaume Lambotte,,Iron and Steelmaking Processes,1/31/2023,,https://www.energy.gov/eere/amo/emerging-research-exploration
Carbon-Neutral Steel Production with Methane Pyrolysis Driven Direct Reduced Iron,Awarded,,37.807215,-122.301497,AMO Industrial Efficiency and Decarbonization FOA,Energy- and Emissions-Intensive Industries,Carbon-Neutral Steel Production with Methane Pyrolysis Driven Direct Reduced Iron,Molten Industries,"$5,391,728 ",CA,10/1/2023,"Molten Industries will lead a team to design, build, and test a pilot-scale system to eliminate carbon emissions from iron reduction using hydrogen produced from methane pyrolysis as a reducing agent. Methane pyrolysis sources hydrogen by breaking down methane into hydrogen gas and solid carbon, preventing carbon from releasing into the atmosphere. Methane pyrolysis is 75% less energy intensive than water electrolysis, an alternative method of obtaining zero-carbon hydrogen. This project will work to demonstrate that integrating methane-pyrolysis-driven hydrogen production directly with a direct reduced iron (DRI) shaft furnace can lead to significant energy, carbon intensity, and cost reductions.",Kevin Bush,"CPFD Software, U. S. Steel",Topic 2: Decarbonizing Iron and Steel,10/1/2026,,https://www.energy.gov/eere/iedo/funding-selections-industrial-efficiency-and-decarbonization-foa-0
Catalyst Active Site Design by ALD for Advanced Chemical Manufacturing,Active,https://www.energy.gov/sites/prod/files/2018/12/f58/Improved%20Catalyst%20Selectivity%20and%20Longevity%20Using%20Atomic%20Layer%20Deposition.pdf,39.92844,-104.95584,FY 2020 Multi-Topic FOA,Energy- and Emission-Intensive Industries RD&D,Catalyst Active Site Design by ALD for Advanced Chemical Manufacturing,"Forge Nano, Inc.      
",4000000,CO,6/1/2021,"The project objective is to facilitate the design of catalysts with higher selectivity and greater longevity for alkane dehydrogenation, thus reducing the energy required for the overall process. ALD will be used to apply one or more protective layers on commercial platinum-based PDH catalysts to inhibit metal sintering. Overcoating via ALD allows for precise control over the thickness, composition, and porosity of the protective layers, thus preserving catalytic activity to the greatest extent while improving catalyst stability and selectivity. The project team will apply overcoatings with different shell thicknesses and compositions. Shell materials of interest for investigation include aluminum oxide (Al2O3) and titanium dioxide (TiO2). Known methods of varying the pore dimensions will be employed. Al2O3 and TiO2 demonstrated the ability to stabilize catalysts during previously funded EFRC work. This project will advance the knowledge and application of Al2O3 and TiO2 based ALD overcoating methods in high temperature catalytic transformations. The ALD-coated PDH catalysts will be tested for propane conversion, propylene selectivity, and sintering resistance in a range of conditions, and then successful concepts will be scaled up for in-house pilot-line testing.",,"Oregon State University, Idaho National Laboratory",CHEMICAL MANUFACTURING AND DYNAMIC CATALYST SCIENCE,8/30/2024,,https://www.energy.gov/eere/articles/energy-department-announces-approximately-1236-million-funding-46-projects-bolster
Catalyst Evaluation for Deactivation and Remediation (CEDAR): Development of Robust Materials and Resilient Processes via Transient Measurement and Data-driven Multiscale Models,Active,,43.4667,-112.0335,FY 2020 Multi-Topic FOA,Energy- and Emission-Intensive Industries RD&D,Catalyst Evaluation for Deactivation and Remediation (CEDAR): Development of Robust Materials and Resilient Processes via Transient Measurement and Data-driven Multiscale Models,"INL                          
",5000000,"ID
",8/2/2021,"This project was selected to develop a new toolset comprising experimental, analytical and multiscale simulation methods that can be used to address catalyst deactivation in diverse and varied applications of heterogeneous catalysis. A primary output of this work will be experimental methodology/procedures and software-based data analysis subroutines and modeling/simulation subroutines. Manufactured goods are a minor component of this work but devices such as reactors, sample holders, spectroscopy probes, spectroscopy/reaction interfaces or pulsing/gas switching devices may be derived.",,"University of Houston, National Renewable Energy Laboratory, Georgia Institute of Technology, Clariant Corporation",Thermal Catalysts and Reactor Design ,9/30/2024,,https://www.energy.gov/eere/articles/energy-department-announces-approximately-1236-million-funding-46-projects-bolster
Combined Heat and Power Technical Assistance Partnership for the Southeast U.S.,Active,,35.8148,-78.72022,Combined Heat and Power TAPs,Technical Assistance and Workforce Development,combined Heat and Power Technical Assistance Partnership for the Southeast U.S.,North Carolina State University,2850000,NC,,"The combined Heat and Power Technical Assistance Partnerships promote and assist in transforming the market for CHP, waste heat to power, and district energy technologies/concepts throughout the United States. Key services include end user and stakeholder engagement and technical support for CHP deployment.",Wen Isaac Panzarella,,CHP TAPs,10/31/2023,,https://betterbuildingssolutioncenter.energy.gov/chp/chp-taps
Combined Heat and Power Technical Assistance Partnerships,Active,,40.70879,-74.00322,Combined Heat and Power TAPs,Technical Assistance and Workforce Development,combined Heat and Power Technical Assistance Partnerships,Pace University,2951837,NY,,"The combined Heat and Power Technical Assistance Partnerships promote and assist in transforming the market for CHP, waste heat to power, and district energy technologies/concepts throughout the United States. Key services include end user and stakeholder engagement and technical support for CHP deployment.",Thomas Bourgeois,,CHP TAPs,8/31/2023,,https://betterbuildingssolutioncenter.energy.gov/chp/chp-taps
Combined Nitrogen (N) and Phosphorous (P) Recovery via Electrochemical Technology Integration into Municipal Wastewater Treatment Facilities,Active,,39.3025,-82.07867,Advanced Water Resource Recovery Systems,Cross-Sector Technologies RD&D,combined Nitrogen (N) and Phosphorous (P) Recovery via Electrochemical Technology Integration into Municipal Wastewater Treatment Facilities,Ohio University                  ,1970162,OH,10/1/2021,"Commercial and municipal activities involve constant withdrawal of water from natural sources (lakes, rivers, aquifers etc.) accompanied with constant rejection of water to treatment facilities. This effluent water contains various kinds of waste products including chemicals, urine, toxins etc., which at the molecular level are products that can be re-used in other processes after treatment. This lab ",,"Faraday and municipal wastewater treatment facilities in Athens, Ohio and Columbus, Ohio",Advanced Water Resource Recovery Systems ,9/30/2024,,https://www.energy.gov/articles/doe-awards-275-million-16-teams-working-decarbonize-us-water-infrastructure
Compact Catalytic Membrane Reactor for One-Step High-Efficiency Ammonia (NH3) Synthesis at Moderate Temperatures and Pressures,Active,,43.03873,-78.7785,FY 2020 Multi-Topic FOA,Energy- and Emission-Intensive Industries RD&D,Compact Catalytic Membrane Reactor for One-Step High-Efficiency Ammonia (NH3) Synthesis at Moderate Temperatures and Pressures,"E2H2NANO, LLC     
",1945854,NY,4/1/2021,"The project goal is to prove/demonstrate a ceramic-based flameless oxidizer (FOx) technology in the application of SMR-based hydrogen production. It will demonstrate the critical thermal integration between FOx burners and reformer tubes, the ceramic FOx burner performance characteristics, and the process integration for hydrogen production with a high CO2 capture rate and low CO2 emission intensity.",Shoujie Ren,"University of South Carolina, University at Buffalo, The State University of New York",Thermal Catalysts and Reactor Design ,4/30/2024,,https://www.energy.gov/eere/articles/energy-department-announces-approximately-1236-million-funding-46-projects-bolster
Compact Hydrogen Generator,Closed,https://www.osti.gov/biblio/1692380,41.99862,-87.89859,Determination of Non-competitive Funding Award,Energy- and Emission-Intensive Industries RD&D,Compact Hydrogen Generator,Gas Technology Institute,6479075,IL,9/1/2019,"Gas Technology Institute (GTI) is developing a One-Step Hydrogen Generation through a Sorption Enhanced Reforming (SER) process that provides significant improvements in energy productivity, environmental performance, product yield, and economic benefit as compared to the Steam Methane Reforming process.  ",Jeff Mays,,CHEMICAL MANUFACTURING AND DYNAMIC CATALYST SCIENCE,11/30/2022,,
"Configurable Array of 3D-Printed Lubrication-Free Turbocompressors for High Temperature
Industrial Heat Pump Applications",Active,,42.718785,-73.82924,FY 2022 SBIR/STTR Phase I,Cross-Sector Technologies,"Configurable Array of 3D-Printed Lubrication-Free Turbocompressors for High Temperature
Industrial Heat Pump Applications","Mohawk Innovative Technology, Inc.","$199,983 ",NY,6/27/2022,"This novel modular industrial heat pump will supply inexpensive heat to industrial processes at temperatures up to 400°F (204°C), well above the 302°F (150°C) that current commercial systems can do. The cost of heat production by this modular IHP technology will be less than 50% of the cost of heat from combustion of natural gas, and its carbon footprint will be 38% lower.",Jose Cordova,,ADVANCED MANUFACTURING,6/27/2023,,https://www.energy.gov/eere/iedo/sbirsttr-fy-2022-phase-i-funding-opportunities
