title,status,url,latitude,longitude,solicitation,subprogram,name,project_lead,funding_awarded,state,start_date,brief_description,principal_investigator,other_partners,topic_area,end_date,project_identifier,solicitation_url
Fuel- and Operation-flexible CHP through Real-time Model-based Controls,Active,,35.52539226,-106.4626255,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2033,Cross-Sector Technologies,Fuel- and Operation-flexible CHP through Real-time Model-based Controls,Sandia National Laboratories,3000000, CA,10/1/2024,"Sandia National Laboratories and its partners aim to advance the design and operations of hydrogen and natural gas fuel-flexible reciprocating-engine Combined Heat and Power (CHP) systems. The project goal is to establish functional models that allow for fully fuel flexible natural gas and hydrogen CHP combustion system operations. The proposed system will operate via real-time, model-based controls for fast load balancing, enabling fuel flexibility and load flexibility while reducing the amount of methane escaping into the atmosphere when utilizing natural gas . When operating fully on renewable hydrogen, this technology can enable significant GHG reductions through retrofitting existing CHP installations to access a full range of hydrogen-natural gas blend ratios. ",,,,,,
Omnivore Combustion System,Active,,42.020668,-87.92134699,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2034,Cross-Sector Technologies,Omnivore Combustion System,GTI Energy,3252049, IL,10/1/2024,"GTI Energy and its partners aim to design and demonstrate a scaled adaptable omnivore combustion system (OCS) which can accommodate a continuously varying range of low carbon fuels with ultra-low nitrous oxide (NOx) emissions. The proposed OCS will be able to accommodate continuously varying blends of fuels including natural gas-hydrogen blends, syngas, and biogas. The project will focus on three aspects: dynamic system control for improving performance, combustion regime characterization for operation stability and safety, and fuel flexibility. This project will demonstrate a full-scale OCS for at least 100 hours. OCS can potentially be used for industrial furnace applications including high carbon emitting industries.",,,,,,
Fuel-Flexible Regenerative Low NOx Industrial Hydrogen Burner,Active,,39.22939267,-76.82201457,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2035,Cross-Sector Technologies,Fuel-Flexible Regenerative Low NOx Industrial Hydrogen Burner,"Combustion Science & Engineering, Inc.",2602145, MD,10/1/2024,"Combustion Science & Engineering, Inc and its partners will develop a fuel-flexible heat regenerative low-NOx burner. The technology uses a redox heat regenerator (RHR) with a 3D printed fuel/air mixer and combustor. A metal oxide based RHR with improved heat storage and oxygen absorption will be developed and characterized using in-situ laser diagnostics. An industrial scale furnace will be tested using hydrogen-natural gas blends to demonstrate the viability of the fuel-flexible burner. The project aims to increase energy efficiency by 65% compared to non-heat regenerative burners and 25% compared to heat regenerative burners. This technology seeks to replace current natural gas fired regenerative furnaces commonly used in high-temperature operations to reduce carbon emissions of high temperature industrial heating processes by at least 90% while also reducing NOx emissions by the same amount.",,,,,,
Flexible Hybrid SOFC CHP System using Low-Carbon Fuels,Active,,39.75138827,-105.2225398,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2036,Cross-Sector Technologies,Flexible Hybrid SOFC CHP System using Low-Carbon Fuels,Colorado School of Mines,4500000, CO,10/1/2024,"The Colorado School of Mines and its partners will develop and validate a 100kW combined heat and power (CHP) system with flexible fuel capabilities. The proposed project will integrate intermediate-temperature solid-oxide fuel cell (SOFC) with a high-efficiency stationary engine and balance-of-plant (BOP) equipment. The system comprises a robust SOFC, 30 kW fuel-flexible reciprocating internal combustion engine (ICE), low-cost water-cooled inverter, and a hybrid system controls development for grid-integration. The team aims to achieve >85% CO2 emission reduction compared to conventional distributed generation technologies. ",,,,,,
Ultra-efficient Porous-Media Combustion Technology for H2-based Combustion in Process Heating,Active,,37.42785586,-122.1700386,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2037,Cross-Sector Technologies,Ultra-efficient Porous-Media Combustion Technology for H2-based Combustion in Process Heating,Stanford University,2750000, CA,10/1/2024,"Stanford University and its partners will develop and demonstrate porous-media combustion (PMC) as a scalable combustion technology to enable hydrogen-blended fuel combustion, including natural gas, biogas, and ammonia. The work will develop a micro-mix plenum with multipoint injectors for hydrogen-containing fuels and combine it with a variable porosity burner and heat exchanger to improve efficiency and control emissions. The technology will be demonstrated in an industrial-boiler with an integrated heat exchanger. If successful, the technology will reduce NOx emissions to less than 10ppm, improve thermal efficiency by 20% and reduce CO₂ emissions by 95%. ",,,,,,
Zero-Emissions Hydrogen Heat and Power technology demonstration for cross-sectoral decarbonization of the U.S. industry and the grid (Project ØNOx),Active,,37.79010357,-122.289595,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2038,Cross-Sector Technologies,Zero-Emissions Hydrogen Heat and Power technology demonstration for cross-sectoral decarbonization of the U.S. industry and the grid (Project ØNOx),"Noble Thermodynamic Systems, Inc.",4999647, CA,10/1/2024,"Noble Thermodynamic Systems and its partners will validate and demonstrate their Argon Power Cycle (APC) to enable efficient and low-cost carbon capture from low carbon fuels and boost the efficiency of combined heat and power (CHP) generation systems.  A 300 kWe/200kWth APC unit will be demonstrated to operate on 100% hydrogen for over 100 hours. APC can potentially enable decarbonization through retrofitting existing reciprocating engines to reduce NOx emissions by 100%, increase electricity generation efficiency by up to 45%, and increase CHP efficiency up to 75% compared to gas fired engines.",,,,,,
Joule Hive™ High Temperature Thermal Battery for Flexible Industrial Process Heat,Active,,42.40127773,-71.09900125,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2039,Cross-Sector Technologies,Joule Hive™ High Temperature Thermal Battery for Flexible Industrial Process Heat,Electrified Thermal Solutions Inc.,5000000, MA,10/1/2024,"Electrified Thermal Solutions Inc. and its partners aim to validate the performance and reliability of the Joule Hive™ Thermal Battery (JHTB) and show JHTB’s integrability with different heat processes. Using electrically conductive firebricks, JHTB’s thermal energy storage system converts and stores electricity as heat at temperatures larger than 1700°C. The JHTB power ranges between 1 to 200 MW of thermal output, with duration up to tens of hours, enabling very affordable high temperature energy storage and on-demand heat. It can charge and discharge simultaneously, allowing 24/7 heat supply required by many industrial processes. The JHTP turns intermittent renewable electricity into constant industrial grade heat and enables the replacement of fossil fuels with zero-carbon heat in every furnace, turbine, and boiler. This system will enhance industrial resilience and increase the flexibility of industrial energy usage while contributing to the reduction of GHG emissions across the U.S. industrial sector.",,,,,,
Thermal Energy Storage for Renewable Steam Generation with Integrated Energy Management System,Active,,29.73179637,-95.64171872,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2040,Cross-Sector Technologies,Thermal Energy Storage for Renewable Steam Generation with Integrated Energy Management System,"Shell International Exploration and Production, Inc.",5000000, TX,10/1/2024,"Shell International Exploration and Production and its partners aim to design, build, and operate a first-of-a-kind, renewable power steam generation system that is fully integrated with molten salt based thermal storage and real-time energy market-led controls. The technology will prove and showcase the fully decoupled electrical charging of the thermal storage from the steam discharge, allowing industrial users to purchase intermittent renewable power and generate steam reliably, 24 hours a day. The scalable technology is based upon a new generation ternary nitrate molten salt, the novel application of high-power electrical process heating. The system will include innovation in system sensing and control to support a large turndown ratio, and will operate at a variety of power conditions, thereby enabling the system to capture available renewable energy. The technology is readily scalable in electrical size, energy storage capacity, and heat output up to 734°F, and can be adjusted to meet the requirements across industrial sectors, including those historically viewed as difficult to decarbonize.",,,,,,
Metal Composite Heat Exchanger Pipes with Enhanced Thermal Performance,Active,,46.34531812,-119.279026,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2041,Cross-Sector Technologies,Metal Composite Heat Exchanger Pipes with Enhanced Thermal Performance,Pacific Northwest National Laboratory,1500000, WA,10/1/2024,"The Pacific Northwest National Laboratory and its partners aim to enhance the conductivity of copper and aluminum to enable heat exchangers with improved heat transfer. This is achieved through use of carbon nanotubes (CNT), graphene, and graphite additives, which will result in 20% higher thermal conductivity over baseline metals. It is estimated that the increase in aluminum conductivity by 20% improves heat exchanger efficiency by ~16%. Similarly using a copper tube with 20% higher thermal conductivity increases the heat transfer coefficient in a microchannel heat exchanger by ~12%. There is also an associated decrease in CO2 emissions which will be determined as part of the project. ",,,,,,
High-thermal Conductivity Metallic Compounds for Industrial Heat Decarbonization,Active,,30.26851344,-97.74307929,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2042,Cross-Sector Technologies,High-thermal Conductivity Metallic Compounds for Industrial Heat Decarbonization,The University of Texas at Austin,1000000, TX,10/1/2024,"The University of Texas at Austin aims to develop semi-metallic θ-phase tantalum nitride as a high thermal conductivity semi-metal material, which will enable high heat transfer. This semi-metal is anticipated to yield thermal conductivity that is higher than silver. Also,   due to its corrosion resistance, the semi-metal aims to replace silicon carbide for use in high temperature heat exchangers, heat pumps, and heating elements. If successful, this proposed work is expected to make crosscutting impact on reaching the goals of the Industrial Heat Shot.  ",,,,,,
High Thermal Conductivity Carbon Nanotube Fibers for Improved Heat Exchange,Active,,29.71744884,-95.40179365,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2043,Cross-Sector Technologies,High Thermal Conductivity Carbon Nanotube Fibers for Improved Heat Exchange,William Marsh Rice University,1500000, TX,10/1/2024,"Rice University and its partners aim to enhance the thermal conductivity and reduce the cost of carbon nanotube-based carbon fibers (CNTF) for improved heat transfer. This material aims to replace aluminum and copper as heat exchanger fins. The CNTF thermal conductivity enhancements are achieved through novel processing approaches such as doping, annealing, and material selection. In addition, high-throughput processing will be combined with 3D textile manufacturing capabilities to demonstrate the effectiveness of heat exchange devices for industrial decarbonization. The improved heat transfer is expected to improve efficiency and reduce emissions. ",,,,,,
"A Process to Produce Substantially Decarbonized 1,3-Butadiene",Active,,35.63395729,-85.87642329,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2044,Energy- and Emissions-Intensive Industries,"A Process to Produce Substantially Decarbonized 1,3-Butadiene","Bridgestone Americas Tire Operations, LLC.",9284066, TN,10/1/2024,"Bridgestone Americas Tire Operations aims to demonstrate an ethanol to butadiene (EBT) process enabled by a novel catalyst developed by Bridgestone Americas Tire Operations’ project partner, the Pacific Northwest National Laboratory (PNNL). EBT technology is one link in the chain of near-circular tire production where end-of-use tires can be turned into ethanol to produce butadiene, which can then be used to make new tires. Butadiene is normally produced as a co-product in ethylene steam cracking, an energy- and carbon-intensive process that relies on fossil fuels. The team plans to validate, at pilot scale, an EBT process that could reduce carbon intensity by up to 85% and achieve cost parity with conventionally sourced butadiene. ",,,,,,
Chemical Production of Renewable Commodity Plastics from CO₂,Active,,37.43475755,-122.1300336,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2045,Energy- and Emissions-Intensive Industries,Chemical Production of Renewable Commodity Plastics from CO₂,ReSource Chemical Corp. ,5400000, CA,10/1/2024,"ReSource Chemical Corporation aims to scale up a sustainable process for making plastic out of inedible biomass. The team will demonstrate, at pilot scale, the ability to continuously convert lignocellulose biomass into Furan-2,5-dicarboxylic acid (FDCA), which is used to make polyethylene furanoate (PEF) a potential direct replacement for fossil-derived plastic packaging, solvents/glues, cosmetics, and other high-volume consumer goods. This technology uses milder process conditions, consumes CO2, uses only water as a solvent, and drastically simplifies process steps. These thermochemical processes could enable cost parity compared to the current state-of-the-art production process and reduce carbon intensity by 85% over fossil derived alternatives.",,,,,,
Dual-Recycle Reactor for Electrochemical Carbon Dioxide to Ethylene Conversion,Active,,42.36381943,-71.24380763,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2046,Energy- and Emissions-Intensive Industries,Dual-Recycle Reactor for Electrochemical Carbon Dioxide to Ethylene Conversion,"Giner, Inc",2000000, MA,10/1/2024,"Giner Inc and its partners aim to further improve the economic viability of CO2 electrolysis to produce ethylene, a high-volume, energy- and carbon-intensive chemical using electricity and CO2. Ethylene is conventionally made from fossil fuels and is an imperative chemical intermediate used for many consumers goods. The team plans to overcome the barrier of poor carbon efficiency by developing a dual-recycle CO₂ conversion system that can produce high purity ethylene with little to no downstream separation. The process has the potential to reduce carbon intensity and energy consumption by up to 70% when compared to conventional fossil fuel-based ethane steam cracking.",,,,,,
CO₂ Hydrogenation via Agile Methanol Production,Active,,43.51978832,-112.04516,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2047,Energy- and Emissions-Intensive Industries,CO₂ Hydrogenation via Agile Methanol Production,Idaho National Laboratory,6805023, ID,10/1/2024,"Idaho National Lab (INL) and its industry partner, Casale SA, intend to validate a dynamic CO₂ to methanol process that uses variable hydrogen offtake from renewable energy driven electrolysis. Methanol is a high-volume energy-intensive chemical used to produce acetic acid, formaldehyde, and is also used as a fuel additive. The lab will use a specialized set of tools to better understand the impacts of grid flexibility on catalyst performance during methanol production in a relevant environment. Through optimization of a commercial catalyst, INL aims to create a more efficient and decarbonized process targeting an 85% reduction in CO2 and 30% reduction in energy consumption compared to conventional natural gas reforming. ",,,,,,
Bench-Scale Development of Facilitated Transport Membranes for Olefin/Paraffin Separations,Active,,40.00582584,-83.02592703,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2048,Energy- and Emissions-Intensive Industries,Bench-Scale Development of Facilitated Transport Membranes for Olefin/Paraffin Separations,The Ohio State University,3000000, OH,10/1/2024,"The Ohio State University: Columbus Campus and Zenith Purification LLC aim to develop a design and fabrication process to produce membranes used for olefin/paraffin separation, specifically for propylene/propane. The innovation of their design relies on using embedded silver ions to facilitate olefin transport through the membrane. Conventional fossil-fueled thermal separation of olefins/paraffins account for as much as 30% of the total energy and capital cost used in ethane steam cracking. The team will address the technical barriers of poor diffusion kinetics and the difficulty of roll-to-roll defect free manufacturing. The project has the potential to reduce carbon and energy intensity by as much as 75% compared to conventional thermal distillation.",,,,,,
Electromagnetic-Assisted Electrochemical Conversion of CO₂ to High Value Chemicals,Active,,33.34290917,-81.73745195,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2049,Energy- and Emissions-Intensive Industries,Electromagnetic-Assisted Electrochemical Conversion of CO₂ to High Value Chemicals,Savannah River National Laboratory,2999999, SC,10/1/2024,"Savannah River National Laboratory and its industrial partners, Dow and Siemens, intend to develop a hybrid electromagnetic (EM)-assisted alkaline electrochemical process to convert CO₂ into high-value chemical products of commercial importance. These chemical products include ethylene, CO, and acrylic acid. Ethylene and acrylic acid are important chemical “building blocks” for making a multitude of consumer goods. The innovation of this project relies on EM heating of a core-shell catalyst that can increase localized heat without heating the whole cell, thereby reducing possible side reactions. If successful, this electrified heating technology could reduce carbon and energy consumption dramatically through heat waste reduction and use of available cheap, zero-carbon electricity.",,,,,,
Iron Production by Molten Sulfide Electrolysis,Active,,42.36028124,-71.09412782,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2050,Energy- and Emissions-Intensive Industries,Iron Production by Molten Sulfide Electrolysis,Massachusetts Institute of Technology,5620060, MA,10/1/2024,"The Massachusetts Institute of Technology (MIT) aims to demonstrate primary iron production via its novel molten sulfide electrolysis (MSE) process at a scale of 250 kg/day. The process involves directly reducing iron from the sulfide form into elemental iron using electricity to provide the heat and reducing potential to drive the process. MSE will generate a liquid iron product similar to a blast furnace, but without the requirement for metallurgical coke and coal to reduce iron carbothermically. When powered using renewable energy, this process can potentially slash ironmaking emissions, which is the single most emissions-intensive step in steel production. Compared with other ironmaking processes, the removal of copper is thermodynamically feasible under MSE conditions, meaning that the refining of copper from the iron materials cycle may be a possibility. At the pilot scale, MIT will demonstrate the MSE process to validate an ironmaking production process with the potential to reduce CO2 emissions of ironmaking by up to 87% and reduce energy consumption compared to incumbent blast furnace ironmaking.",,,,,,
Technical Development and Industrial Demonstration of Net-Zero Carbon EAF Steelmaking with Alternative Injection and Stirring Technologies,Active,,41.58092203,-87.47191496,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2051,Energy- and Emissions-Intensive Industries,Technical Development and Industrial Demonstration of Net-Zero Carbon EAF Steelmaking with Alternative Injection and Stirring Technologies,Purdue University Northwest,7158034, IN,10/1/2024,"Through industrial trials, Purdue University Northwest and its partners aim to demonstrate a range of alternative stirring, oxidation, and foaming technologies in a commercial scale electric arc furnace (EAF). The team will develop novel gas injection technologies aimed at delivering low carbon reducing gases deep into the steel bath, utilize ‘soft’ oxidation technologies (such as CO2 to enable efficient mixing), develop alternative foaming agents, and ultimately culminate in a first-of-a-kind demonstration of EAF steelmaking using no fossil-carbon injectants supplemented by electromagnetic stirring technology. EAF steelmaking is dominant in the U.S. and the elimination of fossil carbon injection in its processing will reduce direct emissions by 40%. The project includes the development of an integrated virtual electric arc furnace (IVEAF) platform to give steelmakers the tools to optimize their own processes and achieve widespread emissions reductions.",,,,,,
ASPEN LEAF: Achieving Stable Performance and Emission Neutrality over Lifetime of Electric Arc Furnace,Active,,39.74100878,-105.1675746,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2052,Energy- and Emissions-Intensive Industries,ASPEN LEAF: Achieving Stable Performance and Emission Neutrality over Lifetime of Electric Arc Furnace,National Renewable Energy Laboratory,3849184, CO,10/1/2024,"The National Renewable Energy Laboratory (NREL) and its partners aim to develop technological solutions to the direct emission sources during EAF steelmaking. The innovative strategies that will be pursued include carbon neutral combustion fuels produced via carbon looping technology, biomass sourced injection material, and replacement of needle coke and incorporation of biomass-sourced pitch in electrode production.   NREL and its partners plan to demonstrate these technologies at pilot scale, as well as with the use of alternative injection carbon in a commercial EAF. If successful, all major carbon emission sources from EAF steelmaking will have a feasible route to decarbonization, enabling deep decarbonization of arc furnace steelmaking in the order of 80% compared with conventional processing. ",,,,,,
Decarbonized Iron Electrowinning Enabled by Oxide-ion Stabilized Anode in Molten Salts,Active,,40.79824576,-77.85965091,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2053,Energy- and Emissions-Intensive Industries,Decarbonized Iron Electrowinning Enabled by Oxide-ion Stabilized Anode in Molten Salts,The Pennsylvania State University,720000, PA,10/1/2024,"The Pennsylvania State University aims to demonstrate the feasibility of utilizing liquid metal anode technology in the electrolytic production of iron from ore in a molten sulfide electrolysis (MSE) system. The team will explore electrolyte and anode material design to develop an anode that is stable under production conditions. The team will target the specific challenge of anode stability in the MSE process through this novel, molten anode approach to de-risk scale of up MSE ironmaking. MSE is an emerging alternative ironmaking process capable of reducing iron ore to useable metallic iron using only electricity instead of conventional carbon-based reductants. When combined with a renewable electricity source, MSE could enable deep decarbonization of the ironmaking portion in the steelmaking process, which is by far the most carbon intensive process step. The lower reaction temperatures in MSE compared with conventional blast furnace ironmaking and molten oxide electrolysis also offer potential energy intensity reductions. ",,,,,,
