cid,foa,company,shortname,feedstock,detailed_feedstock,conversion_technology,primary_product,biofuel_capacity,latitude,longitude,scale,city,project_start,project_end,status,state,state_code,factsheet,doegrant,osti_final,description,costshare,total_project_cost
GO18119,FY08 - 10% Demonstration Scale FOA,Verenium,Verenium,Agricultural Residue; Energy Crops,Algae,Biochemical,Ethanol,"1,400,000",30.2591,-92.6941,TRL 7: Demonstration Scale,Jennings,9/30/2008,12/31/2010,Inactive,Louisiana,LA,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_demonstration_verenium.pdf,14.9,https://www.osti.gov/biblio/986586-jennings-demonstration-plant,"Planned as a 1.4 million gallon per year lignocellulosic ethanol facility located in Jennings, LA. ",14.9,29.8
EE0002867,FY09 - American Recovery and Reinvestment Act (ARRA),Algenol Biofuels Inc.,Algenol,Algae,Hardwood Dervied Hydrolyzate,Algae,Ethanol,"100,000",26.62107,-81.8781,TRL 6: Pilot Scale,Fort Meyers,1/29/2010,6/30/2015,Inactive,Florida,FL,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_algenol.pdf,25,https://www.osti.gov/biblio/1360777-recovery-act-integrated-pilot-scale-biorefinery-producing-ethanol-from-hybrid-algae,Algenol's DIRECT TO ETHANOL™ technology is based on over-expressing in blue-green algae the genes for fermentation pathway enzymes found widely in nature.,6.08,31.1
EE0002868,FY09 - American Recovery and Reinvestment Act (ARRA),American Process Inc.,API,Woody Biomass,Sweet Sorghum,Biochemical,Ethanol,"894,000",45.03314,-83.4951,TRL 6: Pilot Scale,Alpena,1/31/2010,9/30/2014,Inactive,Michigan,MI,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_api.pdf,17.9,https://www.osti.gov/biblio/1336448-recovery-act-alpena-biorefinery-alpena-biorefinery-lignin-separation-final-technical-report,"The goal of the Alpena Prototype Biorefinery (APB) is to demonstrate a modular, technically successful, and financially viable process of making cellulosic ethanol from woody biomass extract in wood processing facilities. The APB pilot biorefinery will produce 894,200 USG per year of undenatured cellulosic ethanol and 696,000 gallons per year of aqueous potassium acetate. ",4.49,22.4
EE0002869,FY09 - American Recovery and Reinvestment Act (ARRA),Amyris Biotechnologies Inc.,Amyris,Energy Crops,Corn Stover,Biochemical,Renewable Hydrocarbons,"1,370",37.83388,-122.295,TRL 6: Pilot Scale,Emeryville,12/28/2009,6/30/2013,Inactive,California,CA,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_amyris.pdf,25,https://www.osti.gov/biblio/1122942-amyris-inc-integrated-biorefinery-project-summary-final-report-public-version,"The Amyris pilot-scale Integrated Biorefinery (IBR) will leverage and upgrade Amyris’s existing Emeryville, California pilot plant and support labs to develop US-based production capabilities for No Compromise® renewable diesel fuel and petrochemical substitutes such as lubricants and polymers. These products will be derived semi-synthetically from high-impact biomass feedstocks via microbial fermentation to the same 15-carbon isoprenoid intermediate and subsequent chemical finishing",6.09,31.1
EE0002870,FY09 - American Recovery and Reinvestment Act (ARRA),Archer Daniels Midland,ADM,Agricultural Residue,Woody Waste; Bagasse,Biochemical,Ethanol,"25,800",39.83948,-88.9465,TRL 6: Pilot Scale,Decatur,1/28/2010,6/16/2014,Inactive,Illinois,IL,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_adm.pdf,25,https://www.osti.gov/biblio/1253922-conversion-lignocellulosic-biomass-ethanol-butyl-acrylate,ADM has developed a process for the conversion of agricultural residue (corn stover) into cellulosic ethanol and renewable chemicals.  The converted biomass will be transported to a central facility for further processing into to ethanol and ethyl acrylate. ,6.21,31.2
EE0002871,FY09 - American Recovery and Reinvestment Act (ARRA),Rentech ClearFuels Technology,Rentech ClearFuels,Woody Biomass,Algae Oil; Plant; Animal Oils,Thermochemical,Renewable Hydrocarbons,"5,000",39.86984,-104.772,TRL 6: Pilot Scale,Commerce City,1/29/2010,9/30/2013,Inactive,Colorado,CO,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_clearfuelstechnology.pdf,23,https://www.osti.gov/biblio/1127171-clearfuels-rentech-integrated-biorefinery-final-report,"This project will prove out a flexible, cost efficient, green, non-food source, integrated technology to transform woodwaste, bagasse, and mixtures of both into clean renewable diesel and jet fuel using a single facility design. The project will demonstrate the flexibility of the High Efficiency Hydrothermal Reformer (HEHTR) technology to produce a wide range of low tar syngas with controllable H2:CO ratios.",5.66,28.7
EE0002872,FY09 - American Recovery and Reinvestment Act (ARRA),Elevance Renewable Sciences,Elevance,Algae,Wood Waste; Corn Stover; Algae,Catalytic Upgrading,Renewable Hydrocarbons,N/A,41.7006,-88.075,TRL 3: Bench Scale,Bolingbrook,12/28/2009,6/30/2012,Inactive,Illinois,IL,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_elevance.pdf,2.5,https://www.osti.gov/biblio/1360629-elevance-biorefinery-pilot-plant-newton-ia,"Elevance will generate data specific for high potential US feedstocks to assist in the design of key sections of a Biorefinery which will convert natural oils into fuels and chemicals using the Grubbs olefin metathesis catalyst, and develop a non site specific process design and detailed engineering.",0.53,3
EE0002873,FY09 - American Recovery and Reinvestment Act (ARRA),Gas Technology Institute,GTI,Woody Biomass,Municipal Solid Waste,Thermochemical,Renewable Hydrocarbons,N/A,42.04828,-87.8905,TRL 3: Bench Scale,Des Plaines,1/29/2010,9/30/2012,Inactive,Illinois,IL,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_gti.pdf,3.5,https://www.osti.gov/biblio/1059031-biomass-gasoline-diesel-using-integrated-hydropyrolysis-hydroconversion,"GTI and Team members plan to complete preparatory R&D and the preliminary design of a 1 ton/day demo unit for the integrated hydropyrolysis and hydroconversion (IH2) process.<br />Proof of principle testing of integrated hydropyrolysis and hydroconversion has been done using wood, lemna (minor duckweed) and algae as feedstocks. ",0.86,4.4
EE0002874,FY09 - American Recovery and Reinvestment Act (ARRA),Haldor Topsoe Inc.,Haldor,Woody Biomass,Corn Fiber; Switchgrass; Energy Sorghum,Thermochemical,Renewable Hydrocarbons,"345,000",42.04828,-87.8905,TRL 6: Pilot Scale,Des Plaines,12/28/2009,12/31/2014,Inactive,Illinois,IL,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_haldortopsoe.pdf,25,https://www.osti.gov/biblio/1173129-green-gasoline-from-wood-using-carbona-gasification-topsoe-tigas-process,"The goal of the project is to demonstrate a new, economical technology for the thermochemical conversion of woody biomass into gasoline.",6.25,31.2
EE0002875,FY09 - American Recovery and Reinvestment Act (ARRA),ICM Inc.,ICM,Energy Crops,Vegetative Waste; Yard Waste; Municipal Solid Waste,Biochemical,Ethanol,"245,000",39.76544,-94.8444,TRL 6: Pilot Scale,St. Joseph,1/28/2010,8/31/2015,Inactive,Missouri,MO,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_icm.pdf,25,https://www.osti.gov/biblio/1352054-recovery-act-pilot-integrated-cellulosic-biorefinery-operations-fuel-ethanol,"ICM will pilot the proposed process to convert high-impact cellulosic feedstocks (switchgrass and energy sorghum) and captive corn fiber in a process that will pretreat, enzymatically hydrolyze to C5 and C6 sugars, and then ferment.",6.25,31.3
EE0002876,FY09 - American Recovery and Reinvestment Act (ARRA),Renewable Energy Institute,REII,Agricultural Residue; Algae; Woody Biomass; Energy Crops,Algae,Thermochemical,Renewable Hydrocarbons,"625,000",41.72068,-83.5694,TRL 6: Pilot Scale,Toledo,1/28/2010,3/31/2014,Inactive,Ohio,OH,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_reii.pdf,20,https://www.osti.gov/biblio/1179256-recovery-act-demonstration-pilot-integrated-biorefinery-efficient-direct-conversion-biomass-diesel-fuel,"This project will upgrade proven unit processes into a pilot integrated biorefinery in Toledo, Ohio for the efficient and economical conversion of 25 dry tons per day (dtpd) of agriculture and forest biomass residues into high quality, clean diesel fuel. ",4.9,24.9
EE0002877,FY09 - American Recovery and Reinvestment Act (ARRA),Solazyme Inc.,Solazyme,Algae,Forest Residue; Corn Stover; Bagasse; Switchgrass; Algae,Algae,Renewable Hydrocarbons,"300,000",40.69314,-89.5898,TRL 6: Pilot Scale,Peoria,1/28/2010,9/30/2014,Inactive,Illinois,IL,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_solazyme.pdf,22,https://www.osti.gov/biblio/1166003-solazyme-integrated-biorefinery-szibr-diesel-fuels-from-heterotrophic-algae,"Solazyme, Inc. plans to build, operate, and optimize a pilot-scale ""Solazyme Integrated Biorefinery"". SzIBR will demonstrate integrated scale-up of Solazyme's novel heterotrophic algal oil biomanufacturing process",5.44,27.4
EE0002878,FY09 - American Recovery and Reinvestment Act (ARRA),Myriant,Myriant,Energy Crops,Rice Hulls; Forest Residue,Biochemical,Bioproducts,N/A,32.79641,-91.2526,TRL 7: Demonstration Scale,Lake Providence,1/28/2010,9/30/2015,Inactive,Louisiana,LA,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_myriant.pdf,50,https://www.osti.gov/biblio/1333678-ber-myriant-succinic-acid-biorefinery,"Myriant’s technology sought to enable the production of succinic acid, an industrial organic chemical building block that can be used in the production of polymers (clothing fibers), surfactants and detergents, flavors and fragrances. Succinic acid is also a starting or intermediate material for a number of commercially significant specialty chemicals and chemical processes (e.g., butanediol), and can be substituted directly into commercially existing processes",50,100
EE0002879,FY09 - American Recovery and Reinvestment Act (ARRA),UOP LLC,UOP,Woody Biomass,Hybrid Poplar; Corn Stover; Corn Cobs,Thermochemical,Renewable Hydrocarbons,"60,000",21.34178,-158.091,TRL 6: Pilot Scale,Kapolei,12/28/2009,6/29/2015,Inactive,Hawaii,HI,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_uop.pdf,25,https://www.osti.gov/biblio/1267107-pilot-scale-biorefinery-sustainable-transport-fuels-from-biomass-algal-residues-via-integrated-pyrolysis-catalytic-hydroconversion-co-processing-vacuum-gas-oil,The purpose of this Project is to demonstrate a technically and economically viable technology for converting renewable biomass feedstocks to sustainable and fungible transportation fuels. The Applicant will demonstrate the technology by constructing and operating a pilot-scale integrated biorefinery that will process one dry ton per day of biomass using pyrolysis and subsequent upgrading to transportation fuels.,5.19,30.2
EE0002880,FY09 - American Recovery and Reinvestment Act (ARRA),ZeaChem Inc.,Zeachem,Energy Crops,Algae,Thermochemical,Ethanol,"250,000",45.83986,-119.701,TRL 6: Pilot Scale,Boardman,1/28/2010,6/30/2015,Inactive,Oregon,OR,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_zeachem.pdf,25,https://www.osti.gov/biblio/1296859-final-technical-report,"The first stage of the project will implement fermentation-to-ethyl-acetate, a salable chemical intermediate and precursor to cellulosic ethanol which will then be upgraded to ethanol",6.23,31.2
EE0002881,FY09 - American Recovery and Reinvestment Act (ARRA),Logos Technologies,Logos,Agricultural Residue; Woody Biomass; Energy Crops,Sorghum,Biochemical,Ethanol,"50,000",36.30379,-119.376,TRL 6: Pilot Scale,Visalia,1/28/2010,9/30/2013,Inactive,California,CA,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_logos.pdf,20.4,https://www.osti.gov/biblio/1113242-modification-corn-starch-ethanol-refinery-efficiently-accept-various-high-impact-cellulosic-feedstocks,"Logos and EdeniQ have teamed on the Corn-to-Cellulosic Migration (CCM) Project to focus on the migration of billions of dollars of capital deployed in today’s corn ethanol industry toward cost-effective production of greener ethanol from corn stover, switchgrass and woodchips.",5.11,25.5
EE0002882,FY09 - American Recovery and Reinvestment Act (ARRA),Enerkem,Enerkem,Woody Biomass,Wood Waste; Non-Merchantable Wood,Thermochemical,Ethanol,"10,000,000",34.22725,-89.0405,TRL 7: Demonstration Scale,Pontotoc,12/28/2009,6/30/2015,Inactive,Mississippi,MS,,5.2,https://www.osti.gov/biblio/1221533-recovery-act-heterogeneous-feed-biorefinery-project,"Enerkem will build and operate a 330 tonne-per-day biorefinery in Pontotoc, Mississippi that uses the dried and sorted biomass fraction of municipal solid waste (MSW) as feedstock. The Enerkem technology platform is based on a state-of-the-art gasification system coupled with a proprietary gas cleaning and conditioning process.",5.18,10.4
EE0002883,FY09 - American Recovery and Reinvestment Act (ARRA),INEOS New Planet Bioenergy LLC,INEOS,Municipal Solid Waste; Agricultural Residue,Corn Stover; Switchgrass; Wood Chips,Thermochemical,Ethanol,"8,000,000",27.63801,-80.4029,TRL 8: Commercial Scale,Vero Beach,12/28/2009,9/30/2015,Inactive,Florida,FL,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arraprojects_ineos.pdf,50,https://www.osti.gov/biblio/1268295-doe-ines-new-planet-bioenergy-technical-report-final-public-version,This project involves the construction and operation of a commercial scale integrated demonstration biorefinery. The facility will be designed to produce bioethanol as well as associated renewable electric power for export. ,50,100
EE0002884,FY09 - American Recovery and Reinvestment Act (ARRA),Sapphire Energy Inc.,Sapphire,Algae,Algae,Algae,Renewable Hydrocarbons,"1,000,000",31.8276,-107.64,TRL 7: Demonstration Scale,Columbus,12/29/2009,4/30/2015,Inactive,New Mexico,NM,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_sapphire.pdf,50,https://www.osti.gov/biblio/1343302-sapphire-energy-integrated-algal-biorefinery,"The Integrated Algal Biorefinery (IABR) will fix approximately 56 metric tons of CO2 per day and produce, on average, 100 barrels of green crude oil per day, or approximately 1 million gallons per year of finished fuel product. The  project will demonstrate the technical and economic feasibility of the algae to green fuels process that will form the basis for a series of commercial scale biorefineries.",36.06,86.1
EE0006242,FY12 - Innovative Pilot (iPilot),Frontline Bioenergy,Frontline,Woody Biomass,Agricultural Residue; Woody Biomass; Municipal Solid Waste,Thermochemical,Renewable Hydrocarbons,"20,000",42.03788,-93.6003,TRL 6: Pilot Scale,Ames,10/1/2013,9/30/2017,Inactive,Iowa,IA,,4.1,https://www.osti.gov/biblio/1490330-innovative-gasification-produce-fischer-tropsch-jet-diesel-fuel,"Frontline will demonstrate the performance of scaled-up, innovative gasification and related gas conditioning technologies as part of an integrated, 2 tonne per day biomass to liquids (BTL) pilot plant via Fischer Tropsch (FT) process.   ",4.13,8.2
EE0006244,FY12 - Innovative Pilot (iPilot),Mercurius,Mercurius,Agricultural Residue; Woody Biomass; Municipal Solid Waste,Inedible Corn Oil; Food Processing Waste; Animal Fats; Yellow Grease; Brown Grease,Hybrid,Renewable Hydrocarbons,"25,000",48.86111,-122.609,TRL 6: Pilot Scale,Ferndale,9/30/2013,3/31/2017,Inactive,Washington,WA,,4.7,https://www.osti.gov/biblio/1529117-reach-technology-pilot-plant,"The front-end of the pilot plant will be accomplished at an existing facility at U. Maine.  Hydrotreating will be done at a third party, existing pilot plant. Mercurius Biorefining will be the lead organization.",4.68,9.4
EE0006245,FY12 - Innovative Pilot (iPilot),Bioprocess Algae,Bioprocess Algae,Algae,Woody Biomass; Municipal Solid Waste,Algae,Renewable Hydrocarbons,,40.72613,-95.3496,TRL 6: Pilot Scale,Shenandoah,10/1/2013,11/30/2015,Inactive,Iowa,IA,,0.4,https://www.osti.gov/biblio/1398771-mixo-ibr-bp1a-report,"The primary objective of the proposed project is to demonstrate that BPA’s innovative mixotrophic algal growth platform can produce hydrocarbon fuels meeting military specifications (F-76, JP-5 and JP-8) as part of a pilot-scale Integrated BioRefinery (IBR), using a combination of renewable CO2, lignocellulosic
sugars and waste heat.",0.38,0.8
DPA000001,FY13 - Defense Production Act,Fulcrum,Fulcrum,Municipal Solid Waste,Forest Residue; Corn Stover; Bagasse; Switchgrass; Algae,Thermochemical,Renewable Hydrocarbons,"10,000,000",36.08601,-115.154,TRL 8: Commercial Scale,McCarran,9/19/2014,Active,Active,Nevada,NV,,76.6,,"Fulcrum BioEnergy, based in northern Nevada, will produce 10 million gallons of biofuel through use of MSW",,76.6
DPA000002,FY13 - Defense Production Act,Red Rock Biofuels,Red Rock,Woody Biomass,Wastewater Solids,Thermochemical,Renewable Hydrocarbons,"12,000,000",42.18076,-120.37,TRL 8: Commercial Scale,Lakeview,9/19/2014,Active,Active,Oregon,OR,,76.6,,Red Rock Biofuels in Oregon will utilize woody biomass to create 12 million gallons of advanced biofuels,,76.6
DPA000003,FY13 - Defense Production Act,Emerald Biofuels,Emerald,Fats; Oils; Greases,Municipal Solid Waste,Thermochemical,Renewable Hydrocarbons,"82,000,000",30.21523,-91.2679,TRL 8: Commercial Scale,Plaquemine,9/19/2014,,Inactive,Louisiana,LA,,,,"Using waste fats, Emerald Biofuels will produce 82 million gallons at a Gulf Coast refinery.",,
EE0007964,FY16 - PD2B3,"ThermoChem Recovery International, Inc.",TRI,Agricultural Residue; Woody Biomass; Municipal Solid Waste,Industrial Off Gas,Thermochemical,Diesel,"2,682,750",35.99924,-78.8979,TRL 6: Pilot Scale,Durham,,Active,Active,North Carolina,NC,,7.3,,"This project aims to enhance the versatility and economic viability of IBR technologies. Specifically, this project will enable IBRs to employ a greater variety of non-pristine feedstocks that differ in geographic source, age, composition, size, energy content, and moisture content. ",0.81,8.1
EE0007966,FY16 - PD2B3,"LanzaTech, Inc.",Lanzatech,Industrial Off Gas,Landfill Gas,Biochemical,Sustainable Aviation Fuel,"3,000,000",42.0281129,-87.751095,TRL 7: Demonstration Scale,Soperton,,Active,Active,Illinois,IL,,20,,The Project covers design and engineering for a demo facility to integrate LanzaTech’s gas fermentation technology to produce an ethanol intermediate (“Lanzanol”) with the Alcohol-to-Jet (ATJ) process developed by LanzaTech and PNNL to convert ethanol to jet and diesel.,19.02,39
EE0007969,FY16 - PD2B3,Aloviam,WRF,Wastewater Solids,Agricultural Residue; Woody Biomass; Municipal Solid Waste,Thermochemical,Renewable Natural Gas; Bio-crude,"103,175",29.46841,-98.5289,TRL 6: Pilot Scale,San Antonio,,Active,Active,Texas,CA,,12.2,,"The project, known as HYPOWERS (Hydrothermal Processing of Wastewater Solids) will build a pilot plant to process wastewater solids at a publicly-owned wastewater treatment facility.",12.23,24.4
EE0007965,"FY16 - Project Development for Pilot and Demonstration Scale Manufacturing of Biofuels, Bioproducts, and Biopower (PD2B3)",Global Algae Innovations,Global Algae,Algae,N/A,Thermochemical,Diesel,,21.97583,-159.355,TRL 6: Pilot Scale,Lihue ,,Active,Active,Hawaii,HI,,2,,"Project utilizes massively scalable sloped raceways with advanced cultivation methods and 3x higher productivity than conventional raceways. Their harvesting system achieves 100% harvest efficiency with 1/100th the energy use of centrifuges, scalable to 100’s of millions of gallons per day
CO2 supply from power plant flue gas (24 hr/day capture), 2.5” of water pressure drop on flue gas, and no separate gas distribution system",2.24,4.2
EE0007967,"FY16 - Project Development for Pilot and Demonstration Scale Manufacturing of Biofuels, Bioproducts, and Biopower (PD2B3)",AVAPCO LLC,AVAPCO,Woody Biomass,Algae,Biochemical,Sustainable Aviation Fuel,,32.88451,-84.3365,TRL 7: Demonstration Scale,Thomaston,,Active,Active,Georgia,GA,,4.7,,"Convert woody biomass to liquid hydrocarbon “drop-in” fuels with biojet fuel as the main product.  Synergistically co-produce smaller streams of value added co-products of nanocellulose and bio BDO. Integration of the AVAP process of biomass to ethanol, the Byogy ATJ process and the Genomatica bio BDO process. ",3.67,8.4
EE0007968,"FY16 - Project Development for Pilot and Demonstration Scale Manufacturing of Biofuels, Bioproducts, and Biopower (PD2B3)",Rialto Bioenergy Facility LLC,Rialto,Municipal Solid Waste,Woody Biomass,Thermochemical,Bio-oil,,34.11161,-117.377,TRL 7: Demonstration Scale,Rialto,,,Inactive,California,CA,,3,,"The ultimate Phase-2 facility will incorporate three powerful technologies: 1) an Organics Extraction machine that can extrude previously inaccessible organic wastes intermingled  in municipal solid waste streams; 2) an Organics Polishing System that will convert these wastes into a nearly contaminant-free digester feedstock; and 3) a low-temperature dryer/pyrolysis system. Products include a rich, high-nutrient bio-char, gases, liquid-intermediate bio-oil and will increase biopower by 25%.",3.39,6.4
EE0008249,FY17 - Integrated Biorefinery Optimization,Thermochemical Recovery International Inc.,TRI,Municipal Solid Waste,Stillage Syrup,Thermochemical,Diesel,,35.99924,-78.8979,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Durham,,Active,Active,North Carolina,NC,,1.6,,"The TRI project will study and improve feedstock and residual solids handling systems, targeted to commercial pyrolysis and gasification reactors. TRI’s work in these systems will promote feedstock flexibility and enable the processing of low cost feedstock to enhance economic viability of Integrated Biorefineries (IBRs).",1.65,3.3
EE0008250,FY17 - Integrated Biorefinery Optimization,Texas A&M Agrilife Research,Texas A&M Agrilife Research,By-Product,Biochemical Waste Streams,Biochemical,Diesel,1 ton/day,30.60909,-96.326,TRL 5: Industrially Relevant Scale/ Pre-Pilot,College Station,,Active,Active,Texas,TX,,2.2,,"This project aims to achieve a multi-stream integrated biorefinery (MIBR), where lignin-containing IBR waste will be fractionated to produce lipid for biodiesel, asphalt binder modifier, and quality carbon fiber. The MIBR will benefit IBRs through improved sustainability & cost-effectiveness.",0.56,2.8
EE0008251,FY17 - Integrated Biorefinery Optimization,White Dog Labs,White Dog Labs,By-Product,Lignin-Containing IBR Waste,Biochemical,Non-Fuel Project,,39.5929,-75.6515,TRL 5: Industrially Relevant Scale/ Pre-Pilot,New Castle,,Active,Active,Delaware,DE,,2.2,,This project will use the cellulosic stillage waste stream as a feedstock to generate a single-cell protein (SCP) product. They will use the stillage to generate a high-value SCP product. This valuable co-product has the potential to improve the economic feasibility of IBRs by providing an additional revenue stream and reducing waste cleanup costs.,1.07,3.3
