Program,Activity,ProjectLead,ProjectTitle,City,State,Latitude,Longitude,DOE Project Web Page,Concise_Description,Funding Type,Status
Emerging Technologies,R&D - Sensors & Controls,Pacific Northwest National Laboratory,Advanced Building Controls,Richland,WA,46.285691,-119.284462,http://energy.gov/eere/buildings/downloads/advanced-building-control-solutions,"The Pacific Northwest National Laboratory will lead a multi-lab effort in FY16, in partnership with Oak Ridge National Laboratory and Lawrence Berkeley National Laboratory, to develop occupancy-driven air-distribution-management, fault detection and diagnosis, and plug-and-play control solutions that will enable energy savings in buildings through advancements in their control systems.",Lab Award,Inactive
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,Southface Energy Institute,Advanced Commercial Buildings Initiative,Atlanta,GA,33.748995,-84.387982,http://energy.gov/eere/buildings/downloads/southface-energy-institute-advanced-commercial-buildings-initiative-2015,"Southface Energy Institute will develop energy efficiency evaluation and upgrade tools that provide at least a 50% energy improvement in new construction and a 20% energy improvement from upgrades to existing buildings, as well as develop energy audit training materials. These tools and training materials will help spur energy efficiency gains in new and existing buildings.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Advanced HVAC Systems,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/cberd-advanced-hvac-systems,"The Oak Ridge National Laboratory aims to develop and test building materials that can help promote mixed mode operations, reduce cooling and heating demand in Indian and US buildings, and re-optimize existing cooling and dehumidification system approaches for India’s commercial/multi-family new construction market. ORNL’s research and development is focused on cooling systems to create more efficient technologies for new construction in India.",Lab Award,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Xergy,Advanced Hybrid Water Heater using Electrochemical Compressors,Seaford,DE,38.641226,-75.611038,http://energy.gov/eere/buildings/downloads/advanced-hybrid-water-heater-using-electrochemical-compressor,"Xergy will develop a heat pump technology that utilizes an electrochemical compressor and water as the working fluid. The technology can operate with zero global warming potential, helping to reduce greenhouse gas emissions.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,Pixelligent,Advanced Light Extraction Structure for OLED Lighting,Baltimore,MD,39.290385,-76.612189,http://energy.gov/eere/buildings/downloads/advanced-light-extraction-structure-oled-lighting,"Pixelligent Technologies, LLC will improve the light extraction efficiency of OLED lighting devices to 70% without negatively impacting performance. Higher-efficiency OLED lighting devices could provide further energy and environmental benefits.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Sensors & Controls,Oak Ridge National Laboratory,Advanced Open-Source Sensor Packages for Building Monitoring,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/advanced-open-source-sensor-packages-building-monitoring,"As part of a multi-lab effort with Pacific Northwest National Laboratory and Lawrence Berkeley National Laboratory, Oak Ridge National Laboratory will develop open-source sensor packages, communications, and associated algorithms for occupancy estimation and indoor air quality measurement in order to improve the monitoring energy consumption within buildings.",Lab Award,Inactive
Commercial Buildings Integration,Technology & Systems Validation,Building IQ Inc,Advanced Retro-commissioning Technology: Predictive Energy Optimization (PEO) and Automated Demand Response for Commercial Building HVAC,Foster City,CA,37.558547,-122.271079,http://energy.gov/eere/buildings/downloads/buildingiq-inc-predictive-energy-optimization,"BuildingIQ, Inc. will optimize HVAC energy use across commercial buildings using a cloud-based software application that automatically adjusts temperature set points to reduce energy consumption. This software could reduce HVAC-related energy use in commercial buildings by 12% - 25%.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Optmized Thermal Systems,Advanced Serpentine Heat Exchangers to Minimize the Number of Joints and Leakage in HVAC&R Systems,Belsville,MD,39.034832,-76.907474,http://www.energy.gov/eere/buildings/downloads/advanced-serpentine-heat-exchangers-minimize-number-joints-and-leakage#\\vse-endc-file02\home\AIsaacson\BTO Comms\Projects Map\Phase 3 Update 1\FY16FOAProjectPages.xlsx#Sheet1!D3,"Optimized Thermal Systems, with their partners Heat Transfer Technologies, LLC, and interest from United Technologies Research Center, will develop a manufacturing procedure for a serpentine heat exchanger for heating, ventilation, and air-conditioning systems that has 90% fewer joints than current heat exchangers.",Funding Opportunity,Inactive
Residential Buildings Integration,Technology & Systems Validation,National Renewable Energy Laboratory,Advanced Technical Solutions for Zero Energy Ready Homes,Golden,CO,39.755543,-105.2211,http://www.energy.gov/eere/buildings/downloads/advanced-technical-solutions-zero-energy-ready-homes,This project will enable production homebuilders to confidently construct market-ready homes at higher efficiency levels and empower manufacturers to design better products to meet production builder needs.,Lab Award,Active
Residential Buildings Integration,Technology & Systems Validation,Center for Energy and Environment,Aerosol Sealing in New Construction,Minneapolis,MN,44.977753,-93.265011,http://www.energy.gov/eere/buildings/downloads/aerosol-sealing-new-construction,"The Center for Energy and Environment and partners will field test and optimize an innovative new method for whole house air-sealing using aerosol sealant. This aerosol sealant method is already a proven duct sealing solution, and can reduce time and labor costs by simultaneously measuring, locating, and sealing leaks.",Funding Opportunity,Active
Building Energy Codes,,Institute for Market Transformation,Alabama Residential Energy Code Field Study,Decatur,AL,34.605925,-86.983342,http://energy.gov/eere/buildings/downloads/alabama-energy-code-compliance-project,"The Institute for Market Transformation will investigate whether investing in statewide building energy code education, training, and outreach programs can produce a significant change in residential building code compliance rates. The results of these activities provide the necessary business case to influence non-government entities, particularly utilities, to make investments in similar programs, which could lead to substantial national energy savings.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Sensors & Controls,Clemson Univeristy,All-Digital Plug and Play Passive RFID Sensors for Energy Efficient Building Control,Clemson,SC,34.683438,-82.837365,https://energy.gov/eere/buildings/downloads/all-digital-plug-and-play-passive-rfid-sensors-energy-efficient-building-0,"Clemson University, with their partners Harvard University, Phase IV Engineering Corp., and Iowa Energy Center, will develop, demonstrate and pre-commercialize low-cost, digital plug-and-play, passive radio frequency identification sensors for measuring indoor and outdoor temperature and humidity, which will improve building operations and cut energy costs.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,"Vadient Optics, LLC",Alternative Interconnect Manufacturing-Printed SSL Optics,Eugene,OR,44.052069,-123.086754,http://www.energy.gov/eere/buildings/downloads/alternative-interconnect-manufacturing,"Vadient Optics, LLC (Eugene, OR) seeks to demonstrate that inkjet‐print fabrication of nanocomposite optical inks allows for more efficient and more precise light extraction from LED lamps at a fraction of the cost of conventional techniques.",Small Business Innovation Research,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Alternative Refrigerant Evaluation in Air-Conditioning Systems for High Ambient Temperature Applications,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/alternative-refrigerant-evaluation-high-ambient-temperature-environments,The Oak Ridge National Laboratory (ORNL) aims to develop an understanding of the performance of lower global warming potential (low-GWP) alternative refrigerants to hydrochlorofluorocarbon (HCFC) and hydrofluorocarbon (HFC) refrigerants in mini-split air conditioners under high-ambient-temperature conditions. Results have indicated that several of the available Low-GWP refrigerants could be used with minor changes to match the performance of existing units.,Lab Award,Inactive
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,National Trust for Historic Preservation,America Saves! Energizing Main Street's Small Businesses,Washington,DC,38.907192,-77.036871,http://energy.gov/eere/buildings/downloads/national-trust-historic-preservation-america-saves-energizing-main-street-s,"The National Trust for Historic Preservation will provide low-cost energy efficiency services to small businesses in California, Wisconsin, New York, and Washington State. These efforts aim to increase small business participation in energy retrofit programs and could lead to up to $30 billion in annual energy savings.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Sensors & Controls,Carnegie Mellon University,An Extensible Sensing and Control Platform for Building Energy Management,Pittsburgh,PA,40.440625,-79.995886,http://energy.gov/eere/buildings/downloads/extensible-sensing-and-control-platform-building-energy-management,"Carnegie Mellon University will develop, deploy, test, and refine an open-source and open architecture software platfordm for secure building managemener applications, specifically tailored towards small- and medium-sized buildings.",Funding Opportunity,Inactive
Commercial Buildings Integration,Energy Data & Design/Decision Tools,Lawrence Berkeley National Laboratory,Assessment of Advanced Measurement and Verification Methods (M&V 2.0),Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/assessment-advanced-measurement-and-verification-methods-mv-20,"Current evaluation measurement and verification (EM&V) processes are costly, time-consuming, and produce inconsistent results. Lawrence Berkeley National Laboratory is addressing these factors by studying the use of advanced M&V methods for energy efficiency projects that use automation and hourly or better data to produce results that can be faster, and more reliable.",Lab Award,Inactive
Residential Buildings Integration,Technology & Systems Validation,"Home Innovation Research Labs, Inc.",Attic Retrofits Using Nail-Based Insulated Panels,Upper Marlboro,MD,38.815947,-76.749691,http://energy.gov/eere/buildings/downloads/attic-retrofits-using-nail-base-insulated-panels,"Home Innovation Research Labs, Inc. will study a new approach to roof insulation retrofits that can be installed in one step and result in semi-conditioned attics. Findings from this project could play a critical role in improving the efficiency of home heating and cooling, which typically account for 40% of a home's energy consumption.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,"Poly-Cel, Inc.",Automated Process for the Fabrication of Highly Customized Thermally Insulated Cladding Systems,Marlborough,MA,42.345927,-71.552287,http://energy.gov/eere/buildings/downloads/automated-process-fabrication-highly-customized-thermally-insulated,"Poly-Cel, Inc. will identify a new, improved fabrication process for manufacturing energy-efficient facades that can be installed on existing buildings. The technique will allow fabrication of large facade panels that are tailored to a particular project, which could result in an increase in high-performing external walls in existing buildings.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Building Energy Modeling,Oak Ridge National Laboratory,Autotune,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/autotune,"Autotune uses evolutionary computation to calibrate model inputs using any sources of measured data which can map to simulation engine output. Developed and tested using DOE supercomputing resources and highly-submetered and instrumented demnostration facilities, Autotune has already demonstrated the ability to outperform manual calibration and exceed ASHRAE Guideline 14 calibration requirements in several minutes.",Lab Award,Inactive
Commercial Buildings Integration,Technology & Systems Validation,City of Milwaukee,Better Buildings Challenge - Milwaukee,Milwaukee,WI,43.038903,-87.906474,http://www.energy.gov/eere/buildings/downloads/better-buildings-challenge-milwaukee,"The city of Milwaukee will demonstrate retrofit approaches, including bundled energy efficiency retrofits paired with emerging finance mechanisms, in up to 200 commercial buildings across Wisconsin. These demonstrations could lead to increased adoption of energy efficiency technologies throughout the state.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Fraunhofer,"Bio-Based, Noncorrosive, Nonflammable Phenolic Foam Insulation",Boston,MA,42.360083,-71.05888,http://energy.gov/eere/buildings/downloads/development-bio-based-inexpensive-noncorrosive-nonflammable-phenolic-foam,"The Fraunhofer Center for Sustainable Energy Systems will develop a plastic foam for use in U.S. buildings that is less expensive, mechanically stronger, and more environmentally friendly than current options. This foam will satisfy fire safety codes without the need for fire retardants and is easy to install.",Funding Opportunity,Inactive
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,Institute for Market Transformation,Boosting Energy Efficiency and Economic Development Through Chambers of Commerce,Washington,DC,38.907192,-77.036871,http://www.energy.gov/eere/buildings/downloads/boosting-energy-efficiency-and-economic-development-through-chambers,The Institute for Market Transformation will partner with local chambers of commerce to help small business landlords and tenants improve the energy efficiency of their buildings. The Institute for Market Transformation will work with local chamber of commerce to audit 400 buildings.,Funding Opportunity,Inactive
Residential Buildings Integration,Technology & Systems Validation,Oak Ridge National Laboratory,Building America Envelope and Advanced HVAC Research,Oak Ridge,TN,36.010356,-84.269645,http://www.energy.gov/eere/buildings/downloads/building-america-envelope-and-advanced-hvac-research,"Oak Ridge National Laboratory (ORNL) will work to address key issues in high performance HVAC and envelope systems by mitigating market uncertainty regarding the durability of high-performing envelope systems and validating and demonstrating advanced heating, ventilation, and air conditioning (HVAC) solutions for low-load homes. Improved technologies and systems can result in significant savings on monthly utility bills, reducing the payback period and offsetting the initial investment for the homeowner.",Lab Award,Inactive
Residential Buildings Integration,Technology & Systems Validation,University of Central Florida,Building America Partnership for Improved Residential Constructions,Orlando,FL,28.538336,-81.379236,http://energy.gov/eere/buildings/downloads/building-america-partnership-improved-residential-construction,The University of Central Florida will demonstrate and validate energy-efficient residential ventilation and space conditioning systems. Advanced whole-house residential construction practices can achieve 50% energy savings compared to houses built to code in hot/humid climates.,Funding Opportunity,Active
Emerging Technologies,,Georgia Institute of Technology,Building Efficiency Technologies by Tomorrow's Engineers and Researchers (BETTER) Capstone,Atlanta,GA,33.748995,-84.387982,http://energy.gov/eere/buildings/downloads/building-efficiency-technologies-tomorrow-s-engineers-and-researchers,"The Georgia Institute of Technology will support 20 student project teams in developing building energy efficiency technologies through a capstone design project. This effort will better prepare students for employment in the building energy efficiency sector. Additionally, the combined energy savings from these projects is estimated to add up to over 1.8 Quads per year.",Funding Opportunity,Inactive
Commercial Buildings Integration,Energy Data & Design/Decision Tools,Pacific Northwest National Laboratory,Building Energy Asset Score,Richland,WA,46.285691,-119.284462,http://www.energy.gov/eere/buildings/downloads/building-energy-asset-score-0,"The U.S. Department of Energy’s Building Energy Asset Score (Asset Score) is a national standardized tool for assessing the physical and structural energy efficiency of commercial and multifamily residential buildings. The Asset Score generates a simple energy efficiency rating that enables comparison among buildings, and identifies opportunities to invest in energy efficiency upgrades.",Lab Award,Active
Building Energy Codes,,Pacific Northwest National Laboratory,Building Energy Codes Adoption Support,Richland,WA,46.285691,-119.284462,http://www.energy.gov/eere/buildings/downloads/building-energy-codes-adoption-support,"The U.S. Department of Energy supports the adoption of model energy codes for residential & commercial buildings.  Pacific Northwest National Laboratory (PNNL) assists in tracking code adoption, and provides technical analysis to assist states adopting the model energy codes.",Lab Award,Active
Building Energy Codes,,Pacific Northwest National Laboratory,Building Energy Codes Compliance,Richland,WA,46.285691,-119.284462,http://www.energy.gov/eere/buildings/downloads/building-energy-codes-compliance,"The U.S. Department of Energy supports increased compliance with energy codes for residential & commercial buildings.  Pacific Northwest National Laboratory  provides technical assistance to states & localities to improve code compliance, and helps coordinate efforts amongst stakeholders to improve the implementation of energy codes.",Lab Award,Active
Building Energy Codes,,Pacific Northwest National Laboratory,Building Energy Codes Development Participation,Richland,WA,46.285691,-119.284462,http://www.energy.gov/eere/buildings/downloads/building-energy-codes-development-participation,"The U.S. Department of Energy participates in the development of national model energy codes for residential & commercial buildings.  Pacific Northwest National Laboratory (PNNL) conducts technical analysis and assists in the development of DOE proposals, which are considered through industry model code development and consensus processes.",Lab Award,Active
Building Energy Codes,,Pacific Northwest National Laboratory,Building Energy Codes Rulemaking,Richland,WA,46.285691,-119.284462,http://www.energy.gov/eere/buildings/downloads/building-energy-codes-rulemaking,"The U.S. Department of Energy is directed to perform several statutory roles surrounding model energy codes for residential & commercial buildings, including the International Energy Conservation Code (IECC) and Standard 90.1, respectively. Pacific Northwest National Laboratory (PNNL) assists DOE in performing technical reviews, and provides support for DOE regulatory activities.",Lab Award,Active
Emerging Technologies,R&D - Sensors & Controls,Virginia Tech,Building Energy Management Open Source Software Development (BEMOSS),Blacksburg,VA,37.229573,-80.413939,http://energy.gov/eere/buildings/downloads/building-energy-management-open-source-software-development-bemoss,The Virginia Tech Advanced Research Institute will develop a software platform that improves sensing and control of equipment in small and medium-sized commercial buildings. The platform will be able to optimize electricity usage to reduce energy consumption and help implement demand response.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Architectural Applications,Building Integrated Heat and Moisture Exchange,Portland,OR,45.523062,-122.676482,http://energy.gov/eere/buildings/downloads/building-integrated-heat-and-moisture-exchange,Architectural Applications will combine two building system function0 - ventilation and insulation - into a unified technology. This technology is estimated to lead to nearly 3 quads of U.S. energy savings annually.,Small Business Innovation Research,Inactive
Commercial Buildings Integration,,Pacific Northwest National Laboratory,Building Re-tuning Training,Richland,WA,46.285691,-119.284462,http://www.energy.gov/eere/buildings/downloads/building-re-tuning-training,"The Pacific Northwest National Laboratory has developed the Building Re-tuning Training (BRT) curriculum for building operations staff. Building Re–tuning training is a program which educates building operators, facility engineers and the service personnel in commercial buildings in finding and fixing energy–wasting practices.",Lab Award,Inactive
Commercial Buildings Integration,Technology & Systems Validation,Pacific Northwest National Laboratory,High Impact Technology Catalyst,Richland,WA,46.285691,-119.284462,http://www.energy.gov/eere/buildings/downloads/high-impact-technology-catalyst,"The National Renewable Energy Laboratory is providing ongoing technical support for the High Impact Technology (HIT) Catalyst program, which identifies and prioritizes cost-effective, underutilized, energy-efficienct technologies, and then accelerates them into the market through pre-defined pathways.",Lab Award,Inactive
Commercial Buildings Integration,Technology & Systems Validation,Lawrence Berkeley National Laboratory,High Performance Active Perimeter Building Systems (ET/CBI Lab Call),Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/active-integrated-perimeter-building-systems,"The Lawrence Berkeley National Laboratory will collaborate with industry to take the next steps in data exchange and systems integration toward the goal of ubiquitous integrated, dynamic façade and lighting systems. This project will bring together technology developers, systems integrators, architects, engineers, utilities, and owners to define, select, and verify the performance of pre-commercial smart, active integrated envelope, lighting and daylighting systems by using open protocols and transparent data exchange.",ET/CBI Lab Call,Inactive
Emerging Technologies,Technology & Systems Validation,Lawrence Berkeley National Laboratory,High Performance Active Perimeter Building Systems (ET/CBI Lab Call),Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/active-integrated-perimeter-building-systems,"The Lawrence Berkeley National Laboratory will collaborate with industry to take the next steps in data exchange and systems integration toward the goal of ubiquitous integrated, dynamic façade and lighting systems. This project will bring together technology developers, systems integrators, architects, engineers, utilities, and owners to define, select, and verify the performance of pre-commercial smart, active integrated envelope, lighting and daylighting systems by using open protocols and transparent data exchange.",ET/CBI Lab Call,Inactive
Emerging Technologies,R&D - Advanced Lighting,"Lumisyn, LLC",High Performance Colloidal Nanocrystals,Rochester,NY,43.16103,-77.610922,http://www.energy.gov/eere/buildings/downloads/high-performance-colloidal-nanocrystals,"Lumisyn, LLC (Rochester, NY) will research high-performance colloidal nanocrystals to be used in LED products, potentially resulting in a factor of 1.4 increase in LED efficiency.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,Carnegie Mellon University,Novel Transparent Phosphor Conversion Matrix with High Thermal Conductivity for Next-Generation Phosphor-Converted LED-based Solid State Lighting,Pittsburgh,PA,40.440625,-79.995886,http://energy.gov/eere/buildings/downloads/novel-transparent-phosphor-conversion-matrix-high-thermal-conductivity-next,Carnegie Mellon University will develop an improved phosphor matrix to include materials that increase the thermal conductivity more than 5 times over standard matrix materials. This technology could reduce the price of light by as much as 50% - 60%.,Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Novel Ultra-Low Energy Consumption Ultrasonic Clothes Dryer,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/novel-ultra-low-energy-consumption-ultrasonic-clothes-dryer,"Oak Ridge National Laboratory will develop a clothes dryer that is extremely energy efficient and has a load drying time of approximately 20 minutes. This technology has the potential to revolutionize the clothes dryer industry, as well as to achieve 0.4 quads of energy savings.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,Acuity Brands Lighting,OLED Luminaire with Panel Integrated Drivers and Advanced Controls,Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/oled-luminaire-panel-integrated-drivers-and-advanced-controls,Acuity Brands Lighting will develop an OLED luminaire that features DC current drivers integrated with each panel and advanced user controls. This advancement in OLED technology could lead to more-efficient OLED lighting systems and reduced energy use for building lighting.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Sensors & Controls,Lawrence Berkeley National Laboratory,"OpenBuildingControl: Simulation, Specification and Verification of Control Sequences",Berkeley,CA,37.871593,-122.272747,http://www.energy.gov/eere/buildings/downloads/openbuildingcontrol-simulation-specification-and-verification-control,"Lawrence Berkeley National Laboratory, along with its partners, will develop a platform for design and specification of HVAC control sequences that inter-operates with both whole-building energy simulation and automated control implementation workflows. OpenBuildingControl will unify control design, evaluation, and optimization via whole-building energy simulation with control implementation, eliminating the manual translation steps currently associated with HVAC control implementation, reducing both error as well as effort and cost.",Funding Opportunity,Inactive
Commercial Buildings Integration,R&D - Building Energy Modeling,Lawrence Berkeley National Laboratory,OpenStudio,Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/openstudio-0,OpenStudio® is an open-source software-development kit (SDK) that supports the rapid development of applications that use EnergyPlus for advanced energy analysis and/or Radiance for lighting analysis. The OpenStudio graphical application demonstrates this capability and is usable as an energy modeling workflow. Lawrence Berkeley National Laboratory is developing OpenStudio versions of DOE’s Commercial Prototype Buildings for use in large scale analysis.,Lab Award,Active
Commercial Buildings Integration,Energy Data & Design/Decision Tools,Lawrence Berkeley National Laboratory,"Whole Building Performance Data Tools (BPD, SEED, BEDES)",Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/whole-building-performance-data-tools-bpd-seed-bedes,"Lawrence Berkeley National Laboratory is working to increase datasets and improve the user experience of three web-based, commercial building analysis tools; the Building Performance Database, the Standard Energy Efficiency Data platform, and the Building Energy Data Exchange Specification.  The tools are used to collect, manage, and analyze information about building performance, help with the implementation of energy efficiency programs and policies, and assist users with understanding a building’s potential; to help make building energy performance data easily available and reduce the lack of measured data on building performance at a national scale.",Lab Award,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Wireless Sensor for Pump Efficiency,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/wireless-sensor-pump-efficiency,"Oak Ridge National Laboratory will demonstrate a cost-effective wireless sensor for measuring pump efficiency developed by KCF Technologies. To demonstrate the efficacy of the proposed wireless sensor to measure pump efficiency, KCF will deliver to ORNL a prototype measurement system, which will be installed on a pump associated with one of the HVAC systems in ORNL’s two-story flexible research platform.",Small Business Vouchers Pilot,Inactive
