Program,Activity,Presenting Organization,Project Title,URL,Text
Emerging Technologies,R&D - Sensors & Controls,Clemson University,All-Digital Plug and Play Passive RFID Sensors for Energy Efficient Building Control,https://energy.gov/eere/buildings/downloads/all-digital-plug-and-play-passive-rfid-sensors-energy-efficient-building-0,"<p><b>Weighted Average:</b> 3.50<span style='padding-left:1em'></span><b># of Reviewers:</b> 4</p><p><b>Approach:</b> 3.50<span style='padding-left:1em'></span><b>Impact:</b> 3.25<span style='padding-left:1em'></span><b>Progress:</b> 3.25</p><p><b> Collaboration & Coordination:</b> 3.75<span style='padding-left:1em'></span><b>Remaining Project Work:</b> 3.75</p><br />
<p><b>BRIEF SUMMARY OF REVIEWER COMMENTS</b></p>
<p>Most reviewers agreed that this project’s approach in eliminating the analog to digital converter (ADC) logic and developing an all-digital wireless sensor to reduce cost is quite innovative. One reviewer particularly appreciated the use of gray code pattern embedded in the common plane, while another reviewer identified the reliance on RFID for identification and positioning as a major strength. Another reviewer, however, was unclear on the power supply approach and expressed concerned about power consumption issues.  Clarification was also requested by one of the reviewers on the digital acquisition system attached to the sensor for wireless temperature measurements.</p>
<p>Multiple reviewers noted that this project is likely to contribute to meeting the BTO programmatic goals for low-cost, wireless sensor networks. In terms of programmatic energy savings goals, however, one reviewer remarked that the amount of energy savings realized will ultimately depend on the sensor application or service, while another reviewer commented that the sensors could have a significant energy savings impact if they can be scaled to form a network and connected with advanced control strategies. One reviewer stated that the current cost per unit is already considerably less expensive than existing products on the market, remarking that this platform will be quite competitive and enable BTO’s energy savings goals if the price target can be further reduced to yield a 1-1.5 year payback.</p>
<p>All reviewers agreed that this project has a strong team, which demonstrates appropriate skills, experience, and range of expertise. One reviewer, however, commented that the project’s industrial engagement seems weak, while another specifically recommended that the project team initiate engagement with building scientists to improve sensor design, implementation, and integration.</p>
<p>Multiple reviewers agreed that the research completed to date is on schedule and demonstrates clear progress, including temperature sensor hardware design and software processing, as well as demonstration of the temperature sensor prototype. Most reviewers remarked that remaining project work also appears appropriate and logically planned, although one reviewer had some concerns regarding completion within the performance period of the award due to activities that could cause some delays (e.g., development and testing of the humidity sensor, development of a non-contact reading approach using self-capacitance). One reviewer also observed that the plans and related activities for practical integration and commercialization were not clear. Reviewers offered a number of recommendations for the project team to consider moving forward, including engaging in additional studies on communication distance where obstacles are present, stress-testing the sensor to better understand sensor reliability, conducting measurement accuracy and uncertainty analysis, reducing the size of the sensor to fit into more applications, and taking steps to address cybersecurity concerns.</p>"
Emerging Technologies,R&D - Sensors & Controls,Oak Ridge National Laboratory,"Energy-harvesting, Self-calibrating Wireless Sensors for Improving Energy Efficiency in Buildings ",https://energy.gov/eere/buildings/downloads/energy-harvesting-self-calibrating-wireless-sensors-improving-energy-0,"<p><b>Weighted Average:</b> 3.03<span style='padding-left:1em'></span><b># of Reviewers:</b> 2</p><p><b>Approach:</b> 3.00<span style='padding-left:1em'></span><b>Impact:</b> 3.00<span style='padding-left:1em'></span><b>Progress:</b> 2.50</p><p><b> Collaboration & Coordination:</b> 3.50<span style='padding-left:1em'></span><b>Remaining Project Work:</b> 3.00</p><br />
<p><b>BRIEF SUMMARY OF REVIEWER COMMENTS</b></p>
<p>One reviewer noted that the project’s approach is sound, highlighting its focus on developing a low-cost, self-powered, multi-sensor platform that can easily be placed on any surface; this reviewer was concerned, however, because cost data and expected payback were not presented. The other reviewer found the information presented on the project’s novel technical improvements and innovation to be unclear. One reviewer identified one of the project’s strengths as its reliance on low-power consuming components and energy harvesting to prolong the operational power lifetime and increase recharge rates.  The other reviewer, however, recommended focusing future work on either (1) new power-supply methods for wireless sensing and processing or (2) new algorithms to balance and utilize energy.</p>
<p>One reviewer commented that this project will contribute to BTO’s programmatic energy savings goals. The other reviewer, however, remarked that while synergistic efforts and platforms from this project may lead to great impacts for building environment sensor technologies, the presentation was vague on how the project will achieve some key potential impacts in terms of energy savings, sensor optimization relative to initial design, and interoperability.</p>
<p>Reviewers agreed that a majority of the project’s expected objectives have been completed. However, one reviewer noted that it is not clear if the team has accounted for issues such a signal blockage or on-board fault detection, and was concerned that there may not be sufficient time to fully test the technology in various environmental conditions.</p>
<p>Reviewers found solid collaboration and coordination across the team, including manufacturing partner to ensure cost and payback are considered.  Both reviewers also recommended that cybersecurity be considered in implementation of testing of the platform.</p>"
Emerging Technologies,R&D - Sensors & Controls,University of Virginia,Improving Energy Efficiency of Wireless Communication Circuitry in Miscellaneous Electric Loads,https://energy.gov/eere/buildings/downloads/improving-energy-efficiency-wireless-communication-circuitry-miscellaneous,"This project was presented, but not reviewed, at the 2018 BTO Peer Review."
Emerging Technologies,R&D - Sensors & Controls,"PARC, a Xerox Company",Ultra-Low SWaP CO2 Sensing for Demand Control Ventilation,https://energy.gov/eere/buildings/downloads/ultra-low-swap-co2-sensing-demand-control-ventilation,"This project was presented, but not reviewed, at the 2018 BTO Peer Review."
Emerging Technologies,R&D - Sensors & Controls,Intelligent Optical Systems,Optical Humidity Sensors for Building Energy Performance and Air Quality Control (SBIR),https://energy.gov/eere/buildings/downloads/optical-humidity-sensors-building-energy-performance-and-air-quality,"<p><b>Weighted Average:</b> 3.18<span style='padding-left:1em'></span><b># of Reviewers:</b> 3</p><p><b>Approach:</b> 3.33<span style='padding-left:1em'></span><b>Impact:</b> 3.33<span style='padding-left:1em'></span><b>Progress:</b> 2.67</p><p><b> Collaboration & Coordination:</b> 3.33<span style='padding-left:1em'></span><b>Remaining Project Work:</b> 3.00</p><br />
<p><b>BRIEF SUMMARY OF REVIEWER COMMENTS</b></p>
<p>Reviewers agreed that this project’s approach to the development of an optical sensor for humidity monitoring and air quality control is well-structured to meet the project’s goal, with one reviewer flagging that the project’s rigorous approach is borrowed from safety-critical applications in the aerospace industry. One reviewer expressed a minor concern that the methodology for simulating long-term sensor operation (i.e. stress testing) could be better defined. Another reviewer inquired as to how the team will estimate the final cost target of less than $10 per unit since it was not included in the presentation.</p>
<p>Most reviewers agreed that if the project team is successful in producing a humidity sensor at the targets specified (i.e. less than 1% drift after 10 years of operation and $10 per unit), then the project will contribute to BTO’s programmatic goals related to building environmental monitoring for energy management. However, multiple reviewers were concerned about the progress to-date and remaining schedule, with one reviewer commenting that the three months planned for field validation seems short, and another reviewer recommending the development of a risk mitigation plan to assist the project team with their schedule.</p>
<p>All reviewers agreed that the project team possesses relevant expertise with meaningful collaboration. However, one reviewer commented that the project could benefit from collaboration with the building environmental systems integration community, which is currently lacking.</p>
<p>For future work, one reviewer suggested tailoring performance testing to the humidity sensor requirements for building energy efficiency, while another reviewer encouraged the project team to make sure to address cyber security concerns.</p>"
Cross-Cutting,Plenary and Panel Session,Panel,"EVs, PVs, & Connected Communities: Technologies Beyond Buildings",https://www.energy.gov/eere/buildings/downloads/evs-pvs-connected-communities-technologies-beyond-buildings-bto-peer-review,"Panel session discussing a variety of topics related to grid-interactive efficient buildings, including enabling technologies that exist in other sectors."
Cross-Cutting,Plenary and Panel Session,U.S. Department of Energy,Cross-Cutting Project Medley: Presented by the BTO Fellows,https://www.energy.gov/eere/buildings/downloads/cross-cutting-project-medley-presented-bto-fellows-bto-peer-review-2018,Panel session discussing the different types of Fellowships available at BTO.
Commercial Buildings Integration,Energy Performance & Tools (CBI),U.S. Department of Energy,CBI Project Introductions - Energy Performance & Tools,https://www.energy.gov/eere/buildings/downloads/commercial-buildings-integration-project-introductions-bto-peer-review-2018,Introductions to select projects under CBI's Energy Performance & Tools track.
Commercial Buildings Integration,Energy Performance & Tools (CBI),Seventhwave,Accelerate Performance,http://energy.gov/eere/buildings/downloads/seventhwave-accelerate-performance,"<p><b>Weighted Average:</b> 2.98<span style='padding-left:1em'></span><b># of Reviewers:</b> 4</p><p><b>Approach:</b> 3.25<span style='padding-left:1em'></span><b>Impact:</b> 3.00<span style='padding-left:1em'></span><b>Progress:</b> 3.00</p><p><b> Collaboration & Coordination:</b> 2.50<span style='padding-left:1em'></span><b>Remaining Project Work:</b> 3.00</p><br />
<p><b>BRIEF SUMMARY OF REVIEWER COMMENTS</b></p>
<p>Overall, reviewers regarded this project’s approach as well-articulated and clearly structured. However, all reviewers also either implied or explicitly suggested that the project’s approach should have been more strongly oriented toward building owners and developers instead of utilities, who one reviewer described as not likely being “the most effective partners to scale-up use of innovative procurement strategies.” One reviewer “heard no mention” of coordination efforts with building representatives, whom the reviewer felt was a “crucial” stakeholder group when it came to writing requests for proposals in the commercial sector. Two more reviewers echoed this concern, while one added that the choice of energy utilities as an intermediary “seem[ed] removed from the actual decision makers the team is attempting to influence.” Several reviewers remarked that the project team appeared to have begun realizing this perceived mistargeting of coordination efforts, commenting further that while the project team “should have” pivoted before, time still remained to do so.</p>
<p>Reviewers were comfortable with the project’s progress on tool development, but disagreement among reviewers was evident regarding how impactful these tools were expected to be in the project’s sample applications and proof-of-concept demonstrations. Several reviewers were also skeptical that the project’s outcomes could be scaled up from its test niche to the wider market, recommending that a different approach—one that engaged a wider set of stakeholders—would be necessary to achieve the project’s intended impacts.</p>
<p>Several reviewers left many suggestions for the project team to consider in regards to improving the project’s approach and engagement of the commercial buildings industry. Several reviewers suggested that a more thorough market analysis of the procurement tools’ intended users could improve the project’s outreach efforts and eventual market diffusion. To expand the project’s pool of stakeholders, this same reviewer suggested that the project team forge partnerships with non-utility partners like the Urban Land Institute, American Institute of Architects, U.S. Green Building Council, and other similar groups, all of who “have more direct access to the individuals [in the commercial building community] with responsibility for procurement.”</p>"
Commercial Buildings Integration,Energy Performance & Tools (CBI),Institute for Market Transformation,Boosting Energy Efficiency and Economic Development through Chambers of Commerce ,http://www.energy.gov/eere/buildings/downloads/boosting-energy-efficiency-and-economic-development-through-chambers,"<p><b>Weighted Average:</b> 3.05<span style='padding-left:1em'></span><b># of Reviewers:</b> 3</p><p><b>Approach:</b> 3.33<span style='padding-left:1em'></span><b>Impact:</b> 3.00<span style='padding-left:1em'></span><b>Progress:</b> 2.67</p><p><b> Collaboration & Coordination:</b> 3.00<span style='padding-left:1em'></span><b>Remaining Project Work:</b> 3.00</p><br />
<p><b>BRIEF SUMMARY OF REVIEWER COMMENTS</b></p>
<p>Comments made by reviewers about this project were notably more positive and supportive than the scores suggest. Every reviewer made notably supportive remarks about the project’s approach to engaging chambers of commerce, which they collectively described as an innovative way to promote energy conservation measures across different jurisdictions throughout the country. Similarly, reviewers expressed that the project’s impact could be significant, especially for small business owners, and two reviewers commented these efforts could and should be replicated around the country to advance BTO’s larger goals. According to one reviewer, “the potential for self-sustaining replication is very high,” but another reviewer doubted this claim because “there [was]n't more outreach to other chambers.”</p>
<p>Reviewers expressed apparent satisfaction with the project’s progress to date and remaining work, though one reviewer thought the leasing barrier would need to be overcome, while another reviewer wanted to hear more about efforts to reach even more chambers of commerce. As previously mentioned, reviewers commented that the project’s collaborations were a significant project strength, but one remarked that the project’s “door-to-door” approach of engagement might be time consuming, and that utilizing other avenues of engagement (e.g. the National Chamber Program) could be beneficial for securing additional partners. Several reviewers recommended that the team add a dedicated coordinator to oversee the chamber outreach, while another said the project team might consider presenting the program to a network of chambers to broaden outreach efforts.</p>"
Commercial Buildings Integration,Energy Performance & Tools (CBI),Retail Industry Leaders Association,Financial Management for Retail Energy Efficiency,http://www.energy.gov/eere/buildings/downloads/financial-management-retail-energy-efficiency,"<p><b>Weighted Average:</b> 2.76<span style='padding-left:1em'></span><b># of Reviewers:</b> 4</p><p><b>Approach:</b> 3.25<span style='padding-left:1em'></span><b>Impact:</b> 2.75<span style='padding-left:1em'></span><b>Progress:</b> 2.50</p><p><b> Collaboration & Coordination:</b> 2.25<span style='padding-left:1em'></span><b>Remaining Project Work:</b> 2.75</p><br />
<p><b>BRIEF SUMMARY OF REVIEWER COMMENTS</b></p>
<p>Nearly every reviewer applauded this project’s approach to attacking a key market barrier that, according to one reviewer, had kept the retail industry from addressing its cost-effective energy conservation opportunities. Several reviewers underscored the importance of leveraging’s RILA leadership, strong and diverse membership, and its reputation to reach the retail industry with energy information. Other reviewers called out the project’s “clear and well-considered management structure” and its strong planning efforts. One reviewer’s remarks stood in stark contrast their peers, however, claiming that the team’s lack of engagement with retail finance professionals had created a “big risk of project failure,” by not providing the right information in a manner those stakeholders need; the reviewer called this omission a “red flag,” and the consequence of “poor planning and execution.”</p>
<p>Despite this one reviewer’s concern, all others did not doubt the potential impact of this project to advance BTO’s energy efficiency goals. One reviewer claimed that the project’s utilization of BTO’s commercial building efforts provided a foundation for success, while another highlighted that the strength of RILA’s systems could significantly reduce the energy use intensity of U.S. retail buildings. Even though reviewers praised RILA’s role and its influence, however, they did not hold all of the project’s other collaboration and coordination efforts in as high a regard. One reviewer was not convinced that the project’s current momentum was organized enough to be sustained into the future. Another reviewer remarked that there was room to engage property owners, developers, and landlords, which the reviewer claimed were a missing element. As described above, a third reviewer questioned the lack of engagement with retail finance professionals. Not every reviewer was unsatisfied with the project’s outreach, however. One reviewer characterized the project’s partners as “unusually strong and diverse,” describing their “impressive combination of financial expertise, advocacy, and business engagement.”</p>
<p>Reviewers did not comment heavily on the project’s progress. One reviewer found the number of the project’s implementation models to be low, at least when compared to the number of stakeholders in RILA, but most reviewers did not have any significant reservations about the project team’s progress or the work remaining. Two reviewers commented that having educated finance professionals in the final stages of this project would be beneficial, though one remarked that “it might be too late” at this current stage. A predominant theme that emerged from the reviewer’s recommendations for improvement centered on institutionalizing the project’s resources, materials, and partnerships to permanently influence and grow the retail market’s energy optimization efforts. One reviewer remarked that creating a specialized industry group, or developing, “succinct, visual case studies based on adopted models” could, become useful testimonials for other businesses to learn from and copy.</p>"
Commercial Buildings Integration,Energy Performance & Tools (CBI),Lawrence Berkeley National Laboratory,Energy Factors in Commercial Building Finance,http://energy.gov/eere/buildings/downloads/energy-factors-commercial-building-finance,"<p><b>Weighted Average:</b> 3.30<span style='padding-left:1em'></span><b># of Reviewers:</b> 4</p><p><b>Approach:</b> 3.50<span style='padding-left:1em'></span><b>Impact:</b> 3.00<span style='padding-left:1em'></span><b>Progress:</b> 3.25</p><p><b> Collaboration & Coordination:</b> 3.00<span style='padding-left:1em'></span><b>Remaining Project Work:</b> 3.75</p><br />
<p><b>BRIEF SUMMARY OF REVIEWER COMMENTS</b></p>
<p>Reviewers uniformly praised this project’s approach for its clear and novel focus, which one reviewer framed as “a method of impacting owner behavior” that has been a “key, unmet need in the commercial real estate sector that no other research organization is funding.” Several reviewers understood the preliminary nature of this project, calling it an “excellent example of applied, interdisciplinary economic research,” which one reviewer expected would add to the body knowledge that fundamentally “underpins commercial lending.” Several reviewers also expressed that the approach was appropriately refined to avoid scope-creep despite “the daunting scale of the commercial lending industry.” However, one reviewer worried that the team had spent a lot of energy on lenders, at the expense of researching whether building owners would take action based on the lender's scoring.</p>
<p>Despite these assessments, reviewers disagreed somewhat on the magnitude of this project’s potential impact. Most reviewers did not doubt the project’s hypothesis that, if successful, it could contribute new information that could be useful for the commercial real estate market to “effectively internalize energy-related value into the mortgage underwriting process.” As one reviewer pointed out, however, the ultimate impact of this projects rests on whether the information actually influences lenders “to make the investments necessary to reduce energy consumption.”</p>
<p>All reviewers were encouraged by the project’s progress to date, and most expressed confidence in the team’s ability to complete the work ahead. However, one reviewer noted that a not-so-insignificant question remained unanswered: whether or not the team’s pilot metric for energy in commercial/multifamily real estate energy could successfully be linked to commercial mortgage underwriting. A few reviewers implied that the answer to this question could come down to the project team’s collaboration and coordination efforts, even though all reviewers agreed that the current efforts were strong. One reviewer expressed that by extending the current umbrella of stakeholders to include more building owners, the project team could observe if and how they responded to adjusted price signals. Another reviewer recommended about looking at institutions in the European Union and Australia, whom this reviewer felt were more advanced than the U.S. on considering energy performance in commercial lending.</p>"
