CID,Award_Type,FOA_Name,FOA_NodeID,Fiscal_Year_Awarded,Project_Title,Awardee,Recipient_Type,Program_Area,Subprogram_Node,MHK_Strategy_Challenge,MHK_Resource_Type,State,Region,Division,DOE_Funding_Amount,Project_Description,Status,Principal_Investigator,Technology_Area,Congressional_District,Project_Page
,Competitive Funding Opportunity Announcement,FY 2015 Research and Development of Innovative Technologies for Low Impact Hydropower Development,,2015,"A Cost-Disruptive, Low-Impact, Modular Form Factor Low-Head Hydropower System",Littoral Power Systems Inc.,Industry,New Hydro Development,,,,MA,New England,Northeast,"$1,421,666 ","Littoral Power Systems Inc. and its partners are developing a proof-of-concept design of standardized prefabricated modules for an integrated hydropower system including dam sections for low-head installations. The end result of this project will be a cost-disruptive, low-impact, modular form factor low-head hydropower system that is easily transported via trucks and can be rapidly installed. A sectional model of the system will be tested in the laboratory for leak resistance.",Active,,Hydropower,MA-9,/node/3699340
DE-EE0002662,Competitive Funding Opportunity Announcement,FY 2009 Advanced Water Power FOA,,2009,A First Assessment of U.S. In-Stream Hydrokinetic Energy Resources since the 1986 NYU Study,Electric Power Research Institute,Non-Profit,MHK Resource Characterization,/node/778186,Market Maturity,Current,CA,Pacific,West,"$380,978 ","The Electric Power Research Institute conducted research to assess the total available and technically recoverable hydrokinetic energy from U.S. rivers. A comprehensive assessment of existing U.S. in-stream hydrokinetic resources did not previously exist and is of critical importance to accelerate the market for emerging hydrokinetic technologies. The project comprehensively assessed existing U.S. in-stream hydrokinetic resources and the achievable energy conversion rates possible by future hydrokinetic devices from that resource. The assessment estimates 101 terawatt hours per year, from approximately   20 gigawatts of installed capacity, is technically recoverable from hydrokinetic river energy resources. The final product includes a geospatial database, verified and validated by a third party, which displays power densities for specific spatial coordinates. The expected users of this product include policymakers,  project  developers,  hydrokinetic  energy  device  developers,  investors,  universities,  nongovernmental  organizations,  environmental  groups, DOE, the military, the U.S. Army Corps of Engineers, and the U.S. Geological Survey. The project is expected to accelerate investigation of the nation's in-stream hydrokinetic energy resources.
",Completed,,MHK,,/node/3460880
DE-EE0008100,Competitive Funding Opportunity Announcement,FY 2017 Marine and Hydrokinetic Technology Development and Advancement,,2017,A Hermetically Sealed Magnetically Geared Marine Hydrokinetic Generator,Portland State University,University,MHK System Design and Validation,,Difficult Engineering,,OR,Pacific,West,"$800,000 ","Portland State University will design, fabricate, and conduct laboratory testing on a magnetic gearbox (MG) and magnetically geared generators (MGG). The project has been split into six primary tasks: (1) design, build, and test the stage one 5-kilowatt (kW) MG; (2) design, build, and test the 5-kW stage two MGG; (3) test the 5-kW MGG in series with the MG; (4) design, build, and test the 50-kW hermetic multi-stage MGG; (5) formulate marine and hydrokinetic (MHK) generator testing standards and use them when tank testing the hermetic multi-stage MGG; and (6) provide a final report.",Active,,MHK,,/node/3710734
,Annual Operating Plan,,,2018,A Real-Time and Autonomous Water Quality Monitoring System,Pacific Northwest National Laboratory,Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,WA,Pacific,West,"$600,000 ","The construction and operation of dams may affect water quality in reservoirs from impoundments and downstream in rivers in a variety of ways. Effects include spatial and temporal changes in water temperature, dissolved oxygen (DO), nutrients, turbidity, and total dissolved gases, all of which may affect aquatic life. In addition, hundreds of dams in the United States are approaching their Federal Energy Regulatory Commission (FERC) re-licensing date. Part of the FERC hydropower licensing process requires dam operators to provide water quality measurements in the field and meet federal and state water quality standards. Dam owners and operators may also need to take additional measurements for FERC compliance, as targets for water quality are often set as conditions for operation in individual FERC licenses. To address water quality challenges, Pacific Northwest National Laboratory (PNNL) is developing an enhanced real-time and autonomous water quality monitoring system to advance water quality measurement technologies. This new system will enable better water quality data to be collected, data collection areas that are difficult to sample, including tailraces, and more rapid responses to changing conditions. This new technology will inform hydropower management to optimize energy and environmental management of hydroelectric facilities.",Active,,Hydropower,,/node/3996822
DE-EE0003631,Competitive Funding Opportunity Announcement,FY 2010 MHK Technology Readiness Advancement Initiative FOA,,2010,Abrasion Testing of Critical Components of Hydrokinetic Devices,"Ocean Renewable Power Company Alaska, LLC",Industry,MHK System Design and Validation,/node/778176,Harsh Environment,Current,AK,Pacific,West,"$240,000 ","Ocean Renewable Power Company (OPRC) Alaska worked with the University of Alaska Anchorage (UAA) to convert tidal and river currents into emission-free electricity. The project tested the performance of core ORPC Alaska device components in a laboratory setting that replicates environmental conditions encountered in Alaskan deployments. The project specifically focused on understanding wear caused by high-suspended sediment concentrations at tidal and river energy sites common in Alaska. One area of concern is the effect of sediments from the marine environment on device bearings and seals, as failures of these components could lead to both loss of efficiency and catastrophic system failures. The project performed   laboratory testing of various combinations of bearings and seals to determine the relationships between bearing wear rates and seal failures due to suspended sediment abrasion. ORPC's proprietary turbine-generator unit was tested in Cobscook Bay, Maine, which is a lower-suspended sediment concentration environment. The UAA research will provide ORPC Alaska with an ability to test and adapt its technology to new and diverse conditions. The lessons learned will be applicable in future hydrokinetic projects worldwide.",Completed,,MHK,,/node/3460913
DE-EE0002657,Competitive Funding Opportunity Announcement,FY 2009 Advanced Water Power FOA,,2009,Acoustic Monitoring of Beluga Whale Interactions with Cook Inlet Tidal Energy Project,"Ocean Renewable Power Company Alaska, LLC",Industry,MHK Environmental Monitoring Instrumentation Research and Development,/node/778181,Barriers to Testing,Crosscutting,AK,Pacific,West,"$600,000 ","Ocean Renewable Power Company (ORPC) Alaska conducted a two-year study on the effects of tidal turbines on beluga whales in Cook Inlet, Alaska. Cook Inlet is home to some of the greatest tidal energy potential in the United States, as well as an endangered population of beluga whales. Successful permitting and operation of a tidal power project in Cook Inlet will require a rigorous biological assessment of the potential and realized effects of the tidal turbines on the Idaho National Laboratory beluga whales. This project collected baseline data that characterized pre-deployment patterns of marine mammal distribution, relative abundance, and  behavior in ORPC Alaska's proposed deployment areas near Fire Island and near East Foreland at the initial pilot project site. This project adapted the use of passive hydroacoustic devices (previously utilized with Bowhead whales in the Beaufort Sea) to determine both relative abundance and location of beluga whale vocalizations within the proposed deployment areas. The hydroacoustic data collected during this effort is now being used to characterize the ambient acoustic environment of proposed project sites pre-deployment, as required by project licensing. Comparing their new hydroacoustic measurements with other passive hydrophone technologies and visual observation techniques, ORPC Alaska found that data collected  was effective in detecting belugas at different times and at different ranges from the project site, showing the relevance in utilizing each research technique.",Completed,,MHK,,/node/3446823
DE-EE0002660,Competitive Funding Opportunity Announcement,FY 2009 Advanced Water Power FOA,,2009,Active Acoustic Deterrence of Migratory Whales,"Pacific Energy Ventures, LLC",Industry,MHK Environmental Monitoring Instrumentation Research and Development,/node/778181,Barriers to Testing,Crosscutting,OR,Pacific,West,"$593,846 ","Pacific Energy Ventures evaluated the effectiveness of an active acoustic deterrence system. Every year, more than 20,000 gray whales migrate from Baja, Mexico, to the Bering Sea off the coast of Alaska. Oregon State University's Marine Mammal Institute recently completed Phase I of an Oregon Wave Energy Trust (OWET) action plan to evaluate the impacts of wave energy development on gray whales. The study concluded that the migration paths of some gray whales occur at distances and depths similar to those proposed for offshore wave energy developments; thus, there is a possibility of collision, entanglement, or displacement for whales from wave energy structures. As part of the OWET-funded study, a group of acoustic and whale experts recommended the   testing of a limited range acoustic deterrent system to discourage gray whales from entering wave energy parks. This project tested the effectiveness of an acoustic pinger that emits a one-second-long pulse once every minute. Trained observers tracked the whales paths through the test area and were able to determine the effectiveness of the deterrence system. The project was conducted directly west of Yaquina Head near Newport, Oregon, where the Phase I baseline data was collected. The project site was in vicinity of the Northwest National Marine Renewable Energy Center's wave energy test site, and results are expected to provide West Coast wave energy developers with a mitigation measure to prevent gray whales from entering the project area or becoming entangled in mooring lines, if required.",Completed,,MHK,,/node/3473264
DE-EE0004568,Competitive Funding Opportunity Announcement,FY 2010 MHK Technology Readiness Advancement Initiative FOA,,2010,Active Flow Control on Bidirectional Rotors for Tidal MHK Applications,"University of California, Davis",University,MHK System Design and Validation,/node/778176,Difficult Engineering,Current,CA,Pacific,West,"$158,336 ","The University of California, Davis has combined two existing technologies to develop an innovative, reliable, cost-effective rotor for tidal MHK applications. The project improves upon bidirectional rotor tidal turbines (BRTT) with the addition of microtabs to improve blade hydrodynamic and rotor performance while still permitting bidirectional rotor operation. Although BRTTs are already undergoing commercial development, there are  some disadvantages to the design, such as efficiency losses. The University of California, Davis has optimized the rotor design to recapture some of  the performance shortfalls of the BRTT, while also alleviating cyclic loads and extending turbine life. The successful development of an optimized BRTT rotor with microtabs will offer a new rotor technology that can: (1) reduce costs and improve reliability and yield; (2) offer a component technology that can be applied to all tidal current sites; (3) address load alleviation at any current-driven MHK site; and (4) provide a subcomponent technology that synergistically benefits parallel work in wind power.",Completed,,MHK,,/node/3460496
DE-EE0006738,Competitive Funding Opportunity Announcement,FY 2014 Administration of the WEC Prize,/node/816206,2014,Administration of the Wave Energy Converter (WEC) Prize,"Ricardo, Inc.",Industry,MHK System Design and Validation,/node/778176,Difficult Engineering,Wave,MI,East North Central,Midwest,"$6,728,099 ","Ricardo, Inc. administered the Wave Energy Converter (WEC) Prize Challenge for the U.S. Department of Energy. The WEC Prize Challenge—known as the Wave Energy Prize—aimed to attract innovative ideas from developers new to the industry and next-generation ideas from existing developers by offering a monetary prize and providing an opportunity for tank testing and evaluation of scaled WEC prototypes. Management of the WEC Prize Challenge was planned and coordinated by the Prize Administration Team with Ricardo Inc. as the prime contractor.",Active,,MHK,,/node/2404388
DE-EE0003632,Competitive Funding Opportunity Announcement,FY 2010 MHK Technology Readiness Advancement Initiative FOA,,2010,Advanced Anchoring Technology,"Sound & Sea Technology, Inc.",Industry,MHK System Design and Validation,/node/778176,Harsh Environment,Crosscutting,WA,Pacific,West,"$239,899 ","Sound & Sea Technology worked on an alternative and novel solution for an anchor system. Anchoring and mooring systems for MHK energy systems constitute a portion of the overall cost of an installed MHK system. Improvements in anchoring can provide a significant reduction in the cost per installed kilowatt of MHK systems. Sound & Sea Technology's solution uses grouted pile anchor technology, which is commonly used in terrestrial construction projects. This project proved the new anchoring concept, improved the technology required to remotely attach MHK anchoring systems, and developed a quality control and certification procedure to validate deep underwater grouted pile anchor installations. Development of this technology will reduce the capital and installation costs of MHK systems by providing a more flexible anchoring technology suitable for varying water and sea bottom conditions.",Completed,,MHK,,/node/3486449
DE-FC36-08GO18172 ,Competitive Funding Opportunity Announcement,FY 2008 Advanced Water Power Projects FOA,/node/315649,2008,Advanced Composite OTEC Cold Water Pipe Project,Lockheed Martin Corporation,Industry,MHK System Design and Validation,/node/778176,Difficult Engineering,OTEC,CA,Pacific,West,"$1,195,758 ","Lockheed Martin demonstrated an innovative cold water pipe fabrication and deployment approach that is lower in cost and risk than previous ocean thermal energy conversion (OTEC) designs. Commercialization of OTEC systems hinges on reducing the capital cost of key components, such as the heat exchangers, cold water pipe, and support platform for floating plants, to enable OTEC to be competitive with other renewable energy systems. Lockheed Martin used a novel design and materials to form an integrated structure that enables simultaneous in-situ fabrication and deployment of the cold water pipe, thereby reducing manufacturing costs and deployment cost and risk. The project also provides data and experience related to manufacturing methods, labor, and materials costs needed to validate cost projections for the full-scale production of its cold water pipe.",Completed,,MHK,,/node/3378952
DE-EE0007693,Competitive Funding Opportunity Announcement,FY 2015 Marine and Hydrokinetic Systems Performance Advancement II (SPA II): Component Metric Validation,,2017,Advanced Control of the AZURA Wave Energy Device,Northwest Energy Innovations,Industry,MHK System Design and Validation,,Difficult Engineering,Wave,OR,Pacific,West,"$400,000 ",The project objective is to design and validate the performance of an advanced controller for the WEC to improve the absorbed power by 50% over the uncontrolled PTO. Validation will be accomplished by simulating the advanced controller in WEC-Sim and then comparing them to data collected from wave tank testing.  The expected outcome of the project is to validate a controller that can allow the WEC to achieve a sufficient level of Net Annual Energy Production (AEP) at a capital expenditures (CAPEX) and operating expenditures (OPEX) demonstrating that wave energy can be commercially viable.,Active,,MHK,,/node/3473726
DE-EE0006404,Competitive Funding Opportunity Announcement,FY 2013 MHK System Performance Advancement,,2013,Advanced Controls for the Multi-pod Centipod WEC device,"Dehlsen Associates, LLC",Industry,MHK System Design and Validation,/node/778176,Difficult Engineering,Wave,CA,Pacific,West,"$500,000 ","Dehlsen Associates will develop an advanced feed forward control algorithm for its multi-pod Centipod wave device. The multi-pod Centipod wave device reduces relative movement between the pods and the platform. The new software will help predict future wave conditions and provide control signals to adjust current system settings to make the Centipod's power output more responsive by maximizing energy capture, reducing loading, and increasing power plant durability.",Completed,,MHK,,/node/3563924
DE-EE0006400,Competitive Funding Opportunity Announcement,FY 2013 MHK System Performance Advancement,,2013,Advanced Direct-Drive Generator for Improved Availability of Oscillating Wave Surge Converter Power Generation Systems,"ABB, Inc.",Industry,MHK System Design and Validation,/node/778176,Difficult Engineering,Wave,NC,South Atlantic,South,"$1,995,255 ","ABB, Inc., in collaboration with Resolute Marine Engineering and Texas A&M University, built a compact direct-drive generator and demonstrated its viability in Resolute Marine Energy's Surge  wave energy converter (WEC). The design replaced Resolute's existing hydraulic power take-off (PTO), the drivetrain and generator assembly that converts mechanical energy into electricity, with an electrical PTO, resulting in increased operation time. The goal was to produce a generator 50% smaller than a traditional direct-drive generator. ",Completed,,MHK,,/node/2663878
DE-EE0006397,Competitive Funding Opportunity Announcement,FY 2013 MHK System Performance Advancement,,2013,Advanced Energy Harvesting Control Schemes for Marine Renewable Energy Devices,"Ocean Renewable Power Company,  LLC",Industry,MHK System Design and Validation,/node/778176,Difficult Engineering,Current,ME,New England,Northeast,"$1,893,580 ","Ocean Renewable Power Company will investigate, analyze, and model a control system for its grid-connected TidGenTM  System that predicts tidal conditions based on measurements ahead of the device and uses them to adjust turbine settings for optimal performance. The improved control scheme could more efficiently harvest energy from highly turbulent water. The project has the potential to apply to a range of other tidal turbine devices.",Completed,,MHK,,/node/3340653
DE-EE0003644,Competitive Funding Opportunity Announcement,FY 2010 MHK Technology Readiness Advancement Initiative FOA,,2010,Advanced Integration of Power Take-Off in Vortex-Induced Vibration Aquatic Clean Energy (VIVACE),"Vortex Hydro Energy, LLC",Industry,MHK System Design and Validation,/node/778176,"Difficult Engineering, Harsh Environment",Current,MI,East North Central,Midwest,"$999,955 ","Vortex Hydro Energy accelerated the development of the Vortex-Induced Vibration Aquatic Clean Energy (VIVACE) converter, which is a University of Michigan-patented MHK device designed for slow-moving currents. Unlike water turbines, VIVACE does not use propeller blades. Rather, river or ocean currents flow around cylinders, causing them to move up and down. The kinetic energy of the cylinder is then converted to electricity. In addition to being simpler in design and more cost effective than a water turbine, the VIVACE converter is a transformational technology designed for water currents as   slow as 2 to 4 knots. The majority of river and ocean currents in the United States are slower than 3 knots, but conventional turbine technology targets rivers with water currents greater than 4 knots. The VIVACE converter thus taps into a new source of clean and renewable energy. The project focused on improving the energy conversion efficiency of the VIVACE converter in a laboratory setting and open-water testing of the improved system in the Saint Clair River at Port Huron, Michigan.",Completed,,MHK,,/node/3378511
DE-EE0006816,Competitive Funding Opportunity Announcement,FY 2014 MHK Research and Development University Consortium,/node/901296,2014,Advanced Laboratory and Field Arrays for Marine Energy,Oregon State University,University,"MHK System Design and Validation, MHK Resource Characterization, MHK Environmental Monitoring Instrumentation Research and Development","/node/778176, /node/778186, /node/778181","Difficult Engineering, Harsh Environment, Barriers to Testing",Crosscutting,OR;WA;AK,Pacific,West,"$4,000,000 ","Oregon State University is leading a consortium, including the University of Washington and the University of Alaska Fairbanks, that focuses on combining field-focused research and development capabilities. The consortium uses existing resources at the Northwest National Marine Renewable Energy Center to develop autonomous robotic devices that support marine and hydrokinetic (MHK) operations and maintenance, design arrays to improve the performance of MHK devices, and standardize approaches for wildlife monitoring at MHK projects. ",Active,,MHK,,/node/2647460
DE-EE0003641,Competitive Funding Opportunity Announcement,FY 2010 MHK Technology Readiness Advancement Initiative FOA,,2010,Advanced Machines for Marine Hydrokinetic Energy,"RCT Systems, Inc. ",Industry,MHK System Design and Validation,/node/778176,Difficult Engineering,Crosscutting,MD,South Atlantic,South,"$2,400,000 ","Wavebob designed a switched reluctance machine (SRM) with electronic controls, and provided a utility grid interface by conducting a critical design review and producing manufacturing drawings. RCT Systems, who took over the project in 2011, designed, constructed, and analyzed novel concepts for an axial flux reluctance machine to capture energy from marine and hydrokinetic sources. RCT Systems performed detailed electromagnetic and mechanical analyses to validate the concept and compare it with Wavebob's rotary-based SRM design. The technical documentation and economic data generated during this project will advance the technology and provide an optimized design that can be manufactured for future demonstration projects, accelerating U.S. manufacturing entry into the hydrokinetic energy market.",Completed,,MHK,,/node/3312541
,Annual Operating Plan,,,2018,Advanced Manufacturing and Component Benchmarking for Hydropower,Pacific Northwest National Laboratory,Laboratory,New Hydro Development,,,,WA,Pacific,West,"$170,000 ","Pacific Northwest National Laboratory will identify hydropower components that could be suitable for advanced manufacturing techniques like additive manufacturing (i.e. 3D printing), advanced welding techniques, robotics and automation, and embedded sensors. Because advanced manufacturing in hydropower is in an early stage and there aren't any publicly available resources with hydropower-focused advanced manufacturing opportunities, PNNL will conduct a gaps analysis and write a strategy document with a path forward for the hydropower industry.",Active,,Hydropower,,/node/3996837
02.01.02.,Annual Operating Plan,FY 2015 AOP,,2015,Advanced Materials,Sandia National Laboratories,Laboratory,MHK System Design and Validation,,"Difficult Engineering, Harsh Environment",Crosscutting,NM,Mountain,West,"$2,353,735 ","Sandia National Laboratories’ (SNL’s) Advanced Materials Program conducts applied research and provides guidance on materials and coatings to enable viability, lower the cost of energy, and help the marine and hydrokinetic (MHK) industry reduce uncertainty associated with using composites in device designs. The program will focus on enhancing the joint U.S. Department of Energy–SNL–Montana State University MHK Composite Materials Database and promoting the database. ",Active,"Hernandez-Sanchez, Bernadette",MHK,,/node/2697766
1.2.3.602,Annual Operating Plan,,,2013,Advanced Materials and Manufacturing Reliability,Pacific Northwest National Laboratory,Laboratory,MHK System Design and Validation,,Harsh Environment,Crosscutting,WA,Pacific,West,"$100,000 ","Biofouling, or corrosion due to marine organisms, could reduce the efficiency of wave energy converters (WECs) and marine energy systems, reducing safety on all offshore power systems. To help mitigate these issues&mdash;sustaining performance and reliability and reducing operation and maintenance costs&ndash;Pacific Northwest National Laboratory (PNNL) is trying to identify antifouling coatings that perform for extended periods under the anticipated environmental and operating conditions, are durable when cleaned, and are environmentally safe. Sandia National Laboratories (SNL) developed a series of molecular and nanoparticle coatings that showed significant reductions in biofouling based upon high throughput screening methods. In this project, PNNL will conduct a series of controlled laboratory tests to expose test samples covered with these coatings to simulated real-world operating conditions and then will perform analyses of fouling buildup on biofilm coupons to evaluate and verify the performance of the coatings. These efforts are designed to ensure the development of protective coatings that serve the specific needs of WEC, tidal, and offshore wind power industries. ",Active,,MHK,,/node/3927949
2.5.0.603,Annual Operating Plan,,,2017,Advancing Modeling Tools for Assessment of Long-Term Energy/Water Risks for Hydropower,Pacific Northwest National Laboratory,Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,WA,Pacific,West,"$1,174,361 ","The U.S. Department of Energy (DOE) report, Energy-Water Nexus: Challenges and Opportunities, highlights potential future hydrologic change impacts to complex energy, water, and land system interactions. Of specific interest is the relationship between and potential future risks regarding changing water temperature regimes in rivers; electric power generation from hydropower, thermoelectric plant cooling, and discharge; and water-quality and habitat needs for sensitive species. Pacific Northwest National Laboratory (PNNL) is developing advanced analysis techniques and demonstrating new capabilities that can be used to assess and manage potential climate impacts to watershed-river-reservoir systems on streamflow, hydropower, thermoelectric power, and water temperature. To better evaluate and address the future risks facing hydropower, this project will provide a scalable, physics-based modeling framework to evaluate different potential hydropower investment and operational decisions in the face of hydrologic change. Specifically, the modeling framework will be able to quantify risk at the plant and system levels, as well as the impacts of climate on hydropower and thermoelectric production, water temperature, and ecosystem resources. ",Active,,Hydropower,,/node/3711121
1.3.2.401 ,Annual Operating Plan,,,2013,Advanced Tidal Turbulence Measurement Techniques,National Renewable Energy Laboratory,Laboratory,MHK Resource Characterization,,"Difficult Engineering, Harsh Environment",Crosscutting,CO,Mountain,West,"$443,531 ","With the help of the University of Washington, the National Renewable Energy Laboratory (NREL) developed a low-cost methodology for making spatial coherence measurements using moored acoustic Doppler velocimeters (ADVs). This provides the marine energy industry and U.S. Department of Energy&ndash;who need accurate estimates of fatigue loading to meet device lifetime goals&ndash;with a low-cost approach for quantifying detailed turbulence inflow statistics at any tidal or river site. Additionally, this project produced a publicly available dataset of near-synchronous, multi-point velocity measurements at a tidal power site.",Completed,,MHK,,/node/3928070
DE-EE0007820,Competitive Funding Opportunity Announcement,FY 2016 Marine and Hydrokinetic Energy Conversion and Environmental Monitoring Technology Advancement,,2016,Advanced TidGen Power System,"ORPC Maine, LLC",Industry,MHK System Design and Validation,,"Difficult Engineering, Harsh Environment",Current,ME,New England,Northeast,"$5,350,000 ","ORPC Maine, LLC has proposed an Advanced TidGen Power System project that will incorporate the many innovations and system advancements achieved through multiple projects sponsored by the U.S. Department of Energy and private entities. These projects have resulted in a reduced levelized cost of electricity (LCOE) and an increased annual energy production (AEP). ORPC is advancing the TidGen Power System with hopes of reducing the LCOE and increasing the AEP even further.",Active,,MHK,,/node/4022349
