Publication Title,Summary,Published By,Publication Year,Technology Area,Publication Type,CMS node
2019 Technology Integration Annual Progress Report,"The 2019 Technology Integration Annual Progress Report covers 30 multi-year projects funded by the Vehicle Technologies Office. The report includes information on 23 competitively awarded projects, ranging from safety training and design for maintenance facilities housing gaseous fuel vehicles, to electric vehicle community partner programs, to truck platooning with advanced driver assistance systems. It also includes seven projects conducted by VTO�s National Laboratory partners, Argonne National Laboratory, Oak Ridge National Laboratory and the National Renewable Energy Laboratory.",Vehicle Technologies Office,2020,Technology Integration,Report,4450216
2019 Batteries Annual Progress Report,"This document summarizes the progress of VTO Battery R&D projects supported during the fiscal year 2019 (FY 2019). In FY 2019, the DOE VTO Battery R&D funding was approximately $106 million. Its R&D focus was on the development of high-energy batteries for EVs as well as very high-power devices for hybrid vehicles.",Vehicle Technologies Office,2020,Batteries and Electrification,Report,4450244
2019 Electrification Annual Progress Report,"During fiscal year 2019 (FY 2019), the U.S. Department of Energy (DOE) Vehicle Technologies Office (VTO) funded early stage research & development (R&D) projects that address Batteries and Electrification of the U.S. transportation sector. The VTO Electrification Sub-Program is composed of Electric Drive Technologies, and Grid Integration activities. The Electric Drive Technologies group conducts R&D projects that advance electric motors and power electronics technologies. The Grid and Charging Infrastructure group conducts R&D projects that advance grid modernization and electric vehicle charging technologies. This document presents a brief overview of the Electrification Sub-Program and progress reports for its R&D projects. Each of the progress reports provide a project overview and highlights of the technical results that were accomplished in FY 2019.",Vehicle Technologies Office,2020,Batteries and Electrification,Report,4450210
2019 Annual Merit Review Report,"The 2019 U.S. Department of Energy (DOE), Office of Energy Efficiency and Renewable Energy�s (EERE) Vehicle Technologies Office (VTO) Annual Merit Review (AMR) was held June 10-13, 2019, in Arlington, Virginia. The review encompassed work done by VTO: 287 individual activities were reviewed by 272 reviewers. Exactly 1,162 individual review responses were received for the VTO technical reviews. The objective of the meeting was to review the accomplishments and plans for VTO over the previous 12 months, and provide an opportunity for industry, government, and academia to give inputs to DOE on the Office with a structured and formal methodology. The meeting also provided attendees with a forum for interaction and technology information transfer.",Vehicle Technologies Office,2020,Office-wide,Report,4422584
US DRIVE Partnership Plan,"The U.S. DRIVE Partnership Plan describes the vision, mission, scope, and governing policies of the U.S. DRIVE Partnership. This document is the May 2020 update of the Partnership Plan. ",U.S. DRIVE Partnership,2020,Office-wide,Report,805276
Materials Program Record,"The Materials Technology research portfolio seeks to enable and demonstrate a 25% weight reduction of the vehicle glider, as compared to a 2015 baseline. This document provides a summary of progress in achieving the 2025 target.

",Vehicle Technologies Office,2020,Materials,Report,4451522
U.S. DRIVE 2019 Annual Accomplishments Report,This report is a compilation of one-page summaries of technical accomplishments that U.S. DRIVE partners consider to be major steps forward in the development of technologies across the Partnership portfolio. Contributors include VTO and other U.S. DRIVE partners.,U.S. DRIVE Partnership,2020,Office-wide,Report,4446740
Vehicle-Mobility Systems Analysis Tech Team Roadmap,"The Vehicle-Mobility Systems Analysis Technical Team (VMSATT) focuses on advanced automotive and related energy infrastructure technology research and development in broader energy efficient mobility system contexts as relevant for, but not explicitly constrained to, technologies for cars and light trucks. VMSATT inherits a legacy of vehicle-level models, tools, and analysis from the former Vehicle Systems Analysis Tech Team (VSATT), which VMSATT subsumed. The new tech team will continue to build on the activities formerly encapsulated in VSATT, including vehicle modeling and simulation of advanced powertrain architectures, evaluation of technologies in terms of cost and performance, and experimentation on relevant hardware. This inaugural roadmap affords VMSATT the opportunity to structure a systematic and intentional exploration of and contribution to vehicle mobility systems analysis.",U.S. DRIVE Partnership,2020,Analysis,Report,4435921
Summary Report on EVs at Scale and the U.S. Electric Power System 2019,"The Grid Integration Tech Team (GITT) and Integrated Systems Analysis Tech Team (ISATT) of the U.S. DRIVE Partnership examine a range of EV market penetration scenarios (low, medium, and high) and associated changes to the U.S. electric power system in terms of energy generation and generation capacity",U.S. DRIVE Partnership,2019,Batteries and Electrification,Reprot,4336597
21st Century Truck Partnership Research Blueprint,"The 21st Century Truck Partnership (21CTP, or the Partnership) is a longstanding government/industry research collaboration with industrial partners across the commercial truck value chain and government partners with civilian and military missions. The Partnership aims to foster technological innovation in improving the energy efficiency and reducing the costs of the nation's economically vital truck freight transportation system through this strategic public-private partnership. Partners are involved as a result of their interests in the overall aims of 21CTP as described above.
This blueprint document is meant as a summary of the Partnership's updated collaborative research efforts to make transportation energy more affordable and secure. The Partnership is developing all-new roadmap documents with additional details to provide the technical foundation for research priorities, and the reader is encouraged to review these resources for more information.",21st Century Truck Partnership,2019,Advanced Combustion Systems and Fuels,Report,4040103
U.S. DRIVE Fuels Working Group: Engine and Vehicle Modeling Study to Support Life-Cycle Analysis of High-Octane Fuels,"This study explored at several engine compression ratios the potential vehicle energy use, volumetric fuel economy, and tailpipe CO2 emissions effects of different RON levels, octane sensitivity (OS), and volumetric ethanol content in gasoline and non-ethanol bio-derived feedstocks.  The study enables a more complete study of the potential impacts of increasing octane ratings, in coordination with the companion FWG study entitled “Well-to-Wheels Energy and Greenhouse Gas Emission Analysis of Bio-Blended High-Octane Fuels for High-Efficiency Engines”, which examined upstream energy use to produce, via various pathways, the fuels studied.",U.S. DRIVE Partnership,2019,Advanced Combustion Systems and Fuels,Report,4038642
U.S. DRIVE Fuels Working Group: Potential Impacts of Increased Ethanol Blend-Level in Gasoline on Distribution and Retail Infrastructure,"The report is the third of a group of three reports looking at potential new and/or higher octane fuels for light-duty vehicles. This report focuses on the impact of the fuels evaluated in the prior two reports on vehicles, retail equipment, and terminals. The report seeks to improve understanding of the relevant parameters and effects adopting a new fuel would have on certain stakeholders, including retail fueling sites and terminals.",U.S. DRIVE Partnership,2019,Advanced Combustion Systems and Fuels,Report,4038642
U.S. DRIVE Fuels Working Group: Well-to-Wheels Energy and Greenhouse Gas Emission Analysis of Bio-Blended High-Octane Fuels for High-Efficiency Engines,"This report examines the potential benefits of reducing energy use and greenhouse gas (GHG) emissions throughout the well-to-wheels (WTW) cycle by considering both the energy and emissions of production of these higher octane number fuels and their use in engines, with fuel efficiency improvement enabled by high octane number fuels with low-carbon renewable contents. A WTW analysis was undertaken to examine the energy and GHG effects of producing fuels with higher octane numbers and their combustion in advanced engines. The fuels evaluated were formulated with various gasoline blendstock and renewable blending components and tested by USDRIVE and Coordinating Research Council (CRC) members in a turbocharged gasoline direct injection (GDI) engine at several compression ratios (see companion FWG report entitled “Engine and Vehicle Modeling Study to Support Life-Cycle Analysis of High-Octane Fuels”).",U.S. DRIVE Partnership,2019,Advanced Combustion Systems and Fuels,Report,4038642
City-Wide Eco-Routing Navigation Considering Vehicular Communication Impacts,"Intelligent Transportation Systems (ITSs) utilize Vehicular Ad-hoc Networks (VANETs) to collect, disseminate, and share data with the Traffic Management Center (TMC) and different actuators. Consequently, packet drop and delay in VANETs can significantly impact ITS performance. Feedback-based eco-routing (FB-ECO) is a promising ITS technology, which is expected to reduce vehicle fuel/energy consumption and pollutant emissions by routing drivers through the most environmentally friendly routes.",Virginia Tech Transportation Institute,2019,Energy Efficient Mobility Systems,Journal Publication,4038921
2018 Annual Merit Review Report,"The 2018 U.S. Department of Energy (DOE) Vehicle Technologies Office (VTO) Annual Merit Review Meeting (AMR) was held June 18-21, 2018, in Arlington, VA. The review encompassed all of the work done by VTO: 235 individual activities were reviewed by 247 reviewers. A total of 1,202 individual review responses were received for the VTO technical reviews.
The objective of the meeting was to review the accomplishments and plans for VTO over the previous 12 months, and provide an opportunity for industry, government, and academia to give inputs to DOE on the Office with a structured and formal methodology. The meeting also provided attendees with a forum for interaction and technology information transfer.",Vehicle Technologies Office,2018,Office-wide,Report,3884631
Transportation Energy Data Book (TEDB) Edition 37,"The Transportation Energy Data Book: Edition 37 is a statistical compendium prepared and published by Oak Ridge National Laboratory (ORNL) under contract with the U.S. Department of Energy, Office of Energy Efficiency and Renewable Energy, Vehicle Technologies Office. Designed for use as a desk-top reference, the Data Book represents an assembly and display of statistics and information that characterize transportation activity, and presents data on other factors that influence transportation energy use. The purpose of this document is to present relevant statistical data in the form of tables and graphs. The latest edition of the Data Book is available via the Internet (cta.ornl.gov/data).This edition of the Data Book has 12 chapters which focus on various aspects of the transportation industry. Technologies Office. Designed for use as a desk-top reference, the Data Book represents an assembly and display of statistics and information that characterize transportation activity, and presents data on other factors that influence transportation energy use. The purpose of this document is to present relevant statistical data in the form of tables and graphs. The latest edition of the Data Book is available via the Internet (cta.ornl.gov/data).",Oak Ridge National Laboratory,2018,Analysis,Report,4058265
Technology Integration FY2017 Annual Progress Report,"The 2017 Technology Integration Annual Progress Report covers 27 multi-year projects funded by the Vehicle Technologies Office. The report includes information on 20 competitively awarded projects, ranging from training on alternative fuels and vehicles for first responders, to safety training and design for maintenance facilities housing gaseous fuel vehicles, to electric vehicle community partner programs. It also includes seven projects conducted by several of VTO's national laboratory partners, Argonne National Laboratory, Oak Ridge National Laboratory and the National Renewable Energy Laboratory. These projects range from a Technical Assistance project for business, industry, government and individuals, to the EcoCar 3 Student Competition, and the Fuel Economy Information Project.",Vehicle Technologies Office,2018,Technology Integration,Report,3473303
Advanced Combustion Systems & Fuels FY2017 Annual Progress Report,"The Advanced Combustion Systems and Fuels Program supports VTO's goal and focuses early-stage research and development (R&D) to improve understanding of the combustion processes, fuel properties, and emission control technologies while generating knowledge and insight necessary for industry to develop the next generation of engines.",Vehicle Technologies Office,2018,Advanced Combustion Systems and Fuels,Report,3473249
Batteries FY2017 Annual Progress Report,The Advanced Batteries research and development (R&D) subprogram within the DOE Vehicle Technologies Office (VTO) provides support and guidance for projects focusing on batteries for plug-in electric vehicles.,Vehicle Technologies Office,2018,Batteries and Electrification,Report,3473261
Energy Efficient Mobility Systems FY2017 Annual Progress Report,"During fiscal year 2017 (FY 2017), the U.S. Department of Energy (DOE) Vehicle Technologies Office (VTO) created the Energy Efficient Mobility Systems (EEMS) Program to understand the range of mobility futures that could result from these disruptive technologies and services, and to create solutions that improve mobility energy productivity, or the value derived from the transportation system per unit of energy consumed. Increases in mobility energy productivity result from improvements in the quality or output of the transportation system, and/or reductions in the energy used for transportation.",Vehicle Technologies Office,2018,Energy Efficient Mobility Systems,Report,3473288
Analysis FY2017 Annual Progress Report,"During fiscal year 2017, the U.S. Department of Energy Vehicle Technologies Office (VTO) funded analysis projects supportive of VTO's goals to pursue early stage research in vehicle and mobility system technologies to reduce petroleum dependence, increase energy reliability and security, improve transportation affordability, and promote economic growth. VTO analysis projects result in a foundation of data, analytical models, and applied analyses that provide insights into critical transportation energy problems and assist in research investment prioritization and portfolio planning.",Vehicle Technologies Office,2018,Analysis,Report,3473258
Materials FY2017 Annual Progress Report,"The Materials Technology subprogram supports the Vehicle Technology Office's mission to help consumers and businesses reduce their transportation energy costs while meeting or exceeding vehicle performance expectations. The Propulsion Materials research portfolio seeks to develop higher performance materials that can withstand increasingly extreme environments and address the future properties needs of a variety of high efficiency powertrain types, sizes, fueling concepts, and combustion modes. Advanced Lightweight Materials research enables improvements in fuel economy by providing properties that are equal to or better than traditional materials at a lower weight. Because it takes less energy to accelerate a lighter object, replacing cast iron and traditional steel components with lightweight materials such as high-strength steel, magnesium (Mg), aluminum (Al), and polymer composites can directly reduce a vehicle's fuel consumption. Materials technology activities focus on the following cost and performance targets: (1) enable a 25 percent weight reduction for light-duty vehicles including body, chassis, and interior as compared to a 2012 baseline at no more than a $5/lb-saved increase in cost; and (2) validate a 25 percent improvement in high temperature (300°C) component strength relative to components made with 2010 baseline cast Al alloys (A319 or A356) for improved efficiency light-duty engines.",Vehicle Technologies Office,2018,Materials,Report,3473291
Electrification FY2017 Annual Progress Report,"During fiscal year 2017 (FY 2017), the U.S. Department of Energy (DOE) Vehicle Technologies Office (VTO) funded early stage research & development (R&D) projects that address Batteries and Electrification of the U.S. transportation sector. The VTO Electrification Sub-Program is composed of Electric Drive Technologies, and Grid Integration activities. The Electric Drive Technologies group conducts R&D projects that advance Electric Motors and Power Electronics technologies. The Grid and Charging Infrastructure group conducts R&D projects that advance Grid Modernization and Electric Vehicle Charging technologies. This document presents a brief overview of the Electrification Sub-Program and progress reports for its R&D projects. Each of the progress reports provide a project overview and highlights of the technical results that were accomplished in FY 2017.",Vehicle Technologies Office,2018,Batteries and Electrification,Report,3473276
U.S. DRIVE 2017 Technical Accomplishments Report,This report is a compilation of one-page summaries of technical accomplishments that U.S. DRIVE partners consider to be major steps forward in the development of technologies across the Partnership portfolio. Contributors include VTO and other U.S. DRIVE partners.,U.S. DRIVE Partnership,2018,Office-wide,Report,3423777
An Analysis of the Relationship between Casualty Risk Per Crash and Vehicle Mass and Footprint for Model Year 2003-2010 Light-Duty Vehicles ,"The Department of Energy's (DOE) Vehicle Technologies Office funds research on development of technologies to improve the fuel economy of both light- and heavy-duty vehicles, including advanced combustion systems, improved batteries and electric drive systems, and new lightweight materials. Of these approaches to increase fuel economy and reduce fuel consumption, reducing vehicle mass through more extensive use of strong lightweight materials is perhaps the easiest and least expensive method; however, there is a concern that reducing vehicle mass may lead to more fatalities. Lawrence Berkeley National Laboratory (LBNL) has conducted several analyses to better understand the relationship between vehicle mass, size and safety, in order to ameliorate concerns that down-weighting vehicles will inherently lead to more fatalities. These analyses include recreating the regression analyses conducted by the National Highway Traffic Safety Administration (NHTSA) that estimate the relationship between mass reduction and U.S. societal fatality risk per vehicle mile of travel (VMT), while holding vehicle size (i.e. footprint, wheelbase times track width) constant; these analyses are referred to as LBNL Phase 1 analysis.",Lawrence Berkeley National Laboratory,2018,Materials,Report,3369557
"Charging Electric Vehicles in Smart Cities: An EVI-Pro Analysis of Columbus, Ohio","With the support of the U.S. Department of Energy's Vehicle Technologies Office, the National Renewable Energy Laboratory (NREL) worked with the City of Columbus, Ohio, to develop a plan for the expansion of the region's network of charging stations to support increased adoption of plug-in electric vehicles (PEVs) in the local market. NREL's Electric Vehicle Infrastructure Projection (EVI-Pro) model was used to generate scenarios of regional charging infrastructure to support consumer PEV adoption. Results indicate that approximately 400 Level 2 plugs at multi-unit dwellings and 350 Level 2 plugs at non-residential locations are required to support Columbus' primary PEV goal of 5,300 PEVs on the road by the end of 2019. This analysis finds that while consumer demand for fast charging is expected to remain low (due to modest anticipated adoption of short-range battery electric vehicles), a minimum level of fast charging coverage across the city is required to ease consumer range anxiety concerns by providing a safety net for unexpected charging events. Sensitivity analyses around some key assumptions have also been performed; of these, consumer preference for PHEV versus BEV and for their electric driving range, ambient conditions, and availability of residential charging at multi-unit dwellings were identified as key determinants of the non-residential PEV charging infrastructure required to support PEV adoption. The results discussed in this report can be leveraged by similar U.S. cities as part of a strategy to accelerate PEV adoption in the light-duty vehicle market.",National Renewable Energy Laboratory,2018,Analysis,Report,3434595
Consumer Behavior and the Plug-In Electric Vehicle Purchase Decision Process: A Research Synthesis,"This report synthesizes consumer behavior research as it pertains to the plug-in electric vehicle (PEV) purchase decision process. The purpose is to clarify what is known about the vital role consumers play in the U.S. PEV market as it matures to become less policy-reliant and more representative of the U.S., both spatially and demographically. A more representative PEV market will: help OEMs recoup more of their R&D investments in PEVs; help American consumers access the economic and performance benefits of PEVs; and help the U.S. become more energy independent while improving air quality-related public health and reducing greenhouse gas emissions.",Lawrence Berkeley National Laboratory,2018,Analysis,Report,3434586
Co-Optimization of Fuels & Engines: Efficiency Merit Function for Spark-Ignition Engines,"This study outlines a new mathematical equation which quantifies the fuel efficiency potential associated with different fuel properties. The goal of this research is to provide American industry with the scientific foundation needed to maximize vehicle and fuel performance and efficiency, thereby enabling increased fuel economy and more affordable transportation. ",National Renewable Energy Laboratory,2018,Advanced Combustion Systems and Fuels,Report,3311568
Co-Optimization of Fuels & Engines: Fuel Blendstocks with the Potential to Optimize Future Gasoline Engine Performance," This study identifies eight representative high-octane blendstocks across five chemical groups that could be blended into gasoline for better performance. These new blendstocks, co-optimized with advanced gasoline engines, show potential to improve passenger vehicle fuel economy by 10%. ",National Renewable Energy Laboratory,2018,Advanced Combustion Systems and Fuels,Report,3311575
Electrification Beyond Light Duty: Class 2b-3 Commercial Vehicles,"The class 2b-3 truck market covers a wide range of commercial truck applications across a half-million vehicle sales annually. This report collected public information and stakeholder input to assess the opportunity for electrification in this market. Although class 2b-3 pickup truck and van bodies are very similar to personal light vehicles, their functional requirements are quite different due to the demands of the commercial market. These demands vary by application and often vary from day to day for a single application. Fleet customers purchase these vehicles to perform a particular job for their business and are concerned about the overall cost of doing that job. Therefore, the vehicles must meet the job requirements cost effectively. Customers also are sensitive to initial cost. Electrification offers the potential to reduce vehicle operating costs and possibly improve vehicle functionality. However, the current market for class 2b-3 electrified trucks is very small, and the trucks are costly. Increased production volumes are key to cost reductions and may be assisted by sharing components with larger or smaller truck classes. Expanding demand is also crucial and stakeholders identified several niche markets with duty cycles that are likely well-suited to electrified class 2b-3 trucks. To expand beyond these niches, class 2b-3 electric solutions must be robust, flexible, and adaptable in order to cover a wide range of vocations, applications, and duty cycles.",Oak Ridge National Laboratory,2018,Analysis,Report,3434604
"Impacts of Electrification of Light-Duty Vehicles in the United States, 2010 - 2017","This report examines the sales of plug-in electric vehicles (PEVs) in the United States from 2010 to 2017, exploring vehicle sales, electricity consumption, petroleum reduction, and battery production, among other factors. Over 750,000 PEVs have been sold, driving nearly 16 billion miles on electricity, thereby reducing gasoline consumption by 0.1% in 2016 and 600 million gallons cumulatively through 2017, while using over 5 terawatt-hours of electricity. Over 23 gigawatt-hours of battery capacity has been placed in vehicles, and 98% of this is still on the road, assuming typical scrappage rates.",Argonne National Laboratory,2018,Analysis,Report,3434607
US DRIVE Advanced Combustion and Emission Control Technical Team Roadmap,"The Advanced Combustion and Emission Control (ACEC) Technical Team is focused on removing technical barriers to the commercialization of advanced, high-efficiency, emission-compliant internal combustion (IC) engines for light-duty vehicle powertrains (i.e., passenger car, minivan, SUV, and pickup trucks)1
. Elimination of the technical barriers will enable light-duty egines with significantly higher fuel efficiency than current conventional engines. This document describes the current state of light-duty engine technology and industry trends, establishes research targets, and identifies pathways and barriers to those targets. This roadmap was developed through a collaborative process to ensure it represents the vision of both industry and government stakeholders.",U.S. DRIVE Partnership,2018,Advanced Combustion Systems and Fuels,Report,805351
US DRIVE Integrated Systems Analysis Technical Team Roadmap,"The primary scope of ISATT activities will be “big picture” multi-vehicle platform techno-economic system analysis. Examples include target-setting exercises and extension/updated of the cradle-to-grave assessment of vehicle-technologies. Ancillary programming/work may also be conducted to improve systems analysis models for specific technologies. In all cases, specific projects and tasks will be developed and prioritized to address knowledge gaps, developing new tools and methods where necessary and timely. As an example, the move towards electrification and renewable power may motivate topics such as battery second-use, vehicles for load management, and electro-fuels. This roadmap structures the overarching multi-year plan for ISATT activities and intended outcomes; however, this tech team revisits Roadmap-identified activities on an annual basis to develop Annual Plans subject to Joint Operations Group (JOG)
review and approval.",U.S. DRIVE Partnership,2018,Analysis,Report,3281524
