Publication Title,Summary,Published By,Publication Year,Technology Area,Publication Type,CMS node
Transportation Energy Data Book (TEDB) Edition 40,"The Transportation Energy Data Book: Edition 40 is a statistical compendium prepared and published by Oak Ridge National Laboratory (ORNL) under contract with the U.S. Department of Energy, Office of Energy Efficiency and Renewable Energy, Vehicle Technologies Office. Designed for use as a desk-top reference, the Data Book represents an assembly and display of statistics and information that characterize transportation activity and presents data on other factors that influence transportation energy use. The purpose of this document is to present relevant statistical data in the form of tables and graphs. The latest edition of the Data Book is available via the Internet (tedb.ornl.gov).",Oak Ridge National Laboratory,2022,Analysis,Report,https://tedb.ornl.gov/wp-content/uploads/2022/03/TEDB_Ed_40.pdf
Net-Zero Carbon Fuels Technical Team Analysis Summary Report,"The Net-Zero Carbon Fuels Technical Team (NZTT) is tasked with investigating the potential to generate carbon-based fuels with much lower carbon intensities (CIs) compared to those of conventional fuels, approaching or exceeding net-zero greenhouse gas (GHG)
emissions. In this study, the life cycle GHG emissions of four fuel production pathways and dozens of variants on those pathways are analyzed. Additionally, the overall cost of each pathway is evaluated and calculated as minimum fuel selling price (MFSP).",U.S. DRIVE Partnership,2021,Office-wide,Report,http://www.energy.gov/node/4815543
Shared Automated Vehicle Fleet Operations for First-Mile Last-Mile Transit Connections with Dynamic Pooling,"Shared Automated Vehicles (SAVs) have the potential to promote transit ridership by providing efficient first-mile last-mile (FMLM) connections through reduced operational costs to fleet providers and lower out-of-pocket costs to riders. To help plan for a future of integrated mobility, this paper investigates the impacts of SAVs serving FMLM connections, as a mode that provides flexibility in access/egress decisions and is well coordinated with train station schedules. To achieve this objective, a novel dynamic pooling algorithm was introduced to match SAVs with riders while coordinating the riders' arrival times at the light-rail station to a known train schedule. Microsimulations of SAVs and travelers throughout two central Austin neighborhoods show how larger service areas, higher levels of SAV demand, and longer arrival times between successive trains require larger SAV fleet sizes and higher SAV utilization rates to deliver close traveler wait times. Four-person SAVs appear to perform similar to 6-seat SAVs but will cost less to provide. Using a dynamic pooling algorithm tightly coordinated with train arrivals (every 15 min) delivers 87% of travelers to their stations in time to catch the next train, while uncoordinated assignments deliver just 58% of travelers in time. ",National Renewable Energy Laboratory,2021,Energy Efficient Mobility Systems,Journal Publication,https://www.researchgate.net/publication/347017497_Use_of_Shared_Automated_Vehicles_for_First-Mile_Last-Mile_Service_Micro-Simulation_of_Rail-Transit_Connections_in_Austin_Texas
Model Year 2022 Fuel Economy Guide,"The Fuel Economy Guide is published by the U.S. Department of Energy as an aid to consumers considering the purchase of a new vehicle. The Guide lists estimates of miles per gallon (mpg) for each vehicle available for the new model year. These estimates are provided by the U.S. Environmental Protection Agency in compliance with Federal Law. By using this Guide, consumers can estimate the average yearly fuel cost for any vehicle. The Guide is intended to help consumers compare the fuel economy of similarly sized cars, light duty trucks and special purpose vehicles.",Vehicle Technologies Office,2021,Technology Integration,Report,https://www.fueleconomy.gov/feg/pdfs/guides/FEG2022.pdf
Transportation Energy Data Book (TEDB) Edition 38,"The Transportation Energy Data Book: Edition 38 is a statistical compendium prepared and published by Oak Ridge National Laboratory (ORNL) under contract with the U.S. Department of Energy, Office of Energy Efficiency and Renewable Energy, Vehicle Technologies Office. Designed for use as a desk-top reference, the Data Book represents an assembly and display of statistics and information that characterize transportation activity, and presents data on other factors that influence transportation energy use. The purpose of this document is to present relevant statistical data in the form of tables and graphs. The latest edition of the Data Book is available via the Internet (tedb.ornl.gov).",Oak Ridge National Laboratory,2020,Analysis,Report,https://info.ornl.gov/sites/publications/Files/Pub132663.pdf
Model Year 2021 Fuel Economy Guide ,"The Fuel Economy Guide is published by the U.S. Department of Energy as an aid to consumers considering the purchase of a new vehicle. The Guide lists estimates of miles per gallon (mpg) for each vehicle available for the new model year. These estimates are provided by the U.S. Environmental Protection Agency in compliance with Federal Law. By using this Guide, consumers can estimate the average yearly fuel cost for any vehicle. The Guide is intended to help consumers compare the fuel economy of similarly sized cars, light duty trucks and special purpose vehicles.",Vehicle Technologies Office,2021,Technology Integration,Report,https://www.fueleconomy.gov/feg/pdfs/guides/FEG2021.pdf
Model Year 2020 Fuel Economy Guide ,"The Fuel Economy Guide is published by the U.S. Department of Energy as an aid to consumers considering the purchase of a new vehicle. The Guide lists estimates of miles per gallon (mpg) for each vehicle available for the new model year. These estimates are provided by the U.S. Environmental Protection Agency in compliance with Federal Law. By using this Guide, consumers can estimate the average yearly fuel cost for any vehicle. The Guide is intended to help consumers compare the fuel economy of similarly sized cars, light duty trucks and special purpose vehicles.",Vehicle Technologies Office,2020,Technology Integration,Report,https://fueleconomy.gov/feg/pdfs/guides/FEG2020.pdf
Model Year 2019 Fuel Economy Guide,"The Fuel Economy Guide is published by the U.S. Department of Energy as an aid to consumers considering the purchase of a new vehicle. The Guide lists estimates of miles per gallon (mpg) for each vehicle available for the new model year. These estimates are provided by the U.S. Environmental Protection Agency in compliance with Federal Law. By using this Guide, consumers can estimate the average yearly fuel cost for any vehicle. The Guide is intended to help consumers compare the fuel economy of similarly sized cars, light duty trucks and special purpose vehicles.",Vehicle Technologies Office,2019,Technology Integration,Report,https://fueleconomy.gov/feg/pdfs/guides/FEG2019.pdf
2020 Advanced Engine and Fuel Technologies Annual Progress Report,"The Advanced Engine and Fuel Technologies Program supports the Vehicle Technologies Office's goal of increasing domestic energy security through fuel diversification, improving internal combustion (IC) engine efficiency and emissions, and reducing vehicle initial and operating costs for consumers and businesses. The Program focuses on early-stage research and development (R&D) to improve understanding of the combustion processes, fuel properties, emissions control technologies, and their interrelationships while generating knowledge and insight necessary for industry to develop the next generation of IC engines.",Vehicle Technologies Office,2021,Advanced Engine and Fuel Technoloies,Report,http://www.energy.gov/node/4811371
2020 Energy Efficient Mobility Systems Annual Progress Report,"The U.S. Department of Energy (DOE) Office of Energy Efficiency and Renewable Energy (EERE) Vehicle Technologies Office (VTO) created the Energy Efficient Mobility Systems (EEMS) Program to understand the range of mobility futures that could result from disruptive transportation technologies and services and to create solutions that improve mobility energy productivity (MEP), or energy efficiency, affordability, and access provided by the transportation system. Increases in MEP result from improvements in the quality or output of the transportation system and/or reductions in the energy and cost of transportation. EEMS Program activities during FY 2020 focused on analytical research and large-scale modeling and simulation to understand the impacts that new mobility technologies and services will have at the vehicle-, traveler-, and overall transportation system-level.",Vehicle Technologies Office,2021,Energy Efficient Mobility Systems,Report,http://www.energy.gov/node/4811369
2020 Electrification Annual Progress Report,"The VTO Electrification Sub-Program is composed of Electric Drive Technologies, and Grid Integration activities. The Electric Drive Technologies (EDT) program's mission is to conduct early-stage research and development on transportation electrification technologies that accelerate the development of cost-effective and compact electric traction drive systems that meet or exceed performance and reliability requirements of internal combustion engine (ICE)-based vehicles, thereby enabling electrification across all light-duty vehicle types. The Grid and Charging Infrastructure (G&I) program's mission is to conduct early-stage research and development on transportation electrification technologies that enable reduced petroleum consumption by light, medium, and heavy-duty vehicles. This document presents a brief overview of the Electrification Sub-Program and progress reports for its R&D projects. Each of the progress reports provide a project overview and highlights of the technical results that were accomplished in FY 2020.",Vehicle Technologies Office,2021,Batteries and Electrification,Report,https://www1.eere.energy.gov/vehiclesandfuels/downloads/VTO_2020_APR_ELECTRIFICATION_COMPILED_REPORT_July%2014%20compliant_.pdf
2020 Materials Annual Progress Report,"The Materials Technology Program supports the Vehicle Technologies Office's (VTO's) mission to help consumers and businesses reduce their transportation energy costs while meeting or exceeding vehicle performance expectations. The propulsion materials research portfolio seeks to develop higher performance materials that can withstand increasingly extreme environments and address the future properties needed for a variety of high-efficiency powertrain types, sizes, fueling concepts, and combustion modes. The lightweight materials research portfolio enables improvements in fuel economy by providing properties that are equal to or better than traditional materials at a lower weight. Because it takes less energy to accelerate a lighter object, replacing cast-iron and traditional steel components with lightweight materials such as advanced high-strength steels, magnesium (Mg) alloys, aluminum (Al) alloys, and fiber-reinforced polymer composites can directly reduce a vehicle's fuel consumption. By 2025, Materials Technology research activities seek to enable a 25% weight reduction of the glider for light-duty (LD) vehicles including body, chassis, and interior as compared to a 2015 baseline at no more than a $5/lb-saved increase in cost.
",Vehicle Technologies Office,2021,Materials,Report,https://www1.eere.energy.gov/vehiclesandfuels/downloads/FY-2020%20Materials%20Consolidated%20Report_final_compliant_2021-06-15_.pdf
2020 Technology Integration Annual Progress Report,"VTO's Technology Integration Program supports a broad technology portfolio that includes alternative fuels, energy efficient mobility systems and technologies, and other efficient advanced technologies that can reduce transportation energy costs for businesses and consumers. The program provides objective, unbiased data and real-world lessons learned to inform future research needs and support local decision making. It also includes projects to disseminate data, information, and insight, as well as online tools and technology assistance to cities and regions working to implement alternative fuels and energy efficient mobility technologies and systems.",Vehicle Technologies Office,2021,Technology Integration,Report,http://www.energy.gov/node/4811367
2020 Batteries Annual Progress Report,"During the fiscal year 2020 (FY 2020), the Vehicle Technologies Office (VTO) battery program continued research and development (R&D) support of technologies for plug-in electric vehicles (PEVs), e.g., plug-in hybrids, extended range electric vehicles, all-electric vehicles, and some hybrid electric vehicles (including 12 volt start/stop hybrid). One objective of this support is to enable U.S. innovators to rapidly develop next generation of technologies that achieve the cost, range, and charging infrastructure necessary for the widespread adoption of PEVs.",Vehicle Technologies Office,2021,Batteries and Electrification,Report,https://www1.eere.energy.gov/vehiclesandfuels/downloads/VTO_2020_APR_Batteries_compliant_.pdf
2020 Analysis Annual Progress Report,"The VTO Analysis Program supports mission-critical technology, economic, and interdisciplinary analyses to assist in prioritizing VTO technology investments and to inform research portfolio planning. These efforts provide essential vehicle and market data, modeling and simulation, and integrated and applied analyses, using the unique capabilities, analytical tools, and expertise resident in the national laboratory system.",Vehicle Technologies Office,2021,Analysis,Report,http://energy.gov/node/4811366/
Hybrid Neural Network Modeling for Multiple Intersections along Signalized Arterials - Current Situation and Some New Results ,"Traffic flow along signalized arterials is a dynamic, nonlinear, and stochastic system in which the relationship between the signal timing plan and traffic delays is too complicated to be modeled using first principles approaches. With advances in sensing technologies, various data sets are available, allowing effective data-driven modeling to be conducted for further controller design. In this keynote paper, a Hybrid Neural Network (HNN) is proposed to model the multiple intersections along a signalized arterial in Honolulu, in which both modeling structure and the relevant training algorithms have been developed. HNN modeling using real data has shown a set of promising results, with dynamic model performance assessed using model error Probability Density Function (PDF). A simple HNN model can easily be used as a starting point for an artificial intelligence-based closed-loop control design that controls the signal timing to reduce the traffic delay. ",Oak Ridge National Laboratory,2021,Energy Efficient Mobility Systems,Conference Paper,http://energy.gov/node/4811501
U.S. DRIVE Highlights of Technical Accomplishments 2020,The U.S. DRIVE 2020 Highlights of Technical Accomplishments Report summarizes key technical accomplishments in the development of advanced automotive and related energy infrastructure technologies achieved in 2020 by the U.S. DRIVE partnership.,U.S. DRIVE Partnership,2021,Office-wide,Report,http://www.energy.gov/node/4809292
A Real-Time Intelligent Speed Optimization Planner Using Reinforcement Learning,"In this paper, we combined a conventional speed optimization planner, developed in our previous work, and reinforcement learning to propose a real-time intelligent speed optimization planner for connected and automated vehicles. We used a deep reinforcement learning algorithm to find the policy of how to adjust key parameters in real-time to dynamically changing situations in order to realize the full potential of energy-efficient driving. Results showed the learned optimal policy enables the proposed intelligent speed optimization planner to properly adjust the parameters in a piecewise constant manner, leading to additional energy savings without increasing total travel time compared to the conventional speed optimization planner.",Argonne National Laboratory,2021,Energy Efficient Mobility Systems,Conference Paper,http://www.energy.gov/media/246062
A Data-Driven Approach to Characterize the Impact of Connected and Autonomous Vehicles on Traffic Flow,"This study presents a model to characterize changes in network traffic flows as a result of implementing connected and autonomous vehicle (CAV) technology based on traffic network and built-environment characteristics. To develop such a model, first, the POLARIS agent-based modeling platform is used to predict changes in average daily traffic (ADT) under CAV scenario in the road network of Chicago metropolitan area as the dependent variable of the model. Second, a comprehensive set of variables and indicators representing network characteristics and urban structure patterns are generated. Finally, three machine learning techniques, namely, K-Nearest neighbors, Random Forest, and eXtreme Gradient Boosting, are used to characterize changes in ADT based on network characteristics under a CAV scenario. The estimated models are validated and are found to yield acceptable performance. In addition, SHapley Additive exPlanations (SHAP) analysis tool is employed to investigate the impact of important features on changes in ADT.",Argonne National Laboratory,2020,Energy Efficient Mobility Systems,Journal Publication,https://www.tandfonline.com/doi/full/10.1080/19427867.2020.1776956
Innovative Scenarios for Modeling Intra-City Freight Delivery,"There has been a shift in the focus of freight modeling to the short-haul (or last-mile) due to an increase in online shopping. This study considers innovative freight delivery modes and multi-modal shifts, especially for the last-mile portion of intra-city freight delivery. For this study, GPS data were obtained from a truck fleet from a major parcel delivery company's depot near Columbus, Ohio and used to develop a freight delivery demand estimation model. Freight delivery tours were modeled in TransCAD and used to develop scenarios to incorporate various modal shifts to compare energy usage in kilowatt-hour estimates. Innovative modes of freight delivery were considered for the scenarios and were compared to a class six truck: electric class six trucks, electric delivery vans, parcel delivery lockers, drones, and electric passenger vehicles. Initial findings suggest that electric trucks reduce energy usage when the majority of miles traveled are in the long-haul, or stem portion of the route. Parcel delivery lockers reduced energy usage in suburban areas, especially those with large neighborhoods with cul-de-sacs. The findings from this study were intended to provide decision makers, both in government and industry, with information to consider when determining suitable alternatives for energy-efficient intra-city freight transport.",Oak Ridge National Laboratory,2019,Energy Efficient Mobility Systems,Journal Publication,https://www.sciencedirect.com/science/article/pii/S2590198219300247
Implementation of Model Predictive Control Into Closed-Loop Micro-Traffic Simulation for Connected Automated Vehicle,"Connected automated vehicles can utilize and share driving information with other vehicles and infrastructure in real time. Applying plentiful vehicle-driving data enhances the safety, mobility and performance of connected automated vehicles. Adaptive cruise control, one of the connected automated vehicle achievements, optimizes the speed in a constrained environment to achieve the best fuel economy while maintaining the safety of the vehicle. Model predictive control is widely used to achieve both fuel savings and robustness. It is important to validate the performance, robustness and implementability of model predictive control under real-world conditions that reflect the features of connected automated vehicle driving. In this research, model predictive control using quadratic programming and dynamic programming was implemented in a newly developed micro-traffic simulation program. That program, RoadRunner, can simulate the various driving conditions such as intersection status, speed limit, and grade of the road. RoadRunner is based on a forward-looking vehicle simulation tool, Autonomie, which has various types of configurations and validated vehicle models based on vehicle dynamics that make the simulation more reliable. As a result, the controllers show 3-5 % fuel savings accompanying the applicability to the real world driving.",Argonne National Laboratory,2019,Energy Efficient Mobility Systems,Journal Publication,https://www.sciencedirect.com/science/article/pii/S2405896319306561
Hazard-Based Model of Activity Generation Using Vehicle Trajectory Data,"The primary contribution of the paper lies in using vehicle trajectory data from Ann Arbor along with multiple other data sources for developing a hazard-based activity generation model. The different category of data used in the analysis include - (i) vehicle trajectory data (VTD), (ii) American Census Survey (ACS), (iii) land use data, (iv) household travel survey (HTS) data, and (v) smart location data from Environmental Protection Agency (EPA). Home and work are identified as the two most frequently visited locations from the VTD and validated against land use categories of the region. Next a random utility-based model is developed using HTS data to identify other activity purposes as a function of the polynomials of distance from home, activity duration and departure time. The developed model is then applied to identify the non-home activity purposes in the VTD. Demographic and accessibility information are appended to the VTD from ACS and smart location databases respectively. The final database is then used to develop a hazard-based activity generation model.",Argonne National Laboratory,2020,Energy Efficient Mobility Systems,Journal Publication,https://www.sciencedirect.com/science/article/pii/S1877050920306165
"A Large-scale, Agent-based Simulation of Metropolitan Freight Movements with Passenger and Freight Market Interactions","This study summarizes the first stage in the implementation of an agent-based freight modeling system that has a global representation of agents and detailed modeling of a large-scale transportation network. The model is used to evaluate the transportation and energy impacts of goods movement across urban and national scales. The framework is implemented within POLARIS, a C++-based Planning and Operations Language for Agent-based Regional Integrated Simulation, which consists of an activity-based modeling (ABM) and dynamic traffic assignment (DTA) system that has robust features for passenger travel.",Argonne National Laboratory,2020,Energy Efficient Mobility Systems,Journal Publication,https://www.sciencedirect.com/science/article/pii/S1877050920306153
Optimal Charging Management and Infrastructure Planning for Free-Floating Shared Electric Vehicles,"Recently, major car-sharing service providers have begun to include electric vehicles (EVs) in free-floating car-sharing fleets. For these EVs, downtime due to charging, including time spent traveling to and waiting in queues at charging stations in a sparse charging infrastructure network, is a major barrier to sustainable operation. An intuitive solution to overcome this barrier is to increase the number of fast-charging stations in the fleet service area. This paper studies the relationship between fleet vehicle downtime and the number of charging stations by modeling the fleet operations of a major car-sharing service provider. An integer programming model is developed that jointly optimizes charging station allocation, in terms of the number and location of charging stations, and the assignment of EVs to charging stations. Case study results showed that fleet vehicle charging time comprises 72-75% of the total downtime spent on charging trips. This indicates that charging time, as opposed to travel time or waiting time, is the dominant component of total fleet downtime for charging. The study also shows that by adding 5-20 new charging stations reduces total fleet downtime and travel time during charging trips by 2-4% and 26-49%, respectively. Although adding new charging stations to the fleet service area reduces total charging trip travel time significantly, it does not reduce total downtime significantly. Results also show that if the EV battery state of the charge (SOC) threshold-below which a charging trip is initiated-is less than 18%, not all EVs in the car-sharing fleet can be charged using the existing direct current fast chargers (DCFCs) in the fleet's service area. This implies that adequate charging infrastructure coverage is required to ensure that EVs of a given range can operate in the car-sharing fleet.",Idaho National Laboratory,2019,Energy Efficient Mobility Systems,Journal Publication,https://www.sciencedirect.com/science/article/abs/pii/S1361920918312537
"Travel and Energy Implications of Ridesourcing Service in Austin, Texas","This paper identifies major aspects of ridesourcing services provided by Transportation Network Companies (TNCs) which influence vehicles miles traveled (VMT) and energy use. Using detailed data on approximately 1.5 million individual rides provided by RideAustin in Austin Texas, we quantify the additional miles TNC drivers travel: before beginning and after ending their shifts, to reach a passenger once a ride has been requested, and between consecutive rides (all of which is referred to as deadheading); and the relative fuel efficiency of the vehicles that RideAustin drivers use compared to the average vehicle registered in Austin. We conservatively estimate that TNC drivers commute to and from their service areas accounts for 19% of the total ridesourcing VMT. In addition, we estimate that TNC drivers drove 55% more miles between ride requests within 60?min of each other, accounting for 26% of total ridesourcing VMT. Vehicles used for ridesourcing are on average two miles per gallon more fuel efficient than comparable light-duty vehicles registered in Austin, with twice as many are hybrid-electric vehicles. New generation battery electric vehicles with 200 miles of range would be able to fulfill 90% of full-time drivers' shifts on a single charge. We estimate that the net effect of ridesourcing on energy use is a 41-90% increase compared to baseline, pre-TNC, personal travel.",Lawrence Berkeley National Laboratory,2019,Energy Efficient Mobility Systems,Journal Publication,https://www.sciencedirect.com/science/article/abs/pii/S1361920918309878?via%3Dihub=
"Describing the Users: Understanding Adoption of and Interest in Shared, Electrified, and Automated Transportation in the San Francisco Bay Area","Emerging technologies and services stand poised to transform the transportation system, with large implications for energy use and mobility. The degree and speed of these impacts depend largely on who adopts these innovations and how quickly. Leveraging data from a novel survey of San Francisco Bay Area residents, we analyze adoption patterns for shared mobility, electrified vehicle technologies, and vehicle automation. We find that ride-hailing and adaptive cruise control have penetrated the market more extensively than have electrified vehicles or car-sharing services. Over half of respondents have adopted or expressed interest in adopting all levels of vehicle automation. Overall, there is substantial potential for market growth for the technologies and services we analyzed. Using county fixed effects regressions, we investigate which individual and location-level factors correlate to adoption and interest. We find that, although higher-income people are disproportionately represented among current adopters of most new technologies and services, low- to middle-income people are just as likely to have adopted pooled ride-hailing. Younger generations have high interest in automated and electrified vehicles relative to their current adoption of these technologies, suggesting that young people could contribute substantially to future market growth-as they are doing for ride-hailing. We find no evidence that longer commutes present a barrier to plug-in electric vehicle adoption. Finally, women are less likely than men to adopt and/or be interested in adopting most new transportation technologies, with the exception of ride-hailing; designing or marketing technologies with women's preferences in mind could contribute to future market expansion.",Lawrence Berkeley National Laboratory,2019,Energy Efficient Mobility Systems,Journal Publication,https://www.sciencedirect.com/science/article/abs/pii/S1361920918303122?via%3Dihub=
Municipal Adaptation to Changing Curbside Demands: Exploratory Findings from Semi-Structured Interviews with Ten U.S. Cities,"Researchers document a trend of organizational restructuring to more formally include curbside management teams, with the majority of interviewees also reporting increased staffing. Respondents reported that operational failures at their curbside (e.g., demand in excess of capacity) have impacts on safety, capacity, and emergency vehicle mobility, with impacts highly concentrated spatially and temporally (e.g., late evenings in nightlife districts). We document a diversity of data flows between ridehailing operators (e.g., Uber, Lyft) and municipalities, with some cities reporting obtaining types of data that other cities report not receiving despite requesting such data. Finally, respondents consistently expressed a desire for new data streams and methodologies to help manage the curbside of the future. It is hoped that establishing the state of the practice in this rapidly changing context will be of use to practitioners facing similar pressures as those of our interviewees.",National Renewable Energy Laboratory,2020,Energy Efficient Mobility Systems,Journal Publication,https://www.sciencedirect.com/science/article/abs/pii/S0967070X19308923
In-route Inductive Versus Stationary Conductive Charging for Shared Automated Electric Vehicles: A University Shuttle Service,"In-route inductive charging technology, as applied to automated electric vehicles, can help realize a fully automated system of both vehicles and chargers. This study presents a planning optimization analysis for fixed-route automated shuttles supported by in-route inductive charging technology. A techno-economic feasibility of inductive charging was assessed in comparison with stationary charging, including Level 2 AC chargers, and DC fast chargers (DCFCs). This analysis considered both present-day and future vehicle operations and overall system costs. A real project with two circulator Navya Arma shared automated electric vehicles (SAEVs) at the University of Michigan was investigated using real-world collected energy and travel data. The outcomes show that the proper design of quasi-dynamic inductive chargers at designated stops allows SAEVs to realize unlimited driving range and be cost-competitive to DCFC technology. Considering present-day costs and vehicles, low-speed SAEVs can realize charge-sustaining operation at a minimum cost either by implementing a 50-kW inductive charger at two stops with one segment per position and a 29-kWh onboard battery, or by installing a 100-kW inductive charger at one stop with one segment per position and a 28-kWh onboard battery. Considering future costs and vehicles, either a 40-kW charger at one stop with a 29-kWh battery or a 50-kW charger at the north stop with a 14-kWh battery would enable charge-sustaining operation. In addition, quasi-dynamic inductive solution can reduce the onboard battery by about 15% while providing unlimited driving range, but stationary scenarios require about 112% additional battery capacity to support a 12-h driving range.",National Renewable Energy Laboratory,2021,Energy Efficient Mobility Systems,Journal Publication,https://www.sciencedirect.com/science/article/abs/pii/S0306261920315476
Heterogeneous Machine Learning on High Performance Computing for End to End Driving Autonomous Vehicles,"Current artificial intelligence techniques for end to end driving of autonomous vehicles typically rely on a single form of learning or training processes along with a corresponding dataset or simulation environment. Relatively speaking, success has been shown for a variety of learning modalities in which it can be shown that the machine can successfully ""drive"" a vehicle. However, the realm of real-world driving extends significantly beyond the realm of limited test environments for machine training. This creates an enormous gap in capability between these two realms. With their superior neural network structures and learning capabilities, humans can be easily trained within a short period of time to proceed from limited test environments to real world driving. For machines though, this gap is guarded by at least two challenges: 1) machine learning techniques remain brittle and unable to generalize to a wide range of scenarios, and 2) effective training data that enhances generalization and generates the desired driving behavior. Further, each challenge can be computationally intensive on its own thereby exasperating the gap. Moreover, it has not yet been shown that a single form or learning or training is capable of addressing a larger range of scenarios. As a result, solving the first challenge does not inherently solve the second and vice versa. The work described here discusses an approach to address the first challenge that would also provide a foundation for solving the second. Our approach utilizes a combination of conditional limitation learning with a static dataset, reinforcement learning with a simulation environment, and high-performance computing to train a neural network. As a result, this reduces the ""time to solution"" to the existing techniques for autonomous driving and provides an extensible framework to address the second key challenge. ",Oak Ridge National Laboratory,2020,Energy Efficient Mobility Systems,Conference Paper,https://www.sae.org/publications/technical-papers/content/2020-01-0739/
