Title,Summary,Publishing_Organization,Subject,Presenter,Filename
Material Mechanisms for Robust Flash Processing,"This presentation provides a summary of a project about material mechanisms for robust flash processing led by Oak Ridge National Laboratory, Argonne National Laboratory, UTC, and Flash Steelworks, Inc.",ORNL ,COMBINED HEAT AND POWER,Fred Wang and Shiqi Ji,https://www.energy.gov/sites/prod/files/2020/05/f75/2020_UTK_Program%20Review%20RD%20Presentation_FINAL.pptx
Accelerated Discovery of Compositionally Complex Alloys for Direct Thermal Energy Conversion,,SLAC,COMBINED HEAT AND POWER,Doug Straub,https://www.energy.gov/sites/prod/files/2020/05/f75/Advanced%20Turbine%20Airfoils%20for%20Efficient%20CHP%20Systems_2020%20FINAL.pptx
Solid Phase Processing: A Manufacturing Platform for the Production of Extraordinary Materials with Reduced Energy Input,This presentation provides a summary of a demonstration of improved Combined Heat and Power (CHP) systems utilizing improved gas turbine and sCO2 cycles using  additive manufacturing porject led by the National Renewable Energy Laboratory (NREL) and the Pacific Northwest National Laboratory (PNNL).,PNNL,COMBINED HEAT AND POWER,Rolando Burgos,https://www.energy.gov/sites/prod/files/2020/05/f75/AMO%20Program%20Review%202020%20-%20Virginia%20Tech%20-%20Flexible-CHP%20%28DE-0008411%20%29%20FINAL.pptx
Critical Materials Institute,This presentation provides an overview of Critical Materials Institute led by the Ames Laboratory.,Iowa State University,COMBINED HEAT AND POWER,Kate Anderson,https://www.energy.gov/sites/prod/files/2020/05/f75/Combined%20Heat%20and%20Power%20%28CHP%29%20REopt%20Lite%20050720%20FINAL.pptx
Advanced Manufacturing of Alpha Double Prime Iron Nitride (ADPIN): An Innovative Rare Earth Element (REE) Free Ultra-High Performance Permanent Magnet for Clean Energy Applications,This presentation provides a summary of the Advanced Manufacturing of Alpha Double Prime Iron Nitride (ADPIN): An Innovative Rare Earth Element (REE) Free Ultra-High Performance Permanent Magnet for Clean Energy Applications project led by FeNix Magnetics.,FeNix Magnetics,COMBINED HEAT AND POWER,John Fox,https://www.energy.gov/sites/prod/files/2020/05/f75/ElectroTherm%202020%20AMO%20Peer%20Review%20FINAL.pptx
Boride-Carbon Hybrid Technology to Produce Ultra-Wear and Corrosion Resistant Surfaces for Applications in Harsh Conditions,,Michigan State University,COMBINED HEAT AND POWER,"Bruce Hedman, CHP Deployment Program",https://www.energy.gov/sites/prod/files/2020/05/f75/Peer%20Review%20CHP%20Deployment%20Program%20FINAL.pptx
Ultra-High Temperature Thermal Barrier Coating Development and Validation,,Solar Turbine,COMBINED HEAT AND POWER,"Patti Garland, CHP TAP Coordinator",https://www.energy.gov/sites/prod/files/2020/05/f75/Peer%20Review%20CHP%20TAPs%20Presentation%20FINAL.pptx
Novel Corrosion and Wear Resistant Coatings Using Innovative Cold Plasma Jet Surface Treatment to Enable Improved Bonding Performance of Dissimilar Material Joints Subject to Harsh Environmental Exposure,,"Starfire Industries, LLC",COMBINED HEAT AND POWER,Anand Kulkarni,https://www.energy.gov/sites/prod/files/2020/05/f75/Siemens%20CHP%20Program%20Slides%202020%20FINAL.pptx
Low Cost Ceramic-Matrix Composites for Harsh Environment Heat Exchanger Applications,,United Technologies Research Center,COMBINED HEAT AND POWER,Jacob Delimont,https://www.energy.gov/sites/prod/files/2020/05/f75/SwRI%20High%20Turndown%20AMO%20Peer%20Review%20FINAL.pptx
"Tunable, Robust, Foul-resistant, Hybrid Hydrophobic-Hydrophilic (TuRF) Metasurfaces for High Temperature Heat Exchange Operations",,ANL,COMBINED HEAT AND POWER,J. Curtiss Fox,
Design of High-Temperature Multi-Principal Element Alloys: Accurate Theory-Guided Design Validated by High-Throughput Experiments,,Ames Laboratory,COMPOSITES,John Hopkins,https://www.energy.gov/sites/prod/files/2020/05/f75/2020%20AMO%20Peer%20Review%20-%20IACMI%20Hopkins%20Final.pptx
Advanced Non-Oxide Composites for Ultra-High Temperature Thermal Barrier Coatings,,LLNL,COMPOSITES,Soydan Ozcan and Bill Peter,https://www.energy.gov/sites/prod/files/2020/05/f75/ORNL%20Ozcan%20AMO%20Program%20Review%20-%20Biomaterials%202020.pptx
National Alliance for Water Innovations,,LBNL,COMPOSITES,Merlin Theodore,https://www.energy.gov/sites/prod/files/2020/05/f75/ORNL%20Theodore%20CFTF%20AMO%20RD%20Program%20Review%20Presentation%20050620_Final%20versionv2_0.pptx
Industrial Water Big Impactful Report,,LBNL,CRITICAL MATERIALS,Tom Lograsso,https://www.energy.gov/sites/prod/files/2020/05/f75/2020%20CMI%20AMO%20Peer%20Review%20Presentation.pptx
Better Plants Water Accelerator and Tools,,EERE AMO,CRITICAL MATERIALS,David Matthiesen,https://www.energy.gov/sites/prod/files/2020/05/f75/FeNix%20Magnetics%20final%202020.pptx
Integrated Hydrogen Combustion with Energy-Efficient Ethylene Production,,"EcoCatalytic,Inc. 
Dow Chemical Company",CYBERSECURITY,Christopher Saldana,https://www.energy.gov/sites/prod/files/2020/05/f75/FY20PeerReview_DE-EE0008303_GTRC.pptx
Improved Catalyst Selectivity and Longevity Using Atomic Layer Deposition,,ANL,ENERGY-WATER NEXUS,Prakash Rao,https://www.energy.gov/sites/prod/files/2020/05/f75/FY20%20AMO%20Peer%20Review%20-%20Water%20Final.pdf
"Synthesis, Modeling and Kinetics of Rationally Designed Defects and Substitutions in 2D Materials",,SNL,ENERGY-WATER NEXUS,Peter Fiske,https://www.energy.gov/sites/prod/files/2020/05/f75/Program%20Review%20RD%20Presentation%20NAWI%20Desalination%20Hub%2020-05-11.pptx
Dynamics at the Interface for Advancing Efficient Manufacturing: Developing New Methods to Understand Catalysts for Ethylene Production,,INL,ENERGY-WATER NEXUS,Eli Levine,
Direct Conversion of Methane to Methanol and C2 Hydrocarbons via Photocatalysis,,Stanford University,HPC4MANUFACTURING,Robin Miles,https://www.energy.gov/sites/prod/files/2020/05/f75/HPC4Mfg%20%20Peer%20Review%20Presentation%205-20-20%20FINAL_0.pptx
Compact Modular Process for Converting Natural Gas to High Value Hydrocarbons,,ANL,MATERIALS FOR HARSH CONDITIONS,Osman Eryilmaz,https://www.energy.gov/sites/prod/files/2020/05/f75/2020%20AMO%20RD%20Program%20Review%20WBS%202-1-0-5%20-Eryilmaz.pptx
Advanced Catalysts for Low Temperature Heavy Crude Upgrading,,SRNL,MATERIALS FOR HARSH CONDITIONS,Daniel Mosher,https://www.energy.gov/sites/prod/files/2020/05/f75/AMO%20Peer%20Review%20RTRC%202020%20v4.pdf
Development of Oxy-Esterification for Natural Gas Upgrading at the Wellhead,,INL,MATERIALS FOR HARSH CONDITIONS,Duane Johnson,https://www.energy.gov/sites/prod/files/2020/05/f75/AMO%20Program%20Review%20RD%20Consortia%20Presentation%20WBS2.1.0.19.MPEA-Final_0.pptx
Low-Pressure Electrolytic Ammonia Production,,Eneregy & Environmental Research Center,MATERIALS FOR HARSH CONDITIONS,Qi Hua Fan,https://www.energy.gov/sites/prod/files/2020/05/f75/EE0008320_2020_AMO_Peer_Review.pptx
Rational Design Platform for Transition Metal Catalyzed Electrochemical Synthesis,,LLNL,MATERIALS FOR HARSH CONDITIONS,Meltem Urgun-Demirtas,https://www.energy.gov/sites/prod/files/2020/05/f75/Program%20Review%20Slides_AMO%20TuRF%2005-05-2020.pptx
Low-temperature Electrochemical Activation of Ethane for Co-production of Chemicals/Fuels and Hydrogen,,INL,MATERIALS FOR HARSH CONDITIONS,Wyatt Du Frane,https://www.energy.gov/sites/prod/files/2020/05/f75/ProgramReview_LLNL_TBC%20final_compressed.pptx
High-Temperature Membrane for In-Situ Process-Water Removal,,ANL,MATERIALS FOR HARSH CONDITIONS,Brent Cottom,https://www.energy.gov/sites/prod/files/2020/05/f75/SolarTurbinesInc_DE_EE0008307_PeerReview_6_3_2020.pptx
Compact Hydrogen Generator,,Institute of Gas Technology,MATERIALS FOR HARSH CONDITIONS,"Robert Stubbers (PI), Brian Jurczyk (Bus)",https://www.energy.gov/sites/prod/files/2020/05/f75/Starfire_AMOVirtualPeerReview_1465-1578_May2020.pptx
An Open-source Framework for the Computational Analysis and Design of Autothermal Chemical Processes,,Iowa State University,POWER ELECTRONICS,Martin Rupich,https://www.energy.gov/sites/prod/files/2020/05/f75/2020%20AMSC-EERE%20Peer%20Review%20Presentation%20%2805-07-2020%29.pptx
Rapid Advancement in Process Intensification Deployment Institute (RAPID),,AIChE,POWER ELECTRONICS,Barry Mather,https://www.energy.gov/sites/prod/files/2020/05/f75/AMO%20Program%20Review%20-%20GADTAMS%20200521.pptx
Early-Stage Advanced National Laboratory Roll to Roll R&D Collaboration with Industrial CRADA Collaboration,,ORNL,POWER ELECTRONICS,Rolando Burgos,https://www.energy.gov/sites/prod/files/2020/05/f75/AMO%20Program%20Review%202020%20-%20Virginia%20Tech%20-%20WBGen%20Traineeship%20%28DE-0007305%29.pptx
Development of Roll-to-Roll Simultaneous Multilayer Deposition Methods for Solid-state Electrochemical Devices Using Highly Particulate Loaded Aqueous Inks,,"Saint-Gobain Cermaics and Plastics, Inc.",POWER ELECTRONICS,Alan Crapo,https://www.energy.gov/sites/prod/files/2020/05/f75/AMO%20Program%20Review%20Presentation%20Review%20Regal%20Beloit%202020.pptx
Roll-to-Roll Manufactured Hybrid Metal-Polymer Heat Exchangers with Anti-Fouling and Self-Monitoring for Waste Heat Recovery,,Board of Trusttees of the U of IL,POWER ELECTRONICS,Victor Veliadis,https://www.energy.gov/sites/prod/files/2020/05/f75/AMO%20Program%20Review%20RD%20Consortia%20Presentation%20PowerAmerica%20Veliadis%20final%202020.pptx
PowerAmerica WBG Manufacturing Institute,,North Carolina State University,POWER ELECTRONICS,Selim Elhadj,https://www.energy.gov/sites/prod/files/2020/05/f75/AMO%20Program%20Review%20RD%20Consortia%20Presentation%20SElhadj%20GaN%20bulk%20NDE%205-11-2020%20final.pdf
DOE Traineeship in WBG Power Electronics Engineering,,"Virginia Tech
NETL
ORNL
NREL",POWER ELECTRONICS,Sastry Pamidi,https://www.energy.gov/sites/prod/files/2020/05/f75/AMO%20Program%20Review_FSU_DE-EE0007872_June%202020_Presentation.pptx
DOE Traineeship in WBG Power Electronics Engineering,,University of Tennessee - Knoxville,POWER ELECTRONICS,Venkat Selvamanickam,https://www.energy.gov/sites/prod/files/2020/05/f75/AMO%20RD%20Program%20Review%20Presentation_2020_University_of_Houston.pptx
Fully Integrated High Speed Megawatt Class Motor and High Frequency Variable Speed Drive,,Clemson University,POWER ELECTRONICS,Leon Tolbert,https://www.energy.gov/sites/prod/files/2020/05/f75/AMO%20Review%202020%20WBG%20Traineeship%20DE-EE0007304%20-%20June%202020.pptx
Integrated 10kV SiC VSD and High-Speed MW Motor for Gas Compression Systems ,,"Eaton
Calnetix",POWER ELECTRONICS,Jerry Schoen,https://www.energy.gov/sites/prod/files/2020/05/f75/DE-EE0007866_AKSteel_AMOPeerReview_2020.pptx
SiC Enabled High-Frequency Medium Voltage Drive for High-Speed Motors,,GE Global & GE Renewable Research,POWER ELECTRONICS,Michael McHenry,https://www.energy.gov/sites/prod/files/2020/05/f75/DOE%20AMO%20Program%20Review.McHenry.CMU_.06.2020.pdf
Medium Voltage Integrated Drive and Motor,,Calnetix Technologies,POWER ELECTRONICS,Geraldo Nojima,https://www.energy.gov/sites/prod/files/2020/05/f75/Eaton%202020%20Program%20Review%20RD%20Presentation%20Final.pdf
"Grid Application Development, Testbed and Analysis for MV SiC (GADTAMS)",,NREL,POWER ELECTRONICS,Nathaniel Hawes,https://www.energy.gov/sites/prod/files/2020/05/f75/PeerReview_GEGlobalResearch_Hawes_200520.pdf
Improving SiC Wafers and Processing for Lower Costs and Higher Reliability,,NREL,POWER ELECTRONICS,J. Curtiss Fox,
"Rapid, Non-destructive Detection of Defects in Thick-GaN Bulk",,LLNL,POWER ELECTRONICS,Suratkal Shenoy,https://www.energy.gov/sites/prod/files/2020/05/f75/Program%20Review%20RD%20Presentation%20Calnetix%20June%202020_0.pptx
"Cost-effective Conductor, Cable, and Coils for High Field Rotating Electric Machines",,Florida State University,POWER ELECTRONICS,Quanfang Chen,https://www.energy.gov/sites/prod/files/2020/05/f75/Program%20Review_RD%20PPT%20UCF-DE-EE0007864.pptx
Nanometal-Interconnected Carbon Conductors for Advanced Electric Machines,,Rochester Institute of Technology,POWER ELECTRONICS,Srinivasan Chandrasekar,https://www.energy.gov/sites/prod/files/2020/05/f75/Purdue%20Univ%20%28DEEE0007868%29%20Program%20Review%20RD%20Presentation%202020%20May%2010.pdf
"Metal (Cu, Al) CNT Composite Wires for Energy Efficient Motors",,University of Central Florida,POWER ELECTRONICS,Brian Landi,https://www.energy.gov/sites/prod/files/2020/05/f75/RIT%20DE-EE0007863%20Presentation%20for%202020%20AMO%20RD%20Program%20Review%20-%20FINAL.pptx
Highly Efficient Conical Air Gap Axial Motor Using Soft Magnetic Composites and Grain-Oriented Electrical Steel,This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. ,"Regal Beloit Americas, Inc",POWER ELECTRONICS,Mowafak Al-Jassim,
Si-Al-Cr-Mn Alloy for High Specific Resistivity,This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. ,"AK Steel Corporation
Regal Beloit",PROCESS INTENSIFICATION AND CHEM. MFG.,Jay Gaillard,https://www.energy.gov/sites/prod/files/2020/05/f75/2020%20AMO%20June%20Annual%20Merit%20Review%20SRNL.pptx
High-Silicon Steel Strip by Single-Step Shear Deformation Processing,This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. ,Purdue University,PROCESS INTENSIFICATION AND CHEM. MFG.,Jeff Mays,https://www.energy.gov/sites/prod/files/2020/05/f75/2020%20Program%20Review%20RD%20Presentation%2C%20DE-EE0008637.pptx
Enhanced 2G HTS Wire for Electric Motor Applications,This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. ,AMSC,PROCESS INTENSIFICATION AND CHEM. MFG.,Arun Majundar,https://www.energy.gov/sites/prod/files/2020/05/f75/AOP%20review_052020-Majumdar%28SLAC%29-v2.pptx
Advanced Manufacturing of High Performance Superconductor Wires for Next Generation Electric Machines,This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. ,"University of Houston
SuperPower, Inc",PROCESS INTENSIFICATION AND CHEM. MFG.,Balu Balachandran,https://www.energy.gov/sites/prod/files/2020/05/f75/Balu%20High-Temp%20Membrane%20for%20In-Situ%20Process%20Water%20Removal.pptx
