Community,Node_ID,latitude,longitude,state_full,State,Technology,Regional_Partners,Qualification,brief_description,Regional_Partner_URL
Wainwright,https://energy.gov.gov/node/4816508,70.6367407,-160.0212199,Alaska,AK,"Buildings, Solar",Renewable Energy Alaska Project,Remote,"Wainwright is a village in the Arctic Circle with approximately 500 residents, the majority of which are Alaska Native. The village is powered entirely by diesel and isolated from external grid resources. ETIPP is helping Wainwright evaluate opportunities to incorporate renewable energy and storage in an ongoing energy-efficiency retrofit of a 1,500-square-foot community center to achieve net-zero energy status for the building. This project will support Wainwright's larger goal of employing energy efficiency measures and renewable power to decrease its reliance on diesel and increase its resilience.",https://alaskarenewableenergy.org/
Aquinnah and Chilmark,,41.33704116,-70.79356577,Massachusetts,MA,"Buildings, Energy Efficiency, Microgrids, Renewable Energy Planning",,,"The neighboring towns of Aquinnah and Chilmark, on the island of Martha's Vineyard, will work together on technical assistance in three areas to help them achieve 100% renewable energy by 2040: retrofits for municipal buildings, distributed energy resources (DERs), and microgrids. The project will help both towns identify suitable high-impact energy efficiency and renewable energy solutions to improve energy resilience and reduce greenhouse gas emissions.",
Bainbridge Island,,47.64319373,-122.5401,Washington,WA,"Hydropower or Marine, Renewable Energy Planning, Solar, Storage",,,"In the City of Bainbridge Island, a commuter island to Seattle, ETIPP will assist in analyzing the feasibility of renewable energy options like solar and waterpower to move the city toward its goal of 100% renewable electricity by 2040. This project will help the city understand the benefits and challenges of energy resilience solutions such as community solar and residential-scale battery storage.",
Beaver Island,,45.6734481,-85.53767705,Michigan,MI,"Energy Efficiency, Renewable Energy Planning",,,"Beaver Island will use its assistance to identify opportunities for renewable energy and energy efficiency projects to improve energy security through local production and storage, while reducing the cost of energy and bolstering economic opportunities. This project will consider the income and employment impacts of transitioning away from fossil fuels, which have been a historical economic driver in the community.",
Guam Power Authority,,13.45811905,144.7713024,Guam,GU,"Energy Efficiency, Renewable Energy Planning",,,"The Guam Power Authority (GPA) is seeking assistance with renewable energy resource integration, improved utility planning and energy security, and to establish a performance management system for its Clean Energy Master Plan. These efforts support GPA's commitment to Guam's ambitious renewable energy goals, which mandate 50% renewable generation by 2035 and 100% by 2045.",
Hui o Hau'ula,,21.60870316,-157.9099044,Hawaii,HI,"Energy Efficiency, Renewable Energy Planning, Storage",,,"Hui o Hau'ula, a community organization on the windward coast of Oahu, is coordinating the planning and development of a Community Resilience Hub, which will include the generation and storage of power before, during, and after a disaster or power outage for the surrounding Koolauloa District. To achieve this, Hui o Hau'ula is seeking assistance to assess energy needs and evaluate a portfolio of renewable energy technologies for the Resilience Hub. The project will develop technical guidance and documentation for holistic energy resilience throughout Koolauloa.",
Igiugig,,59.32079235,-155.8778965,Alaska,AK,"Energy Efficiency, Hydropower or Marine, Microgrids, Storage",,,"The Igiugig community is receiving assistance to analyze electricity distribution efficiency, energy conservation, and impacts to the grid from increased renewables. The project will work with the Tribal Council to also increase communication and community engagement for energy transition issues. Outcomes will help Igiugig move toward its goal of improving energy self-sufficiency by using local, renewable resources and its own workforce while minimizing environmental impact and maintaining its cultural identity.",
Makah Tribe,,48.32672751,-124.5877144,Washington,WA,Renewable Energy Planning,,,"ETIPP assistance to the Makah Tribe will go toward assessing the opportunities and challenges associated with integrating renewable energy into critical infrastructure relocation planning and increasing the community's energy sovereignty. The project will also enable deeper community engagement by helping Makah Tribe staff communicate renewable energy options to community members and integrate their priorities, perspective, and knowledge into its planning.",
McGrath,,62.9501548,-155.5769521,Alaska,AK,"Hydropower or Marine, Renewable Energy Planning, Solar, Wind",,,"With ETIPP technical assistance, McGrath (in landlocked central Alaska) aims to increase its energy independence and resilience while reducing the cost of energy. This project will assess the potential for renewable energy in the area, including hydrokinetic, wind, solar, green hydrogen, and micro-nuclear resources. This project will also aim to leverage local economic opportunities through capacity-building efforts within the community.",
Microgrid of the Mountain,,18.26510182,-66.7005636,Puerto Rico,PR,"Microgrids, Storage",,,"A hydroelectric cooperative in Puerto Rico (Cooperativa Hidroelectrica de la Montana) will employ ETIPP assistance to refine its intermunicipal microgrid plan, and develop and design specifications for batteries, distribution, and other improvements. The project will also support the cooperative's technical review data related to implementation of the new system. The project will help the cooperative deliver affordable, resilient energy for residents across four remote, inland mountain communities.",
Mount Desert Island,,44.38971843,-68.30385014,Maine,ME,"Energy Efficiency, Microgrids, Renewable Energy Planning, Storage",,,"Mount Desert Island's goal for its technical assistance is understanding optimal approaches to transition its grid to clean energy while increasing energy resilience and community capacity. The project will assess opportunities for renewable energy integration, energy storage and efficiency, and the viability of a microgrid to make the island resilient during extreme weather events. Results from this project will support future decarbonization plans for the area.",
Nikolski and St. George,,55.11179889,-169.2773377,Alaska,AK,"Renewable Energy Planning, Storage, Wind",,,"In Nikolski, Alaska (on Unmak Island in the West Aleutian Islands) and in St. George, Alaska (an island a few hundred miles north), assistance will go toward assessing the condition of existing wind turbines and plans to reconfigure them with a new mix of renewable energy resources. In addition to helping reduce each community’s reliance on costly imported diesel, this project will train local staff in equipment maintenance and assess the viability of battery storage.",
University of Hawaii,,21.36289157,-158.0509901,Hawaii,HI,"Buildings, Energy Efficiency, Geothermal",,,"The University of Hawaii's project plans include analyzing the potential for geothermal cooling in buildings across its 10 campuses. The project will model shallow geologic conditions and building heating and cooling loads at each campus to recommend geothermal technologies, materials, and design approaches that improve energy efficiency and significantly increase sustainability across campus communities. Outcomes will include increased capacity for geothermal energy analysis at the University and opportunities to apply project results in similar environments.",
