Utility_Name,Wastewater_Reclamation_Facility,Facility_Street_Address,City,State,Year_Data_Provided_by_Utility,Latitude,Longitude,Reclaimed_Water_Type
Town of Prescott Valley,Advanced Treatment Facility,7501 E. Civic Circle,Prescott Valley,AZ,2010,34.59,-112.34,Commercial|Industrial
City of Scottsdale,Water Campus,8787 East Hualapia Drive,Scottsdale,AZ,2010,33.66,-111.89,Municipal and Public Areas
Tucson Water,Reclaimed Water System,310 W. Alameda,Tucson,AZ,2010,32.22,-110.98,Commercial|Municipal and Public Areas
City of Angels Camp,City of Angels Camp WWTP,P.O. Box 667,Angels Camp,CA,2009,38.06,-120.58,Golf Course Irrigation
Beale AFB,Beal AFB WWTP,Not Provided,Beale Afb,CA,2009,39.13,-121.36,Golf Course Irrigation
Bodega Bay PUD,Bodega Bay PUD WWTP,265 Doran Park Road,Bodega Bay,CA,2009,38.34,-123.03,Municipal and Public Areas|Residential
Burbank Water and Power,Burbank WWTP,2 West Chestnut Street,Burbank,CA,2009,34.18,-118.32,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of California City,California City WWTF,10835 Nelson Dr,California City,CA,2009,35.14,-117.93,Golf Course Irrigation
City of Alameda,San Leandro Water Pollution Control Plant,Not Provided,Alameda,CA,2009,37.77,-122.24,Golf Course Irrigation
Delta Diablo Sanitation District,Delta Diablo SD WWTP,Not Provided,California City,CA,2009,38.01,-121.85,Industrial|Municipal and Public Areas|Residential
East Bay Dischargers Authority,Skywest Golf Course-Recycled Water Use,Not Provided,California City,CA,2009,37.67,-122.16,Golf Course Irrigation
East Bay Municipal Utility District,EBMUD Water Recycling - RARE WWTP,Not Provided,California City,CA,2009,37.8,-122.27,Commercial|Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Eastern Municipal WD,Temecula/Winchester Sewage Treatment Plant,Not Provided,California City,CA,2009,33.78,-117.32,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Encina Wastewater Authority,Vallecitos District Meadowlark WRP,Not Provided,Encina,CA,2009,33.12,-117.32,Industrial|Municipal and Public Areas|Residential
City of San Leandro,San Leandro Water Pollution Control Plant,Not Provided,San Leandro,CA,2009,37.7,-122.14,Golf Course Irrigation
Valley Center Municipal WD,Lower Moosa Canyon Reclamation Facility,Not Provided,California City,CA,2009,33.22,-117.04,Golf Course Irrigation
Marine Corps Base-Camp Pendleton,San Luis Rey WWTP #2,Building 17831 Camp Pendleton,CA,2009,33.37,-117.4,Golf Course Irrigation|Municipal and Public Areas|Residential
City of Carlsbad,Carlsbad WRF,6200 Avenida Encinas,Carlsbad,CA,2009,33.15,-117.32,Golf Course Irrigation|Municipal and Public Areas|Residential
Leucadia Wastewater District,Gafner WRF,1960 La Costa Avenue,Carlsbad,CA,2009,33.09,-117.27,Municipal and Public Areas|Residential
City of Oceanside,La Salina Waste WWTP,6200 Avenida Encinas,Carlsbad,CA,2009,33.15,-117.32,Golf Course Irrigation
Carmel Area Wastewater District,Carmel Area WWTP,P.O. Box 221428,Carmel,CA,2009,36.54,-121.91,Golf Course Irrigation|Municipal and Public Areas|Residential
City of Ceres,Ceres WWTP,4200 Morgan Road,Ceres,CA,2009,37.58,-120.98,Municipal and Public Areas|Residential
Sanitation Districts of LA Co.,Los Coyotes WRP,Not Provided,Cerritos,CA,2009,33.87,-118.08,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of Ridgecrest,Ridgecrest WWTF,N.E. Corner Knox & Pole Line Roads,China Lake,CA,2009,35.69,-117.45,Municipal and Public Areas|Residential
Inland Empire Utilities Agency,IEUA Regional Plant No. 4,14950 Telephone Avenue,Chino,CA,2009,33.98,-117.69,Commercial|Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of Corcoran,Corcoran WWTF,895 Pueblo Avenue,Corcoran,CA,2009,36.05,-119.54,Golf Course Irrigation
City of Corona,Corona WRF No. 1,1904 Clearwater Rd.,Corona,CA,2009,33.88,-117.54,Municipal and Public Areas|Residential
North San Mateo Co. Sanitation District,North San Mateo Co. Sanitation District WWTP,153 Lake Merced Blvd.,Daly,CA,2009,37.7,-122.49,Golf Course Irrigation|Municipal and Public Areas|Residential
95 CEG/CEOES,Edwards AFB WWTF,225 N. Rosamond Blvd,Edwards,CA,2009,34.93,-117.9,Municipal and Public Areas|Residential
El Dorado Irrigation District,El Dorado Hills WWTP,Latrobe Rd.,El Dorado Hills,CA,2009,38.6,-121.03,Commercial|Municipal and Public Areas|Residential
Sanitation Districts of LA Co.,"Whittier Narrows WRP, El Monte",301 N. Rosemead Blvd.,El Monte,CA,2009,34.05,-118.05,Municipal and Public Areas|Residential
City of Los Angeles,Hyperion WWTP,1935 Hughes Way,El Segundo,CA,2009,33.91,-118.39,Commercial|Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Olivenhain Municipal WD,4-S Ranch Water Pollution Control Facility,1966 Olivenhain Road,Encinitas,CA,2009,33.07,-117.25,Golf Course Irrigation|Municipal and Public Areas|Residential
San Elijo Joint Powers Authority,San Elijo Water Pollution Control Facility,Not Provided,Encinitas,CA,2009,33.01,-117.27,Golf Course Irrigation|Municipal and Public Areas|Residential
Santa Fe Irrigation District,Santa Fe Irrigation-Hydro WRF,Not Provided,Encinitas,CA,2009,33.03,-117.23,Commercial|Golf Course Irrigation|Municipal and Public Areas|Residential
City of Escondido,"Hale Avenue Resource Recovery Facility, Recycled Water",1521 South Hale Ave,Escondido,CA,2009,33.1,-117.11,Golf Course Irrigation|Municipal and Public Areas|Residential
Rincon Del Diablo,Rincon Del Diablo Municipal WD,1521 South Hale Avenue,Escondido,CA,2009,33.1,-117.11,Industrial
Fairfield-Suisun,FSSD Subregional WWTP,1010 Chadbourne Road,Fairfield,CA,2009,38.15,-121.96,Municipal and Public Areas|Residential
Fallbrook PUD,Fallbrook Public WD Plant 1,425 So. Alturas St.,Fallbrook,CA,2009,33.38,-117.26,Golf Course Irrigation|Municipal and Public Areas|Residential
City of Ferndale,Ferndale WWTP,Port Kenyon Rd,Ferndale,CA,2009,40.46,-124.25,Municipal and Public Areas|Residential
City of Fillmore,Fillmore WWTP-Recycling Plant,1580 River Street,Fillmore,CA,2009,34.42,-118.85,Municipal and Public Areas|Residential
Fort Irwin,Fort Irwin WWTF,Not Provided,Fort Irwin,CA,2009,35.36,-116.64,Golf Course Irrigation
Orange Co. WD,Groundwater Replenishment System - AWWTF,P.O. Box 8300,Fountain Valley,CA,2009,33.71,-117.93,Municipal and Public Areas|Residential
City of Fresno,Fresno Regional WWTF,5607 West Jensen Avenue,Fresno,CA,2009,36.71,-119.89,Golf Course Irrigation
County of Fresno,Millerton New Town WWTF,"2220 Tulare St, Ste 600",Fresno,CA,2009,36.74,-119.79,Municipal and Public Areas|Residential
South Co. Regional Wastewater Authority,South Co. Regional WWTF,1500 Southside Drive,Gilroy,CA,2009,36.99,-121.54,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of Glendale,Los Angeles-Glendale WRP,800 Airway,Glendale,CA,2009,34.17,-118.29,Commercial|Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Goleta WD,Goleta Sanitation District Reclaimed Water Facility,Po Box 906,Goleta,CA,2009,34.43,-119.83,Golf Course Irrigation|Municipal and Public Areas|Residential
Groveland CSD,Groveland Sewer Treatment Plant,18966 Ferretti Road,Groveland,CA,2009,37.82,-120.11,Golf Course Irrigation
"Co. of San Bernardino/Service Area 70, Zone B",Helendale Silverlakes Sewer Treatment Plant,Not Provided,Helendale,CA,2009,34.78,-117.35,Municipal and Public Areas|Residential
Hollister,Hollister Domestic WWTP,Not Provided,Holiister,CA,2009,36.85,-121.4,Municipal and Public Areas|Residential
Sunnyslope CWD,Ridgemark Estates WWTP,Southside Road,Hollister,CA,2009,36.84,-121.39,Municipal and Public Areas|Residential
City of Sunnyvale,Sunnyvale WPCP-Water Recycling,Southside Road,Hollister,CA,2009,36.84,-121.39,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Irvine Ranch WD,Michelson WRF,3512 Michelson Dr,Irvine,CA,2009,33.67,-117.84,Commercial|Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Sanitation Districts of LA Co.,La Canada WRP,533 Meadowview Dr.,La CaÐada,CA,2009,34.21,-118.18,Golf Course Irrigation
Moulton Niguel WD,Moulton Niguel WD Joint Regional WRF,29101 La Paz Road,Laguna Niguel,CA,2009,33.54,-117.7,Golf Course Irrigation|Municipal and Public Areas|Residential
South Coast WD,South Coast WD-Hydro WRF,28303 Alicia Parkway,Laguna Niguel,CA,2009,33.55,-117.72,Golf Course Irrigation|Municipal and Public Areas|Residential
Elsinore Valley Municipal WD,Railroad Canyon WRF,21982 Railroad Canyon Rd,Lake Elsinore,CA,2009,33.7,-117.32,Golf Course Irrigation|Municipal and Public Areas|Residential
El Toro WD,El Toro WRF,23542 Moulton Pky.,Lake Forest,CA,2009,33.62,-117.73,Golf Course Irrigation|Municipal and Public Areas|Residential
Lake Co. Sanitation District,NW Regional Waste Disposal Facility,1155 Whalen Way,Lakeport,CA,2009,39.11,-122.91,Industrial
Sanitation Districts of LA Co.,Lancaster WWTF,1865 W. Ave. D,Lancaster,CA,2009,34.78,-118.17,Industrial|Municipal and Public Areas|Residential
City of Livermore,Livermore Recycled Water Program,101 West Jack Longdon Boulevard,Livermore,CA,2009,37.69,-121.81,Golf Course Irrigation|Municipal and Public Areas|Residential
City of Lodi,White Slough Water Pollution Control Facility,12751 North Thornton Road,Lodi,CA,2009,38.09,-121.38,Industrial
Sanitation Districts of LA Co.,Long Beach WRP,7400 E. Willow St.,Long Beach,CA,2009,33.8,-118.09,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Las Virgenes Municipal WD,Tapia WRF,731 Las Virgenes Rd.,Malibu,CA,2009,34.07,-118.82,Municipal and Public Areas|Residential
Malibu Mesa,Malibu Mesa WRF,3863 Malibu County Road,Malibu,CA,2009,34.04,-118.71,Municipal and Public Areas|Residential
Point Dume Mobile Home Park,Point Dume Club WRP,29500 Heathercliff Road,Malibu,CA,2009,34.02,-118.81,Municipal and Public Areas|Residential
Triunfo,Triunfo Sanitation District,731 Las Virgenes Rd.,Malibu,CA,2009,34.07,-118.82,Municipal and Public Areas|Residential
Mammoth Community WD,Mammoth Sewer Treatment Plant,P.O. Box 597,Mammoth Lakes,CA,2009,37.66,-118.9,Municipal and Public Areas|Residential
Central Contra Costa SD,Central Contra Costa SD WWTP,5019 Imhoff Place,Martinez,CA,2009,38,-122.07,Commercial|Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Hidden Valley Lake CSD,Hidden Valley Lake WasteWRF,Not Provided,Middletown,CA,2009,38.77,-122.61,Golf Course Irrigation
Sewerage Agency of Southern Marin,Sewage Agency of Southern Marin Recycled Water Program,26 Corte Madera Avenue,Mill Valley,CA,2009,37.91,-122.55,Municipal and Public Areas|Residential
Ventura Co. Waterworks District 1,Moorpark WWTP,9550 Los Angeles Avenue,Moorpark,CA,2009,34.27,-118.94,Golf Course Irrigation
Rancho California WD,Santa Rosa WRF-Recycled WTR,26266 Washington Avenue,Murrieta,CA,2009,33.53,-117.19,Municipal and Public Areas|Residential
Napa Sanitation District,Napa Sanitation District WWTF,950 Imola Avenue West,Napa,CA,2009,38.5,-122.27,Commercial|Golf Course Irrigation|Municipal and Public Areas|Residential
Co. of Madera Engineering Dept,Madera Co. #27-Goldside Estates WWTF,Not Provided,Oakhurst,CA,2009,36.97,-120.08,Municipal and Public Areas|Residential
Coachella Valley WD,Palm Desert WRP #10 00-008,43-000 Cook Street,Palm Desert,CA,2009,33.69,-116.4,Golf Course Irrigation|Municipal and Public Areas|Residential
Desert Water Agency,Desert Water Agency WWRC Facility,Po Box 1710,Palm Springs,CA,2009,33.83,-116.54,Golf Course Irrigation|Municipal and Public Areas|Residential
City of Mountain View,Mountain View WWTF,2501 Embarcadero Way,Palo Alto,CA,2009,37.45,-122.11,Golf Course Irrigation|Municipal and Public Areas|Residential
City of Palo Alto,Palo Alto RWQCP-Water Recycling,2501 Embarcadero Way,Palo Alto,CA,2009,37.45,-122.11,Municipal and Public Areas|Residential
City of Petaluma,Petaluma Ellis Creek Water Recycling Facility,950 Hopper St. ( P.O. Box 777),Petaluma,CA,2009,38.23,-122.62,Golf Course Irrigation
Dublin San Ramon Services District,Dublin San Ramon Services District Water Recycling,7399 Johnson Drive,Pleasanton,CA,2009,37.69,-121.91,Golf Course Irrigation|Municipal and Public Areas|Residential
Sanitation Districts of LA Co.,Pomona WRP,295 Humane Way,Pomona,CA,2009,34.04,-117.76,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Rancho Murieta CSD,Rancho Murieta CSD and Rec,15160 Jackson Highway,Rancho Murieta,CA,2009,38.51,-121.1,Golf Course Irrigation
City of Red Bluff,Red Bluff WRP,Riverside Drive At Brearcliff Drive,Red Bluff,CA,2009,40.17,-122.22,Municipal and Public Areas|Residential
City of Redwood,South Bayside System Authority WWTP,1400 Radio Road,Redwood,CA,2009,37.54,-122.23,Municipal and Public Areas|Residential
City of Roseville,Dry Creek WWTP,1800 Booth Rd.,Roseville,CA,2009,38.74,-121.31,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
California American Water Company - Monterey,Multiple Facilities Record,100 River Rd,Salinas,CA,2009,36.62,-121.66,Golf Course Irrigation|Municipal and Public Areas|Residential
Calaveras Co. WD,La Contenta Wastewater Treatment and Reclamation Facility,P.O. Box 846,San Andreas,CA,2009,38.19,-120.61,Municipal and Public Areas|Residential
City of San Clemente,San Clemente WRP,380 Ave. Pico,San Clemente,CA,2009,33.44,-117.63,Golf Course Irrigation
City of San Diego,North City WRP,Not Provided,San Diego,CA,2009,32.9,-117.2,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of San Jose,San Jose/Santa Clara Water Pollution Control Plant,700 Los Esteros Road,San Jose,CA,2009,37.43,-121.95,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
California Dept of Corrections and Rehabilitation,California Men's Colony WWTP,P.O. Box 8101,San Luis Obispo,CA,2009,35.32,-120.7,Golf Course Irrigation
City of San Luis Obispo,Oak Shores Lake Nacimiento WWTP,35 Prado Rd.,San Luis Obispo,CA,2009,35.26,-120.67,Municipal and Public Areas|Residential
Vallecitos WD,Meadowlark WRP,2310 S. Rancho Santa Fe Road,San Marcos,CA,2009,33.11,-117.23,Municipal and Public Areas|Residential
Marin Municipal WD,Marin Municipal WD - Recycled Water,300 A Smith Ranch Road,San Rafael,CA,2009,38.02,-122.55,Commercial|Golf Course Irrigation|Municipal and Public Areas|Residential
City of Santa Barbara,El Estero Reclamation Facility,Po Box 1990,Santa Barbara,CA,2009,34.42,-119.71,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Sanitation Districts of LA Co.,Valencia WRP,Not Provided,Santa Clarita,CA,2009,34.43,-118.59,Municipal and Public Areas|Residential
Santa Cruz Co. Dept of Public Works,Boulder Creek Golf And Country Club WRF,701 Ocean St,Santa Cruz,CA,2009,36.98,-122.02,Industrial|Municipal and Public Areas|Residential
Laguna Co.,Laguna Co. Sanitation District,624 W. Foster Rd.,Santa Maria,CA,2009,34.88,-120.45,Industrial
City of Santa Rosa,Santa Rosa Subregional WRF,6200 Stonebridge Drive,Santa Rosa,CA,2009,38.45,-122.62,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Padre Dam Municipal WD,Padre Dam WRF,10887 Woodside Ave,Santee,CA,2009,32.84,-116.96,Municipal and Public Areas|Residential
Scotts Valley WD,Scotts Valley WWTF,700 Lundy Ln (Two Civic Drive),Scotts Valley,CA,2009,37.07,-122.01,Municipal and Public Areas|Residential
Gualala CSD,Gualala WWTF,42455 State Highway One,Sea Ranch,CA,2009,38.73,-123.47,Golf Course Irrigation
Ventura Co. Waterworks District 8,Piru WWTP,600 West Los Angeles Avenue,Simi Valley,CA,2009,34.29,-118.69,Commercial
South Tahoe PUD,ST PUD WWTP,1275 Meadow Crest Drive,South Lake Tahoe,CA,2009,38.92,-119.97,Municipal and Public Areas|Residential
Otay WD,"Otay WD, Ralph W. Chapman WRF",2554 Sweetwater Springs Blvd.,Spring Valley,CA,2009,32.72,-116.97,Industrial|Municipal and Public Areas|Residential
Meadowood Resort Hotel,Meadowood Resort WWTP and Reuse,900 Meadowood Resort Hotel,St Helena,CA,2009,38.54,-122.51,Golf Course Irrigation
Bear Valley CSD,Bear Valley WWTP,28999 South Lower Valley Road,Tehachapi,CA,2009,35.16,-118.65,Golf Course Irrigation
North Marin WD,Novato and Ignacio WWTP,Not Provided,Tomales,CA,2009,38.13,-122.56,Golf Course Irrigation
Trabuco Canyon WD,TCWD Robinson Ranch WRF,Not Provided,Trabuco Canyon,CA,2009,33.65,-117.56,Municipal and Public Areas|Residential
City of Turlock,Turlock WWTP,901 South Walnut Road,Turlock,CA,2009,37.48,-120.87,Industrial|Municipal and Public Areas|Residential
"USMC, Air Ground Combat Center, Twenty Nine Palms",USMC-29 Palms WWTP,Fac. Maint Utility Sys. Bldg. #1905,Twentynine Palms,CA,2009,34.46,-116.14,Municipal and Public Areas|Residential
Sonoma Co. Water Agency,SCWA Russian River CSD,18400 Neeley Road,Vacation Beach,CA,2009,38.51,-122.78,Golf Course Irrigation
City of Ventura,Ventura WRF,1400 Spinnaker Drive,Ventura,CA,2009,34.24,-119.26,Golf Course Irrigation|Municipal and Public Areas|Residential
Victor Valley Wastewater Rec Authority,Victor Valley Municipal WWTP,Not Provided,Victor Valley,CA,2009,34.56,-117.34,Golf Course Irrigation
U.S.D.I. - National Park Service,Wawona WWTF,4004 Chilnualna Falls Road,Wawona,CA,2009,37.75,-119.55,Municipal and Public Areas|Residential
Sanitation Districts of LA Co.,San Jose Creek WRP,Not Provided,Whittier,CA,2009,33.96,-118.03,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Town of Windsor/ Windsor WD,Windsor WWTF,8400 Windsor Road,Windsor,CA,2009,38.54,-122.82,Golf Course Irrigation|Municipal and Public Areas|Residential
Town of Yountville,Veterans Home WWTF,7501 Solano,Yountville,CA,2009,38.39,-122.36,Golf Course Irrigation
City of Aurora,Sand Creek Water Reuse Facility,11405 E. 30Th Avenue,Aurora,CO,2012,39.76,-104.85,Municipal and Public Areas
City and Co. of Broomfield,Broomfield Reclamation Facility,112Th And Simms,Broomfield,CO,2009,39.95,-105.05,Commercial|Municipal and Public Areas
City and Co. of Broomfield,Brromfield WWTF,2985 West 124Th Avenue,Broomfield,CO,2009,39.92,-105.02,Commercial|Municipal and Public Areas
City and Co. of Broomfield,Common Distribution System,2985 West 124Th Avenue,Broomfield,CO,2009,39.92,-105.02,Commercial|Municipal and Public Areas
Colorado Springs Utilities,J.D. Phillips WRF,155 Aeration View,Colorado Springs,CO,2009,38.88,-104.82,Industrial|Municipal and Public Areas
Colorado Springs Utilities,Las Vegas Street WWTF,825 E. Las Vegas Street,Colorado Springs,CO,2009,38.81,-104.81,Industrial|Municipal and Public Areas
Donala Water & Sanitation District,Upper Monument Creek Regional WWTF,15850 Holbein Drive,Colorado Springs,CO,2009,39.06,-104.81,Municipal and Public Areas
Denver Water,Denver WWRP,5650 York St.,Denver,CO,2009,39.79,-104.95,Industrial|Municipal and Public Areas
Centennial Water and Sanitation District,Marcy Gulch WWTP Reuse Facility,8700 S. Santa Fe Drive,Littleton,CO,2009,39.48,-105.06,Municipal and Public Areas
Meridian Metropolitan District,Meridian WWTP,12111 E. Belford Avenue,Littleton,CO,2012,39.55,-104.85,Municipal and Public Areas
City of Louisville,City of Louisville WWTP,1601 Empire Road,Louisville,CO,2009,39.98,-105.12,Municipal and Public Areas
City of Westminster,Big Dry Creek WWTF,13050 North Huron,Westminster,CO,2009,39.91,-105.01,Municipal and Public Areas
City of Alachua,Alachua WRF,13700 Nw 126Th Ter,Alachua,FL,2012,29.82,-82.49,Golf Course Irrigation
AECOM Water ,Altamonte Springs WRF,950 Keller Road,Altamonte Springs,FL,2012,28.64,-81.4,Industrial|Residential
AECOM Water,Wekiva Hunt Club WWTF,950 Keller Road,Altamonte Springs,FL,2012,28.64,-81.4,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of Apopka,Apopka WRF-Project Arrow,748 E Cleveland St,Apopka,FL,2012,28.65,-81.5,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Orange Co. Utilities Dept,OCUD-Northwest WRF,701 W. Mccormick Road,Apopka,FL,2012,28.62,-81.52,Commercial|Industrial
City of Arcadia,William Tyson WWTP,223 S. Parker Ave.,Arcadia,FL,2012,27.22,-81.87,Golf Course Irrigation|Municipal and Public Areas|Residential
City of Auburndale,Allred WWTF,1300 Recker Hwy #655,Auburndale,FL,2012,28.04,-81.78,Industrial
City of Auburndale,Regional WWTP,Braddock Road (Northwest Of Auburndale),Auburndale,FL,2012,28.1,-81.82,Industrial
Ave Marie Utility Company,Ave Maria Utility Company  WRF,5325 Ave Maria Blvd,Ave Maria,FL,2012,26.32,-81.27,Municipal and Public Areas|Residential
"Brevard Co., Utility Services",BCUD-Barefoot Bay WRF,7773 Dottie Drive,Barefoot Bay,FL,2012,27.86,-80.56,Golf Course Irrigation
City of Bartow,Wastewater Plant,2505 East Wabash Ave,Bartow,FL,2012,27.87,-81.81,Industrial
Reedy Creek Energy Services,Reedy Creek Improvement District,2151 Bear Island Road,Bay Lake,FL,2012,28.39,-81.57,Golf Course Irrigation|Industrial|Municipal and Public Areas
City of Belleview,Belleview WRF,5343 Southeast Abshier Blvd,Belleview,FL,2012,29.06,-82.06,Golf Course Irrigation
"Gasparilla Island Water Association, Inc.",Gasparilla Island WWTF,P. O. Box 310,Boca Grande,FL,2012,26.67,-82.25,Golf Course Irrigation
City of Boca Raton,Boca Raton WWTP,1501 W. Glades Road,Boca Raton,FL,2012,26.37,-80.11,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Bonita Springs Utilities,Bonita Springs East WRF,10 Eight Street,Bonita Springs,FL,2012,26.36,-81.83,Golf Course Irrigation|Municipal and Public Areas|Residential
Bonita Springs Utilities,Bonita Springs West WRF,10 Eight Street,Bonita Springs,FL,2012,26.36,-81.83,Golf Course Irrigation|Municipal and Public Areas|Residential
Hunters Ridge Utility Company,Hunter'S Ridge WWTF,12500 Hunters Ridge Blvd,Bonita Springs,FL,2012,26.32,-81.75,Golf Course Irrigation
City of Bowling Green,Bowling Green STP,Cr 664 A,Bowling Green,FL,2012,27.6,-82.14,Industrial
Hardee Co. Utilities,Wauchula Hills WWTP,325 State Road 62,Bowling Green,FL,2012,27.59,-81.83,Industrial
City of Bradenton,Bradenton WWTF,1810 1St St W,Bradenton,FL,2012,27.48,-82.56,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Manatee Co. Utilities,North WRF,4410 66Th Street West,Bradenton,FL,2012,27.46,-82.63,Golf Course Irrigation|Municipal and Public Areas|Residential
Manatee Co. Utilities,Southeast WRF,4410 66Th Street West,Bradenton,FL,2012,27.46,-82.63,Golf Course Irrigation|Municipal and Public Areas|Residential
Manatee Co. Utilities,Southwest WRF,4410 66Th Street West,Bradenton,FL,2012,27.46,-82.63,Golf Course Irrigation|Municipal and Public Areas|Residential
City of Brooksville,Brooksville/Cobb Road WWTF,600 S. Brooksville Avenue,Brooksville,FL,2012,28.55,-82.38,Industrial
City of Bunnell,Michael J. Mikulka WWTF,200 Tolman Street At Deen Road,Bunnell,FL,2012,29.43,-81.36,Golf Course Irrigation
"Florida Dept Corrections, Sumter Correctional Institution",Sumter Correctional Institutional WRF,9544 County Road 476B,Bushnell,FL,2012,28.68,-82.16,Municipal and Public Areas
Emerald Coast Utilities Authority,ECUA-Central WRF,2980 Old Chemstrand Rd,Cantonment,FL,2012,30.61,-87.32,Industrial|Municipal and Public Areas
City of Cape Coral,Everest Parkway WRF,1800 Everest Parkway,Cape Coral,FL,2012,26.61,-81.94,Municipal and Public Areas|Residential
City of Cape Coral,Southwest WRF,1800 Everest Parkway,Cape Coral,FL,2012,26.61,-81.94,Municipal and Public Areas|Residential
"Aqua Utilities Florida, Inc.",South Seas Plantation WRF,13000 South Seas Plantation Road,Captiva,FL,2012,26.59,-82.22,Golf Course Irrigation
City of Carrabelle,Carrabelle WRF,U.S. Highway 98,Carrabelle,FL,2012,29.92,-84.52,Commercial|Golf Course Irrigation
City of Casselberry,Casselberry WRF,700 Cross Street,Casselberry,FL,2012,28.66,-81.31,Golf Course Irrigation|Residential
Cedar Key,Cedar Key WRF,510 3Rd Streets,Cedar Key,FL,2012,29.14,-83.03,Municipal and Public Areas
City of Clearwater,East AWWTP,1650 N. Arcturas Avenue,Clearwater,FL,2012,27.98,-82.76,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of Clearwater,Marshall Street WWTP,1650 N. Arcturas Avenue,Clearwater,FL,2012,27.98,-82.76,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of Largo,City Of Largo WRF,5100 150Th Ave North,Clearwater,FL,2012,27.91,-82.71,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
"Sidney Colen & Associates, Ltd.",On Top Of The World WRF,2025 Denmark Street,Clearwater,FL,2012,27.99,-82.74,Golf Course Irrigation|Residential
City of Clermont,East WRF,3335 Hancock Road,Clermont,FL,2012,28.53,-81.75,Golf Course Irrigation|Residential
Cocoa Beach WRF,Cape Canaveral WRF,1600 Minutemen Causeway,Cocoa Beach,FL,2012,28.32,-80.63,Golf Course Irrigation|Industrial|Residential
Cocoa Beach,Cocoa Beach WRF,1600 Minutemen Causeway,Cocoa Beach,FL,2012,28.32,-80.63,Golf Course Irrigation
