ID,Specification_Title,Specification_Description,Specification_Template_Language,Specification_Background,Requirements,Solicitation_Section,Array_Type,System_Component,Specification_Topic,Images,Specialized_Topic
19,The National Environmental Policy Act (NEPA),<p>This section describes the requirements for agencies and Contractors to conduct any NEPA studies and/or other environmental studies.</p>,"<p>The National Environmental Policy Act (NEPA) requires federal agencies to consider the effects of their actions on the human environment and identify alternatives that have the potential to reduce the impacts of those actions. When significant impacts might occur from project development, detailed statements must be prepared for public and federal agency review. The Council on Environmental Quality's implementing instructions can be found at 40 CFR Parts 1500-1508, and the Government's implementing instructions can be found in the Public Building Service's NEPA Desk Guide   October 1999.</p>
<ul><li>State Historic Preservation Offices   The Contractor shall comply with local, state, and federal State Historic Preservation Offices requirements.</li>
<li>Special Planning Commissions-Having Authority: The Contractor shall comply with and gain approval for the solar PV systems.</li>
</ul>
<p>Construction Phase Environmental Management:</p>
<ul>
<li>Hazardous Materials/Due Diligence: The Contractor shall indicate if any hazardous materials will be disturbed, encountered, or used in the construction of the solar PV system The Contractor shall provide all appropriate mitigation measures, if required, to reduce the impacts to insignificant levels. 
</li><li>Noise Pollution: The Contractor shall provide a description of construction activities and mitigation to reduce noise related to construction.
</li><li>Traffic Impacts: The Contractor shall provide mitigation measures to reduce traffic impacts on local streets during construction (road/sidewalk closures, use of cranes, etc.).
</li><li>Jurisdictional Approvals: The Contractor shall provide required development approvals from the county and/or municipality. It is understood that conformance to all applicable approvals is at the sole cost and expense of the Contractor.
</li><li>Storm water Runoff Management: The Contractor shall provide sufficient documentation to demonstrate that the requirements of the Energy Independence and Security Act (EISA) Section 438 are being met. The Contractor shall not change the pattern of storm water amounts or runoff. If the project involves digging/trenching in soil of an area more than 50 linear feet, the Contractor must provide an erosion and sediment control plan.
</li><li>Visual Impact Analysis: If the PV system will be visible from the ground or adjoining buildings, the Contractor shall provide viewshed drawings depicting the potential visual impacts of the solar PV installation.</li></ul>","<p>Depending on the location or type of array, agencies may be required to undertake a full NEPA study prior to start of construction. 
</p><p>
The Contractor might be asked to provide supporting documents, such as array layouts, to agency environmental officials. 
</p>",Advanced,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
20,Federal Communications Commission (FCC),<p>This section describes requirements from the Federal Communications Commission for solar PV systems to meet in regards to electromagnetic interference and setbacks.</p>,"<p>Per FCC CFR Title 47 Part 15B, the PV system shall not emit electromagnetic interference (EMI) that interferes with other communications, and incoming EMI shall not cause problems with the control or performance of the PV system. If the PV system emits EMI, the Contractor shall turn off the system and take sufficient measures to eliminate the emission of EMI prior to restarting the system.</p><p>

The Contractor shall specify FCC Title 47 Part 15 Class A compliant equipment and  implement a 250-foot setback (minimum) from the PV system to any existing radar equipment to minimize physical blocking or reflection of the radar signals. If siting near any existing Very High Frequency (VHF) Omnidirectional Range (VOR) equipment, the Contractor shall reference FAA Order 6820.10. For more information, please see NREL's publication ""Photovoltaic Systems Near Airfields: Electromagnetic Interference.""</p>",,Advanced,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
21,Permits and Licensing,<p>This section details the documentation and requirements the Contractor must provide in regards to permitting and licensing.</p>,"<p>The Contractor shall be responsible for preparation time, documents, drawings, calculations, and costs of permits and licenses.</p>",,Minimum,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
22,Permits and Licensing (Advanced),<p>This section details the documentation and requirements the Contractor must provide in regards to permitting and licensing.</p>,"<p>The Contractor shall be responsible for:</p>

<ul></li><li>Preparing all permitting and licensing applications for the project.
</li><li>Providing any supporting documentation, data, and information that may be required.
</li><li>Coordinating and acting as the primary liaison with permitting and licensing agencies.
</li><li>All permitting and licensing fees.
</li><li>Complying with all requirements of permits and licenses for the project.</li></ul>
",,Advanced,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
23,Local Fire Marshal Involvement,<p>This section describes the requirements the Contractor must meet to involve the local fire marshal and comply with local fire codes.</p>,<p>The Contractor shall involve the local fire marshal or authority having jurisdiction for fire protection to provide design approval. The Contractor shall review the design of the system with the fire marshal and observe design guidelines regarding firefighter access in the International Association of Fire Fighters and the NEC 690 (2017).</p>,,Minimum,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
24,Local Fire Marshal Involvement (Advanced),<p>This section describes the requirements the Contractor must meet to involve the local fire marshal and comply with local fire codes.</p>,"<p>The Contractor shall involve the fire marshal or organization responsible for fire protection to provide design advice and design approval. The Contractor shall review the design of the system with the fire marshal and observe design guidelines regarding firefighter access in the International Association of Fire Fighters and the NEC 690 (2017).
</p><p>
These guidelines include requirements for: pathways through the array, cutouts where firefighters can pass each other and lay down equipment, smoke ventilation, required markings and signage, and other important information. The Contractor shall invite local firefighters to a training where firefighters will be shown how the system works and how to shut it down, and shall work with the fire marshal to determine where to post the permanent instructions and required markings. The Contractor shall coordinate with local fire marshals on array setback requirements, first responder training, and posted instructions for shutoffs.</p>",,Advanced,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
25,Professional Engineer and Licensed Design Professionals,<p>This section describes the requirements that the architectural and engineering services provided be performed by professionals licensed in the state where the project is being constructed.</p>,"<p>All architectural and engineering (A-E) services shall be performed by design professionals licensed in the state in which the project is being built, with responsible control for each respective design discipline. Upon request by the Government, all design and/or coordination meetings shall be attended by the A-E licensed design professionals, at no additional cost to the government. </p>",,Advanced,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
26,Registration Seals,<p>This section describes the requirements for final design documents to have the seal of the professional responsible for the document.</p>,"<p>Each submitted final design drawing, calculation document, and specification manual shall be signed and dated by, bear the seal of, and show the State Certificate Number of the Architect or Engineer who prepared the document and is responsible for its preparation.</p>",,Advanced,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
27,North American Board of Certified Energy Practitioners (NABCEP),<p>This section describes the requirements for a NABCEP-certified installer to always be present.</p>,"<p>The installation crew shall include at least one NABCEP ""PV Installation Certified"" installer. The goal of this requirement is to ensure that the Contractor follows industry best practices in regard to the installation, operation, and health and safety of the PV system.</p>",,Advanced,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
28,Coordination of Professional Services,<p>This section describes the requirements for the Contractor to coordinate all services provided for this project.</p>,"<p>The Contractor shall be responsible for the professional quality, technical accuracy, and coordination of all investigations, studies, drawings, testing, cost estimating, submittals, written reports, construction, operations, and deliverables, as required by this document or as required to complete the work of this contract.</p>",,Advanced,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
29,Coordination of Subcontractor's Credentials,<p>This section describes the Contractor's responsibility to coordinate any submittals provided by subcontractors and/or suppliers.</p>,"<p>The Contractor shall ultimately be responsible for the completeness, accuracy, and coordination of all submittals but may delegate the preparation of submittals in whole or in part to subcontractors or suppliers.</p>",,Advanced,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
30,Severe Weather,<p>This section describes storm events that must be considered when designing and constructing the PV system.</p>,"<p>The severe weather requirements shall be considered in any area likely to experience any one of the following events during the life of the project:</p>
<ul><li>Any high wind event greater than 70 MPH
</li><li>Hurricanes
</li><li>Tornadoes
</li><li>Thunderstorms
</li><li>Summer monsoons 
</li><li>Blizzards
</li><li>Flooding 
</li><li>Dust storms</li></ul>
",,Minimum,Specifications,All,,Engineering; Severe Weather,,All
105,"Roof Arrays - Sloped Roofs - Severe Weather, High Wind Climates","<p>This section describes the requirement prohibiting installation on sloped roofs close to roof edges, hips, and valleys, where wind pressures are high relative to interior zones. </p>","<p>The following principles taken from ""RMI - Solar Under Storm 2"" shall be followed:<p>
<ol>
<li>The roof shall be zoned into pressure zones as shown on page 30.  The structural engineer is to stay within Zone 1 - the ""Green Zone"" - which shall also meet fire code required setbacks from roof edges and hips and valleys.</li></ol>",,Minimum,Specifications,Array Type: Roof Mount,,Engineering; Safety,,All
107,Modules in Severe Weather - Wind,<p>This section describes the module specifications and mounting details needed to prevent the module from dislodging from the rack.</p>,"

<p style=""padding-left:16px"">
1. Use of 5400 Pa front load rated modules required. <br/>
2. To gain full rated 5400 Pa strength, the Contractor shall consult the module manufacturer and prescribe the mounting details:<br/></p>
<p style=""padding-left:32px"">2a. Minimum number of rails recommended.<br/>
2b. Module manufacturer approved fastener specifications.  <br/>
2c. Module manufacturer approval of ideal location of fasteners on frame.  The ideal position of the fasteners shall be based on wind tunnel testing, however module recommendations based on UL 2703 is sufficient for warranty purposes. <br/></p>
<p style=""padding-left:16px"">3. The type of mounting fastener must be specified with three important considerations as to the choice of fasteners:</p>
<p style=""padding-left:32px"">3a. Through-bolting modules to mounting rails shall be explored with the module manufacturer as a first choice. <br/>
3b. If top-down clamps are necessary, use a style that prevents ""row domino"" (see figure.) <br/>
3c. Any fasteners used to secure modules shall include rated locking fasteners based on DIN-65151.<br/>
3d. Top-down module clamps are to be considered a special case ""soft joint"" and require spring/cupped style washers to ensure clamp loading is maintained. </p>
<p style=""padding-left:16px"">4. Deflection and torsional bending of the underlying rack framing shall be highlighted and addressed by a structural engineer to prevent undue stress on the modules mounted above.<br/>
</p>",,Minimum,Specifications,Array Type: Roof Mount,,Engineering; Safety,,All
108,Modules in Severe Weather - Wind: Fasteners,<p>Describes a preference to through bolt where possible. </p>,"
<ol>

<li>Specify PV panels and rail/rack systems that have UL 1703 and UL 2703 listing (as applicable), and an ICC AC 428 evaluation report. 
</li><li>Fastener failures are a common primary point of failure for PV systems in severe weather, so this system requires robust design and quality installation of all bolted joints. 
</li><li>Modules shall be through-bolted to the underlying racking only; top down clamps should not be used under any circumstances.
</li><li>Threaded fasteners should include locking mechanisms to address both preload relaxation and joint slip. 
</li><li>Spring/cupped washers such as Belleville washers shall be used to compensate for preload relaxation, as specified by the structural engineer.
</li><li>Wedge-lock washers and pre-applied thread lock can help mitigate slip in the bolted joint, fasteners should be designed and installed by the structural engineer in accordance with standard DIN 65151. 
</li><li>Under no circumstances shall split washers, nylon-insert nuts, double-nutting, star washers, and/or serrated flange nuts be used to provide fastener locking capability.</li> 

</ol>",,Minimum,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
32,Minimum Loading Strength of Modules,"<p>This section describes the test parameters for snow, hail and wind loading that the PV modules must meet.</p>","<p>PV Modules shall be tested per ASTM E1830-15, which prescribes test parameters for loading (snow and wind) of solar modules (front and back sides). For best protection against physical damage, the Contractor shall consider modules that are rated for ""Very Severe Hail"" as per ANSI 4473. Table 1 below provides specific data on front and back load ratings.</p>",,Minimum,Specifications,All,Module,Engineering; Severe Weather,Table 1|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID32_33_Table_1_Minimum_Loading_Strength_of_Modules.jpg,All
34,Additional Module Features for  Durability,<p>This section covers any module or racking feature that can be added to increase the durability of modules under high wind loading.</p>,<p>The Contractor will consult with module and racking manufacturers to discuss product options that can be selected to increase module strength and prevent module cell cracking.</p>,,Minimum,Specifications,All,,Engineering; Severe Weather,,All
36,Mounting Solar Modules,"<p>This section describes the requirements for racking/mounting systems in regards to severe weather, codes, and best practices.</p>","<p>Specify PV panels and rail/rack systems that have UL 1703 and UL 2703 listing (as applicable) and an ICC AC 428 evaluation report. 
</p><p>
In regions that experience high wind environments greater than 70 MPH,  a third rail system shall be installed (Figure 1).
</p><p>
Racking rails shall be mounted portrait (perpendicular to the long side of module), with spacing as prescribed by the module manufacturer (Figure 1).
</p><p>
The Contractor shall not utilize simple friction clamps, as seen in Figure 2,  as this may lead to ""domino effect"" loss of an entire row of modules. 
    </p><p>
The Contractor, when possible, shall: </p>


<ul>
<li>Utilize through bolts on the modules at the end of the rows.
</li><li>Utilize bolts paired with a nut and/or washer to enable fastener system to meet DIN 25201 locking standards.
</li><li>Ensure that the racking manufacturer or project engineer specifies a torque rating on the fasteners.
</li><li>Utilize friction module clamps of the ""U"" and ""H"" shape, as seen in Figure 3 below. The intent is to prevent total loss of all modules in a row due to domino effects. 
</li><li>Utilize friction module clamps at least 3"" in length.</li></ul>",,Minimum,Specifications,All,Module,Engineering,Figure 1|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID36_37_Figure_1_Mounting_Solar_Modules.jpg; Figure 2|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID36_37_Figure_2_Mounting_Solar_Modules.jpg; Figure 3|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID36_37_Figure_3_Mounting_Solar_Modules.jpg,All
38,Mounting Solar Modules - Fastener Implications,<p>This section describes the importance of working with module and racking manufacturers for the best outcome.</p>,"<p>The Contractor shall consult with module and rack manufacturers to select the module clamps, clamp locations, and quantity of clamps to achieve the greatest durability under wind, hail, and snow loading.</p>",,Minimum,Specifications,All,Module; Racking,Engineering; Severe Weather; Safety,,All
40,Clamps Used on Structural Elements,<p>This section describes the types of structural clamping systems that Contractors cannot use.</p>,<p>Under no circumstances shall clamping systems be used to hold underlying structural frame members together (Figures 1 and 2).</p>,,Minimum,Specifications,All,Racking,Engineering; Severe Weather; Safety,Figure 1|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID40_41_Figure_1_Clamps_Used_On_Structural_Elements.jpg; Figure 2|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID40_41_Figure_2_Clamps_Used_On_Structural_Elements.jpg,All
42,Use of Self-Tapping Sheet Metal Screws,"<p>This section describes the requirement that the Contractor must not use self-tapping sheet metal screws for any reason, unless approved by the agency.</p>","<p>Under no circumstances shall self-tapping sheet metal screws of any grade be used to hold PV system structural elements together or to mount conduit, electrical enclosures, metering, or weather station components. </p>",,Minimum,Specifications,All,Racking,Engineering; Severe Weather; Safety,,All
43,Use of Self-Tapping Sheet Metal Screws (Advanced),"<p>This section describes the requirement that the Contractor must not use self-tapping sheet metal screws for any reason, unless approved by the agency.</p>","<p>Under no circumstances shall self-tapping sheet metal screws of any grade be used to hold PV system structural elements together or to mount conduit, electrical enclosures, metering, or weather station components. Further, these screws shall not be used for field-assembled fencing, lighting, security camera systems, or communications equipment. Any proposed use of self-tapping screws must be pre-approved by the agency Contracting Officer or Contracting Officer's Technical Representative (COTR) having authority. Any such screws approved for use must be SAE 316-grade stainless suitable for marine applications.</p>",,Advanced,Specifications,All,Racking,Engineering; Severe Weather; Safety,,All
44,Use of Non-Rated Locking Mechanisms,<p>This section describes the requirement that the Contractor not use fasteners not rated for wind-induced vibration and thermal cycling loosening.</p>,"<p>Under no circumstances shall split washers, nylocks, and or serrated flange nuts be used to provide fastener locking capability.  Only fasteners that meet DIN-25101 ratings for locking shall be used. </p>",,Minimum,Specifications,All,Module; Racking,Engineering; Severe Weather; Safety,,All
46,Special Note on the Use of Chemical Locking Compounds,<p>This section describes the limits of using chemical locking compounds on threaded fasteners.</p>,"<p>Chemical locking compounds can be used effectively to lock fasteners, but shall be avoided when possible due to lack of field adjustability and ability to audit. These compounds have unknown durability when exposed to UV, humidity, and heat.</p>","<p>Chemical locking compounds can be used effectively to lock fasteners; however, Contractors should be aware of three significant limitations to these products. Thread locking compounds prevents re-tightening should a bolted joint lose its pre-load on fastener. Additionally, chemical compounds prevent torque audits. It is unclear how durable locking compounds will be when exposed to heat, moisture, sunlight, and corrosive dust and marine air. </p>",Minimum,Specifications,All,Module; Racking,Engineering; Severe Weather; Safety,,All
48,Torque Rating of Fasteners,<p>This section describes the processes the Contractor must adhere to in regards to torqueing all fasteners to the recommended manufacturer specifications.</p>,"<p>Each subassembly shall be torqued to manufacturer's specification using torque wrenches or drivers designed to provide calibrated and metered forces and be rated by ISO 6780-2. For field-assembled components of disparate manufacturers or from custom fabrications, a structural engineer shall specify torque ratings and field assembly procedures to be included in submittals and construction drawings. These torque ratings and procedures shall be included in operations and maintenance manuals for later use.
</p><p>
For fasteners holding friction or clamping forces, Section 3.3 of ICC AC 428, 2012 shall apply.
</p><p>
The Contractor shall utilize an established torque auditing procedure. 
</p>",,Minimum,Specifications,All,Module; Racking,Engineering; Severe Weather; Safety,,All
49,Torque Rating of Fasteners (Advanced),<p>This section describes the processes the Contractor must adhere to in regards to torqueing all fasteners to the recommended manufacturer specifications.</p>,"<p>Each subassembly shall be torqued to manufacturer's specification using torque wrenches or drivers designed to provide calibrated and metered forces and be rated by ISO 6780-2. For field-assembled components of disparate manufacturers or from custom fabrications, a structural engineer shall specify torque ratings and field assembly procedures to be included in submittals and construction drawings. These torque ratings and procedures shall be included in operations and maintenance manuals for later use.</p>

<p>For fasteners holding friction or clamping forces, Section 3.3 of ICC AC 428, 2012 shall apply.</p>

<p>At a minimum, field assembly and audit procedures shall include the following:</p>
<ul>
<li>Threaded fasteners shall be pre- or field-treated with anti-spalling compounds. 
</li><li>The fastener must be torqued to the rating to achieve full loading, and it shall be assumed that this pre-loading will relax as Washer Electrical Equipment Bonds (WEEBS) and metal surfaces mold and mate into each other.
</li><li>Allow metal surfaces of bolted joints to mate after the initial torque rating is achieved. Each fastener is to be torqued to rating a second time.
</li><li>The Contractor must mark each fastener torqued with a metal marker to indicate complete installation of the fastener. Figure 1 shows the marked nut, indicating that torquing has been performed.
</li><li>As part of the commission process, an independent agent shall audit a randomly selected group of fasteners for proper torque. The commissioning agency shall use the ""First-Movement"" technique to confirm that proper torque has been achieved.
</li><li>Auditing of bolted joints shall at a minimum use the ""First Movement Method"" of auditing and confirming torque ratings.
</li><li>Mark fastener and material as shown in Figure 2.
</li><li>Set the torquing tool to the specified setting.
</li><li>Turn the fastener in the direction to tighten it (often clockwise) and note if the fastener turns substantially until reaching the specified torque rating. This will be indicated when the mark on the nut no longer aligns with that on the surface of the clamped material. Figure 2 shows the marked bolt and clamped part. If misalignment of the mark on the fastener and clamped part is minor, then this shall be considered within the limits of the specification. However, if it is as shown in Figure 3, the mark on the fastener and the clamped part is greatly misaligned, and this is out of spec. A fastener that moves more than 3 degrees during the torque audit shall be classified as out of spec.
</li><li>If the audit reveals fasteners out of specification with the torque ratings:</li>
          <ul><li>Audit additional fasteners to gain a better sense of what percentage of fasteners are out of specification.
          </li><li>If the quantity (%) of fasteners is out of torque specification by more than 1-3 percent, all fasteners will need to be re-torqued.
          </li><li>Re-audit the fasteners to confirm torque ratings have been achieved.</li></ul></ul>
",,Advanced,Specifications,All,Module; Racking,Engineering; Severe Weather; Safety,Figure 1|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID49_Figure_1_Torque_Rating_of_Fastener.jpg; Figure 2|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID49_Figure_2_Torque_Rating_of_Fasteners.jpg; Figure 3|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID49_Figure_3_Torque_Rating_of_Fasteners.jpg,All
50,Soft Joint Bolting,<p>This section describes requirements for soft joint bolting of tubular materials in the structure of the PV system.</p>,"<p>In instances where tubular materials are bolted together forming ""soft joints"" (Figures 1 and 2),  the following bolting requirements apply:
</p>


<ul>
<li>The project engineer shall specify torque ratings to achieve proper pre-loading on a bolt that provides needed clamping forces without collapsing the joint.
</li><li>Use of a locking fastener that can compensate for joint relaxation due to loss of a bolt pre-load (Figure 3) shall be used.  Use of spring/cupped washers to be specified.
</li><li>The product or project engineer shall be used to maintain bolt pre-load with soft joints. </li>  </ul>
",,Minimum,Specifications,All,Racking,Engineering; Severe Weather; Safety,Figure 1|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID50_51_Figure_1_Soft_Joint_Bolting_Exterior_view.jpg;  Figure 2|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID50_51_Figure_2_Soft_Joint_Bolting_Interior_View.jpg;  Figure 3|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID50_51_Figure_3_Soft_Joint_Bolting_Loss_of_Preload.jpg,All
52,Corrosion Resistance - Marine,<p>This section describes the requirements for PV system components to be corrosion resistant.</p>,"<p>All PV hardware and rack components shall be of corrosion-resistant material, such as stainless steel SAE grade 316. Aluminum and hot-dipped galvanized steel may be used for non-marine environments under ASTM A123 specifications.  Fasteners shall be compliant with ASTM F2329.</p>",,Minimum,Specifications,All,Racking,Engineering; Safety,,All
54,Array Grounding Systems,<p>This section describes requirements for PV system grounding components.</p>,"<p>Components in the array grounding system shall consist only of copper, brass, and stainless steel componentry.</p>",,Minimum,Specifications,All,Racking,Engineering; Safety,,All
55,Array Grounding Systems (Advanced),<p>This section describes requirements for PV system grounding components.</p>,"<p>Components in the array grounding system shall consist only of copper, brass, and stainless steel componentry. Under no circumstances shall grounding lugs be mounted using standard carbon steel fasteners. Grounding lug set screws must be of the same metal as the lug or stainless steel to prevent galvanic corrosion.</p>",,Advanced,Specifications,All,Racking,Engineering; Safety,,All
56,Wire Management,<p>This section describes best practices for wire management of the PV array(s).</p>,"<p>Under no circumstances shall plastic (non-metallic) cable-ties be used to secure and organize array wiring exterior to electrical enclosures. Exterior, long-life plastic ties shall not be used. Use of purpose-built hangers or stainless steel ties or other stainless or galvanized hardware shall be used in wire management. 
</p><p>
Wire shall not lie exposed directly on the roof surface or ground. Long horizontal conduit runs shall have expansion unions every 30' in order to reduce wire abrasion caused by fixed couplings.   
</p><p>
Array wiring shall not be routed in a way that results in direct sun exposure.
</p>",,Minimum,Specifications,All,Module; MLPE; Racking,Engineering; Severe Weather; Safety,,All
57,Wire Management (Advanced),<p>This section describes best practices for wire management of the PV array(s).</p>,"<p>Under no circumstances shall plastic (non-metallic) cable-ties be used to secure and organize array wiring exterior to electrical enclosures. Exterior, long-life plastic ties shall not be used. Stainless steel ties or other stainless or galvanized hardware shall be used in wire management. Ties shall be UL-listed and have a minimum breaking strength of 40 lbs.
</p><p>
No mast heads entering the top or side of electrical enclosures shall be used to route string wiring into cabinets. String electrical conductors are to be routed through the bottom of the electrical enclosures to prevent wind-driven water infiltration.
</p><p>
Wire cannot lie exposed directly on the roof surface or ground. Long horizontal conduit runs shall have expansion unions every 30' in order to reduce wire abrasion caused by fixed couplings. Couplings and expansion unions must use anti-abrasion bushings.  All power wiring shall be attached to the system components by the use of strain reliefs or cable clamps, unless enclosed in conduit.
</p>",,Advanced,Specifications,All,Module; MLPE; Racking,Engineering; Severe Weather; Safety,,All
58,Preventing Water Intrusion in Conduit,<p>This section provides guidance on preventing water intrusion in conduit.</p>,"<p>Conduit routing and fittings must be selected to prevent water intrusion into all electrical equipment. Conduit must connect through the bottom of enclosures and provide fittings to allow water to drain prior to entering the electrical enclosure.
</p><p>
Any exterior PVC conduit must be Schedule 80. All exterior wiring downstream of combiner boxes or string inverters must be in conduit.
</p>",,Advanced,Specifications,All,Inverter; Meter/Monitoring; Battery Storage,Engineering; Severe Weather; Safety,,All
59,NEMA Rated Enclosures,<p>This section provides guidance on preventing water from entering electrical enclosures and identifies the minimum NEMA rating that must be used for all enclosures.</p>,"<p>All exterior housings must be continuously welded, NEMA 4 (or better), fully gasketed, continuously hinged (piano hinge) with three-point door closure clamps, and designed to prevent water intrusion from hose down, splashing water, and wind-driven rain. Gaskets must be molded and of one continuous shape, with no seams. </p>",,Minimum,Specifications,All,,Engineering; Severe Weather; Safety,,All
60,NEMA Rated Enclosures (Advanced),<p>This section provides guidance on preventing water from entering electrical enclosures and identifies the minimum NEMA rating that must be used for all enclosures.</p>,"<p>All exterior housings must be continuously welded, NEMA 4 (or better), fully gasketed, continuously hinged (piano hinge) with three-point door closure clamps, and designed to prevent water intrusion from hose down, splashing water, and wind-driven rain. Gaskets must be molded and of one continuous shape, with no seams. All equipment mounted to the interior of the enclosure shall use back plates to minimize exterior cabinet penetrations. Minimum mounting height of enclosures shall be based on the 100-year flood plain and surge levels. </p>",,Advanced,Specifications,All,,Engineering; Severe Weather; Safety,,All
61,Transformer Disconnects,<p>This section describes the disconnect configuration required for transformers.</p>,"<p>Each transformer must have external and lockable disconnects, one on the primary side and a separate one on the secondary side.</p>",,Advanced,Specifications,All,,Engineering; Safety,,All
62,Locating Equipment and Appearance,<p>This section provides guidance on the best locations to install electrical equipment.</p>,"<p>Major electrical components, including the inverter, isolation transformer, and metering shall be installed in code-compliant enclosures. Components shall be located indoors whenever feasible, in ventilated (or air conditioned) utility rooms and where space and codes allow. In climates and locations with high heat and/or humidity, Contractor shall install air conditioning in room housing major electrical components.
</p><p>
When inverters and major electrical components are located outdoors they shall be protected from direct exposure to weather (sun, rain, snow, and sleet). A simple open-sided shed roof structure is sufficient, as is a location under shaded carport arrays. Under no circumstances shall inverters be located on roofs in direct sun. In areas affected by severe weather events (hurricanes, flooding, monsoons, etc.), special consideration must be given when identifying locations for major electrical equipment. 
</p><p>
The Contractor shall coordinate with the Contracting Officer's Technical Representative (COTR) and Electrical Engineer (EE) regarding locations and appearance of all equipment, including PV modules, conduit, inverters, disconnect switches, wire ways, and control and monitoring equipment. The COTR and EE must approve all locations prior to installation.</p>",,Advanced,Specifications,All,,Engineering; Severe Weather,,All
63,Expected Service Life,<p>This section describes the expectations that the materials used in the project shall last the expected service life of 30 years. </p>,"<p>Unless noted otherwise, all materials furnished for the project shall have an expected service life of thirty (30) years or more, given the unique service conditions of each PV system site. Equipment warranties (modules, inverters, etc.) are shorter than the expected service life. With a 30-year system life, it is common and well understood by industry that inverters and a small percentage of failed modules would need to be replaced, though the system as a whole would provide at least 30 years of service. Agencies shall seek the type of equipment and workmanship that can result in a 30-year system.
</p>",,Advanced,Specifications,All,,Engineering,,All
64,Minimum Transformer Efficiency Rating,<p>This section describes the requirements that any new transformers installed as part of the project be high-efficiency. </p>,"<p>Any new transformers installed as part of the project shall be high-efficiency transformers. All such transformers shall comply with ""NEMA Premium Efficiency"" and be of amorphous steel core with bio-based oil.</p>",,Advanced,Specifications,All,,Engineering,,All
65,Site Service Conditions,<p>This section describes the site-specific conditions that the equipment must withstand.</p>,"<p>Materials shall be designed to withstand the year-round temperatures and conditions to which they are exposed (sunlight, heat, rain, cold, wind, seismic activity, salt air, fog, marine corrosiveness, etc.)</p>",,Advanced,Specifications,All,,Engineering; Severe Weather; Safety,,All
66,Same Manufacturer and Product Line,<p>This section requires that the Contractor use the same manufacturer and product line for all components of the PV system.</p>,"<p>All modules, inverters, and electrical switchgear are to be of the same manufacturer and product line for each PV system.</p>",,Advanced,Specifications,All,,Engineering; Safety,,All
67,New Equipment,"<p>This section requires that all equipment used for the project be ""out-of-the-box"" new. </p>","<p>The Government shall not accept used, reconditioned, after-market, or grey-market products or equipment. The Contractor may be held responsible for damages to the Government if the Contractor supplies used, reconditioned, after-market, or grey-market products</p>",,Advanced,Specifications,All,,Engineering; Safety,,All
68,Markings (Labeling),"<p>This section requires the PV system meet all marking requirements from local, state, and federal codes to ensure safety of all personnel. </p>","<p>Strict conformance to system marking requirements of PV systems and their components is crucial for the safety of operators, service personnel, emergency responders, and others. General PV system labeling requirements, as per NEC 690 Ch. VI and specific requirements from Articles 690 and 705. Include all required and desired labeling language in the design drawings for agency review.</p><p>

Electrical equipment and components used in PV systems shall have markings that identify the manufacturer, size, type, ratings, hazard warnings, and other specifications. Equipment markings shall never be removed and shall be able to withstand the environmental conditions in which the equipment is installed (e.g., ""UV rated"" for outdoor labels). Markings must be visible or easily accessible during and after installation. The Contractor shall be responsible for all field-applied markings as required by local, state, and federal codes.
</p>",,Advanced,Specifications,All,,Safety,,All
