Project_Title,Awardees,CID,SUBPROGRAM,SUBPROGRAM_NODE,Award_Type,FOA_NAME,FOA_Acronym,Status,Award_Start_Date,Award_End_Date,Total_Government_Share,Cost_Share,City,State,Zip_Code,Node,Latitude,Longitude,Principal_Investigator,Project_Description
"AETHER: Advanced Energy Tower, High Efficiency Receiver",Abengoa Solar,EE0007115,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power: Advanced Projects Offering Low LCOE Opportunities,CSP APOLLO,Inactive,9/1/2015,8/31/2018,"$2,697,434 ","$2,127,433 ",Lakewood,CO,80401-4489,node/1430046,39.715877,-105.231183,Dylan Grogan,"This project will use particles that represent a heat transfer material that can support cycle temperatures of 1,100&deg;C or higher without complex freeze protection systems. The project will develop designs for a receiver using a novel heat pipe strategy, material handling and storage of hot particles, and ducting of hot, pressurized air."
Advanced Polymeric Reflector for CSP Applications,Abengoa Solar,GO18036/FC36-08GO18036,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power (CSP) Research and Development,CSP R&D,Inactive,3/1/2008,6/30/2012,"$1,663,667 ","$629,643 ",Lakewood,CO,80401-4489,node/790326,39.715877,-105.231183,Keith Boyle,"Abengoa Solar, under the CSP R&D FOA, is developing and scaling up a previously demonstrated advanced solar reflector material for use in CSP applications."
Next-Generation Parabolic Trough Collectors and Components for CSP Applications,Abengoa Solar,GO18037/FC36-08GO18037,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power (CSP) Research and Development,CSP R&D,Inactive,2/1/2008,10/31/2012,"$4,410,492 ","$1,102,736 ",Lakewood,CO,80401-4489,node/790336,39.715877,-105.231183,Patrick Marcotte,"Abengoa Solar, under the CSP R&D FOA, is developing the technology needed to build a competitive parabolic trough industry for the U.S. utility market."
Development of Molten-Salt Heat Transfer Fluid Technology for Parabolic Trough Solar Power Plants,Abengoa Solar,GO18038/FC36-08GO18038,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power (CSP) Research and Development,CSP R&D,Inactive,4/1/2008,12/31/2012,"$3,230,585 ","$807,823 ",Lakewood,CO,80401-4489,node/790316,39.715877,-105.231183,Brian Luptowski,"This project analyzed the feasibility, cost and performance of a parabolic trough solar power plant with a molten salt heat transfer fluid (HTF); researched and/or developed feasible component options, detailed cost estimates and workable operating procedures; and developed hourly performance models. As a result, a molten salt plant with 6 hours of storage was shown to reduce Thermal Energy Storage (TES) cost by 43.2%, solar field cost by 14.8%, and levelized cost of energy (LCOE) by 9.8% - 14.5% relative to a similar state-of-the-art baseline plant. The LCOE savings range met the project's Go/No Go criteria of 10% LCOE reduction. Another primary focus of Phase 1 and 2 was risk mitigation. The large risk areas associated with a molten salt parabolic trough plant were addressed in both Phases, such as; HTF freeze prevention and recovery, collector components and piping connections, and complex component interactions."
Advanced Thermal Energy Storage for Central Receivers with Supercritical Coolants,Abengoa Solar,GO18149/FG36-08GO18149,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,12/31/2011,"$605,633 ","$151,318 ",Lakewood,CO,80401-4489,,39.715877,-105.231183,Bruce Kelly,"Abengoa will determine if supercritical heat transport fluids in a power tower plant, in combination with ceramic themocline storage, offers a reduction in levelized energy cost relative to a baseline nitrate salt concept."
Reducing the Cost of Thermal Energy Storage for Parabolic Trough Solar Power Plants,Abengoa Solar,GO18156/FG36-08GO18156,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,3/31/2013,"$1,705,412 ","$426,850 ",Lakewood,CO,80401-4489,node/790406,39.715877,-105.231183,Keith Gawlik,"Abengoa, under the Thermal Storage FOA, is looking at innovative ways to reduce thermal energy storage (TES) system costs."
Advanced CdTe Photovoltaic Technology,Abound Solar,NREL/SR-5200-51517,"Concentrating Solar Power, Technology to Market","node/790241, node/928446 ",Funding Opportunity,Incubator 1,Incubator 1,Inactive,,,"$2,430,000 ",,Fort Collins,CO,80521,node/791011,40.588966,-105.137591,,"Abound Solar simplified a thermal process to fabricate low-cost, high-efficiency thin-film CdTe power modules. A module efficiency of 10.0% was achieved on a 65 megawatt (MW) manufacturing line. The cycle time from glass-to-finished modules was reduced to about 2 hours, and the film thickness achieved was less than 3.0 microns. Before closing in 2012, the company also developed a new packaging scheme that does not use the more expensive ethylene vinyl acetate (EVA) sheet in the finished PV product."
"Indirect, Dual-Media, Phase Changing Material Modular Thermal Energy Storage System",Acciona,GO18152/FG36-08GO18152,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,8/31/2011,"$100,000 ","$25,000 ",Chicago,IL,60603,node/790411,41.880916,-87.625425,Marc Newmarker,"As more renewable energy is added to the electric grid, ensuring a reliable and efficient grid becomes more challenging. This project will automate smart energy transactions and improve grid operations when more solar energy is connected to the grid."
"Sensible Heat, Direct, Dual-Media Thermal Energy Storage Module",Acciona,GO18158/FC36-08GO18158,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,12/31/2010,"$500,000 ","$125,000 ",Chicago,IL,60603,node/790411,41.880916,-87.625425,Marc Newmarker,"Acciona Solar, under the Thermal Storage FOA, plans to design and validate a prototype and demonstrate a full-size (800 MWth) thermal energy storage (TES) system based on phase change materials (PCMs)."
Racking System for Commercial Solar Arrays,Acme Express,SC0018873,Technology to Market,node/928446,Funding Opportunity,Small Business Innovation Research,SBIR,Active,7/2/2018,7/1/2019,"$155,000 ",,Cleveland,OH,44115,node/790986,41.4963,-81.672,Don Scipione,"Current solar panel racking systems have several components and require pre-ordering, transporting, inventorying, and labor-intensive deployment. This team will develop an automated racking system that produces the rack from raw material on-demand and on-site during an automated installation process. It is expected to reduce the cost of commercial, flat-roof solar installations by approximately nine percent."
First Look Fund,Activation Energy,EE0008239,Technology to Market,node/928446,Funding Opportunity,Innovative Pathways,Innovative Pathways,Active,11/1/2017,2/28/2020,"$928,736 ","$232,184 ",San Francisco,CA,94131,node/2680078,37.74363,-122.443182, Matthew Price,"This project is building a fund that provides early investors with technology testing data rather than company equity. By using shared lab resources to reduce technical risk efficiently, the new fund seeks to provide valuable insight to early funders without overly constraining the commercialization pathway of nascent companies."
Loop Thermosyphon Enhanced Solar Collector,Advanced Cooling Technology ,EE0008398,Concentrating Solar Power,node/790241,Funding Opportunity,Solar Desalination,,Active,10/1/2018,9/30/2021,"$1,500,000 ","$375,000 ",Lancaster,PA,17601,node/3539654,40.076553,-76.31068,Fangyu Cao,"This team will develop a loop thermosyphon solar collection system for efficient, low-cost solar-thermal desalination that does not require fluid to be actively pumped throughout the system. The design will take advantage of nanofluids with higher solar absorptivity and a two-phase thermosyphon to improve the system's efficiency and simplify the collection of solar-thermal energy used in desalination processes."
Predictive Module Degradation and Failure Identification Solution,Advanced Power Electronics Corporation,SC0017872,Technology to Market,node/928446,Funding Opportunity,Small Business Innovation Research,SBIR,Inactive, , ,     ,,Orlando,FL,32826,node/790986,28.588358,-81.184561, ,This project is developing photovoltaic module diagnostics technology that can be integrated into existing solar power system components. The diagnostics system will greatly improve the efficiency and effectiveness of long-term solar system operation and maintenance.
"Transforming PV installations Toward Dispatchable, Schedulable Energy Solutions",Ae Solar Energy,EE0005340,Systems Integration,node/791071,Funding Opportunity,Solar Energy Grid Integration Systems - Advanced Concepts,SEGIS-AC,Inactive,9/1/2011,4/30/2015,"$3,100,000 ","$2,150,000 ",Bend,OR,97701-7407,node/1069051,44.113741,-121.263026,Steve Hummel,"The goal of this project is to address three important needs in the further deployment of photovoltaic (PV) systems: 1) demonstrating and commercializing a new anti-islanding method utilizing Phasor Measurement Units (PMUs), 2) demonstrating a set of advanced grid-support functionalities of power electronics, and 3) demonstrating a novel ""ramp rate controller"" to enable control of the downward ramp rate of a PV plant under transient cloud conditions."
Unique Single-Axis Tracking Planar Waveguide Optical Collector for CSP Modules,Agira Inc.,EE0007338,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power: Concentrating Optics for Lower Levelized Energy Costs,CSP COLLECTS,Active,4/1/2016,9/30/2018,"$628,478 ","$157,084 ",Boston,MA,02215-2421,node/1875916,42.347618,-71.100288, Bal Mukund Dhar,"This project is developing a very low-cost, flat optical collector based on refraction and total-internal reflection at optical interfaces between silicone polymers of different refractive indices. Incoming sunlight is progressively bent and eventually trapped within a glass substrate. Additional benefits include ease of installation and low operations and maintenance costs. The result will be a novel CSP collector which, when manufactured at large scale, will help to bring the cost of electricity below the target of $0.06 per kilowatt-hour."
System Design for CSP Technologies,Alcoa,GO18028/FC36-08GO18028,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power (CSP) Research and Development,CSP R&D,Inactive,3/1/2008,1/31/2013,"$2,128,190 ","$1,529,480 ",Pittsburgh,PA,15212,node/790341,40.482805,-80.036726,Adam Schaut,"Alcoa, under the CSP R&D FOA, is seeking to demonstrate that significant life cycle cost savings and subsequent LCOE reductions are achievable through the design optimization of aluminum-intensive collectors."
Extreme Cost Reductions with Multi-Megawatt Centralized Inverter Systems,ALENCON Acquisitions,EE0005343,Systems Integration,node/791071,Funding Opportunity,Solar Electric Grid Integration &ndash; Advanced Concepts,SEGIS-AC,Inactive,9/1/2011,8/30/2014,"$2,988,925 ","$1,727,125 ",Plymouth Meeting,PA,19462-1123,node/1069061,40.102332,-75.274347,Ulrich Schwabe,"Alencon Systems will develop and commercialize a new type of transformational power electronic technology to utility-scale PV systems based on novel, patent-pending ideas. A 99.1% efficient, centralized inverter with a capacity of up to 100 megawatts lies at the heart of the Alencon system. Feeding this single inverter is an advanced harvesting network that utilizes string-wise maximum power point tracking and high DC voltage (2500 VDC) nodes that are easy to install and maintain."
High-Efficiency Low-Cost Thin-Film GaAs Photovoltaic Module Development Program,Alta Devices,NREL/SR-5200-54398,Technology to Market,node/928446,Lab Award,Incubator 3,Incubator 3,Inactive,,,"$3,000,000 ",,Sunnyvale,CA,94085,node/791011,37.38953,-122.018391,Laila Mattos,"Alta Devices used its DOE funds to develop an innovative high-efficiency (more than 20%), low-cost compound-semiconductor PV module, with market entry expected in 2011. To improve the production economics of high-efficiency PV applications, the unique Alta cell/module architecture employs front and back contacts with minimal efficiency loss, antireflection coatings, and optimized cell geometry and matrix interconnect schemes. Progress to date includes a verified thin-film sub-module efficiency of 20%. Source: Alta Devices. (June 2011)."
Ultra-Thin Monocrystalline Silicon Solar Cells,AmberWave,EE0006019,Technology to Market,node/928446,Funding Opportunity,Incubator 7,Incubator 7,Inactive,10/1/2012,9/30/2013,"$1,000,000 ",,Salem,NH,03079-4235,node/791011,42.788555,-71.200891,Anthony Lochtefeld,"AmberWave has developed a robust, ultra-thin, mono-crystalline silicon (Si) technology on flexible steel carriers, reducing silicon usage by more than 90% compared with mainstream wafer-based silicon photovoltaics (PV). Under this SunShot award, AmberWave is integrating this technology with the proven high-performance solar cell designs developed at the University of New South Wales, which has demonstrated the world-leading, 25%-efficient silicon solar cell."
"Amicus O&M Cooperative 
",Amicus Solar Cooperative,EE0007586,Technology to Market,node/928446,Funding Opportunity,"Technology to Market 2: Incubator 11, SolarMat 4",Incubator 11,Inactive,9/7/2016,4/28/2018,"$357,703 ","$92,053 ",Boulder,CO,80304-0585,node/2039866,40.014986,-105.270546,Amanda Bybee,"This project creates a nationwide network of independent solar operations and maintenance (O&M) professionals. The members of this network share common infrastructure, software platform, legal agreements, reports templates, and training to ensure that clients with geographically diverse assets receive consistent service, regardless of the system location. This network model will lead to greater service coverage and standardized rates. Applying the cooperative business model to this market sector will address current market gaps by providing streamlined, cost-effective O&M services to ensure that commercial and industrial solar photovoltaic systems fulfill their performance expectations over the short and long term."
"Transformational, Low-Cost, Ground Mounting Structure for Concentrator PV (CPV) Modules",AMONIX,EE0005442,Systems Integration,node/791071,Funding Opportunity,Extreme Balance of System Hardware Cost Reduction,Bos-X,Inactive,9/1/2011,9/7/2012,"$4,474,000 ","$3,500,000 ",Seal Beach,CA,90505-4018,node/1074216,33.776443,-118.073055,Adam Plesniak,This project will develop new dual-axis tracking systems specifically for concentrating PV systems.
Efficiency Enhancement in C-Si Solar Cells By introducing Fixed-Charge into Sinx Passivation Film Using a Novel Low-Cost Plasma Charging Method,Amtech Systems,EE0007189,Technology to Market,node/928446,Funding Opportunity,"SunShot Technology to Market: Incubator 10, SolarMat 3, SunPath 2",Incubator 10,Inactive,10/1/2015,10/31/2016,"$930,664 ","$236,000 ",Tempe,AZ,85281-3008,node/1382286,33.436665,-111.940325,JeongMo Hwang,"Amtech is developing a low-cost field-effect passivation technology in partnership with the Georgia Institute of Technology. It uses a novel, concept-proven method of charge introduction into a surface passivation film to improve cell efficiency in advanced c-Si solar cells and ultimately reduce the cost of the electricity. The key objective of this project is to optimize this technology, including passivation film stacks and cell structures, in order to maximize the charging effect and the charge reliability. This project is expected to further the commercialization of the technology while introducing new equipment to the solar industry."
Manufacturable High Efficiency (> 20%) Interdigitated Back Contact Solar Cell Technology Using Si He,Applied Novel Devices,EE0006414,Technology to Market,node/928446,Funding Opportunity,Incubator 8,Incubator 8,Inactive,10/1/2013,9/30/2014,"$500,000 ","$125,000 ",Austin,TX,78717-3005,node/791011,32.552483,-98.370042,Leo Mathew,Project Summary: Applied Novel Devices is developing a new device architecture and manufacturing technology to reduce fabrication cost of high efficiency silicon (Si) solar cells and thereby lower the levelized cost of energy (LCOE).
Advanced Low Cost Intermetallic Coatings for Molten Salt Pump Impeller ,Applied Thermal Coatings,SC0017722,Technology to Market,node/928446,Funding Opportunity,Small Business Innovation Research,SBIR,Inactive, , ,     ,,Chattanooga,TN,37405,node/790986,35.089664,-85.335675, ,This project is developing advanced low-cost intermetallic coatings to protect the molten salt pump impeller against corrosion and blade tip erosion in concentrating solar power systems.
Chemically Reactive Working Fluids,Argonne National Laboratory,Lab25657,Concentrating Solar Power,node/791094,Funding Opportunity,SunShot Concentrating Solar Power R&D,CSP SunShot R&D,Inactive,,,"$4,886,359 ",,Lemont,IL,60439,node/790611,41.673642,-88.001726,Edward Daniels,"Argonne National Laboratory (ANL), under the 2012 SunShot Concentrating Solar Power (CSP) R&D funding opportunity announcement (FOA), is working to identify and test new heat-transfer fluids (HTFs) that store energy chemically for more efficient energy transfer in CSP applications."
High Efficiency Thermal Energy Storage System for CSP,Argonne National Laboratory,Lab25682,Concentrating Solar Power,node/790241,Lab Award,CSP National Laboratory R&D,CSP 2012 Lab Call,Inactive,10/1/2012,9/30/2015,"$2,250,000 ",,Lemont,IL,60439,node/790751,41.673642,-88.001726,Dileep Singh,"Argonne National Laboratory and project partner Ohio Aerospace Institute, under the National Laboratory R&D competitive funding opportunity, will design, develop, and test a prototype high-temperature and high-efficiency thermal energy storage (TES) system with rapid charging and discharging times. By increasing the efficiency of TES systems, this project aims to lower the capital costs of concentrating solar power (CSP) systems."
Refractory Solar Selective Coatings,Argonne National Laboratory,Lab30335,Concentrating Solar Power,node/790241,Lab Award,SunShot National Laboratory Multiyear Partnership,SuNLaMP,Inactive,10/1/2015,9/30/2018,"$3,605,721 ","$126,613 ",Lemont,IL,60439,node/1823761,41.673642,-88.001726,Jeff Elam,"This project is developing high-performance, solar selective coatings for power tower receivers in CSP plants. In CSP tower systems, the receiver is where the reflected light is concentrated and converted to thermal energy. The efficiency of the light-to-heat conversion is an essential factor in determining the overall efficiency of a CSP plant. A reliable and durable solar selective coating can significantly improve efficiency by reducing the amount of light that is re-emitted away from the plant."
High Efficiency Latent Heat Based Thermal Energy Storage System Compatible with Supercritical CO<sub>2</sub> Power Cycle,Argonne National Laboratory,Lab30382,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power: Advanced Projects Offering Low LCOE Opportunities,CSP APOLLO,Inactive,10/1/2015,9/30/2018,"$1,050,000 ","$432,596 ",Lemont,IL,60439,node/1332511,41.672949,-87.962884,Dileep Singh,"This project continues the development of a high-efficiency latent heat thermal energy storage system based on a graphite foam filtered through a phase changer material, which has high thermal conductivity. The project will extend the system to make it compatible with supercritical carbon dioxide power cycles, which use heat transfer fluids at temperatures higher than 720&deg; Celsius."
Addressing Environmental Challenges to Deployment Through the Development of an Avian-Solar Science Plan and a Prototype Avian Risk Assessment Tool,Argonne National Laboratory,Lab30482,Soft Costs,node/791371,Lab Award,SunShot National Laboratory Multiyear Partnership,SuNLaMP,Inactive,10/1/2015,6/30/2018,"$580,000 ",,Lemont,IL,60439,node/1969656,41.673642,-88.001726,Leroy Walston,"The soft costs associated with solar project development can increase with potential wildlife impacts. Avian impact issues associated with utility scale solar development, in particular avian fatalities, are not well understood. This project will address these issues to help reach SunShot soft cost target goals by better understanding avian issues at utility scale solar facilities and their soft cost implications using a systematic, standardized, science-based approach that could be applied across the industry."
An Integrated Tool for Improving Grid Performance and Reliability of Combined Transmission-Distribution with High Solar Penetration,Argonne National Laboratory,Lab31221,Systems Integration,node/791071,Lab Award,SunShot National Laboratory Multiyear Partnership,SuNLaMP,Active,4/15/2016,4/14/2019,"$2,800,000 ","$71,888 ",Lemont,IL,60439,node/1646241,41.673642,-88.001726,Shrirang Abhyankar,"High penetration of solar photovoltaics in electric power grids has created a need for changes to power system planning and operations analysis. Important technical issues such as two-way power flow, coordination of protection devices, transmission-distribution interaction, and reduction in inertia need to be resolved to enable a greater deployment of solar generation. To overcome these technical barriers, this project will develop a suite of software tools that creates a holistic understanding of the steady-state and transient behavior of transmission-distribution networks' interaction under high solar penetration levels, along with the capability of real-time monitoring of the distribution systems and integration of system protection."
Arizona Rooftop Challenge (ARC),Arizona Governor's Office of Energy Policy,EE0005693,Soft Costs,node/791371,Funding Opportunity,Rooftop Solar Challenge,,Inactive,2/15/2012,2/14/2013,"$708,992 ","$130,393 ",Phoenix,AZ,85007-2812,node/791726,33.446272,-112.089368,Blaine Miller,"The Arizona Governor's Office of Energy Policy will identify best practices in finance, permitting, and zoning to move toward voluntary statewide uniformity. The project will drive adoption of an online system in five jurisdictions that allows for over-the-counter/same-day permit review."
High Penetration of Photovoltaic Generation Study Flagstaff Community Power,Arizona Public Service Company,EE0004679,Systems Integration,node/791071,Funding Opportunity,High Penetration Solar Deployment,High Pen,Inactive,1/1/2011,12/31/2013,"$2,347,944 ","$628,995 ",Phoenix,AZ,85072-3999,node/1068351,33.45,-111.97,David Narang,"The project team, led by Arizona Public Service, will evaluate the impacts of high penetrations of distributed PV and energy storage on a dedicated feeder to identify the technical and operational modifications that could be deployed in future feeder designs."
CVD-Based Valence-Mending Passivation for Crystalline -SI Solar Cells,Arizona State University,EE0005322,Photovoltaics,node/790881,Funding Opportunity,Foundational Program to Advance Cell Efficiency,F-PACE,Inactive,9/1/2011,12/31/2014,"$1,500,000 ","$200,000 ",Tempe,AZ,85281-3670,node/790971,33.436665,-111.940325,Meng Tao,"The objective of this project is to integrate a new surface passivation technique into crystalline-Si solar cells for significant efficiency improvements and cost reductions. In collaboration with Arizona State University, this project is substituting the silver finger electrode, which is the biggest cost contributor in cell fabrication, with an earth-abundant metal. The researchers are also investigating the passivation of dangling bonds at grain boundaries with the valence-mending approach. The goals are to narrow the efficiency gap to less than 1% between multicrystalline-Si and monocrystalline-Si solar cells, reduce cell costs by $0.10/W, and make c-Si cells ready for terawatt-scale deployment."
 In-Situ X-ray Nanocharacterization of Defect Kinetics in Solar Cell Materials ,Arizona State University,EE0005948,Photovoltaics,node/790881,Funding Opportunity,Bridging Research Interactions through Collaborative Development Grants in Energy,BRIDGE,Inactive,12/14/2015,8/14/2016,"$854,999 ",,Tempe,AZ,85280-0001,node/790956,33.43,-111.93,Mariana Bertori,ASU is focusing on in-situ x-ray nanocharacterization of defect kinetics in solar cell materials using facilities at Argonne National Laboratory.
Thin Silicon Solar Cells: A Path To 35% Shockley-Queisser Limits,Arizona State University,EE0006335,Photovoltaics,node/790881,Funding Opportunity,Foundational Program to Advance Cell Efficiency 2,F-PACE 2,Inactive,9/30/2013,4/30/2017,"$3,496,535 ",,Tempe,AZ,85280-0001,node/790966,33.43,-111.93,Stuart Bowden,"The goal of this project is to fabricate a novel device structure for ultra-thin crystalline silicon (c-Si) solar cells based on carrier selective contacts. Arizona State University is leading a collaborative effort with the Massachusetts Institute of Technology, the California Institute of Technology, the University of New South Wales, and the Swiss Federal Institute of Technology to achieve this goal. A series of optical and material innovations will be developed that result in novel ultra-thin silicon solar cells with targeted efficiencies of 29%. If successful, such a cell using carrier selective contacts could approach the Shockley&ndash;Queisser (SQ) limit for silicon using a potentially commercializable device structure."
