Program,Activity,Presenting_Organization,Project_Title,Year,URL,Text
Commercial Buildings Integration,Energy Data Analysis & Modeling Tools,National Renewable Energy Laboratory,OpenStudio,2016,http://energy.gov/eere/buildings/downloads/openstudio-0 ,"<p>Weighted Average: 3.21   # of Reviewers: 4</p>
<p>Relevance: 3.75    Approach: 3.13   Accomplishments: 3.25  Project Collaboration: 3.38   Future Work: 3.00</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers agreed on the relevance of this project to BTO’s goals, remarking that it provided a critical resource and key infrastructure tool that allowed for the free-market development of applications, strongly supported performance-based building design and transaction approaches, and helped a range of stakeholders to effectively understand and incorporate the value of energy efficiency into the commercial building market. Several reviewers noted that the concept of “market barriers” was not as applicable to this project, as the project represented an ongoing effort to continually improve a piece of energy modeling software for which market barriers to its adoption and use were long ago identified and overcome.</p> 
<p>Reviewers noted that the project team had a clear way of organizing its work flow to focus on bug fixes, user requests, and longer-term developments, and that the project team continued to focus its workflow on those features that the industry found useful. However, reviewers did identify a few features they felt were missing from the tool, including a lack of design-decision support tools dedicated to net zero energy commercial buildings and a lack of focus on high-impact technology applications.</p> 
<p>One reviewer felt that the project’s deliverables have significantly contributed to BTO’s impact goals, commenting that continued support, improvement, and expansion of the tool was one of the critical functions that DOE has provided over the years. Another reviewer felt that, by widely supporting other DOE programs, this project’s accomplishments would ultimately be a great deal more than the sum of all direct applications of the tool. Regarding this impact, however, reviewers expressed a desire to see more measurement and reporting efforts, commenting that it was difficult to directly relate project outcomes to BTO’s quantitative goals and performance targets.</p> 
<p>Reviewers thought it was clear that the project team collaborated with an extensive network of DOE and external stakeholders, with one reviewer remarking that no stakeholders appeared to have been omitted. While the stakeholders were well known, however, reviewers would have liked to hear more about the many roles played by these stakeholders in the development of the project’s tool. One reviewer also felt that some thought should be given to the needs of end-users of derivative products built from the tool, a function that was currently being left to third-party developers. Another recommended that the project might consider pursuing increased industry cost share, given its slew of successful partnerships.</p>
<p>Reviewers generally agreed with the project’s future plans for new features and updates for the tool, and also remarked that the project team appeared to have clearly thought out its method for prioritizing its work. However, one reviewer thought that future work was not spelled out with sufficient detail, while another thought that future plans should prioritize efforts to identify cross-over functionality between the project deliverable and other major tools (e.g., Asset Score).</p>
<p>Program Response:</p>
<p>OpenStudio is a long-running foundational DOE project that will continue for the foreseeable future. The project is laser-focused on software industry needs and collaboration with industry and other stakeholders (e.g., utilities, state energy agencies) will continue to be an important aspect of the project.</p>
<p>It is difficult to attach traditional performance metrics (i.e., the types of metrics that are attached to physical widgets such as light-emitting diodes (LEDs) and windows, in particular, installed cost and lumens-per-watt or U-value) to software projects as well as to account for energy savings. Rather for software, DOE focuses on deployment and use metrics. Current DOE metrics for OpenStudio (and EnergyPlus) use AIA 2030 Commitment reporting data to measure use in design and energy savings over code-baseline. DOE will investigate other potential metrics and sources of data for tracking OpenStudio use.</p> 
<p>Suggestion for alternate peer review structure for EnergyPlus (and maybe other large long-standing projects) is well taken and will be considered for implementation next year.</p> "
Commercial Buildings Integration,Energy Data Analysis & Modeling Tools,Pacific Northwest National Laboratory,Building Energy Asset Score,2016,http://www.energy.gov/eere/buildings/downloads/building-energy-asset-score-0,"<p>Weighted Average: 3.19   # of Reviewers: 6</p>
<p>Relevance: 3.50    Approach: 3.42   Accomplishments: 3.08  Project Collaboration: 3.17   Future Work: 3.00</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers agreed that this project was relevant to BTO’s goals, with multiple reviewers remarking that the project was either critical to achieving the goals or would have a significant impact on BTO’s ability to achieve its goals. Reviewers believed that the project team adopted a good approach to the development of the Asset Score tool, and liked in particular the tool’s simplified interface; its flexibility to operate with rudimentary information or with additional, increasingly precise inputs; and, its ability to identify efficiency-improvement opportunities based on the user-defined energy performance of a building.</p>
<p>Reviewers thought that the market barriers the project aimed to address were useful and relevant, and that the project appeared to be working towards appropriate solutions. However, one reviewer thought that the project was failing to address certain barriers related to the usefulness of the tool which could prevent key stakeholders from adopting it. In addition, while reviewers acknowledged that this the tool was different than the U.S. Environmental Protection Agency’s (EPA’s) ENERGY STAR Portfolio Manager tool, reviewers were concerned that differences were not immediately obvious; reviewers recommended coordinating closely with EPA to appropriately market the different tools.</p>
<p>While reviewers identified a number of the tool’s features and technical accomplishments to illustrate progress to date, many reviewer comments focused on the future of the project. At worst, reviewers warned that this tool could become just another optional assessment tool for government buildings. At its best, however, reviewers remarked on the tool’s potential to transform the real estate market. One reviewer described the tool’s potential to significantly impact the BTO’s performance goals, but only if it were to reach enough of the market; this reviewer expressed concern that the project’s target of reaching only 1% of commercial buildings by 2020 was too low.</p>
<p>Reviewers generally agreed that the project team demonstrated a deep understanding of key stakeholders in the market, noting that the project was working with the proper stakeholders and using them very effectively. One reviewer lauded the project team for creating a complex tool with a great deal of consultation and collaboration, though another reviewer commented that it was difficult to identify how close the level of collaboration was with different stakeholders. One reviewer referred to the project’s partnerships and collaborations as a good start, but thought that more outreach was needed, including with larger real estate companies.</p>
<p>In terms of future work, reviewers thought the project’s work plan would add functionality to the tool and be effective at overcoming current market barriers. However, while some reviewers felt that the project was poised to overcome obstacles related to technical implementation, others felt that the project team did not sufficiently identify potential technical risks. In addition, one reviewer thought that the project team should focus more on working with key industry stakeholders to ensure the tool was meeting these stakeholders’ needs. Another reviewer recommended that the project team focus more on increasing the tool’s connectivity and integration with other DOE tools (e.g., the Standard Energy Efficiency Data (SEED) Platform and Buildings Performance Database).</p>
<p>Program Response:</p>
<p>No Program Response Provided.</p>"
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",University of Florida,"A Combined Water Heater, Dehumidifier, and Cooler",2016,http://energy.gov/eere/buildings/downloads/combined-water-heater-dehumidifier-and-cooler-whdc,"<p>Weighted Average: 3.20   # of Reviewers: 3</p>   
<p>Relevance: 3.00    Approach: 3.34   Accomplishments: 3.50  Project Collaboration: 2.33  Future Work: 3.33</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers gave this project, on average, moderately good scores, judging it to embody a good idea with a solid plan from which a lot could potentially be learned. Reviewers commented that good progress has been made to date. One reviewer suggested that the absorption system should be evaluated as a viable option for residential applications. Reviewers also stated that the project was relevant to BTO’s goals, in particular, doubling the water heater energy factor from the current 0.62 to 1.3.</p> 
<p>One reviewer noted that there is a substantial existing water heater market for which this technology can be deployed given that there are currently no gas-fired water heat pumps on the market. A reviewer commented favorably on the use of a membrane-based absorption technology, but another expressed concern about the size of the system and cost, noting that the project team did not compare the design to those that are presently on the market or soon will be, nor did the team show a schedule.</p> 
<p>The project scored well on accomplishments and progress, with one reviewer noting the team has developed capabilities to measure a range of criteria (e.g., thermal conductivity, capacity, heat of absorption, density, viscosity, etc.) and another one observing that a demonstration has been built with an energy factor of 1.2 having been achieved. This reviewer also listed as a project strength the development of ionic liquids and other absorption technology. However, a third reviewer said that while good progress has been made, it would be a surprise if the project team completed the work by November since this is a complicated flow system with complicated heat transfer processes.</p> 
<p>Regarding collaboration and integration, one reviewer noted that there was no mention of industry collaboration but only “continual” communication. Another reviewer expressed concern over the lack of manufacturers involved in the project because absorption systems for residential applications are generally not well-received owing to size, cost, and complexity.</p> 
<p>While proposed future work was generally viewed favorably – with one reviewer calling it “logical and on track” in the steps to be completed, another reviewer said the schedule is “overly ambitious” given the November end date.</p> 
<p>Reviewers recommended more industry involvement, as well as an HVAC company, in order to provide useful inputs on practical constraints on cost and size targets before the design gets too far along.</p>
<p>Program Response:</p>
<p>No Program Response Provided.</p>"
Emerging Technologies,Energy Data Analysis & Modeling Tools,Lawrence Berkeley National Laboratory,A New Hybrid Approach to Energy Modeling,2016,http://energy.gov/eere/buildings/downloads/benefit-new-hybrid-approach-energy-modeling,"<p>Weighted Average: 3.03   # of Reviewers: 5</p>   
<p>Relevance: 2.60    Approach: 3.30   Accomplishments: 2.80  Project Collaboration: 3.00  Future Work: 3.20</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers differed in their opinions on this project’s relevance to BTO’s overarching goals. On one hand, some reviewers expressed that this project’s work represented a very innovative attempt at merging measured data with modeled data, supporting BTO's goals by helping practitioners estimate and implement energy conservation measures more accurately and effectively. On the other hand, some reviewers noted that BTO’s ultimate goal was to provide substantial reductions in energy consumption, where these reviewers felt that the project’s potential for substantial energy saving was questionable.</p>
<p>Reviewers agreed on the appropriateness of the project’s approach. One reviewer commented that the project team was employing well-established methods and processes to solve a clearly understood problem. Another reviewer noted that using Lawrence Berkeley National Laboratory’s (LBNL’s) FLEXLAB for model and simulation validation was a significant step forward in energy modeling, and that overall the strategies presented made sense and were valid. A third reviewer highlighted that the project recognized that energy modeling practices needed more accuracy in the descriptions of buildings’ physical characteristics and operations, and was working to help reduce the differences between model estimates and measured values, beginning with infiltration and thermal mass.</p> 
<p>Reviewers identified some deficits in the project team’s approach, including that it did not provide techniques for integrating the proposed hybrid modeling with existing design tools, and also that it failed to identify how to isolate the specific uncertainties of infiltration and thermal mass from other potential sources of uncertainty. One reviewer recommended that the project could be improved by extending the testing of the hybrid modeling approach to a real world/as-constructed building, and also that it was important for the project to identify what type of standardized and BTO-advised building data collection, storage, and model integration techniques would be needed to facilitate the proposed modelling process.</p>
<p>One reviewer highlighted the project’s demonstration of a two-step validation approach – using prototype models and EnergyPlus followed by field validation via FLEXLAB – as a clear accomplishment, identifying the approach as one that should be used by all researchers investigating improvements to EnergyPlus.</p> 
<p>Beyond this approach, however, reviewers expressed mixed feelings about the project’s potential impact. One reviewer felt that once tested and implemented, the project’s hybrid modelling approach could lead to significant energy savings by enabling existing-building retrofit analysis. In contrast, a different reviewer expressed doubts about the project's estimation of energy savings potential, recognizing how difficult it is to make accurate estimations for modeling tools. One reviewer believed that the project would contribute significantly to achieving the Emerging Technologies (ET) Program's interim market goal, but a different reviewer though that contributions to the ET Program’s interim market goals would be marginal, due to the hybrid approach adding complexity to the current workflow of energy model development and calibration.</p>
<p>Reviewers generally agreed that the project team had pursued appropriate and effective collaborations, but also identified additional stakeholders to whom outreach would be valuable. One reviewer expressed that the project team had done an exceptional job of working with collaborators, including the EnergyPlus team, while another highlighted the value of the project’s collaboration with FLEXLAB.</p> 
<p>However, reviewers noted certain deficits, including that there had been little discussion around collaboration with potential end users to better understand their restrictions and workflow expectations. One reviewer observed that the project’s collaboration with the California Energy Commission (CEC) PIER (Public Interest Energy Research) demonstrated the project team’s basic understanding of key stakeholders, but another reviewer recommended that the project should collaborate with stakeholders outside of California to develop impact. A third reviewer highlighted that collaboration with the National Renewable Energy Laboratory (NREL) should be pursued around the integration of EnergyPlus with OpenStudio.</p> 
<p>Reviewers generally agreed with the project's next steps, with one reviewer describing them as simple, relevant, and on point. Another reviewer expressed that proposed future work was not particularly creative or innovative, but allowed that the nature of the project did not leave room for doing much more than integrating the approach with EnergyPlus and disseminating findings. One reviewer noted that the project team’s future plans failed to highlight technical risks or risk mitigation strategies, while other reviewers recommended developing a framework to get possible industry partners to deploy the hybrid approach and prove user acceptance, as well as instructional/educational resources.</p> 
<p>Program Response:</p>
<p>This is a successful research project that will be integrated into EnergyPlus before the end of Fiscal Year (FY) 2016 and into OpenStudio in FY 2017 and FY 2018. The goal of the project was to allow EnergyPlus to leverage increasingly available outside data sources--specifically time series indoor temperature data from smart thermostats--to improve modeling of existing buildings. Initial results were quite positive and additional testing will be done in FY 2017, especially in the context of calibration algorithms. OpenStudio Server provides a natural deployment channel and will make this feature available to EnergyPlus client applications.</p>"
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances", Xergy,Advanced Hybrid Water Heater using Electrochemical Compressors,2016,http://energy.gov/eere/buildings/downloads/advanced-hybrid-water-heater-using-electrochemical-compressor,"<p>Weighted Average: 3.61   # of Reviewers: 4</p>   
<p>Relevance: 3.75    Approach: 3.63   Accomplishments: 3.50  Project Collaboration: 3.75   Future Work: 3.75</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers agreed on the relevance of this project to BTO’s goals, noting that this project presents one of the key technologies of the BTO portfolio. Reviewers unanimously agreed on the high value of project deliverables, noting that technological challenges were resolved, favorable economics established, and pre-commercial testing started.</p> 
<p>Reviewers praised the progress made with electrochemical conversion (ECC) technology on both the analytical and experimental fronts resulting from this project, as membranes and membrane electrode assemblies (MEAs) are now commercially available and have superior performance to competing off-the-shelf products. One reviewer referred to the “game changing” nature of the ECC technology and suggested such a water heating system could complement solar-powered systems since both use low voltages and the latter already has appropriate hardware to generate higher voltages required for household operations.</p>
<p>Reviewers concurred that this project successfully identified and addressed critical market barriers in areas such as component cost, long-term performance, and system integration. They were also impressed with the close collaboration with key market players as evidenced in the work with GE and other key stakeholders in the water heating market.</p> 
<p>A number of reviewers were concerned about the long-term performance of the vacuum system’s hermetic seals, finding that this needs to be evaluated under operating conditions, especially given the presence of non-condensable gas. One reviewer remarked that the resilience of the heretically-sealed vacuum system to contamination – especially when operating below ambient pressure – and air fouling need to be addressed. In particular, because cyanogen gas may be produced at the electrodes, one reviewer recommended that the project team should engage the certification agency in the pre-commercial design and testing process in order to help prevent subsequent follow-on design adjustments by manufacturers. Another reviewer noted that the technology has not been considered as a retrofit for current (conventional) systems.</p>
<p>Program Response:</p> 
<p>No Program Response Provided.</p>"
Emerging Technologies,R&D - Advanced Lighting,Pixelligent,Advanced Light Extraction Structure for OLED Lighting,2016,http://energy.gov/eere/buildings/downloads/advanced-light-extraction-structure-oled-lighting,"<p>Weighted Average: 3.48   # of Reviewers: 3 </p>  
<p>Relevance: 4.00    Approach: 3.50   Accomplishments: 3.50  Project Collaboration: 3.67   Future Work: 3.00</p>
<p>Brief Summary of Reviewer Comments</p>
<p>Reviewers remarked that the gradient index substrate used in this project is a potential improvement to organic light-emitting diode (OLED) lighting, which in turn would help the solid-state lighting (SSL) market. They also commented that the higher light extraction efficiency (70%) is well-aligned with BTO’s objectives and the DOE solid-state lighting program’s roadmap. Reviewers liked the project’s approach, including its use of stable scatter/nanocomposite formulation that promises low-cost manufacturing and for overcoming a well-defined technical barrier involving light extraction efficiency.</p> 
<p>One reviewer observed that there have been some deviations from the original project plan involving computations and simulations early in the project timeline. This reviewer stated that while this hasn’t stymied progress, it raises the issue of whether the lack of computation has affected the current formulation for creating an optimal gradient index layer. The reviewer wondered which of the partners was tasked with providing computational results and said that the critical importance of modeling and computations prior to implementation is such that it would be useful to know which computations were not done and why – and how to correct this.</p> 
<p>Reviewers thought the project was progressing well, although one reviewer said it was difficult to judge overall progress because so little data was presented, including how far along the team was in reaching the 70% light extraction efficiency goal. One reviewer pointed out that the team was close to accomplishing a key goal – development of a 4-inch device with 2.9X light extraction – and wondered how that number was selected and if it would be revised upward.</p> 
<p>However, these reviewers acknowledged that there are likely intellectual property (IP) issues at play that made it difficult for the principal investigator (PI) to provide more details. They suggested a closed-door review might be helpful in getting the PI to discuss information more freely without worrying about the presence of competitors. Reviewers praised the project as having good commercial prospects thanks to the processes it is developing and the work with key partners. During the question and answer (Q&A) session, the PI explained the project team is using a natural diffusion process to generate a gradient-index (GRIN), which prompted one of the reviewers to subsequently comment that this approach seems manufacturable.</p> 
<p>Reviewers recommended that the project team look into roll-to-roll (R2R) manufacturing and have more experimental computations for benchmarking purposes.</p> 
<p>Program Response:</p> 
<p>Pixelligent will continue this project on the stable nanocomposite formulation to enhance light scattering in OLEDs (a key barrier for OLED technology), and the related low-cost manufacturing process. The project is close to accomplishing the key goal – a 4-inch devise with 2.9 light extraction enhancement – and will conclude at the end of 2016. DOE’s Acquisition and Project Management (APM) guidance will be used to wrap up.</p>"
Emerging Technologies,R&D - Windows & Building Envelope,Fraunhofer,"Bio-Based, Noncorrosive, Nonflammable Phenolic Foam Insulation",2016,http://energy.gov/eere/buildings/downloads/development-bio-based-inexpensive-noncorrosive-nonflammable-phenolic-foam,"<p>Weighted Average: 3.49   # of Reviewers: 6</p>   
<p>Relevance: 3.67    Approach: 3.42   Accomplishments: 3.50  Project Collaboration: 3.75  Future Work: 3.17</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers strongly agreed on the relevance of this project to BTO’s goals, describing the project’s objective of developing new bio-based phenolic foam thermal insulation materials as being well aligned with both BTO’s goal to improve buildings’ energy efficiency and the Windows and Building Envelope Research and Development (R&D) Roadmap.</p> 
<p>Reviewers agreed on the appropriateness of the project’s approach, with one reviewer describing the approach as reasonable, and another noting that clear project goals had been developed as a result of the project team’s experience and solid understanding of the technical issues involved. Reviewers described that critical barriers had been identified, and that the project team was employing a comprehensive approach to address these challenges. One reviewer did highlight a few limitations of the approach, however, specifically noting that the level of thermal conductivity of the proposed foam – a key parameter to be addressed – had not been defined, and that a cost per square foot metric for the proposed foam materials had not been proposed. Some additional activities that this reviewer would have liked to see were validation of the findings, the introduction of error analysis, and a clear identification of whether the foam used in the project had isotropic or anisotropic properties.</p>
<p>Despite these limitations, reviewers applauded the progress being made by the project team, with reviewers commenting that the project had met all key milestones and had made meaningful contributions to the field with clear achievements. One reviewer said that the potential market impact of this project was evident, while another highlighted that the project’s six patent applications demonstrated its level of accomplishment.</p> 
<p>Reviewers described the project team as well balanced, and commented that it had built strong communications with key stakeholders to accelerate movement of its proposed technology. Reviewers further described that the project had demonstrated good collaboration with industry actors, including manufacturers, research organizations, and consumer groups, and highlighted that this strong connection with industry would enable the transfer of technology from the lab to the market.</p>
<p>Reviewers described the proposed future work as well planned, meaningful, and built on past progress with a focus on making the product marketable as quickly as possible. Despite this overall assessment, however, reviewers identified several possible improvements that the project team could implement, including introducing and verifying a plan for measuring the thermal properties of the produced foam materials, and considering the foam’s level of fire resistance and durability. One reviewer also expressed a desire for more information on patent applications and intellectual property issues, while another would have liked to see techno-economic analysis that addressed the cost target.</p>
<p>Program Response:</p> 
<p>Consistent with the comments from the reviewers, this project is progressing well. The PI will be continuing to characterize the foam in the final months of the project. Concerns from the reviewers regarding foam anisotropy and bulk thermal conductivity can be addressed as part of that work.</p> "
Emerging Technologies,R&D - Sensors & Controls,Virginia Tech,Building Energy Management Open Source Software Development (BEMOSS),2016,http://energy.gov/eere/buildings/downloads/building-energy-management-open-source-software-development-bemoss,"<p>Weighted Average: 2.58   # of Reviewers: 4</p>   
<p>Relevance: 3.25    Approach: 2.75   Accomplishments: 2.50  Project Collaboration: 2.75  Future Work: 2.00</p>
<p>Brief Summary of Reviewer Comments</p>
<p>Reviewers agreed that, by providing commercial buildings with additional capability for building energy savings – particularly in small and medium-sized commercial buildings – this project was well aligned with BTO’s goals. In contrast to the project’s relevance, however, reviewers appeared split on the project’s approach, its progress and accomplishments, and its collaborations.</p> 
<p>For its approach, some reviewers commented that the project’s energy management system appeared to be moving forward, that the software platform offered good attention to interoperability, and that the project team’s composition allowed it to focus on both market conditions and product development. However, one reviewer felt that the energy management software’s reliance on a hardware platform was a questionable decision, and another thought that the project team had misidentified the critical market barrier as the ""inability to communicate"" between devices, whereas the actual barrier was ""too many languages for one platform to communicate to all"" or ""the refusal by some devices to communicate."" This reviewer also thought that the project team had pushed “openness” as the project’s innovation, whereas the reviewer thought that the device-driver portion of the project was most important.</p> 
<p>In terms of progress and accomplishment, one reviewer felt that the project had good management, leadership, and had experienced excellent project execution; while another reviewer thought that the project’s accomplishments were good overall, but thought that the project team should have focused on finalizing the software before field testing it in three buildings. In contrast, a third reviewer commented that the project team’s demonstration of what could be done with the system was very rudimentary, noting also that the team had done a poor job of differentiating the project’s software from existing open-protocol systems.</p>
<p>Some reviewers felt that the project had pulled together a great team of collaborators, and thought that the compatibility of the project’s energy management software with DOE’s VOLTTRON platform was a positive sign. However, some reviewers felt that the project’s integration with commercial companies needed attention, particularly because the project team discussed needing to spin off a company to upkeep the platform. In addition, reviewers commented that the project’s need to spin off a company was indicative that the effort was not really any different from other startups in home automation or building control systems.</p> 
<p>Reviewers were in general agreement that the project’s proposed future work was lacking. One reviewer commented that they were apprehensive about the future work, while another noted that while adding Demand Response functionality was a positive development, concerns remained about the cost of the energy management service compared to other systems already in production. Finally, another reviewer commented at length regarding the project team’s apparent belief that the job was done following completion of the integration platform; this reviewer believed that even if a company were spun off to keep the software going, the project team was underestimating the actual software development required, including around energy management and control logic and maintaining interoperability with a range of devices over time.</p>
<p>Program Response:</p>
<p>Reviewer comments will be utilized to improve the work plan and development of both VOLTTRON and BEMOSS moving forward.</p> "
Emerging Technologies,R&D - Windows & Building Envelope,Architectural Applications,Building Integrated Heat and Moisture Exchange,2016,http://energy.gov/eere/buildings/downloads/building-integrated-heat-and-moisture-exchange,"<p>Weighted Average: 2.80   # of Reviewers: 6</p>   
<p>Relevance: 2.83    Approach: 2.83   Accomplishments: 2.58  Project Collaboration: 3.00   Future Work: 3.17</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>While reviewers were intrigued by this energy recovery ventilator (ERV) technology integrated directly into a building’s envelope (as wall components) rather than within a central HVAC system, they repeatedly expressed real reservations about the likelihood of widespread market penetration. Reviewers cited the enormous architectural and mechanical issues that would have to be addressed before such a technology would be widely accepted. They also expressed concern about the likely higher cost of manufacturing an array of ERV panels as wall components and questioned why such a technology would be better than centralized ERV integration within a building’s HVAC system.</p> 
<p>Among the technical issues that reviewers raised about this ERV technology was the relatively high pressure drop through the units and the effect on market acceptance as a result of fan noise caused by the high air flow of 200 cubic feet per minute (cfm) through the units. (During the question and answer (Q&A) session, the presenter said the goal was to reach 300 cfm). Another reviewer commented that it was not clear whether performance deterioration would occur as a result of particulate deposition from the air streams and, if so, how this would be cleaned.</p> 
<p>It was also noted that this wall component-based ERV technology would be more effective in warm and humid climates rather than colder climates. (During the Q&A session, the presenter stated the focus has been on climates where there is a need for dehumidification). A reviewer commented that it was difficult to see how this technology could achieve sufficiently high performance and market penetration to meet BTO goals. These concerns were compounded by the fact that the project is due to conclude soon without having addressed these issues.</p> 
<p>Reviewers were pleased with the amount of collaboration and coordination with stakeholders in academia and industry since the radical nature of this new ERV approach represents a challenge to its acceptance.</p> 
<p>The project received its highest marks on proposed future work given that this involves demonstration of manufacturing the units at target cost, completing needed product certifications, and building a sales pipeline. One reviewer suggested the principal investigator (PI) work directly with a hands-on designer and construction crew to explore actual implementation details. Another reviewer concurred, saying that such real-life testing will be critical to determine if this ERV technology will be successful, especially at the office building scale.</p>
<p>Program Response:</p>
<p>No Program Response Provided.</p>"
Emerging Technologies,R&D - Windows & Building Envelope,Window Covering Manufacturing Association,Certification and Rating of Attachments for Fenestration Technologies (CRAFT),2016,http://energy.gov/eere/buildings/downloads/attachments-energy-ratings-council,"<p>Weighted Average: 3.06   # of Reviewers: 7</p>   
<p>Relevance: 3.86    Approach: 3.00   Accomplishments: 2.93  Project Collaboration: 3.50   Future Work: 2.86</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers found this project to be highly relevant to BTO’s building energy efficiency goals and they favorably judged its approach in identifying critical market barriers. However, a number of reviewers expressed concern that the project had too much focus on a marketing and business model to promote the certification and rating system for window attachments and a lack of a well-grounded technical approach required to develop such a system. At issue is the need to have a standard method to evaluate, rate, and compare window attachment product performance. One reviewer attributed the slippage of project goals to the difficulty of achieving consensus in a fragmented industry.</p> 
<p>Several reviewers expressed concern that the project has yet to realize the necessary technical achievements to create a methodology that makes the certification program a reality. Instead, they noted, the achievements have focused on forming an organization and outreach to stakeholders to increase awareness of window attachments as an energy savings measure. One reviewer expressed concern that the ultimate goal of the project – launching a certification program – could take some time.</p> 
<p>Reviewers gave the project high marks for integration and collaboration, remarking favorably on the strong and diverse public-private collaborative efforts bringing together manufacturers, public interest groups, and others. In terms of weaknesses, reviewers pointed to the challenges of developing a nationally effective organization and lack of a technical approach and methodology to date for a certification that would allow for better targeted marketing and solutions.</p> 
<p>Looking ahead to project future work, reviewers said the planned publicly-available website and database would be of great value. However, owing to the lack of specific steps for technical effort, one reviewer said there is a need for testbeds or small pilot projects to help verify and improve the certification system. Other reviewer recommendations were to conduct simulation modeling and experimental testing to ascertain and compare product performance and to bring the technology team more actively into the project.</p> 
<p>Program Response:</p>
<p>The primary weakness identified by the reviewers centers on the lack of a technical approach for the rating system. While it is well-taken that the presentation by the Window Covering Manufacturers Association (WCMA) would have benefited from a discussion regarding the method by which the technical approach is being developed, Lawrence Berkeley National Laboratory (LBNL) is principally responsible for that aspect of the project and presented separately at the Peer Review on its work plan and achievements thus far. LBNL’s scope of work includes many of the activities (e.g., modeling and empirical evaluation/validation) that reviewers identified as important to the development of a robust certification and labeling methodology.</p>"
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances","Maryland Energy and Sensor Technologies, LLC",Compact Thermoelastic Cooling System,2016,http://energy.gov/eere/buildings/downloads/compact-thermoelastic-cooling-system,"<p>Weighted Average: 2.74   # of Reviewers: 4</p>   
<p>Relevance: 3.00    Approach: 2.63   Accomplishments: 3.00  Project Collaboration: 2.38  Future Work: 2.75</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers found the project aligned with BTO’s goals, although several wondered if the project’s impact statement was too ambitious for such an early stage project and questioned the realism of the 50% penetration and resulting energy savings by 2025. Reviewers pointed to a large number of potential barriers facing the project, including material selection, cost reduction, and design adjustment of the “roller-belt” (including tension, compression, rollers, rods, etc.).</p> 
<p>Reviewers noted the extensive work on this technology conducted under DOE’s Advanced Research Projects Agency- Energy (ARPA-E) from 2010 to 2015 resulting in the filing of a provisional patent. The project is currently working on a Generation V prototype with simulation and testing already performed. Reviewers noted the project team appeared to have a solid understanding of the physical mechanisms and principles associated with membrane-based thermal and mass transport. Reviewers noted the project team was small at this point, but the collaboration appeared to be strong and well-defined. Reviewers recommended partnership with commercial partners, one suggested a materials supplier and another original equipment manufacturers (OEMs) or HVAC manufacturers, to provide cost-favorable design insights.</p>
<p>Reviewers warned of the challenges associated with measurement accuracy (particularly concerning brush thermocouples), measurement protocols, thermal capture (including parametrical optimization), the cost of materials at scale, and risk mitigation, with a few reviewers remarked the team appeared to be well aware of them and has a realistic assessment in the complexities involved in bring the technology to maturity. One reviewer recommended quantitative demonstration of the coefficient of performance (COP) would be helpful to convince others this technology is a viable path forward, with another noting the performance of preliminary laboratory systems appeared to be lower than the level expected for the target performance. Another felt that more discussion of the challenges involved in scaling up this technology would be useful; 1 kilowatt (kW) cooling power is still too small to be relevant, but scaling it up by a factor of ten in a cost effective way is a big step whose feasibility the project team should address.</p> 
<p>Program Response:</p>
<p>No Program Response Provided.</p>"
