Project_Title,Awardees,CID,SUBPROGRAM,SUBPROGRAM_NODE,Award_Type,FOA_NAME,FOA_Acronym,Status,Award_Start_Date,Award_End_Date,Total_Government_Share,Cost_Share,City,State,Zip_Code,Node,Latitude,Longitude,Principal_Investigator,Project_Description
"Modular, Multifunction, Multiport, and Medium-Voltage Utility Scale Silicon Carbide PV Inverter",University of Texas at Austin,DE-EE0008348,Systems Integration,node/791071,Funding Opportunity,Advanced Power Electronics Design for Solar Applications,Power Electronics,Active,9/1/2018,8/31/2021,"$2,999,400 ","$840,452 ",Austin,TX,78759,node/4303341,30.40367,-97.75194,Alex Q. Huang,"This project is developing the next-generation utility-scale photovoltaic (PV) inverter referred to as a modular, multi-function, multiport, and medium-voltage utility-scale silicon carbide solar inverter. Called the M4 Inverter, it directly converts the direct current output of solar panels to medium-voltage alternating current, eliminating the bulky and costly low-frequency transformer. The inverter also has a direct current port to interface with an additional energy storage device. The device has multiple functionalities and can be used for reactive power support, fast frequency regulation, and peak power reduction, and enables synthetic inertia to be integrated into the inverter for grid support. Taken together, these advances will enable the inverter to drastically reduce the levelized cost of energy."
Multiport Autonomous Reconfigurable Solar Power Plant,Oak Ridge National Laboratory,Lab34019,Systems Integration,node/791071,Funding Opportunity,Advanced Power Electronics Design for Solar Applications,Power Electronics,Active,10/1/2018,12/30/2021,"$2,500,000 ","$625,000 ",Oak Ridge,TN,37830,node/4303302,36.0109,-84.2632,Suman Debnath,"This project is developing an integrated system of modular power electronics devices that connect utility-scale solar power plants and energy storage with the high voltage direct current and alternating current distribution and transmission grid. This system, referred to as a multiport autonomous reconfigurable solar power plant, will introduce greater grid stability and enable continued operation under grid disturbances through advanced controls. It will also include a cyber-physical security layer for the controller that uses a combination of data-based and physics-based integrity checks to determine intrusions."
PV Inverter Systems Enabled by Monolithically Integrated Silicon Carbide-Based Four Quadrant Power Switch,North Carolina State University,DE-EE0008345,Systems Integration,node/791071,Funding Opportunity,Advanced Power Electronics Design for Solar Applications,Power Electronics,Active,9/1/2018,3/31/2022,"$1,517,146 ","$381,887 ",Raleigh,NC,27695,node/4303290,35.785055,-78.681945,Subhashish Battacharya,"This project creates an ultra-high-density, low-cost power conversion device using a newly developed single die Silicon Carbide-based power semiconductor switch that can block voltage and carry current in all polarities or quadrants of the power switch. The proposed scalable power conversion device can enable single-stage power conversion and then be used as a building block for photovoltaic inverters to meet and exceed efficiency, reliability and power density targets when compared to conventional two-stage cascaded solutions."
Solar Power Electronics Modular Integrated Node Platform,Flex Power Control,DE-EE0008352,Systems Integration,node/791071,Funding Opportunity,Advanced Power Electronics Design for Solar Applications,Power Electronics,Active,9/1/2018,11/30/2021,"$2,496,150 ","$704,558 ",Encino,CA,91436,"node/4303257""",34.15365,-118.49774,Robert Dawsey,"This innovative power electronics platform combines solar power with stationary energy storage and electric vehicles to minimize installation costs and to optimize the use of solar energy. The project will develop advanced controls built on system awareness and communications, coupled with cloud-based analytics for optimized energy utilization. The platform leverages silicon carbide-based power electronics to provide high efficiency inverters, in addition to having controllable power flow between the distributed energy resources and the load."
Ultra Compact Electronlyte-Free Microinverter with Megahertz Switching,Virginia Polytechnic Institute and State University,DE-EE0008347,Systems Integration,node/791071,Funding Opportunity,Advanced Power Electronics Design for Solar Applications,Power Electronics,Active,8/1/2018,7/31/2021,"$1,031,317 ","$257,902 ",Blacksburg,VA,24061,node/4303350,37.2209,-80.4228,Jason Lai,"The objective of this project is to develop a cost-effective photovoltaic (PV) microinverter that fully utilizes the potential of wide-bandgap semiconductor devices, like gallium-nitride devices, which have shown potential of switching at megahertz frequencies. By operating the PV microinverter at such high frequencies, passive component size can be drastically reduced while still maintaining ultra-high efficiency of the microinverter. With the tallest component in the entire package measuring less than 0.2 inch, the potting compound material can be reduced by 80% as compared to typical designs with a one inch tall package, further reducing the cost of the product."
Autonomous and Resilient Operation of Energy Systems with Renewables,Siemens,DE-EE0008769,Systems Integration,node/791071,Funding Opportunity,Advanced Systems Integration for Solar Technologies,ASSIST,Active,8/1/2019,7/31/2022,"$4,999,999.00 ","$1,379,823.00 ",Princeton,NJ,08540-6632,node/4320680,40.34427,-74.65502,Ulrich Muenz,Siemens Corporation will create a microgrid control system that can coordinate distributed microgrids to work together. The system will include a communications-free method to increase grid resilience and autonomously restore power during a blackout using smart inverters. 
"Enabling Cybersecurity, Situational Awareness and Resilience in Distribution Grids with High Penetration of Photovoltaics (CARE-PV)",Kansas State University,DE-EE0008767,Systems Integration,node/791071,Funding Opportunity,Advanced Systems Integration for Solar Technologies,ASSIST,Active,8/1/2019,7/31/2022,"$2,110,790.00","$715,200.00 ",Manhattan,KS,66506-2703,node/4320647,39.1912,-96.5825,Bala Natarajan,Kansas State University will invent a compressive sensing method that requires fewer inputs than usual so grid operators can observe quickly changing grid conditions and determine vulnerabilities in critical infrastructure. The team is developing smart inverter controls to detect cyber intrusions and initiate network defenses. 
"Enhancing Grid Reliability and Resilience through Novel DER Control, Total Situational Awareness and Integrated Distribution-Transmission Representation",Arizona State University,DE-EE0008773,Systems Integration,node/791071,Funding Opportunity,Advanced Systems Integration for Solar Technologies,ASSIST,Active,8/1/2019,7/31/2022,"$3,002,085.00","$891,592.00 ",Tempe ,AZ,85281-3673,node/4320603,33.43,-111.93,Raja Ayyanar,"Arizona State University will build enhanced grid models by integrating transmission and distribution analyses. Using sensors and communications equipment, this tool can enable coordinated distributed resource responses, which can help increase the amount of renewable power operating in the distribution system."
Faster-than-Real-Time Simulation with Demonstration for Resilient DER Integration,Electrical Distribution Design,DE-EE0008768,Systems Integration,node/791071,Funding Opportunity,Advanced Systems Integration for Solar Technologies,ASSIST,Active,8/1/2019,7/31/2022,"$3,115,048.00 ","$2,597,657.00 ",Blacksburg,VA,24060-2756,node/4320625,37.220949,-80.422801,Robert Broadwater,"Electrical Distribution Design will invent a technique to speed analysis of power flow using graphic trace analysis, or outputs from a bar graph instead of complex calculations, and then validate it in the field with its project partner, Pepco. This will enable evaluation of the distribution network down to the secondary network and allow for rapid detection of power system abnormalities caused by instability, cyber intrusion, or other factors."
Modeling and Control of Solar PVs for Large Grid Disturbances and Weak Grids,University of South Florida,DE-EE0008771,Systems Integration,node/791071,Funding Opportunity,Advanced Systems Integration for Solar Technologies,ASSIST,Active,8/1/2019,7/31/2022,"$898,060.00","$299,516.00 ",Tampa,FL,33620-9951,node/4320724,28.05457,-82.41168,Lingling Fan,The University of South Florida will design dynamic models of utility-scale solar plants and their interactions on grids with large penetrations of generation through distributed energy resources like solar-plus-storage systems and wind power. These models will be used to construct a coordination strategy and a stability enhancement module for photovoltaic and storage systems so they can respond to rapidly changing grid conditions. 
Optimal Reconfiguration and Resilient Control Framework for Real-Time Photovoltaic Dispatch to Manage Critical Infrastructure (ReDis-PV),University of North Carolina at Charlotte,DE-EE0008774,Systems Integration,node/791071,Funding Opportunity,Advanced Systems Integration for Solar Technologies,ASSIST,Active,8/1/2019,7/31/2022,"$3,699,984.00 ","$925,012.00 ",Charlotte ,NC,28223-0001,node/4320702,35.3019,-80.7302,Sukumar Kamalasadan,"The University of North Carolina at Charlotte will devise a grid management tool that detects cyber and physical threats and can form dynamic clusters to optimally manage photovoltaics and energy storage to improve grid resiliency and support critical infrastructure. This tool will have two-level control with reconfigurable grid networks, which allow operators to isolate damaged sections while still powering the rest of the grid. "
Photovoltaic Analysis and Response Support Platform for Solar Situational Awareness and Resiliency Services,North Carolina State University,DE-EE0008770,Systems Integration,node/791071,Funding Opportunity,Advanced Systems Integration for Solar Technologies,ASSIST,Active,8/1/2019,7/31/2022,"$3,171,130.00 ","$798,000.00 ",Raleigh,NC,27695-7907,node/4320669,35.77959,-78.638179,Ning Lu,"North Carolina State University will design a modeling tool to determine the optimal response of renewables on transmission and distribution systems, as well as behind-the-meter response for small-scale solar energy systems. With real-time sensor readings and a cost-benefit analysis, this tool can be used for grid planning and to help restore power during an outage."
"Protection and Restoration Solutions to Reliable and Resilient Integration of Grid-connected PV Installations and Distributed Energy Resources: Design, Testbed, Proof of Work and Impact Studies",University of Oklahoma,DE-EE0008772,Systems Integration,node/791071,Funding Opportunity,Advanced Systems Integration for Solar Technologies,ASSIST,Active,8/1/2019,12/31/2022,"$4,298,146.00","$1,923,389.00",Norman,OK,73019-0390,node/4320713,35.20301,-97.4413,John N. Jiang,The University of Oklahoma will build an intelligent sensor network that communicates with the distribution system. The network will autonomously detect and isolate problems while using solar energy to help restore power to the distribution grid after an outage. 
SOLAr Critical Infrastructure Energization System (SOLACE),Electric Power Research Institute,DE-EE0008776,Systems Integration,node/791071,Funding Opportunity,Advanced Systems Integration for Solar Technologies,ASSIST,Active,8/1/2019,7/31/2022,"$5,792,342.00 ","$2,970,931.00 ",Knoxville,TN,37932-3723,node/4320636,35.943356,-83.938699,Arindam Maitra,"EPRI will develop a pre-planning analysis technique, using new communications standards and advanced inverters, to determine how to methodically supply power to critical infrastructure with any resource available on the grid. To validate this technique, EPRI will work with several partners, including Austin Energy and Pecan Street."
SolarSTARTS: Solar-Assisted State-Aware and ResilienT infrastructure System,University of Utah,DE-EE0008775,Systems Integration,node/791071,Funding Opportunity,Advanced Systems Integration for Solar Technologies,ASSIST,Active,8/1/2019,8/31/2022,"$4,411,297.00 ","$4,820,324.00 ",Salt Lake City ,UT,84112-1109,node/4320691,40.75959,-111.88815,Masood Parvania,"The University of Utah will invent an automated resilience management system that will use distributed solar photovoltaics, distributed energy resources, sensors, and distribution monitoring and switching equipment to improve the resilience of critical infrastructure and emergency centers. The system will include a cyber detection and outage management tool. PacificCorp is partnering with the university in order to validate the system."
Polyaromatic Naphthalene Derivatives,Oak Ridge National Laboratory,Lab20637,Concentrating Solar Power,node/790241,Lab Award,American Recovery and Reinvestment Act of 2009 CSP Awards,CSP ARRA,Inactive,2/1/2010,3/31/2012,"$935,000 ",$0.00,Oak Ridge,TN,37831,node/790506,36.01,-84.27,Joanna McFarlane,"Oak Ridge National Laboratory, under an ARRA CSP Award, is addressing the need for heat transfer fluids (HTFs) for solar power generation that are stable to temperatures approaching 600&deg;C, have good thermal characteristics, and do not react with the vessels in which they are contained."
Technologically Relevant Nanomaterials for Thermal Energy Storage in Concentrating Solar Power Plants,National Renewable Energy Laboratory,Lab20642,Concentrating Solar Power,node/790241,Lab Award,American Recovery and Reinvestment Act of 2009 CSP Awards,CSP ARRA,Inactive,1/1/2010,9/30/2012,"$1,000,000 ",$0.00,Golden,CO,80401,node/790501,39.755543,-105.2211,Calvin Curtis,"The National Renewable Energy Laboratory (NREL), under an ARRA CSP Award, is extending previous work on nanoscale phase change materials to develop materials with technologically relevant temperature ranges and encapsulation structures."
Thermally-stable Ionic Liquid Carriers for Nanoparticle-based Advanced Heat Transfer in Concentrating Solar Energy Applications ,Savannah River National Laboratory,Lab20643,Concentrating Solar Power,node/790241,Lab Award,American Recovery and Reinvestment Act of 2009 CSP Awards,CSP ARRA,Inactive,1/1/2010,9/30/2012,"$1,005,000 ",$0.00,Aiken,SC,29808,node/790516,33.25,-81.63,Elise Fox,"Savannah River National Laboratory, under an ARRA CSP Award, is performing research to better understand the thermal stability of low-temperature organic molten salts, which are commonly referred to as ionic liquids (ILs)."
Thermochemical Energy Storage for Stirling Concentrating Solar Power Systems,Pacific Northwest National Laboratory,Lab20641,Concentrating Solar Power,node/790241,Lab Award,American Recovery and Reinvestment Act of 2009 CSP Awards,CSP ARRA,Inactive,2/1/2010,3/31/2012,"$747,974 ",$0.00,Richland,WA,99354,node/790511,46.341099,-119.303655,Robert Wegeng,"Pacific Northwest National Laboratory (PNNL), under an ARRA CSP Award, is working to develop and commercialize thermochemical energy storage technologies that enable CSP systems based on parabolic dish concentrators and Stirling Cycle heat engines to generate power when sunlight is unavailable."
Advanced Nitrate Salt Central Receiver Power Plant,Abengoa Solar,DE-EE0003596,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,9/1/2010,9/30/2014,"$4,517,474.00","$1,931,857.00",Lakewood,CO,80401-4489,node/790531,39.715877,-105.231183,Bruce Kelly,inverter design along with a novel cascaded micro inverter system architecture under development by the University
Baseload CSP Generation Integrated with Sulfur-Based Thermochemical Heat Storage,General Atomics,DE-EE0003588,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,8/1/2010,11/30/2013,"$1,823,783.00","$875,823.28",San Diego,CA,92186-5608,node/790541,32.810253,-117.132358,Bunsen Wong,"General Atomics, under the Baseload CSP FOA, is demonstrating the engineering feasibility of using a sulfur-based thermochemical cycle to store heat from a CSP plant and support baseload power generation."
Brayton Cycle Baseload Power Tower,Wilson Solar Power,DE-EE0003587,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,9/1/2010,8/31/2013,"$3,219,054.00","$2,509,399.00",Tampa,FL,33612-9446,node/790591,28.056383,-82.442777,Yogi Goswami,"Wilson Solarpower, under the Baseload CSP FOA, is validating a proposed utility-scale, Brayton cycle baseload power tower system with a capacity factor of at least 75% and LCOE of $0.09/kWh."
Development and Demonstration of an Innovative Thermal Energy Storage System for Baseload Power Generation,University of South Florida,DE-EE0003590,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,8/1/2012,7/31/2012,"$766,895.46","$191,724.36",Tampa,FL,33620,node/790586,28.05457,-82.41168,Yogi Goswami,"The University of South Florida, under the Baseload CSP FOA, developed a thermal energy storage system based on encapsulated phase change materials (PCM) that meets the utility-scale baseload CSP plant requirements at significantly lower system costs"
Encapsulated Phase Change Material in Thermal Storage for Baseload CSP Plants,Terrafore ,DE-EE0003589,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,8/1/2010,8/31/2013,"$1,174,547.00","$292,897.00",Riverside,CA,91311-4411,node/790581,34.264513,-118.531176,Anoop Mathur,"Terrafore, under the Baseload CSP FOA, is developing novel encapsulated phase change materials (PCM) for use in thermal storage applications to significantly reduce the LCOE for baseload CSP plants. Terrafore is determining a cost-effective way to produce small 10 mm to 15 mm capsules containing phase change material (PCM salt) in a suitable shell material. Large numbers of these PCM capsules provide high-heat transfer surface and store heat as sensible and latent heat of fusion of salt. The capsules with different PCMs inside the shell are stacked inside a single tank to provide a cascaded storage to effectively use the latent heat of fusion of salts over the solar collection temperature range."
"High-Concentration, Low-Cost Parabolic Trough System for Baseload CSP Generation",Skyfuel,DE-EE0003584,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,9/1/2010,12/31/2013,"$2,329,660.00","$1,242,812.00",Albuquerque,NM,87111,node/790571,34.98,-106.52,David White,"SkyFuel, under the Baseload CSP FOA, is developing an advanced, low-cost CSP collector using higher-concentration, higher-temperature, parabolic trough technology to substantially reduce the cost of baseload utility-scale solar power generation."
High-Efficiency Thermal Storage System for Solar Plants,SENER Engineering and Systems,DE-EE0003592,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,8/1/2010,11/21/2013,"$3,084,873.00","$1,607,068.00",San Francisco,CA,94104-3400,node/790566,37.789018,-122.391506,Eduardo Villarroe,"SENER, under the Baseload CSP FOA, aims to develop a highly efficient, low-maintenance and economical thermal energy storage (TES) system using solid graphite modular blocks for CSP plants. The main objective is to evaluate a TES system able to store energy at temperatures greater than 800&deg;C and that is robust enough to withstand the thermal cycles foreseen in a lifespan of 30 years with no parasitic energy consumption. SENER is refining the layout of the TES system, which is currently too large with too much piping to be economical. The graphite material proposed appears to be superior to concrete for use as a TES storage medium. The project seeks to modify the graphite composition to increase the thermal conductivity and reduce the cost of the graphite, as these are the two biggest drivers in the cost of the system."
Innovative Phase Change Thermal Energy Storage Solution for Baseload Power,Infinia,DE-EE0003585,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,8/1/2010,8/31/2015,"$999,326.98","$249,832.99",Kennewick,WA,99336-2374,node/790551,46.213805,-119.161041,Songgang Qiu,"Infinia, under the Baseload CSP FOA, is developing and demonstrating a subscale system for baseload CSP power generation using thermal energy storage (TES) in a unique integration of innovative enhancements that improves performance and reduces cost."
