Project_Title,Awardees,CID,SUBPROGRAM,SUBPROGRAM_NODE,Award_Type,FOA_NAME,FOA_Acronym,Status,Award_Start_Date,Total_Government_Share,City,State,Zip_Code,Node,Latitude,Longitude,Principal_Investigator,Project_Description
"AETHER: Advanced Energy Tower, High Efficiency Receiver",Abengoa Solar,EE0007115,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power: Advanced Projects Offering Low LCOE Opportunities,CSP APOLLO,Inactive,2015,"$2,697,434 ",Lakewood,CO,80401-4489,node/1430046,39.715877,-105.231183,Dylan Grogan,"This project will use particles that represent a heat transfer material that can support cycle temperatures of 1,100&deg;C or higher without complex freeze protection systems. The project will develop designs for a receiver using a novel heat pipe strategy, material handling and storage of hot particles, and ducting of hot, pressurized air."
ATLAS: Advanced Trough with Lower-cost Alternative Structure,Abengoa Solar,EE0007121,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power: Advanced Projects Offering Low LCOE Opportunities,CSP APOLLO,Inactive,2015,"$1,221,015 ",Lakewood,CO,80401-4489,node/1430041,39.715877,-105.231183,Kerry Manning,"Abengoa will re-optimize the collector as an entire system to enable the use of molten salt in the collector field, detailing and validating innovative improvements in the concentrator design, drive and controls, manufacturing, installation, plant operation, and optical performance. This will result in a next-generation collector that moves away from the conventional architecture, delivering lower costs and better high-temperature heat transfer fluid compatibility."
Development of Molten-Salt Heat Transfer Fluid Technology for Parabolic Trough Solar Power Plants,Abengoa Solar,GO18038/FC36-08GO18038,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power (CSP) Research and Development,CSP R&D,Inactive,2007,"$3,230,585 ",Lakewood,CO,80401-4489,,39.715877,-105.231183,Brian Luptowski,"This Final Report for the ""Development of Molten-Salt Heat Transfer Fluid (HTF) Technology for Parabolic Trough Solar Power Plants"" describes the overall project accomplishments, results and conclusions. Phase 1 analyzed the feasibility, cost and performance of a parabolic trough solar power plant with a molten salt heat transfer fluid (HTF); researched and/or developed feasible component options, detailed cost estimates and workable operating procedures; and developed hourly performance models. As a result, a molten salt plant with 6 hours of storage was shown to reduce Thermal Energy Storage (TES) cost by 43.2%, solar field cost by 14.8%, and levelized cost of energy (LCOE) by 9.8% - 14.5% relative to a similar state-of-the-art baseline plant. The LCOE savings range met the project's Go/No Go criteria of 10% LCOE reduction. Another primary focus of Phase 1 and 2 was risk mitigation. The large risk areas associated with a molten salt parabolic trough plant were addressed in both Phases, such as; HTF freeze prevention and recovery, collector components and piping connections, and complex component interactions."
Improved Large Aperture Collector Manufacturing,Abengoa Solar,EE0006357,Concentrating Solar Power,node/790241,Funding Opportunity,Solar Manufacturing Technology,SolarMat,Inactive,2013,"$1,943,463 ",Lakewood,CO,80401-4489,node/791061,39.715877,-105.231183,Patrick Marcotte,"The goal of this project is to demonstrate a 100 MW central receiver plant using nitrate salt as the receiver coolant, thermal storage medium, and heat transport fluid in the steam generator. The plan is to operate the plant at full load for 6,400 hours each year using only solar energy. Key components include a new high-temperature molten salt receiver based on a fossil boiler and heat exchanger design that will be more robust and more manufacturable; a cermet, high-temperature, low-emissivity selective coating for central receivers that is stable when exposed to air; an optimized surround heliostat field; and an optimized thermal storage, steam generator, and power cycle configuration based on dry cooling."
Next-Generation Parabolic Trough Collectors and Components for CSP Applications,Abengoa Solar,GO18037/FC36-08GO18037,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power (CSP) Research and Development,CSP R&D,Inactive,2007,"$4,005,681 ",Lakewood,CO,80401-4489,node/790336,39.715877,-105.231183,Patrick Marcotte,"Abengoa Solar, under the CSP R&D FOA, is developing the technology needed to build a competitive parabolic trough industry for the U.S. utility market."
Reducing the Cost of Thermal Energy Storage for Parabolic Trough Solar Power Plants,Abengoa Solar,GO18156/FG36-08GO18156,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,2008,"$1,830,181 ",Lakewood,CO,80401-4489,node/790406,39.715877,-105.231183,Keith Gawlik,"Abengoa, under the Thermal Storage FOA, is looking at innovative ways to reduce thermal energy storage (TES) system costs."
Advanced CdTe Photovoltaic Technology,Abound Solar,NREL/SR-5200-51517,"Concentrating Solar Power,Technology to Market","node/790241; node/928446 ",Funding Opportunity,Incubator 1,Incubator 1,Inactive,2007,"$2,430,000 ",Fort Collins,CO,80521,node/791021,40.588966,-105.137591,,"Abound Solar simplified a thermal process to fabricate low-cost, high-efficiency thin-film CdTe power modules. A module efficiency of 10.0% was achieved on a 65 megawatt (MW) manufacturing line. The cycle time from glass-to-finished modules was reduced to about 2 hours, and the film thickness achieved was less than 3.0 microns. Before closing in 2012, the company also developed a new packaging scheme that does not use the more expensive ethylene vinyl acetate (EVA) sheet in the finished PV product."
"Indirect, Dual-Media, Phase Changing Material Modular Thermal Energy Storage System",Acciona,GO18152/FG36-08GO18152,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,2008,"$500,000 ",Chicago,IL,60603,node/790411,41.880916,-87.625425,Marc Newmarker,"Acciona Solar, under the Thermal Storage FOA, plans to design and validate a prototype and demonstrate a full-size (800 MWth) thermal energy storage (TES) system based on phase change materials (PCMs)."
"Sensible Heat, Direct, Dual-Media Thermal Energy Storage Module",Acciona,GO18158/FC36-08GO18158,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,2008,"$100,000 ",Chicago,IL,60603,node/790411,41.880916,-87.625425,Marc Newmarker,"Acciona Solar, under the Thermal Storage FOA, plans to design and validate a prototype and demonstrate a full-size (800 MWth) thermal energy storage (TES) system based on phase change materials (PCMs)."
Security Constrained Economic Optimization of Photovoltaics and Other Distributed Assets,Advanced Microgrid Solutions,EE0008010,Systems Integration,node/791071,Funding Opportunity,Enabling Extreme Real-Time Grid Integration of Solar Energy,ENERGISE,Active,2017,"$3,241,628 ",San Francisco,CA,94107-1379,node/2916954,37.761824,-122.398587,Steven Alains,"This project takes a holistic approach to address critical challenges that prevent high levels of distributed solar penetration in power system networks. The team is coordinating interaction of solar generation units, electric cars, energy storage devices, and demand side management programs to provide multiple grid services in real-time. This project aims to deploy a general-purpose software platform that will create an optimal dispatch of distributed resources while ensuring secure and normal operations of electric power distribution networks. The project will ultimately enable large scale deployment of the solution to other cooperatives and municipal- and investor-owned utilities."
"Transforming PV installations Toward Dispatchable, Schedulable Energy Solutions",Ae Solar Energy,EE0005340,Systems Integration,node/791071,Funding Opportunity,Solar Energy Grid Integration Systems - Advanced Concepts,SEGIS-AC,Inactive,2011,"$3,100,000 ",Bend,OR,97701-7407,node/1069051,44.113741,-121.263026,Steve Hummel,"The goal of this project is to address three important needs in the further deployment of photovoltaic (PV) systems: 1) demonstrating and commercializing a new anti-islanding method utilizing Phasor Measurement Units (PMUs), 2) demonstrating a set of advanced grid-support functionalities of power electronics, and 3) demonstrating a novel ""ramp rate controller"" to enable control of the downward ramp rate of a PV plant under transient cloud conditions."
Unique Single-Axis Tracking Planar Waveguide Optical Collector for CSP Modules,Agira Inc.,EE0007338,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power: Concentrating Optics for Lower Levelized Energy Costs,CSP COLLECTS,Active,2016,"$628,478 ",Boston,MA,02215-2421,node/1875916,42.347618,-71.100288, Bal Mukund Dhar,"This project is developing a very low-cost, flat optical collector based on refraction and total-internal reflection at optical interfaces between silicone polymers of different refractive indices. Incoming sunlight is progressively bent and eventually trapped within a glass substrate. Additional benefits include ease of installation and low operations and maintenance costs. The result will be a novel CSP collector which, when manufactured at large scale, will help to bring the cost of electricity below the target of $0.06 per kilowatt-hour."
System Design for CSP Technologies,Alcoa,GO18028/FC36-08GO18028,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power (CSP) Research and Development,CSP R&D,Inactive,2007,"$2,407,340 ",Pittsburgh,PA,15212,node/790341,40.482805,-80.036726,Adam Schaut,"Alcoa, under the CSP R&D FOA, is seeking to demonstrate that significant life cycle cost savings and subsequent LCOE reductions are achievable through the design optimization of aluminum-intensive collectors."
Extreme Cost Reductions with Multi-Megawatt Centralized Inverter Systems,ALENCON Acquisitions,EE0005343,Systems Integration,node/791071,Funding Opportunity,Solar Electric Grid Integration &ndash; Advanced Concepts,SEGIS-AC,Inactive,2011,"$2,980,297 ",Plymouth Meeting,PA,19462-1123,node/1069061,40.102332,-75.274347,Ulrich Schwabe,"Alencon Systems will develop and commercialize a new type of transformational power electronic technology to utility-scale PV systems based on novel, patent-pending ideas. A 99.1% efficient, centralized inverter with a capacity of up to 100 megawatts lies at the heart of the Alencon system. Feeding this single inverter is an advanced harvesting network that utilizes string-wise maximum power point tracking and high DC voltage (2500 VDC) nodes that are easy to install and maintain."
High-Efficiency Low-Cost Thin-Film GaAs Photovoltaic Module Development Program,Alta Devices,NREL/SR-5200-54398,Technology to Market,node/928446,Lab Award,Incubator 3,Incubator 3,Inactive,2009,"$3,000,000 ",Sunnyvale,CA,94085,node/791021,37.38953,-122.018391,Laila Mattos,"Alta Devices used its DOE funds to develop an innovative high-efficiency (more than 20%), low-cost compound-semiconductor PV module, with market entry expected in 2011. To improve the production economics of high-efficiency PV applications, the unique Alta cell/module architecture employs front and back contacts with minimal efficiency loss, antireflection coatings, and optimized cell geometry and matrix interconnect schemes. Progress to date includes a verified thin-film sub-module efficiency of 20%. Source: Alta Devices. (June 2011)."
Ultra-Thin Monocrystalline Silicon Solar Cells,AmberWave,EE0006019,Technology to Market,node/928446,Funding Opportunity,Incubator 7,Incubator 7,Inactive,2012,"$854,877 ",Salem,NH,03079-4235,node/791021,42.788555,-71.200891,Anthony Lochtefeld,"AmberWave has developed a robust, ultra-thin, mono-crystalline silicon (Si) technology on flexible steel carriers, reducing silicon usage by more than 90% compared with mainstream wafer-based silicon photovoltaics (PV). Under this SunShot award, AmberWave is integrating this technology with the proven high-performance solar cell designs developed at the University of New South Wales, which has demonstrated the world-leading, 25%-efficient silicon solar cell."
"Amicus O&M Cooperative 
",Amicus Solar Cooperative,EE0007586,Technology to Market,node/928446,Funding Opportunity,"Technology to Market 2: Incubator 11, SolarMat 4",Incubator 11,Inactive,2016,"$358,013 ",Boulder,CO,80304-0585,node/2039866,40.014986,-105.270546,Amanda Bybee,"This project creates a nationwide network of independent solar operations and maintenance (O&M) professionals. The members of this network share common infrastructure, software platform, legal agreements, reports templates, and training to ensure that clients with geographically diverse assets receive consistent service, regardless of the system location. This network model will lead to greater service coverage and standardized rates. Applying the cooperative business model to this market sector will address current market gaps by providing streamlined, cost-effective O&M services to ensure that commercial and industrial solar photovoltaic systems fulfill their performance expectations over the short and long term."
"Transformational, Low-Cost, Ground Mounting Structure for Concentrator PV (CPV) Modules",AMONIX,EE0005442,Systems Integration,node/791071,Funding Opportunity,Extreme Balance of System Hardware Cost Reduction,Bos-X,Inactive,2011,"$4,474,000 ",Seal Beach,CA,90505-4018,node/1074216,33.776443,-118.073055,Adam Plesniak,This project will develop new dual-axis tracking systems specifically for concentrating PV systems.
Efficiency Enhancement in C-Si Solar Cells By introducing Fixed-Charge into Sinx Passivation Film Using a Novel Low-Cost Plasma Charging Method,Amtech Systems,EE0007189,Technology to Market,node/928446,Funding Opportunity,"SunShot Technology to Market: Incubator 10, SolarMat 3, SunPath 2",Incubator 10,Inactive,2015,"$930,664 ",Tempe,AZ,85281-3008,node/1382286,33.436665,-111.940325,JeongMo Hwang,"Amtech is developing a low-cost field-effect passivation technology in partnership with the Georgia Institute of Technology. It uses a novel, concept-proven method of charge introduction into a surface passivation film to improve cell efficiency in advanced c-Si solar cells and ultimately reduce the cost of the electricity. The key objective of this project is to optimize this technology, including passivation film stacks and cell structures, in order to maximize the charging effect and the charge reliability. This project is expected to further the commercialization of the technology while introducing new equipment to the solar industry."
Manufacturable High Efficiency (> 20%) Interdigitated Back Contact Solar Cell Technology Using Si He,Applied Novel Devices,EE0006414,Technology to Market,node/928446,Funding Opportunity,Incubator 8,Incubator 8,Inactive,2013,"$500,000 ",Austin,TX,78717-3005,node/791021,32.552483,-98.370042,Leo Mathew,Project Summary: Applied Novel Devices is developing a new device architecture and manufacturing technology to reduce fabrication cost of high efficiency silicon (Si) solar cells and thereby lower the levelized cost of energy (LCOE).
Addressing Environmental Challenges to Deployment Through the Development of an Avian-Solar Science Plan and a Prototype Avian Risk Assessment Tool,Argonne National Laboratory,Lab30482,Soft Costs,node/791371,Lab Award,SunShot National Laboratory Multiyear Partnership,Soft Costs SuNLaMP,Inactive,2015,"$501,308 ",Lemont,IL,60439,node/1969656,41.673642,-88.001726,Leroy Walston,"The soft costs associated with solar project development can increase with potential wildlife impacts. Avian impact issues associated with utility scale solar development, in particular avian fatalities, are not well understood. This project will address these issues to help reach SunShot soft cost target goals by better understanding avian issues at utility scale solar facilities and their soft cost implications using a systematic, standardized, science-based approach that could be applied across the industry."
An Integrated Tool for Improving Grid Performance and Reliability of Combined Transmission-Distribution with High Solar Penetration,Argonne National Laboratory,Lab31221,Systems Integration,node/791071,Lab Award,SunShot National Laboratory Multiyear Partnership,Systems Integration SuNLaMP,Active,2015,"$2,800,000 ",Lemont,IL,60439,node/1646241,41.673642,-88.001726,Shrirang Abhyankar,"High penetration of solar photovoltaics in electric power grids has created a need for changes to power system planning and operations analysis. Important technical issues such as two-way power flow, coordination of protection devices, transmission-distribution interaction, and reduction in inertia need to be resolved to enable a greater deployment of solar generation. To overcome these technical barriers, this project will develop a suite of software tools that creates a holistic understanding of the steady-state and transient behavior of transmission-distribution networks' interaction under high solar penetration levels, along with the capability of real-time monitoring of the distribution systems and integration of system protection."
Chemically Reactive Working Fluids,Argonne National Laboratory,Lab25657,Concentrating Solar Power,node/791094,Funding Opportunity,SunShot Concentrating Solar Power R&D,CSP SunShot R&D,Inactive,2012,"$4,886,359 ",Lemont,IL,60439,node/790611,41.673642,-88.001726,Edward Daniels,"Argonne National Laboratory (ANL), under the 2012 SunShot Concentrating Solar Power (CSP) R&D funding opportunity announcement (FOA), is working to identify and test new heat-transfer fluids (HTFs) that store energy chemically for more efficient energy transfer in CSP applications."
Dual Purpose Advanced Heat Transfer Fluids with Enhanced Thermal Properties and Thermal Storage Capabilities,Argonne National Laboratory,Lab20639,Concentrating Solar Power,node/790241,Lab Award,American Recovery and Reinvestment Act of 2009 CSP Awards,CSP ARRA,Inactive,2009,"$1,000,000 ",Lemont,IL,60439,node/790491,41.673642,-88.001726,Dileep Singh,"Argonne National Laboratory, under an ARRA CSP Award, is developing advanced heat transfer fluids (HTFs) by incorporating multifunctional engineered nanoparticles in heat transfer applications and thermal energy storage."
High Efficiency Latent Heat Based Thermal Energy Storage System Compatible with Supercritical CO<sub>2</sub> Power Cycle,Argonne National Laboratory,Lab30382,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power: Advanced Projects Offering Low LCOE Opportunities,CSP APOLLO,Active,2015,"$1,050,000 ",Lemont,IL,60439,node/1332511,41.672949,-87.962884,Dileep Singh,"This project continues the development of a high-efficiency latent heat thermal energy storage system based on a graphite foam filtered through a phase changer material, which has high thermal conductivity. The project will extend the system to make it compatible with supercritical carbon dioxide power cycles, which use heat transfer fluids at temperatures higher than 720&deg; Celsius."
High Efficiency Thermal Energy Storage System for CSP,Argonne National Laboratory,Lab25682,Concentrating Solar Power,node/790241,Lab Award,CSP National Laboratory R&D,CSP 2012 Lab Call,Inactive,2012,"$2,250,000 ",Lemont,IL,60439,node/790751,41.673642,-88.001726,Dileep Singh,"Argonne National Laboratory and project partner Ohio Aerospace Institute, under the National Laboratory R&D competitive funding opportunity, will design, develop, and test a prototype high-temperature and high-efficiency thermal energy storage (TES) system with rapid charging and discharging times. By increasing the efficiency of TES systems, this project aims to lower the capital costs of concentrating solar power (CSP) systems."
Refractory Solar Selective Coatings,Argonne National Laboratory,Lab30335,Concentrating Solar Power,node/790241,Lab Award,SunShot National Laboratory Multiyear Partnership,CSP SuNLaMP,Active,2015,"$3,605,721 ",Lemont,IL,60439,node/1823761,41.673642,-88.001726,Jeff Elam,"This project is developing high-performance, solar selective coatings for power tower receivers in CSP plants. In CSP tower systems, the receiver is where the reflected light is concentrated and converted to thermal energy. The efficiency of the light-to-heat conversion is an essential factor in determining the overall efficiency of a CSP plant. A reliable and durable solar selective coating can significantly improve efficiency by reducing the amount of light that is re-emitted away from the plant."
Arizona Rooftop Challenge (ARC),Arizona Governor's Office of Energy Policy,EE0005693,Soft Costs,node/791371,Funding Opportunity,Rooftop Solar Challenge,Rooftop Solar Challenge,Inactive,2012,"$708,992 ",Phoenix,AZ,85007-2812,node/791726,33.446272,-112.089368,Blaine Miller,"The Arizona Governor's Office of Energy Policy will identify best practices in finance, permitting, and zoning to move toward voluntary statewide uniformity. The project will drive adoption of an online system in five jurisdictions that allows for over-the-counter/same-day permit review."
High Penetration of Photovoltaic Generation Study Flagstaff Community Power,Arizona Public Service Company,EE0004679,Systems Integration,node/791071,Funding Opportunity,High Penetration Solar Deployment,High Pen,Inactive,2011,"$2,182,943 ",Phoenix,AZ,85072-3999,node/1068351,33.45,-111.97,David Narang,"The project team, led by Arizona Public Service, will evaluate the impacts of high penetrations of distributed PV and energy storage on a dedicated feeder to identify the technical and operational modifications that could be deployed in future feeder designs."
A New Class of Tandems:  Optically Coupled III-V / Silicon Module with Outdoor Efficiency Exceeding 30%,Arizona State University,EE0007368,Photovoltaics,node/790889,Funding Opportunity,Photovoltaic Research and Development: Small Innovative Projects in Solar,PVRD SIPS,Inactive,2016,"$213,335 ",Tempe,AZ,85280-0001,node/1875991,33.43,-111.93,Zachary Holman,"This project utilizes a new class of tandem solar module to optically couple III-V and silicon cells into a module with outdoor efficiency exceeding 30%. In the proposed system, low-energy light will be collected and converted using silicon cells with the high-energy light being reflected and concentrated using a dichroic mirror onto a III-V cell. The system decouples the tandem components and utilizes concentration to increase the system efficiency and decrease the cost of energy."
Advanced Energy Storage With Pv To Reduce Customer Electricity Costs,Arizona State University,EE0005948,Photovoltaics,node/790881,Funding Opportunity,Bridging Research Interactions through Collaborative Development Grants in Energy,BRIDGE,Inactive,2012,"$854,999 ",Tempe,AZ,85280-0001,node/790956,33.43,-111.93,Mariana Bertori,ASU is focusing on in-situ x-ray nanocharacterization of defect kinetics in solar cell materials using facilities at Argonne National Laboratory.
Advancing Solar Innovation for Low- and Moderate-Income Households: Analysis of the Arizona Experience,Arizona State University,EE0007663,Soft Costs,node/791371,Funding Opportunity,Solar Energy Evolution and Diffusion Studies 2 - State Energy Strategies ,SEEDS2-SES,Active,2016,"$729,995 ",Tempe,AZ,85287-6011,node/2092335,33.418316,-111.931194,Jacqueline Hettel,"This project identifies key socioeconomic factors and social values that enable and constrain solar adoption in low- and moderate-income communities in Arizona. The team is developing an accessible and easy-to-understand database of social drivers for solar adoption and non-adoption. By closely studying the areas that represent a large portion of the state's population, this project provides insights regarding adoption patterns that will not be observed in larger-scale national studies. In addition to assessing Arizona, the project will begin to compile driving factors for adoption in select communities within Arkansas, Georgia, and Mississippi."
CVD-BASED VALENCE-MENDING PASSIVATION FOR CRYSTALLINE-SI SOLAR CELLS,Arizona State University,EE0005322,Photovoltaics,node/790881,Funding Opportunity,Foundational Program to Advance Cell Efficiency,F-PACE,Inactive,2011,"$1,500,000 ",Tempe,AZ,85281-3670,node/790971,33.436665,-111.940325,Meng Tao,"The objective of this project is to integrate a new surface passivation technique into crystalline-Si solar cells for significant efficiency improvements and cost reductions. In collaboration with Arizona State University, this project is substituting the silver finger electrode, which is the biggest cost contributor in cell fabrication, with an earth-abundant metal. The researchers are also investigating the passivation of dangling bonds at grain boundaries with the valence-mending approach. The goals are to narrow the efficiency gap to less than 1% between multicrystalline-Si and monocrystalline-Si solar cells, reduce cell costs by $0.10/W, and make c-Si cells ready for terawatt-scale deployment."
Direct Metallization with Reactive Inks: Assessment of Reliability and Process Sensitivities,Arizona State University,EE0008166,Photovoltaics,node/2619924,Funding Opportunity,"Photovoltaic Research and Development 2 

",PVRD2,Active,2017,"$1,400,000 ",Tempe,AZ,85287-5706,node/2619924,33.418316,-111.931194,Mariana Bertoni,"This project is investigating the material and growth properties of reactive metal inks in order to explore their potential use in the metallization of silicon solar cell. The research team seeks to radically change the cost structure of the cell by dramatically reducing silver consumption. This technique is of particular importance to temperature sensitive devices, such as heterojunction architectures, where the low processing temperatures of reactive inks offer a significant advantage and alternative metallization methods are currently expensive."
Electroplated Aluminum - An Alternative to Copper or Silver Electrode in Silicon Solar Cells,Arizona State University,EE0008150,Photovoltaics,node/2619924,Funding Opportunity,"Photovoltaic Research and Development 2 

",PVRD2,Active,2017,"$225,000 ",Tempe,AZ,85287-6011,node/2619924,33.418316,-111.931194,Stuart Bowden,"This project is developing a simple, two-layer aluminum electrode to substitute the silver electrode in silicon solar cells. This includes the examination of electroplating to significantly reduce processing costs, improve module reliability and lifetime, and maintain high cell efficiency."
"Fault-Tolerant, Shade-Tolerant High-Voltage Photovoltaic Modules",Arizona State University,EE0008164,Photovoltaics,node/2619924,Funding Opportunity,"Photovoltaic Research and Development 2 

",PVRD2,Active,2017,"$180,000 ",Tempe,AZ,85287-5706,node/2619924,33.418316,-111.931194,Meng Tao,"This project is developing a solar cell architecture called the M-CELL, which enables higher voltage and lower current than conventional modules. The M-CELL architecture results in a single silicon wafer on which multiple cells are monolithically integrated and interconnected in series. This project is researching the series connection configuration, current-voltage characteristics, shadowing reduction, and impact of higher voltage on power losses of this early-stage technology."
