Project_Title,Awardees,CID,SUBPROGRAM,SUBPROGRAM_NODE,Award_Type,FOA_NAME,FOA_Acronym,Status,Award_Start_Date,Award_End_Date,Total_Government_Share,Cost_Share,City,State,Zip_Code,Node,Latitude,Longitude,Principal_Investigator,Project_Description
Cost-Effective Polymer Solar Cells Research and Education,Norfolk State University,DE-EE0004002,Photovoltaics,node/790881,Funding Opportunity,Minority University Research Associates,MURA,Inactive,9/15/2010,8/31/2015,"$273,975 ","$101,919.00 ",Norfolk,VA,23504,node/790881,36.89084,-76.311623,Sam S. Sun,"The research objective is to investigate and develop polymer-based solar cells for potential cost-competitive, durable, lightweight, flexible, and high efficiency solar energy conversion applications. A donor/acceptor bicontinously ordered nano structure type solid state morphology is targeted. The educational objectives of this project include training a next generation of young scholars, scientists and/or technical workforce to work on solar energy technology."
Production and Characterization of Novel Photovoltaic Materials,North Carolina Central University,DE-EE0004003,Photovoltaics,node/790881,Funding Opportunity,Minority University Research Associates,MURA,Inactive,9/15/2010,9/14/2015,"$284,826 ","$142,579.00 ",Durham,NC,27707,node/790881,35.994033,-78.898619,Marvin Wu,This project enhances photovoltaic (PV) research and training efforts at North Carolina Central University focused on the development of novel nanoscale materials for PV applications. A unique ultrafast pulsed laser deposition and pulsed electron deposition facility is used to systematically study complex ternary and quaternary III-V and chalcopyrite semiconductor quantum dots (QDs) and nanowires (NWs) that are anticipated to play an important role in the development of advanced PV cells. Theoretical modeling of the electronic structure and carrier dynamics of QDs and NWs will complement the experimental research.
Creating Green Talent in the Southwest: A Comprehensive Research and Educational Program in Solar-Cell Technology at the University of New Mexico,University of New Mexico,DE-EE0004004,Photovoltaics,node/790881,Funding Opportunity,Minority University Research Associates,MURA,Inactive,9/15/2010,9/30/2014,"$306,717 ","$76,679.27 ",Albuquerque,NM,87131,node/790881,35.0499,-106.475926,Olga Lavrova,"This project establishes a third generation photovoltaic (PV) laboratory at the Center for High Technology Materials where undergraduates will be exposed to research in nanotechnology-based PVs and ultra-high concentration solar cells, as well as a research effort in the Electrical and Computer Engineering (ECE) department on smart grids for future power distribution. Additionally, new core ECE courses are being developed that will be taken by all undergraduates, which will introduce them to PVs from both a device and a power systems perspective."
Utilization of Renewable Energy to Meet New National Challenges in Energy and Climate Change,Howard University,DE-EE0004006,Photovoltaics,node/790881,Funding Opportunity,Minority University Research Associates,MURA,Inactive,9/15/2010,8/14/2016,"$183,846 ","$47,610.50 ",Washington,DC,20059,node/790881,38.905276,-76.981588,James Momoh,"This research project models integrated networks of renewable energy resources and loads and evaluates the generation balance through appropriate storage and control design. As part of the project, design of performance indices will be developed for achieving generation/load balance, frequency control, and power quality and reliability under different disturbances. Education and training in this project includes high school, undergraduate and graduate students in simulation and hands-on research development of the integrated scheme."
Computational Analysis of Nanoparticles - Molten Salt Thermal Energy Storage for Concentrated Solar Power Systems,University of Texas at El Paso,DE-EE0004008,Photovoltaics,node/790881,Funding Opportunity,Minority University Research Associates,MURA,Inactive,9/15/2010,7/31/2014,"$263,730 ","$77,903.44 ",El Paso,TX,79901-1000,node/790881,31.759737,-106.478871,Vinod Kumar,"The research goal of this project is to perform computational analysis for designing anefficient and cost-effective thermal energy storage (TES) system for concentrating solar-thermal power (CSP) using nano-fluidized molten salt as the storage medium. An efficient TES system contributes to reaching the SunShot goal of making solar electricity cost competitive with conventional sources. The educational efforts include an interdisciplinary course designed specifically for students with different backgrounds who share a common interest in renewable energy, a targeted solar energy workshop at the University of Texas at El Paso, and student and faculty visits and summer research at the National Renewable Energy Laboratory and Sandia National Laboratories."
National Administrator of the Solar Instructor Training Network,Interstate Renewable Energy Council,DE-EE0004137,Soft Costs,node/791371,Funding Opportunity,Solar Instructor Training Network,SITN,Inactive,10/1/2010,4/30/2016,"$4,766,431.32 ",$0.00 ,Latham,NY,12110-1156,node/791451,42.753945,-73.783086,Jane Weissman,"The goal of this project, with IREC and its sub-partners, Keyes, Fox & Wiedman, and others, is to work to dramatically expand market opportunities for solar PV by pursuing fair and transparent solar pricing and interconnection policies (for all parties  -  utilities, solar developers and consumers) in the 20 states with the highest potential for significant solar PV market growth. IREC will work to analyze and suggest collaborative remedies (for debate by all stakeholders) to the technical and administrative barriers still impacting cost-effective interconnection and transmission in the 10 states poised to achieve the highest penetrations of solar PV. This award will support IREC in encouraging technical and policy studies that drive solutions to the incorporation of high-penetration solar PV scenarios into utility planning and operations management activities in the five states with the highest solar PV penetrations. IREC will also provide technical assistance to communities and states that wish to explore community and shared solar models."
High Penetration of Photovoltaic Generation Study Flagstaff Community Power,Arizona Public Service Company,DE-EE0004679,Systems Integration,node/791071,Funding Opportunity,High Penetration Solar Deployment,High Pen,Inactive,1/1/2011,2/28/2015,"$2,121,651.15 ","$665,271.17 ",Phoenix,AZ,85072-3999,node/1068351,33.45,-111.97,David Narang,"The project team, led by Arizona Public Service, will evaluate the impacts of high penetrations of distributedphotovoltaics and energy storage on a dedicated feeder to identify the technical and operational modifications that could be deployed in future feeder designs."
Improved Modeling Tools Development for High Penetration Solar,"University of California, San Diego",DE-EE0004680,Systems Integration,node/791071,Funding Opportunity,High Penetration Solar Deployment,High Pen,Inactive,1/1/2011,12/31/2013,"$1,428,992.06 ","$432,695 ",La Jolla,CA,92093-0934,node/1074206,32.832811,-117.271272,Byron Washom,"The University of California, San Diego aims to develop a high penetration modeling tool using power analytics software. They will incorporate micro-climate monitoring systems and demonstrate the tool's effectiveness."
Field Verification of High-Penetration Levels of Photovoltaics into the Distribution Grid with Advanced Power Conditioning Systems,Virginia Polytechnic Institute and State University,DE-EE0004681,Systems Integration,node/791071,Funding Opportunity,High Penetration Solar Deployment,High Pen,Inactive,4/1/2011,2/28/2015,"$2,600,849.38 ","$701,178.87 ",Blackburg,VA,24060-3325,node/1069036,37.470797,-79.917723,Jason Lai,Virginia Polytechnic Institute and State University (VT) is evaluating the impacts of high photovoltaic (PV) penetration and methods to manage any impacts with improved power conditioning equipment.
Sunshine State Solar Grid Initiative (SUNGRIN),Florida State University,DE-EE0004682,Systems Integration,node/791071,Funding Opportunity,High Penetration Solar Deployment,High Pen,Inactive,1/1/2012,2/28/2015,"$1,993,362.66 ","$557,523.13 ",Tallahassee,FL,32306-4166,node/1074206,30.440785,-84.288352,Rick Meeker,"This project aims to leverage simulation-assisted research and development based on a wide variety of Florida feeders that already incorporate high levels of PV power. Working with utilities, the team at Florida State University's Center for Advanced Power Systems (FSU CAPS) will evaluate and model impacts of the effects of high-penetration PV on distribution and transmission. Validated models that include characterization of the Florida solar resource will be developed for the range of feeder designs, and power management solutions will be evaluated."
PVMI Bay Area Photovoltaic Consortium,Stanford University,DE-EE0004946,Photovoltaics,node/790881,Funding Opportunity,Photovoltaic Manufacturing Initative,PVMI,Inactive,8/17/2011,5/31/2018,"$23,206,352.00 ","$6,806,076.00 ",Stanford,CA,94301-1000,node/791041,37.413576,-122.168928,Yi Cui,"The goal of this project is to develop materials, device structures, processes, and metrology necessary to design and implement cost effective photovoltaic (PV) modules in large volume production. This will be achieved by support of industry-relevant research at the Leland Stanford Junior University (Stanford), University of California, Berkeley (U.C. Berkeley), Lawrence Berkeley National Laboratory, the National Renewable Energy Laboratory, the SLAC National Accelerator Laboratory, and other universities throughout the nation. Six initial technology thrusts target area manufacturing cost and device performance characteristics compatible with production at $0.50/W as needed for system level grid parity."
U.S. Photovoltaic Manufacturing Consortium (USPVMC) - Enabling America's Solar Revolution,Research Foundation of the State University of New York,DE-EE0004947,Photovoltaics,node/790881,Funding Opportunity,Photovoltaic Manufacturing Initative,PVMI,Inactive,9/1/2011,5/31/2017,"$43,652,260.66 ","$44,908,320.87 ",Hillsboro,OR,97124,node/791041,42.65,-73.76,Pradeep Haldar,"The goal of this project is to create a fee-for-service, photovoltaic (PV) manufacturing development facility (MDF) accessible to PV companies. The MDF, created by the State University of New York College of Nanoscale Science and Engineering, will be able to accommodate a range of services and equipment, including access to advanced tools, manufacturing expertise, secure fabrication space for users' proprietary tools, and pilot production services all in a secure intellectual-property environment. The MDF is focusing on the commercialization of silicon PV manufacturing processes and technologies. It aims to reduce the costs and development time for participating PV industry leaders to deliver innovative, emerging technologies from the laboratory to commercial manufacturing lines. These capabilities enable startups, materials suppliers, and other PV innovators to eliminate a major portion of their up-front capital costs and initial operating costs during product development and pilot production."
A Photovoltaic Manufacturing Development Facility,Research Foundation of the State University of New York,DE-EE0004948,Photovoltaics,node/790881,Funding Opportunity,Photovoltaics Manufacturing Initiative,PVMI,Inactive,6/28/2011,6/27/2014,"$19,641,754 ","$12,462,754.00 ",Albany,NY,12222,node/791041,42.65,-73.76,Paul Farrar,"The project goal to create a first-of-a-kind crystalline Silicon (c-Si) photovoltaic (PV) Manufacturing & Technology Development Facility (MDF) that will support the growth and maturation of a strong domestic PV manufacturing industry, based on innovative and differentiated technology, by ensuring industry participants can, in a timely and cost-effective manner, access cutting-edge manufacturing equipment and production expertise needed to accelerate the transition of innovative technologies from R&D into manufacturing."
Transforming Organic Photovoltaics into a Fully Practical Energy Solution,University of Michigan,DE-EE0005310,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,4/30/2016,"$1,500,000 ","$114,353 ",Ann Arbor,MI,48109,node/790976,42.305325,-83.669417,Stephen Forrest,"The goal of this project is to research ways to addresses efficiency, reliability, cost and scalability issues that must be resolved to transform organic photovoltaics into a competitively viable product. Small molecular-weight, organic nanocrystalline cells are stacked to form a high-efficiency tandem architecture. The research team is using low-cost, light in-coupling schemes to enhance efficiency, exploring liquid phase and organic vapor phase deposition, and subjecting prototype devices to reliability testing."
Tandem Multijunction Microwire Solar Cells for Flexible High Efficiency Low Costs Photovoltaics,California Institute of Technology,DE-EE0005311,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,10/31/2013,"$750,000 ",$0.00 ,Pasadena,CA,91125-0600,node/790976,34.16424,-118.083005,Harry Atwater,"The goal of this project is to develop a waferless, flexible, low-cost, tandem, multijunction, wire-array solar cell that combines the efficiency of wafered crystalline silicon (c-Si) technologies with the cost and simplicity of thin-film technologies. The approach synthesizes tandem solar cells by conformal epitaxial growth of III-V compound, semiconductor, wide-bandgap absorber layers to form dual-junction and triple-junction wire array tandem solar cells. Such high-efficiency multijunction wire arrays represent a transformational, and as-yet unrealized, opportunity for low-cost, high-efficiency photovoltaics."
Solution Processed Photovoltaics Absorbers Based On Colloidal Nanocrystals Linked With Metal Chalcogenide Ligan,University of Chicago,DE-EE0005312,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,1/31/2016,"$900,000.00 ","$156,600 ",Chicago,IL,60637,node/790976,41.78051,-87.603826,Dmitri Talapir,"The goal of this project is to develop solution-processed, all-inorganic photovoltaic absorber layers composed of colloidal nanocrystals. They will be electronically coupled through novel molecular metal chalcogenide ligands, which provide band-like carrier transport while preserving quantum confinement effects. At the end of the project, the research team plans to deliver a 20%-efficient tandem cell composed of cadmium telluride (CdTe) nanocrystals for the top junction and lead sulfide (PbS) for bottom junction."
Device Architecture Simplification of Laser Patterning In High-Volume Crystalline Silicon Solar Cell,SolarWorld Industries America,DE-EE0005313,Photovoltaics,node/790881,Funding Opportunity,Foundational Program to Advance Cell Efficiency,F-PACE,Inactive,9/1/2011,7/15/2013,"$1,423,073.63 ","$702,692.00 ",Hillsboro,OR,97124-5768,node/790971,45.522894,-122.989827,Guenther Mueller,"This comprehensive project team is researching the use of laser processing techniques to develop advanced device architectures leading to thin-silicon PV cells with higher efficiencies. The team aims to achieve efficiencies above 20% via a simplified hybrid metal-wrap-through (MWT) and laser-fired-contact (LFC) solar cell design built on ultra-thin, n-type mono-crystalline silicon substrates and employing a co-extrusion front and rear metallization scheme. The end result will be a vetted engineering design for a pilot tool capable of a high-degree of process uniformity at volume manufacturing throughput rates."
Low Cost Back Contact Heterojunction Solar Cells on Thin c-Si Wafers: Integrating Laser and Thin Film Processing for Improved Manufacturability,University of Delaware,DE-EE0005314,Photovoltaics,node/790881,Funding Opportunity,Foundational Program to Advance Cell Efficiency,F-PACE,Inactive,9/1/2011,6/30/2015,"$3,809,381.37 ","$952,344.34 ",Newark,DE,19716,node/790971,39.667357,-75.750231,Steven Hegedus,"This project is creating a high-efficiency crystalline silicon cell that overcomes the dominant module cost barriers by using thin-silicon wafers produced via high-speed laser processing. The research effort is guided by a multi-disciplinary team of PV and laser experts from the Institute of Energy Conversion at University of Delaware (solar cell design and processing), Massachusetts Institute of Technology (Si defect characterization and engineering), and JP Sercel  Associates (laser processing). It is estimated that combined cost reduction for the proposed device architecture utilizing thin wafers and simplified module assembly will result in a module cost of less than $0.50/W. "
Hole-Blocking Layers for Silicon/Organic Heterojunctions: A New Class of High-Efficiency Low-Cost Photovoltaics,Princeton University,DE-EE0005315,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,8/31/2016,"$1,476,609 ",$0.00 ,Princeton,NJ,8544,node/790976,40.34427,-74.65502,James Sturm,"The goal of this project is to develop silicon/organic and silicon/metal oxide heterojunctions as a new class of high-efficiency, low-cost photovoltaic technology. Instead of a conventional p-n junction, a silicon/organic heterojunction is used to separate carriers, and a silicon/metal oxide interface provides a hole-blocking layer. These devices are fabricated by spin-coating or spraying a thin layer of an organic semiconductor on silicon. This low-cost, room-temperature process eliminates the need for the high-temperature diffusion steps typically used to fabricate p-n junctions."
