CID,Project_Title,Awardee,Program_Area,DOE_Funding_Amount,Recipient_Type,Award_Type,State,FOA_Name,FOA_NodeID,Fiscal_Year_Awarded,Subprogram_Node,Project_Description,Status,Contact_email,Contact_url
1.5.3.401,TwistAct Economic Analysis,National Renewable Energy Laboratory,Next-Generation Technology Development and Manufacturing,"$55,000 ",National Laboratory,Annual Operating Plan,CO,,,2016,/node/778391,The Twistact was a novel rotary electrical contact device that was developed at Sandia National Laboratories to eliminate the need for rare earth magnets in multi-MW direct drive wind turbines. This project was intended to evaluate the techno-economic viability of the technology to direct future funding and development.,Completed,brian.smith@nrel.gov,https://www.nrel.gov/wind/
1.5.3.701,TwistAct Project,Sandia National Laboratories,Next-Generation Technology Development and Manufacturing,"$60,000 ",National Laboratory,Annual Operating Plan,NM,,,2016,/node/778391,The Twistact was a novel rotary electrical contact device that was developed at Sandia National Laboratories to eliminate the need for rare earth magnets in multi-MW direct drive wind turbines. This project was intended to evaluate the techno-economic viability of the technology to direct future funding and development.,Completed,gklise@sandia.gov,http://energy.sandia.gov/energy/renewable-energy/wind-power/materials-reliability-standards/
1.5.90.401,"U.S.-Sourced, Next Generation Drivetrain for Land-Based and Offshore Wind Turbines","National Renewable Energy Laboratory (operated by Alliance for Sustainable Energy, LLC)",Next-Generation Technology Development and Manufacturing; Offshore Wind,"$1,587,437 ",National Laboratory,Competitive Funding Opportunity Announcement,CO,Next-Generation Drivetrain FOA,/node/801591,2011 &ndash; 2018,/node/778391; /node/778401,"The National Renewable Energy Laboratory <a href=""https://energy.gov/eere/articles/innovative-drivetrain-testing-wind-turbines-nears-completion"" target=""_blank"">next-generation drivetrain project</a> optimized and tested a hybrid design that combines the advantages of geared and direct-drive concepts through an improved single-stage gearbox and a medium speed permanent magnet generator that reduces the need for rare earth materials. The technology is expected to improve drivetrain reliability, increase efficiency, and be scalable to 10 megawatts. Advances in wind turbine drivetrain technologies are necessary to reduce the cost of energy for land-based and offshore wind turbines. The geared, medium-speed drivetrain developed for this project combines multiple incremental but important innovations to meet or exceed the goals of producing a lighter, more reliable, and more efficient drivetrain design that decreases installed capital costs, levelized replacement and operations and maintenance costs, and the levelized cost of energy. The objectives for the second phase are:
<ul>
<li>To complete the detailed design, fabrication, and dynamometer testing of a 750-kW drivetrain that includes key gearbox hardware and power-converter software innovations.</li>
<li>To complete the design, fabrication, and bench-level testing of medium-voltage hybrid Silicon/Silicon Carbide (Si/SiC) modules.</li>
</ul> 
By successfully completing these technology validation tests, the technology readiness level of each innovation developed by the industry partners will be advanced to level 6, increasing their commercialization potential; and their benefit to the levelized cost of energy (estimated in the first phase of the project) will be demonstrated.
",Completed,brian.smith@nrel.gov,https://www.nrel.gov/wind/
1.6.1.401,Wind Standards Development,National Renewable Energy Laboratory,Next-Generation Technology Development and Manufacturing; Testing,"$1,803,069 ",National Laboratory,Annual Operating Plan,CO,,,2015 &ndash; 2018,/node/778391; /node/778426,"The main objective of this project is to participate in and, when logical, lead the development of domestic and international wind standards. These standards benefit the industry and level the playing field in the market due to clear international product design and test requirements. These standards also benefit the end users by ensuring that the equipment that adheres to the standard achieves an appropriate level of quality and therefore performs to the expectations of the owners and operators. They achieve this at a minimum level of effort and ensure that this effort is traceable, thereby increasing confidence in the product and reducing risk. The standards development work has also created an effective path for DOE research and development knowledge developed throughout the program to find its way into the industry through in-depth discussions with members of the various standards development committees who use this knowledge to advance the standards. The work on the Wind Turbine Certification Advisory Committee (WT-CAC) and subsequent IECRE conformity assessment system aims to reach a uniform interpretation and application of the International Electrotechnical Commission (IEC) standards for the purpose of certification, which should result in mutual recognition of test reports and turbine certificates. If accomplished with the right level of quality, this would reduce the need to duplicate efforts and thus also reduce the cost of energy. This conformity assessment system has also developed into a forum in which all industry stakeholders can collaborate and ensure that their needs are met in the conformity assessment requirements.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
1.6.1.402,IEA Task on Development and Use of Probabilistic Forecasts for Wind Energy,National Renewable Energy Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$40,000 ",National Laboratory,Annual Operating Plan,CO,,,2014 &ndash; 2015,/node/778436,"This sub-project of the larger Performance, Risk, and Uncertainty in Finance (PRUF) project focuses on Integrated Planning, Portfolio Analysis, and Technology Transfer through the International Energy Agency's Task on Forecasting and the Development and Use of Probabilistic Forecasts for Wind Energy.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
1.6.1.602,"A2e: Integrated Planning, Financial Risk Analysis, and Technology Transfer",Pacific Northwest National Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$102,521 ",National Laboratory,Annual Operating Plan,WA,,,2015,/node/778436,"This sub-project of the larger Wind Forecast Improvement Project will propose, develop, and execute an International Energy Agency (IEA) task that will engage appropriate international leaders to define best practices for the development of forecast uncertainties and for the use of probabilistic forecasts in power system.",Active,will.shaw@pnnl.gov,https://www.esrl.noaa.gov/psd/renewable_energy/wfip/
1.6.1.701,Wind Standards Development,Sandia National Laboratories,Next-Generation Technology Development and Manufacturing,"$250,272 ",National Laboratory,Annual Operating Plan,NM,,,2015 &ndash; 2016,/node/778391,"IEC 61400-5 is a wind turbine standard that describes the process for designing, building, and maintaining a wind turbine blade. This standard will impact the entire industry, and will serve as a basis for improving blade reliability for years to come. Sandia will use years of blade design and blade reliability experience to improve the standard and ensure best practices. ",Active,gklise@sandia.gov,http://energy.sandia.gov/energy/renewable-energy/wind-power/materials-reliability-standards/
3.1.0.001,Grid Systems Operation for Wind: Stochastic Tool Evaluation,Argonne National Laboratory,Grid Integration,"$609,818 ",National Laboratory,Annual Operating Plan,IL,,,2014 &ndash; 2016,/node/778441,"Stochastic programming is frequently mentioned as an important solution to address power grid operations with higher shares of renewable energy, including wind power. However, despite significant research on this topic in recent years, there are still many open questions about what are the most promising application areas as well likely benefits of moving from deterministic to stochastic approaches. 
In this project, Argonne conducted a detailed assessment of how stochastic approaches can be used at different stages in system and market operations, from day-ahead scheduling to real-time dispatch. The Argonne team first conducted a review of existing work and summarized the main results from previous studies while also identifying the main impediments for introducing stochastic methods into operational decisions making. Next, the team developed a systematic set of metrics and a consistent framework to evaluate different scheduling, dispatch, and market operations strategies. They also conducted an initial quantitative evaluation of the potential benefits of stochastic programming approaches compared to traditional deterministic models and other alternatives. 
The case study was conducted on a hypothetical test system, considering a number of realistic constraints and operational procedures. The results of this project provided the electric power industry with better insights into the range of different stochastic methods that can be applied to power system operations, the potential benefits of shifting towards stochastic methods in operations, and also to better appreciate likely challenges, from technical, market, and computational perspectives. 
Overall, the project has expanded the industry’s understanding of potential methods and tools available to address the uncertainty and variability in wind power and other renewable resources, thereby facilitating a more cost effective integration of wind power into the grid. More specifically, the objectives of the project were to: 
<ul>
<li>Classify existing approaches and tools for stochastic grid operations under uncertainty in renewable generation.</li>
<li>Identify the most promising application areas for stochastic approaches in grid operations, considering cost, reliability, market implementation, and computational perspectives.</li>
<li>Identify the main impediments for introducing stochastic methods, considering system operators, utilities, as well as operational software vendors.</li>
<li>Refine existing stochastic modeling algorithms and uncertainty quantification methods and development of a simulation framework for consistent comparison of different approaches for grid operations.</li>
<li> Quantify potential benefits of stochastic programming applied to day-ahead commitment, intra-day scheduling, and real-time dispatch for a medium-sized test system.</li>
<li>Improve the understanding of the potential benefits and challenges of applying stochastic methods in grid operations in the electric power industry.</li>
</ul> 
Ultimately, the project contributed to lower grid integration costs and enabling of a larger penetration of wind power through improved operational strategies with increasing shares of renewable energy.
",Completed,agreco@anl.gov,http://www.anl.gov/energy/renewable-energy
3.1.0.003,WindView: An Open Platform for Wind Energy Forecast Visualization,Argonne National Laboratory,Grid Integration,"$695,288 ",National Laboratory,Annual Operating Plan,IL,,,2016 &ndash; 2018,/node/778441,"The overall goal of this project is to create an open situational awareness and decision support platform ‘WindView’, that provides grid operators with knowledge on the state and performance of their power system, with an emphasis on wind energy. The focus will be on utilizing advanced visualization to display pertinent information, extracted through computational techniques, from wind power forecasts for high-wind penetration systems.",Active,agreco@anl.gov,http://www.anl.gov/energy/renewable-energy
3.1.0.004,Market and Reliability Opportunities for Wind on the Bulk Power System,Argonne National Laboratory,Grid Integration,"$559,804 ",National Laboratory,Annual Operating Plan,IL,,,2016 &ndash; 2018,/node/778441,"The goal of this project is to create a multi-timescale market and reliability modeling framework to better understand the impacts of wind on the electric power system as it is operated today and in the transition to a modern, clean, and flexible power system of the future.",Active,agreco@anl.gov,http://www.anl.gov/energy/renewable-energy
3.1.0.005,Multiscale Integration of Control Systems (EMS/DMS/BMS),Argonne National Laboratory,Grid Integration,"$21,300 ",National Laboratory,Annual Operating Plan,IL,,,2016,/node/778441,"This project is part of the <a href=""https://energy.gov/under-secretary-science-and-energy/doe-grid-modernization-laboratory-consortium-gmlc-awards"" target=""_blank"">Grid Modernization Laboratory Consortium</a>. This project intends to create an integrated grid management framework that will be akin to having an autopilot system for the grid’s interconnected components — from central and distributed energy resources at bulk power systems and distribution systems, to local control systems for energy networks, including building management systems.",Active,agreco@anl.gov,http://www.anl.gov/energy/renewable-energy
3.1.0.006,Development and Deployment of Multi-Scale Production Cost Models,Argonne National Laboratory,Grid Integration,"$22,500 ",National Laboratory,Annual Operating Plan,IL,,,2016,/node/778441,"This project is part of the <a href=""https://energy.gov/under-secretary-science-and-energy/doe-grid-modernization-laboratory-consortium-gmlc-awards"" target=""_blank"">Grid Modernization Laboratory Consortium</a>. The project will develop the ability to more accurately estimate economic impact of renewables, storage, and other technologies. It will also research scalable methods for deterministic and stochastic production cost modeling, higher resolution grid models, applications of uncertainty quantification, and high performance computing (HPC). New capabilities will be deployed with system planners through workshops. ",Active,agreco@anl.gov,http://www.anl.gov/energy/renewable-energy
3.1.0.101,Grid System Planning For Wind: Concurrent Cooling/Dynamic Line Rating,Idaho National Laboratory,Grid Integration,"$889,593 ",National Laboratory,Annual Operating Plan,ID,,,2014 &ndash; 2016,/node/778441,"One primary goal of rendering today’s transmission grid “smarter” is to optimize and better manage its power transfer capacity in real time. Power transfer capacity is affected by three main elements: stability, voltage limits, and thermal ratings. All three are critical, but thermal ratings represent the greatest opportunity to quickly, reliably, and economically utilize the grid’s true capacity. With the “Smarter Grid,” new solutions have been sought to give operators a better grasp on real-time conditions, allowing them to manage and extend the usefulness of existing transmission infrastructure in a safe and reliable manner. The objective of the Idaho National Laboratory (INL) Wind Program is to:
<ul>
<li>Provide industry a Dynamic Line Rating (DLR) solution that is state of the art as measured by cost, accuracy, and dependability.</li>
<li>To enable human operators to make informed decisions.</li>
<li>To take appropriate actions without human or system overloading and impacting the reliability of the grid.</li>
</ul> 
In addition to mitigating transmission line congestion to better integrate wind, DLR also offers the opportunity to improve the grid with optimized utilization of transmission lines to relieve congestion in general. As wind-generated energy has become a bigger part of the nation’s energy portfolio, researchers have learned that wind not only turns turbine blades to generate electricity, but can cool transmission lines and increase transfer capabilities significantly, sometimes up to 60%. INL’s DLR development supports Office of Energy Efficiency and Renewable Energy (EERE) and The Wind Energy Technology Office’s goals by informing system planners and grid operators of available transmission capacity, beyond typical Static Line Ratings (SLR). SLRs are based on a fixed set of conservative environmental conditions to establish a limit on the amount of current lines that can safely carry without overheating. Using commercially available weather monitors mounted on industry-informed custom brackets developed by INL in combination with Computational Fluid Dynamics (CFD) enhanced weather analysis and DLR software, INL’s project offers the potential of safely providing line ampacities up to 40% or more above existing SLRs, by using real-time information rather than overly conservative SLR.
",Active,jake.gentle@inl.gov ,http://www4vip.inl.gov/research/increasing-the-capacity-of-existing-power-lines/
3.1.0.102,Grid System Planning For Wind: Wind Based Transmission Planning Tool Development,Idaho National Laboratory,Grid Integration,"$175,000 ",National Laboratory,Annual Operating Plan,ID,,,2015 &ndash; 2016,/node/778441,"This project supports the development of improved grid integration for renewables and increasing the penetration of wind power production. Transmission line ampacity ratings are traditionally limited by conductor thermal capacity, and are defined by a static rating using predetermined environmental conditions. Without accurately measuring environmental conditions and their effects, existing transmission lines can be significantly underutilized. Applying this same logic to the planning and design of new transmission lines will enable developers and owners to use the dynamic nature of environmental conditions to maximize the ratings, albeit static or dynamic. Using a dynamic line rating system to accurately monitor these conditions will lead to improved line ampacity ratings, better knowledge of operational/reliability issues and potentially safer operation of the overall system.",Active,jake.gentle@inl.gov ,http://www4vip.inl.gov/research/transmission-line-modeling-tool-suite/
3.1.0.103,Operational and Strategic Implementation of Dynamic Line Rating for Optimized Wind Energy Generation Integration,Idaho National Laboratory,Grid Integration,"$1,641,022 ",National Laboratory,Annual Operating Plan,ID,,,2016 &ndash; 2018,/node/778441,"One primary goal of rendering today's transmission grid ""smarter"" is to optimize and better manage its power transfer capacity in real time. Power transfer capacity is affected by three main elements: stability, voltage limits, and thermal ratings. All three are critical, but thermal ratings represent the greatest opportunity to quickly, reliably, and economically utilize the grid's true capacity. With the ""Smarter Grid,"" new solutions have been sought to give operators a better grasp on real-time conditions, allowing them to manage and extend the usefulness of existing transmission infrastructure in a safe and reliable manner. The objective of the Idaho National Laboratory (INL) Wind Program is to:
<ul>
<li>Provide industry a Dynamic Line Rating (DLR) solution that is state of the art as measured by cost, accuracy, and dependability. </li>
<li>To enable human operators to make informed decisions.</li>
<li>To take appropriate actions without human or system overloading and impacting the reliability of the grid. In addition to mitigating transmission line congestion to better integrate wind, DLR also offers the opportunity to improve the grid with optimized utilization of transmission lines to relieve congestion in general.</li>
</ul
As wind-generated energy has become a bigger part of the nation’s energy portfolio, researchers have learned that wind not only turns turbine blades to generate electricity, but can cool transmission lines and increase transfer capabilities significantly, sometimes up to 60%. INL’s DLR development informs system planners and grid operators of available transmission capacity, beyond typical Static Line Ratings (SLR). SLRs are based on a fixed set of conservative environmental conditions to establish a limit on the amount of current lines that can safely carry without overheating. Using commercially available weather monitors mounted on industry-informed custom brackets developed by INL in combination with Computational Fluid Dynamics (CFD) enhanced weather analysis and DLR software, INL’s project offers the potential of safely providing line ampacities up to 40% or more above existing SLRs, by using real-time information rather than overly conservative SLR. For more information, see <a href=""https://www.youtube.com/watch?feature=youtu.be&v=X8IaVYN6tUw&app=desktop"" target=""_blank"">General Line Ampacity State Solver video</a>.
",Active,jake.gentle@inl.gov ,http://www4vip.inl.gov/research/increasing-the-capacity-of-existing-power-lines/
3.1.0.104,Understanding the Role of Short-Term Energy Storage and Large Motor Loads for Active Power Controls by Wind Power,Idaho National Laboratory,Grid Integration,"$240,000 ",National Laboratory,Annual Operating Plan,ID,,,2016 &ndash; 2018,/node/778441,"The goal of this multi-year project is to develop and test coordinated controls of active power by wind generation, short term energy storage and large industrial motor drives for providing various types of ancillary services to the grid. ",Active,jake.gentle@inl.gov ,https://renewableenergy.inl.gov/Conventional%20Renewable%20Energy/SitePages/Wind%20Power.aspx
3.1.0.401,Grid System Planning for Wind: Next-Generation Integration Studies,National Renewable Energy Laboratory,Grid Integration,"$922,686 ",National Laboratory,Annual Operating Plan,CO,,,2014 &ndash; 2015,/node/778441,"The third phase of the Western Wind and Solar Integration Studies (WWSIS-3) addresses the questions: What is the impact of high levels of variable generation on power system reliability from the transient, large-scale stability, and frequency response perspectives? Which mitigation means are most effective? How can the improved models, tools, methods, understanding, and recommendations best be disseminated to ensure adoption and action?",Active,brian.smith@nrel.gov,http://www.nrel.gov/grid/wwsis.html
3.1.0.402,Grid System Planning for Wind: Grid Integration Support,National Renewable Energy Laboratory,Grid Integration,"$1,737,449 ",National Laboratory,Annual Operating Plan,CO,,,2011 &ndash; 2015,/node/778441,"The National Renewable Energy Laboratory’s (NREL’s) grid-related engagement activities focus on disseminating key research results from NREL analysis to regulators, policymakers, utilities, and power system industry stakeholders. Success in these activities has resulted in decreased barriers to the integration of wind power. Some examples include work with the Utility Variable-Generation Integration Group (UVIG), Federal Energy Regulatory Commission (FERC) Order No. 764, North American Electric Reliability Corporation (NERC) Integration of Variable Generation Task Force, Institute of Electrical and Electronics Engineers (IEEE), and International Energy Agency (IEA) Task 25.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
3.1.0.403,Grid System Planning for Wind: ESIF (connecting the National Wind Test Center at NREL to the Energy Systems Integration Facility),National Renewable Energy Laboratory,Grid Integration; Testing,"$560,000 ",National Laboratory,Annual Operating Plan,CO,,,2014 &ndash; 2016,/node/778441; /node/778426,"The purpose of this task was to integrate two existing National Renewable Energy Laboratory (NREL) testing capabilities: the Energy Systems Integration Facility (ESIF) and National Wind Technology Center (NWTC) into a combined multimegawatt-scale test bed for grid integration testing and demonstration of renewable technologies, energy storage, and demand response at both transmission and distribution levels. Although there is no power transmission link between the NWTC and ESIF, the operational data from the NWTC generation can be “connected” to ESIF via a virtual data link for conducting various combined experiments using the real-time power hardware-in-the-loop (PHIL) capabilities of the ESIF. This link enables ESIF’s access to real multimegawatt variable generation. The generation of wind and solar photovoltaics along with the existing 7-MVA and two multimegawatt-scale dynamometers creates a unique environment for testing and demonstration of many grid integration aspects of renewable generation, energy storage, protection equipment, advanced controls, and energy management systems. In addition, a new multimegawatt energy storage testing facility at the NWTC can be coupled with the existing variable generation and/or CGI. Connecting both the ESIF and CGI into a combined test bed has increased the value of both facilities, and creates a unique capability for advanced PHIL multimegawatt testing to address challenges of large-scale integration of renewable energy sources in the energy system infrastructure. An important aspect of carrying out combined PHIL experiments utilizing real-time models of various power systems is the ability of NWTC generation to activate certain grid-friendly controls and/or operate on set points generated by ESIF-CGI real-time power system models. For this purpose, appropriate communications capabilities were added to the supervisory control and data acquisition systems of the existing NWTC generation. As a first step, these <a href=""https://energy.gov/eere/articles/doe-explores-potential-wind-power-stabilize-electric-grids"" target=""_blank"">capabilities were developed for the U.S. Department of Energy’s (DOE’s) GE 1.5-MW wind turbine</a>.",Completed,brian.smith@nrel.gov,https://www.nrel.gov/esif/renewable-electricity-grid-integration.html
3.1.0.404,Grid System Planning for Wind: Generator Modeling Development/Validation,National Renewable Energy Laboratory,Grid Integration,"$483,874 ",National Laboratory,Annual Operating Plan,CO,,,2014 &ndash; 2016,/node/778441,"Wind generation continues to dominate the interconnection queues and the need for generic, standard, validated and publicly available models for variable generation technologies continues as transmission planners are required to study the impact to the grid. Development and validation of planning models for wind power plants continues to be a high priority for the industry. NERC, the nation’s electric reliability organization, has stated that developing and improving access to validated, non-proprietary planning models is a pre-requisite for large-scale integration of variable generation. The objective of the Sandia portion of this project is to fully develop, validate, and disseminate wind turbine generator models for use in power system planning and analysis helping to reduce the barrier to reach the nation’s renewable energy goals. The objective of the NREL portion of this project is perform dynamic model development, simulation studies, and various investigations to better understand the dynamic behavior of the wind plant and the power system under scenarios of high levels of wind penetration. Both individual turbine behavior and the collective behavior of wind plants are included in the scope of this subtask. The systems studied will include various available power system components that can improve the dynamic performance of wind plants and the power system network. The results of this project will provide power system planners with various control options utilizing the capability of advanced controls for modern wind turbines, wind power plants, and power systems. The use of synchrophasor signal in the feedback loop will enhance the observability and controllability of a power system with high penetration wind power generation and other variable generation, allowing wind plants to participate in damping of power system oscillations that may arise. Dissemination of these project results will be coordinated with the Western Electric Coordinating Council (WECC), Utility Variable-Generation Group (UVIG), Institute of Electrical and Electronics Engineers (IEEE), International Electrotechnical Council (IEC), universities, utilities, other national labs, wind generator modeling software vendors, and the international community.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
3.1.0.405,Active Power Controls,National Renewable Energy Laboratory,Grid Integration,"$874,457 ",National Laboratory,Annual Operating Plan,CO,,,2012 &ndash; 2016,/node/778441,"Wind energy has had one of the most substantial growths of any source of power generation. In many areas throughout the world, wind power is supplying up to 20% of total energy demand. In the United States, balancing areas like the Public Service of Colorado have occasions where over 50% of the hourly demand is supplied by wind power. Wind power, particularly variable-speed wind power, which is the majority of all wind plant capacity in the world, is also different from conventional thermal and hydropower-generating technologies as it is not synchronized to the electrical frequency of the power grid and is generally unresponsive to system frequency. The focus of this project is a mitigation strategy that is not often discussed and is in some ways counterintuitive: the use of wind power to support power system reliability by providing active power control (APC) at fast timescales. APC is the adjustment of a resource’s active power in various response timeframes to assist in balancing the generation and load, thereby improving power system reliability. The National Renewable Energy Laboratory (NREL), along with partners from the Electric Power Research Institute (EPRI) and the University of Colorado and collaboration from a large international industry stakeholder group, embarked on a comprehensive study to understand the ways in which wind power technology can assist the power system by providing control of its active power output being injected onto the grid. The study includes a number of different power system simulations, control simulations, and actual field tests using turbines at NREL’s National Wind Technology Center (NWTC). The study sought to understand how wind power providing APC can benefit numerous parties by reducing total production costs, increasing wind power revenue streams, improving the reliability and security of the power system, and providing superior and efficient response, while limiting any structural and loading impacts that may shorten the life of the wind turbine or its components.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
3.1.0.406,"Grid System Operations for Wind: System Reliability, Operations Tools and Market Analysis",National Renewable Energy Laboratory,Grid Integration,"$1,076,085 ",National Laboratory,Annual Operating Plan,CO,,,2014 &ndash; 2016,/node/778441,"This study explores market design given the viewpoint that wind is variable, uncertain, and is supplied at zero variable cost. These characteristics can affect the outcomes and of day-ahead and real-time energy and ancillary service markets, financial transmission rights markets, and forward capacity markets. It also may change the way in which these various markets are designed. The current market structures, designed behind the idea that thermal generation would dominate the supply-side market, may not be able to meet the needs of the changing paradigm.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
3.1.0.408,Market and Reliability Opportunities for Wind on the Bulk Power System,National Renewable Energy Laboratory,Grid Integration,"$880,755 ",National Laboratory,Annual Operating Plan,CO,,,2016 &ndash; 2018,/node/778441,"The goal of this 3-year project is to create a multi-timescale market and reliability modeling framework to better understand the impacts of wind on the electric power system as it is operated today and in the transition to a modern, clean, flexible power system. For more information, see <a href=""https://www.nrel.gov/docs/fy18osti/69076.pdf"" target=""_blank""> Marginal Cost Pricing in a World without Perfect Competition: Implications for Electricity Markets with High Shares of Low Marginal Cost Resources</a>.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
3.1.0.409,North American Renewable Integration Study,National Renewable Energy Laboratory,Grid Integration,"$1,130,814 ",National Laboratory,Annual Operating Plan,CO,,,2016 &ndash; 2018,/node/778441,"The United States and Canada are well-connected electrically, and while some coordination between the nations exists, previous studies do not usually account for coordinated renewable generation penetration and operations. The goal of the North American Renewable Integration Study (NARIS) is to quantify the potential benefits and challenges of optimizing the grid across both the United States and Canada simultaneously in high-renewable scenarios.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
3.1.0.410,WindView: An Open Platform for Wind Energy Forecast Visualization,National Renewable Energy Laboratory,Grid Integration,"$592,775 ",National Laboratory,Annual Operating Plan,CO,,,2016 &ndash; 2018,/node/778441,"This 3-year project will make an open situational awareness and decision support platform called WindView that will provide grid operators with knowledge on the state and performance of their power system, with an emphasis on wind energy.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
3.1.0.411,Power System Reliable Integration Support to Achieve Large Amounts of Wind Power (PRISALA),National Renewable Energy Laboratory,Grid Integration,"$1,436,266 ",National Laboratory,Annual Operating Plan,CO,,,2016 &ndash; 2018,/node/778441,"This project is part of the <a href=""https://energy.gov/under-secretary-science-and-energy/doe-grid-modernization-laboratory-consortium-gmlc-awards"" target=""_blank"">Grid Modernization Laboratory Consortium</a>. It will engage with policymakers, regulators, international groups, and regional planning and reliability organizations to deliver timely and objective information about wind energy. It will also help develop best practices in power system operation and design, as well as in designing both physical and institutional systems to support achieving DOE's Wind Vision. For more information, see <a href=""https://www.energy.gov/sites/prod/files/2018/05/f51/WindVision-Update-052118-web_RMB.pdf"" target=""_blank"">Wind Vision 2017 Update</a>.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
3.1.0.412,Providing Ramping Service with Wind to Enhance Power System Operational Flexibility,National Renewable Energy Laboratory,Grid Integration,"$1,192,440 ",National Laboratory,Annual Operating Plan,CO,,,2016 &ndash; 2018,/node/778441,"Maintaining the power system balance requires controllable resources to adjust their power output to match the time-varying net load. This is becoming more challenging when the proportion of generation from variable and uncertain renewable resources in the system is high. With the increasing wind penetration in the grid, the three questions that arise are:
<ul>
<li>Can we rely on wind to provide ramping service, assuming that short-term wind output and wind ramping can be forecasted accurately?</li>
<li>Can we design a new ramping product for the system so that the market paradigm can better accommodate wind providing ramping service?</li>
<li>How much additional system flexibility would be provided if the two questions above were answered?</li>
</ul>
",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
3.1.0.413,Understanding the Role of Short-term Energy Storage and Large Motor Loads for Active Power Controls by Wind Power,National Renewable Energy Laboratory,Grid Integration,"$1,169,117 ",National Laboratory,Annual Operating Plan,CO,,,2016 &ndash; 2018,/node/778441,"The goal of this 3-year effort is to develop and test coordinated controls of active power by wind generation, short term energy storage, and large industrial motor drives for providing various types of ancillary services to the grid and minimizing loading impacts and thereby reducing operation and maintenance costs (O&M) and subsequently the cost of energy (COE) generated by wind power.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
3.1.0.414,Multiscale Integration of Control Systems (EMS/DMS/BMS),National Renewable Energy Laboratory,Grid Integration,"$42,283 ",National Laboratory,Annual Operating Plan,CO,,,2016,/node/778441,"This project is part of the <a href=""https://energy.gov/under-secretary-science-and-energy/doe-grid-modernization-laboratory-consortium-gmlc-awards"" target=""_blank"">Grid Modernization Laboratory Consortium</a>. The project intends to create an integrated grid management framework that will be akin to having an autopilot system for the grid’s interconnected components — from central and distributed energy resources at bulk power systems and distribution systems, to local control systems for energy networks, including building management systems.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
3.1.0.701,Grid System Planning for Wind: Generator Modeling Implementation,Sandia National Laboratories,Grid Integration,"$649,543 ",National Laboratory,Annual Operating Plan,NM,,,2014 &ndash; 2016,/node/778441,"Wind generation continues to dominate the interconnection queues and the need for generic, standard, validated and publicly available models for variable generation technologies continues as transmission planners are required to study the impact to the grid. Development and validation of planning models for wind power plants continues to be a high priority for the industry. NERC, the nation’s electric reliability organization, has clearly stated that developing and improving access to validated, non-proprietary planning models is a pre-requisite for large-scale integration of variable generation. The objective of the Sandia portion of this project is to fully develop, validate, and disseminate wind turbine generator models for use in power system planning and analysis helping to reduce the barrier to reach the nation’s renewable energy goals. The objective of the NREL portion of this project is perform dynamic model development, simulation studies, and various investigations to better understand the dynamic behavior of wind plants and the power system under scenarios of high levels of wind penetration. Both individual turbine behavior and the collective behavior of wind plants are included in the scope of this project. The systems studied will include various available power system components that can improve the dynamic performance of wind plants and the power system network. The results of this project will provide power system planners with various control options utilizing the capability of advanced controls for modern wind turbines, wind power plants, and power systems. The use of synchrophasor signal in the feedback loop will enhance the observability and controllability of a power system with high penetration wind power generation and other variable generation, allowing WPPs to participate in damping of power system oscillations that may arise. Dissemination of these project results will be coordinated with the Western Electric Coordinating Council (WECC), Utility Variable-Generation Group (UVIG), Institute of Electrical and Electronics Engineers (IEEE), International Electrotechnical Council (IEC), universities, utilities, other national labs, wind generator modeling software vendors, and the international community.",Completed,gklise@sandia.gov,http://energy.sandia.gov/energy/renewable-energy/wind-power/wind-turbine-siting-and-barrier-mitigation/
3.1.0.703,Development and Deployment of Multi-Scale Production Cost Models,Sandia National Laboratories,Grid Integration,"$10,000 ",National Laboratory,Annual Operating Plan,NM,,,2016,/node/778441,"This project is part of the <a href=""https://energy.gov/under-secretary-science-and-energy/doe-grid-modernization-laboratory-consortium-gmlc-awards"" target=""_blank"">Grid Modernization Laboratory Consortium</a>. This project intends to develop the ability to more accurately estimate the economic impact of renewables, storage, and other technologies. This will include research on scalable methods for deterministic and stochastic production cost models, higher resolution grid models, applications of uncertainty quantification, and high-performance computing. New capabilities will be deployed with system planners through workshops.",Active,gklise@sandia.gov,http://energy.sandia.gov/energy/renewable-energy/wind-power/
