CID,Project_Title,Awardee,Program_Area,DOE_Funding_Amount,Recipient_Type,Award_Type,State,FOA_Name,FOA_NodeID,Fiscal_Year_Awarded,Subprogram_Node,Project_Description,Status,Contact_email,Contact_url
1.3.1.601,A2e: High-fidelity Modeling and Validation: Uncertainty Quantification and Sensitivity Analysis,Pacific Northwest National Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$414,247 ",National Laboratory,Annual Operating Plan,WA,,,2015 &ndash; 2016,/node/778436,"This was a sub-project of the Wind Forecast Improvement Project. Many of the forecast errors made by regional models, such as the Weather Research and Forecasting Model (WRF), resulted from errors in approximations (or parameterizations) of physical processes that were too small or brief to be resolved by the model. Because there are many such approximations in all atmospheric models, it was generally difficult to identify which ones were the largest contributors to model uncertainty. Alternatively, it was possible that there were systematic shortcomings in the parameterizations themselves—such as implicit assumptions related to the complexity of the terrain. The method of uncertainty quantification (UQ) was used to systematically quantify the sensitivities of the wind outputs of interest (e.g., speed, direction, shear, wind power, temperature, and surface fluxes of heat and moisture) to various input parameters.",Completed,will.shaw@pnnl.gov,http://wind.pnnl.gov/uncertaintyquantification.asp
1.3.1.603,A2e: Mesoscale Physics and Inflow: Wind Forecast Improvement Project II,Pacific Northwest National Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$1,710,660 ",National Laboratory,Annual Operating Plan,WA,,,2014 &ndash; 2018,/node/778436,"The Wind Forecast Improvement Project in Complex Terrain (WFIP 2) had two overarching scientific goals: 
 <ul>
<li>To improve the physical understanding of atmospheric processes that directly affect wind energy forecasts in areas of complex terrain.</li>
<li>To incorporate the new understanding into foundational weather forecasting models in order to improve wind energy forecasts. In support of these goals, the participants in WFIP 2 conducted a field campaign to assess how physical processes over a broad range of spatial scales alter wind speeds across the rotor diameter.</li>
</ul>
From this research, the team worked to develop physical modeling methods and atmospheric theories that could be incorporated in foundational weather models to improve wind forecasting. The results of implemented changes were evaluated through assessment of the improvement in forecast skill and the economic impact of these improvements. Finally a set of decision support tools were developed to facilitate the operational use of improved forecasts. 
The overall design for WFIP 2 in the complex terrain of the Columbia Gorge focused on a set of weather phenomena that posed particular challenges for wind and wind power forecasting: frontal passages with stable mix-out; gap flows; convective outflows; mountain waves; topographic wakes; and marine pushes. In addition to these specific phenomena, the Columbia Gorge area posed amplified challenges in general for numerical weather prediction models owing to the moderately complex terrain of the Columbia Basin of eastern Washington and Oregon and to the highly complex terrain of the Cascade Mountains just to the west. The improvement of our ability to characterize and forecast winds affected by these phenomena was expected to in turn improve the forecasts of wind energy and thus lowered its overall cost. Moreover, by focusing on underlying physics, the forecast model improvements in WFIP 2 were expected to be generally transferable to other regions of the country, providing a broad benefit to wind power generation in the United States. As the FOA awardee for WFIP 2, Vaisala proposed a comprehensive program of observations, model improvement, and development of decision support tools focused on a field campaign in the Columbia Gorge. DOE also provided support to ANL, LLNL, NREL, and PNNL as well as NOAA to provide additional scientific contributions to this study. ",Completed,will.shaw@pnnl.gov,http://energyenvironment.pnnl.gov/eere/
1.3.2.001,Mesoscale-Microscale Coupling - Model Development & Validation,Argonne National Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$631,775 ",National Laboratory,Annual Operating Plan,IL,,,2015 &ndash; 2018,/node/778436,"Atmospheric flow drives the structures in wind plants, thus forming the atmospheric energetics that we seek to harvest from the wind. Resolving this mesoscale weather phenomenology thus directly impacts wind plant performance. This complex problem requires coupling those mesoscale phenomena to the flow in the wind plant itself. Modeling these phenomena requires the combined expertise of atmospheric physicists, numerical simulation experts, and wind plant subject matter experts to formulate the tools needed to optimize turbine and plant design. Resolving the critical flow structures impacting performance and codifying these effects into design and performance prediction tools is the goal of the Mesoscale to Microscale Coupling program. This program is based on requests from industry for research that will result in new tools for designing and optimizing their future wind plants. Hence several national laboratories have combined critical resources to resolve this difficult challenge. 
The overall goal of the Mesoscale to Microscale Coupling team is to build new high-performance-computing-based multiscale wind plant simulation tools that couple a broad range of scales. The scale interactions enable the optimization needed to ensure the efficient, reliable production and integration of future wind-generated electricity.
Specific objectives include:
<ul>
<li>Establish a validation framework with well-defined performance metrics, and apply it to benchmark wind-plant simulation cases.</li>
<li>Improve the current state-of-the-science of coupling mesoscale information into high-fidelity HPC-based wind-plant simulations to reduce error in predicting wind speed and turbulence characteristics.</li>
<li>Disseminate methods with stakeholders.</li>
<li>Verify and Validate results using formal and reproducible techniques.</li>
<li>Quantify the uncertainty in the results.</li>
</ul>",Active,agreco@anl.gov,http://www.anl.gov/energy/renewable-energy
1.3.2.01,Wind Turbine – Radar Interference Mitigation R&D,MIT Lincoln Laboratory,Environmental Impacts and Siting,"$1,085,000 ",National Laboratory,Other,MA,,,2011 &ndash; 2016,/node/778451,"This project follows from the DOE co-funded 2011-2013 Interagency Field Test & Evaluation (IFT&E) program co-led by MIT Lincoln Laboratory and Sandia National Laboratories. This effort is aimed at solving deployment barriers for wind energy systems by developing and evaluating mitigation methods that reduce or eliminate the adverse effect of wind turbines on radar systems. Wind turbines can affect radar systems used for missions in defense, aviation safety, and weather forecasting.  
The work plan is aligned with the three themes outlined in DOE’s Federal Interagency Wind Turbine Radar Interference Mitigation Strategy:  
<ul>
<li>improving the capacity of government and industry to evaluate the impacts of existing and planned wind energy installations on sensitive radar systems;</li>
<li>developing and facilitating the deployment of mitigation solutions to increase the resilience of existing radar systems to wind turbines;</li>
<li>encouraging the development of next-generation radar systems to be resistant to wind turbine interference.</li>
</ul> 
This effort produces high-impact research and development aimed at eliminating wind turbine radar interference as an impact to critical radar missions, ensuring the long-term resilience of radar operations in the presence of wind turbines, and removing radar interference as an impediment to future wind energy development. For more information on work the U.S. Department of Energy and its national labs have done to minimize the effects of wind turbines on radar, see <a href=""https://www.energy.gov/sites/prod/files/2019/04/f61/WTRM_Factsheet_Final_2019.pdf"" target=""_blank"">Wind Turbine Radar Interference Mitigation Factsheet</a>. Also, see the <a href=""https://www.energy.gov/eere/wind/downloads/federal-interagency-wind-turbine-radar-interference-mitigation-strategy"" target=""_blank"">Federal Interagency Strategy for more information</a>.",Active,jbiddle@ll.mit.edu,http://www.ll.mit.edu/index.html
1.3.2.301,Mesoscale-Microscale Coupling - Model Development & Validation,Lawrence Livermore National Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$1,308,066 ",National Laboratory,Annual Operating Plan,CA,,,2014 &ndash; 2018,/node/778436,Mesoscale-Microscale Coupling - Model Development & Validation,Active,mirocha2@llnl.gov,https://www.llnl.gov/missions/energy
1.3.2.401,Mesoscale-Microscale Coupling - Model Development & Validation,National Renewable Energy Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$2,466,290 ",National Laboratory,Annual Operating Plan,CO,,,2014 &ndash; 2018,/node/778436,Mesoscale-Microscale Coupling - Model Development & Validation,Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
1.3.2.601,Mesoscale-Microscale Coupling - Model Development & Validation,Pacific Northwest National Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$1,667,520 ",National Laboratory,Annual Operating Plan,WA,,,2014 &ndash; 2018,/node/778436,Mesoscale-Microscale Coupling - Model Development & Validation,Active,will.shaw@pnnl.gov,http://wind.pnnl.gov/mesoscaleles.asp
1.3.2.701,Mesoscale-Microscale Coupling - Model Development & Validation,Sandia National Laboratories,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$171,511 ",National Laboratory,Annual Operating Plan,NM,,,2015 &ndash; 2017,/node/778436,Mesoscale-Microscale Coupling - Model Development & Validation,Active,gklise@sandia.gov,http://energy.sandia.gov/energy/renewable-energy/wind-power/
1.3.2.901,Mesoscale-Microscale Coupling - Model Development & Validation,Los Alamos National Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$513,675 ",National Laboratory,Annual Operating Plan,NM,,,2015 &ndash; 2018,/node/778436,Mesoscale-Microscale Coupling - Model Development & Validation,Active,vtelles@lanl.gov,http://www.lanl.gov/index.php
1.3.3.401,High-Fidelity Modeling,National Renewable Energy Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$2,672,142 ",National Laboratory,Annual Operating Plan,CO,,,2016 &ndash; 2018,/node/904576,"The goals of the High-Fidelity Modeling (HFM) project, which are also at the core of the Atmosphere to Electrons (A2e) initiative, are to reduce wind plant losses and to drive significant reductions in the cost of wind energy through dramatic improvement in the understanding of the fundamental flow physics and structural dynamics governing whole wind plant performance, including wake formation, complex terrain impacts, and turbine-turbine interactions. An overarching objective of this project, which is a close collaboration between NREL and Sandia National Laboratories, is to create an open-source computational-fluid-dynamics and computational-structural-dynamics software suite that is well suited to high-fidelity petascale wind farm simulations on leadership-class DOE high performance computing (HPC) facilities. Predictive, physics-based high-fidelity computational models, validated with targeted experiments, provide an efficacious path to understanding wind plant physics and reducing wind plant losses. Simulations will span from the atmospheric boundary layer (under relevant stability condition configurations), its interaction with the wind plant (down to and including turbine-turbine interactions), the response of individual turbines, and the impact of complex terrain. These simulations will directly influence the blade, turbine, and wind plant design process by providing a validated “ground truth” foundation for improving computer-aided engineering tools allowing for technology innovations (e.g., new physics-based engineering models created through better understanding and guided by HFM simulations).
The longer-term target beneficiary of this work is the broader wind community, including OEMs, developers, plant owner/operators, universities, and national laboratories. While the focus of our HFM and simulation environment is on very large DOE HPC systems, the software developed will certainly benefit the broader wind community and be usable on the HPC clusters owned and used within the wind industry. Most important will be the new technology that evolves from a better understanding of the plant flow physics and the ability to rapidly assess innovations with respect to full-plant performance.
Specific outcomes include:
<ul>
<li>Create the next generation of predictive and physics-based computational simulation tools for wind plants and turbines that seamlessly scale on DOE HPC assets.</li>
<li>Reduce wind cost of energy by providing the simulation and knowledge foundations for the next generation of design tools that will enable and accelerate wind plant layout and turbine optimization, shorten time to market of technology innovations, and greatly increase confidence in predictions of wind plant performance.</li>
<li>By performing model development in an open-source community development environment, create simulation capabilities that are self-sustaining, which involves rigorous automated unit and regression testing, a multi-platform build system, and comprehensive up-to-date documentation.</li>
<li>Maintain a long-term collaboration between the DOE Wind Program and Office of Science and leverage Office of Science investments in HPC supporting exascale simulations of wind plant flow physics and innovative technology development, and place wind energy computational simulations at the forefront of exascale computing.</li>
</ul>",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
1.3.3.701,High-Fidelity Modeling,Sandia National Laboratories,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$1,330,257 ",National Laboratory,Annual Operating Plan,NM,,,2016 &ndash; 2018,/node/904576,"The goals of the High-Fidelity Modeling (HFM) project, which are also at the core of the Atmosphere to Electrons (A2e) initiative, are to reduce wind plant losses and to drive significant reductions in the cost of wind energy through dramatic improvement in the understanding of the fundamental flow physics and structural dynamics governing whole wind plant performance, including wake formation, complex terrain impacts, and turbine-turbine interactions. An overarching objective of this project, which is a close collaboration between NREL and Sandia National Laboratories, is to create an open-source computational-fluid-dynamics and computational-structural-dynamics software suite that is well suited to high-fidelity petascale wind farm simulations on leadership-class DOE high performance computing (HPC) facilities. Predictive, physics-based high-fidelity computational models, validated with targeted experiments, provide an efficacious path to understanding wind plant physics and reducing wind plant losses. Simulations will span from the atmospheric boundary layer (under relevant stability condition configurations), its interaction with the wind plant (down to and including turbine-turbine interactions), the response of individual turbines, and the impact of complex terrain. These simulations will directly influence the blade, turbine, and wind plant design process by providing a validated “ground truth” foundation for improving computer-aided engineering tools allowing for technology innovations (e.g., new physics-based engineering models created through better understanding and guided by HFM simulations).
The longer-term target beneficiary of this work is the broader wind community, including OEMs, developers, plant owner/operators, universities, and national laboratories. While the focus of our HFM and simulation environment is on very large DOE HPC systems, the software developed will certainly benefit the broader wind community and be usable on the HPC clusters owned and used within the wind industry. Most important will be the new technology that evolves from a better understanding of the plant flow physics and the ability to rapidly assess innovations with respect to full-plant performance.
Specific outcomes include:
<ul>
<li>Create the next generation of predictive and physics-based computational simulation tools for wind plants and turbines that seamlessly scale on DOE HPC assets.</li>
<li>Reduce wind cost of energy by providing the simulation and knowledge foundations for the next generation of design tools that will enable and accelerate wind plant layout and turbine optimization, shorten time to market of technology innovations, and greatly increase confidence in predictions of wind plant performance.</li>
<li>By performing model development in an open-source community development environment, create simulation capabilities that are self-sustaining, which involves rigorous automated unit and regression testing, a multi-platform build system, and comprehensive up-to-date documentation.</li>
<li>Maintain a long-term collaboration between the DOE Wind Program and Office of Science and leverage Office of Science investments in HPC supporting exascale simulations of wind plant flow physics and innovative technology development, and place wind energy computational simulations at the forefront of exascale computing.</li>
</ul>",Active,gklise@sandia.gov,http://energy.sandia.gov/energy/renewable-energy/wind-power/
1.3.4.401,Rotor Wake Measurements & Predictions for Validation,National Renewable Energy Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$5,215,070 ",National Laboratory,Annual Operating Plan,CO,,,2014 &ndash; 2018,/node/904576,"The Rotor Wake Measurements and Predictions for Validation project is the experimental validation hub of the DOE Atmosphere to Electrons (A2e) program. Researchers working on this project have provided high-fidelity observations and model validation support for the Advanced Flow Control Science for Wind Plants, High-Fidelity Modeling and Integrated Systems Design and Analysis projects. In this project, researchers have applied a validation and uncertainty quantification framework to perform validation studies using data gathered from existing public data sets. They have also gathered new data sets and performed model validation studies using observations from the Sandia Scaled Wind Farm Technology (SWiFT) facility, NREL’s National Wind Technology Center and the NextEra Energy Peetz Table wind farm. The data includes observations of the atmosphere and turbine interactions within wind plants under both standard operating conditions, as well as those useful for wind farm control. The project includes further development and design of testing facilities at the SWiFT site including the National Rotor Testbed (NRT) rotor. Plans for future testing in full scale wind plants have been made and initial utility scale testing has commenced at the Peetz Table wind farm.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
