Title,Node_ID,Description,Category,Agency,Location,Type
ESPC ESA Case Study: Energy Affordability at the National Institute of Standards and Technology,/node/4295697,"Fact sheet describes how the U.S. Department of Commerce National Institute of Standards and Technology (NIST) installed a 5 MW-DC photovoltaic system at its Gaithersburg, Maryland, campus under an energy savings performance contract energy sales agreement (ESPC ESA). The project was implemented using the U.S. Department of Energy ESPC ENABLE contract vehicle. NIST pursued this project to demonstrate leadership in renewable energy while reducing energy costs and contributing to the federal government’s renewable electricity requirement established in the Energy Policy Act of 2005.",Distributed Energy; Energy Savings Performance Contracts,DOC,MD,Fact sheet
Evaluation of Side Stream Filtration Technology at Oak Ridge National Laboratory,/node/989491,Technical report provides an in-depth review of the benefits of side stream filtration for a cooling tower system at Oak Ridge National Laboratory’s Spallation Neutron Source research facility.,Water Management,DOE,TN,Report
Federal Investment Highlights: Alabama,/sites/prod/files/2019/03/f61/state-impact-alabama.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Alabama.,Federal Investment Highlights,DOE,AL,Fact sheet
Federal Investment Highlights: Alaska,/sites/prod/files/2019/03/f60/state-impact-alaska_0.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Alaska.,Federal Investment Highlights,DOE,AK,Fact sheet
Federal Investment Highlights: Arizona,/sites/prod/files/2019/03/f60/state-impact-arizona.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Arizona.,Federal Investment Highlights,DOE,AZ,Fact sheet
Federal Investment Highlights: Arkansas,/sites/prod/files/2019/04/f61/state-impact-arkansas.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Arkansas.,Federal Investment Highlights,DOE,AR,Fact sheet
Federal Investment Highlights: California,/sites/prod/files/2019/04/f61/state-impact-california.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in California.,Federal Investment Highlights,DOE,CA,Fact sheet
Federal Investment Highlights: Colorado,/sites/prod/files/2019/03/f60/state-impact-colorado.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Colorado.,Federal Investment Highlights,DOE,CO,Fact sheet
Federal Investment Highlights: Connecticut,/sites/prod/files/2019/04/f61/state-impact-connecticut.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Connecticut.,Federal Investment Highlights,DOE,CT,Fact sheet
Federal Investment Highlights: Delaware,/sites/prod/files/2019/03/f60/state-impact-delaware.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Delaware.,Federal Investment Highlights,DOE,DE,Fact sheet
Federal Investment Highlights: Florida,/sites/prod/files/2019/03/f61/state-impact-florida.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Florida.,Federal Investment Highlights,DOE,FL,Fact sheet
Federal Investment Highlights: Georgia,/sites/prod/files/2019/04/f61/state-impact-georgia.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Georgia.,Federal Investment Highlights,DOE,GA,Fact sheet
Federal Investment Highlights: Hawaii,/sites/prod/files/2019/03/f60/state-impact-hawaii.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Hawaii.,Federal Investment Highlights,DOE,HI,Fact sheet
Federal Investment Highlights: Idaho,/sites/prod/files/2019/03/f60/state-impact-idaho.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Idaho.,Federal Investment Highlights,DOE,ID,Fact sheet
Federal Investment Highlights: Illinois,/sites/prod/files/2019/03/f60/state-impact-illinois.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Illinois.,Federal Investment Highlights,DOE,IL,Fact sheet
Federal Investment Highlights: Indiana,/sites/prod/files/2019/04/f61/state-impact-indiana.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Indiana.,Federal Investment Highlights,DOE,IN,Fact sheet
Federal Investment Highlights: Iowa,/sites/prod/files/2019/04/f61/state-impact-iowa.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Iowa.,Federal Investment Highlights,DOE,IA,Fact sheet
Federal Investment Highlights: Kansas,/sites/prod/files/2019/04/f61/state-impact-kansas.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Kansas.,Federal Investment Highlights,DOE,KS,Fact sheet
Federal Investment Highlights: Kentucky,/sites/prod/files/2019/04/f61/state-impact-kentucky.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Kentucky.,Federal Investment Highlights,DOE,KY,Fact sheet
Federal Investment Highlights: Louisiana,/sites/prod/files/2019/03/f60/state-impact-louisiana_0.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Louisiana.,Federal Investment Highlights,DOE,LA,Fact sheet
Federal Investment Highlights: Maine,/sites/prod/files/2019/03/f60/state-impact-maine.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Maine.,Federal Investment Highlights,DOE,ME,Fact sheet
Federal Investment Highlights: Maryland,/sites/prod/files/2019/04/f61/state-impact-maryland.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Maryland.,Federal Investment Highlights,DOE,MD,Fact sheet
Federal Investment Highlights: Massachusetts,/sites/prod/files/2019/04/f61/state-impact-massachusetts.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Massachusetts.,Federal Investment Highlights,DOE,MA,Fact sheet
Federal Investment Highlights: Michigan,/sites/prod/files/2019/03/f60/state-impact-michigan.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Michigan.,Federal Investment Highlights,DOE,MI,Fact sheet
Federal Investment Highlights: Minnesota,/sites/prod/files/2019/04/f61/state-impact-minnesota.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Minnesota.,Federal Investment Highlights,DOE,MN,Fact sheet
Federal Investment Highlights: Mississippi,/sites/prod/files/2019/04/f61/state-impact-mississippi.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Mississippi.,Federal Investment Highlights,DOE,MS,Fact sheet
Federal Investment Highlights: Missouri,/sites/prod/files/2019/04/f61/state-impact-missouri.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Missouri.,Federal Investment Highlights,DOE,MO,Fact sheet
Federal Investment Highlights: Montana,/sites/prod/files/2019/03/f60/state-impact-montana.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Montana.,Federal Investment Highlights,DOE,MT,Fact sheet
Federal Investment Highlights: Nevada,/sites/prod/files/2019/04/f61/state-impact-nevada.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Nevada.,Federal Investment Highlights,DOE,NV,Fact sheet
Federal Investment Highlights: New Jersey,/sites/prod/files/2019/04/f61/state-impact-newjersey.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in New Jersey.,Federal Investment Highlights,DOE,NJ,Fact sheet
Federal Investment Highlights: New Mexico,/sites/prod/files/2019/04/f61/state-impact-newmexico.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in New Mexico.,Federal Investment Highlights,DOE,NM,Fact sheet
Federal Investment Highlights: New York,/sites/prod/files/2019/04/f61/state-impact-newyork.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in New York.,Federal Investment Highlights,DOE,NY,Fact sheet
Federal Investment Highlights: North Carolina,/sites/prod/files/2019/04/f61/state-impact-northcarolina.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in North Carolina.,Federal Investment Highlights,DOE,NC,Fact sheet
Federal Investment Highlights: North Dakota,/sites/prod/files/2019/03/f60/state-impact-northdakota.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in North Dakota.,Federal Investment Highlights,DOE,ND,Fact sheet
Federal Investment Highlights: Ohio,/sites/prod/files/2019/03/f60/state-impact-ohio.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Ohio.,Federal Investment Highlights,DOE,OH,Fact sheet
Federal Investment Highlights: Oklahoma,/sites/prod/files/2019/04/f61/state-impact-oklahoma.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Oklahoma.,Federal Investment Highlights,DOE,OK,Fact sheet
Federal Investment Highlights: Oregon,/sites/prod/files/2019/04/f61/state-impact-oregon.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Oregon.,Federal Investment Highlights,DOE,OR,Fact sheet
Federal Investment Highlights: Pennsylvania,/sites/prod/files/2019/04/f61/state-impact-pennsylvania.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Pennsylvania.,Federal Investment Highlights,DOE,PA,Fact sheet
Federal Investment Highlights: Rhode Island,/sites/prod/files/2019/04/f61/state-impact-rhodeisland.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Rhode Island.,Federal Investment Highlights,DOE,RI,Fact sheet
Federal Investment Highlights: South Carolina,/sites/prod/files/2019/03/f60/state-impact-southcarolina.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in South Carolina.,Federal Investment Highlights,DOE,SC,Fact sheet
Federal Investment Highlights: Tennessee,/sites/prod/files/2019/03/f60/state-impact-tennessee.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Tennessee.,Federal Investment Highlights,DOE,TN,Fact sheet
Federal Investment Highlights: Texas,/sites/prod/files/2019/03/f60/state-impact-texas.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Texas.,Federal Investment Highlights,DOE,TX,Fact sheet
Federal Investment Highlights: Utah,/sites/prod/files/2019/04/f61/state-impact-utah.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Utah.,Federal Investment Highlights,DOE,UT,Fact sheet
Federal Investment Highlights: Virginia,/sites/prod/files/2019/04/f61/state-impact-virginia.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Virginia.,Federal Investment Highlights,DOE,VA,Fact sheet
Federal Investment Highlights: Washington,/sites/prod/files/2019/03/f60/state-impact-washington.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Washington.,Federal Investment Highlights,DOE,WA,Fact sheet
Federal Investment Highlights: West Virginia,/sites/prod/files/2019/03/f60/state-impact-westvirginia.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in West Virginia.,Federal Investment Highlights,DOE,WV,Fact sheet
Federal Investment Highlights: Wisconsin,/sites/prod/files/2019/04/f61/state-impact-wisconsin.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Wisconsin.,Federal Investment Highlights,DOE,WI,Fact sheet
Federal Investment Highlights: Wyoming,/sites/prod/files/2019/03/f60/state-impact-wyoming.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Wyoming.,Federal Investment Highlights,DOE,WY,Fact sheet
Food and Drug Administration White Oak Campus Environmental Stewardship and Cost Savings,/node/759256,"Fact sheet describes the Food and Drug Administration's White Oak Campus combined heat and power plant, constructed using an energy savings performance contract.",Energy Savings Performance Contracts; Distributed Energy,FDA,MD,Fact sheet
Fume Hood Sash Stickers Increases Laboratory Safety and Efficiency at Minimal Cost,/node/757501,Fact sheet describes how two University of California campuses increased laboratory exhaust efficiency and safety by using fume hood sash stickers.,Laboratories,N/A,CA,Fact sheet
Harold Washington Social Security Administration (SSA) Center Water Conservation and Green Energy,/node/759261,"Fact sheet highlights how the Harold Washington Social Security Administration Center in Chicago, Illinois, installed numerous energy conservation measures using direct financing and energy savings performance contracts.",Energy Savings Performance Contracts; Distributed Energy,SSA,IL,Fact sheet
Holistic Energy Management Yields Cost Savings and Resilience Benefits for the U.S. Coast Guard Academy,/node/4298562,"Fact sheet provides background, accomplishments, and lessons learned from an energy management overhaul of the U.S. Coast Guard’s third-largest energy consumer, the 86-year-old Coast Guard Academy in New London, Connecticut. The overhaul was made possible by the largest utility energy service contract in U.S. Department of Homeland Security history. ",Utility Energy Service Contracts,DHS,CT,Fact sheet
IRS Parking Facility Lighting Retrofit Reduces Annual Energy Use by 76%,/node/1016246,"Fact sheet highlights how property management firm MC Realty achieved a 76% reduction in lighting energy use at an Internal Revenue Service facility parking garage in Kansas City, Missouri. The retrofit resulted in annual energy savings of 2 million kWh, annual cost savings of more than $122,000, and a simple payback of 2.5 years.",Energy-Efficient Products and Technologies,IRS,MO,Fact sheet
Kitchen Appliance Upgrades Improve Water Efficiency at U.S. Department of Defense Exchange Facilities,/node/757276,Case study details how the U.S. Department of Defense Exchange integrated water efficiency concepts into the organization's overall sustainability plan and installed high-efficiency commercial kitchen equipment to improve water efficiency. The U.S. Department of Energy’s Federal Energy Management Program awarded the Exchange with a Federal Energy and Water Management Award.,Water Management,DOD,TX,Fact sheet
LED Provides Effective and Efficient Parking Area Lighting at the NAVFAC Engineering Service Center,/node/796081,Fact sheet details how an LED parking lot lighting upgrade at the Naval Facilities Engineering Command Engineering Service Center Headquarters reduced energy consumption and maintenance costs while providing effective illumination.,Energy-Efficient Products and Technologies,NAVFAC,CA,Fact sheet
Leveraging Lighting for Energy Savings: GSA Northwest/Arctic Region,/node/1561466,Fact sheet describes how the General Services Administration Northwest/Arctic Region improved safety and achieved 74% energy savings at its Fairbanks Federal Building parking garage by replacing 220 high-pressure sodium fixtures with LED fixtures. ,Energy-Efficient Products and Technologies,GSA,AK,Fact sheet
Marine Corps Base Camp Pendleton,/node/759266,"Fact sheet describes U.S. Marine Corps Base Camp Pendleton's comprehensive energy savings effort, which leveraged an energy savings performance contract to cut energy use by 44%.",Energy Savings Performance Contracts; Distributed Energy,DOD,CA,Fact sheet
Marine Corps Base Quantico Achieves 85% Savings in Parking Lighting,/node/991356,"Fact sheet details how Marine Corps Base Quantico achieved energy savings while boosting site safety and security by replacing 2,000 fixtures with light-emitting diodes in outdoor parking lots across a 1,000-acre site. Lighting energy use was reduced by an average of 66% across all parking lots upgraded.",Energy-Efficient Products and Technologies,DOD,VA,Fact sheet
NASA's Marshall Space Flight Center Improves Cooling System Performance,/node/757256,"Fact sheet details Marshall Space Flight Center's use of innovative technologies to improve water efficiency and cooling performance for one of its problematic cooling systems. Traditional chemical treatments were replaced by radio frequencies to alter the water’s scaling tendencies. Ozone minimized biological activity, tight control of pH levels and ozone production provided corrosion control, and side-stream filtration removed sediment and debris from recirculating system water. The program saved the facility more than 800,000 gallons of water in the eight months following installation.",Water Management,NASA,AL,Fact sheet
NASA's Marshall Space Flight Center Saves Water with High-Efficiency Toilet and Urinal Program,/node/757106,"Fact sheet details how Marshall Space Flight Center specified, demonstrated, and installed high-efficiency toilets and urinals to reduce one building's plumbing fixture water use by 30% and achieve U.S. Green Building Council Leadership in Energy and Environmental Design (LEED) points for water efficiency.",Water Management,NASA,AL,Fact sheet
Navy Ratchets Up Resilience Through Agency/Utility Collaboration,/node/4395821,Fact sheet describes how the Naval Construction Battalion Center (NCBC) and the Mississippi Power Company integrated a 15-acre solar photovoltaic array with battery storage and backup generation using an innovative microgrid to ensure mission readiness at NCBC while increasing renewable energy generation on the grid in the utility's service area. This resilience effort will allow the base to more effectively deploy disaster recovery activities in the event of a grid outage.,Distributed Energy; Resilience Planning; Utility Energy Service Contracts,DOD,MS,Fact sheet
Net Zero Pilot Program Lights the Path to Big Savings in Guam,/node/2129511,"Fact sheet describes how the Army Reserve 9th Mission Support Command (MSC) reduced lighting energy consumption by 62% for a total savings of 125,000 kWh and more than $50,000 per year by replacing over 400 fluorescent troffers with 36-W LED troffers. This project was part of the Army Reserve Net Zero Pilot Program, initiated in 2013, to reduce energy and water consumption, waste generation, and utility costs.
 
Guam's unusually high electricity costs made this site an exceptionally good candidate for a Net Zero Pilot site. The 9th MSC Reserve Center in Guam received a detailed roadmap from Pacific Northwest National Laboratory, which recommended installing LED lighting systems that they implemented as part of the project.",Energy-Efficient Products and Technologies,DOD,Guam,Fact sheet
New Carrollton Federal Building Lighting Retrofit Captures Cool Savings,/node/2316273,"Fact sheet describes how the U.S. General Services Administration upgraded fluorescent lighting to a new LED troffer lighting and controls system in its New Carrollton Federal Building in Lanham, Maryland. The lighting project yielded an 82% reduction in energy use and earned GSA two awards for exemplary performance from the U.S. Department of Energy Interior Lighting Campaign in 2016.",Energy-Efficient Products and Technologies,GSA,MD,Fact sheet
NSIDC Data Center: Energy Reduction Strategies,/node/757471,Fact sheet describes the National Snow and Ice Data Center's Green Data Center Project. A full retrofit of the Center's traditional air conditioning system reduced the cooling energy required to meet the data center’s constant load by over 70% for summer months and over 90% for cooler winter months. This significant reduction was achieved through the use of airside economization and a new indirect evaporative cooling cycle. ,Data Centers,DOE,CO,Fact sheet
Ravalli Electric Cooperative Teams up with Trapper Creek Job Corp to Create Impressive Energy Savings,/node/2244429,Fact sheet highlights a number of fast-payback energy efficiency measures implemented by Trapper Creek Job Corps and Ravalli Electric Cooperative in light of rising energy costs. Energy use has dropped over 15% since implementation of the measures leveraging a variety of funding mechanisms.  ,Utility Energy Service Contracts,DOL,MT,Fact sheet
"Reducing Data Center Loads for a Large-Scale, Net Zero Office Building",/node/757421,"Fact sheet describes design elements, technologies, and best practices used in building National Renewable Energy Laboratory's world-class, energy efficient data center. Using legacy data center performance as a baseline, the new facility cut energy use by nearly 1,450,000 kWh, delivering cost savings of approximately $82,000.",Data Centers,DOE,CO,Fact sheet
REopt Evaluates Savings Potential for a Load-Shaving Battery System at Fort Carson,/node/4451516,"Describes how the National Renewable Energy Laboratory, with FEMP funding, used its REopt model to evaluate Fort Carson’s battery energy storage system, which was implemented under an ESPC.",Distributed Energy; Energy Savings Performance Contracts,DOD,CO,Web page
Retro-Commissioning Increases Data Center Efficiency at Low Cost,/node/728331,"Fact sheet details the operational upgrades, configuration solutions, results, and lessons learned from the U.S. Department of Energy's Savannah River Site data center retro-commissioning project, which increased data center energy efficiency at low costs.",Data Centers,DOE,SC,Fact sheet
Reverse Osmosis Optimization,/node/757281,"Report provides a general description of reverse osmosis (RO) systems, their influence on water use, and techniques for optimizing RO systems to increase system performance and water efficiency. This technology evaluation is intended to help federal facility managers understand the basic concepts of the RO process and system optimization options, enabling them to make informed decisions during the system design process for either new projects or recommissioning of existing equipment. ",Water Management,DOE,NM; PA,Report
Rock the Watt: An Energy Conservation Campaign at Pacific Northwest National Lab,/node/1544951,"Fact sheet describes Pacific Northwest National Laboratory's three-month Rock the Watt campaign to reduce energy use at its main campus in Richland, Washington. Campaign objectives were to educate employees about energy conservation opportunities in their workplace and to motivate them to help the laboratory save energy, lower costs, and reduce greenhouse gas emissions.",Institutional Change,DOE,WA,Fact sheet
U.S. Army Reserve 88th Readiness Division Finds Big Savings,/node/3340310,"Fact sheet describes energy efficient troffer lighting upgrades completed by the U.S. Army Reserve 88th Readiness Division. The projects were recognized in two 2017 Better Buildings Alliance Interior Lighting Campaign exemplary recognition categories. The retrofits are expected to save more than 246,000 kWh annually, or roughly enough electricity to run 23 homes for a year.",Energy-Efficient Products and Technologies,DOD,IL; MI; OH,Fact sheet
U.S. Coast Guard and Florida Power and Light Successfully Implement a Multi-Site UESC Project,/node/760571,Fact sheet details a successful multi-site utility energy service contract project between the United States Coast Guard and Florida Power and Light. The $6 million project installed energy conservation measures in a total of 42 buildings spanning almost 400 miles throughout southern Florida. ,Utility Energy Service Contracts,DHS,FL,Fact sheet
U.S. Coast Guard Yard Analysis of Microgrid to Reduce Onsite Generation Curtailment,/node/3975336,"Fact sheet highlights a Federal Energy Management Program analysis and lessons learned from a U.S. Coast Guard Yard project to install four 1-MW reciprocating generators that run off landfill gas. The project initially performed below expectations due to underproduction of landfill gas, requiring a modification to the existing energy performance service contract to integrate natural gas, boost generator output, and add blackstart capabilities. ",Resilience Planning; Distributed Energy,DOD,MD,Fact sheet
U.S. Department of Energy Headquarters Lighting Retrofit,/node/3340303,"Fact sheet describes a lighting upgrade at the James Forrestal Building, which serves as headquarters for the U.S. Department of Energy in Washington, D.C. The upgrade of the nearly 1.7 million-square-foot building was completed using the Federal Energy Management Program ESPC ENABLE process. The project is expected to cut lighting energy use by about 50% and save 2.4 million kilowatt-hours (kWh) annually, amounting to nearly $258,000 in annual energy cost savings.",Energy-Efficient Products and Technologies,DOE,DC,Fact sheet
U.S. Fish and Wildlife Service Moves Toward Net-Zero Buildings,/node/759416,"Fact sheet highlights sustainable design elements as well as energy- and water-efficient features of the U.S. Fish and Wildlife Service visitor center at the Assabet River National Wildlife Refuge in Sudbury, Massachusetts. Its design has become a standard for the agency and will be used in other areas to help reduce energy.",Awards; Distributed Energy,DOI,MA,Fact sheet
U.S. Forest Service's Power-IT-Down Program,/node/1544961,"Fact sheet describes how the U.S. Forest Service implemented its Power-IT-Down Program, which encouraged employees to shut off their computers when leaving the office. The Forest Service first piloted the program on a voluntary basis in one region, then implemented it across the agency's 43,000 computers as a joint effort of the Chief Information Office and Sustainable Operations department.",Institutional Change,DOI,N/A,Fact sheet
U.S. Marine Corps Stand at Forefront of Energy and Water Savings,/node/759421,Fact sheet provides an overview of U.S. Marine Corps Air Station Beaufort's use of an energy savings performance contract to complete a three-phase project reducing its energy intensity by 30% and its water intensity by 48%. ,Awards; Distributed Energy,DOD,SC,Fact sheet
"U.S. Naval Station, Guantanamo Bay, Cuba",/node/759271,"Fact sheet highlights how the U.S. Naval Station at Guantanamo Bay, Cuba, used an energy savings performance contract to construct four wind turbines that supply about a quarter of the peak power needed for base operations.",Energy Savings Performance Contracts; Distributed Energy,DOD,Cuba,Fact sheet
USDA and Florida Power & Light Company Successfully Save $85K/year with UESC Collaboration,/node/2332809,"Fact sheet describes how the U.S. Department of Agriculture teamed up with Florida Power & Light using a utility energy service contract to install energy efficiency improvements at the Miami Subtropical Horticulture Research Station, generating savings of $85,000 per year.",Utility Energy Service Contracts,USDA,FL,Fact sheet
Using Thermosyphon Hybrid Cooling System to Optimize Data Center Water Efficiency,/node/4215964,"Fact sheet describes a Federal Energy Management Program Federal Energy and Water Management Award-winning project that deployed an innovative thermosyphon cooler as a test bed on the roof of the National Renewable Energy Laboratory's Energy Systems Integration Facility. In combination with existing evaporative towers, the thermosyphon cooler serves as a water- and cost-efficient hybrid cooling system.",Data Centers,DOE,CO,Fact sheet
USPS: Lean Green Teams,/node/757571,"Fact sheet features a case study on U.S. Postal Service Lean Green Teams, made up of employees who collaborate across functions to identify and implement low- and no-cost ways to conserve natural resources, purchase fewer consumable products, and reduce waste of all kinds. The teams employ on-line tools including a Lean Green Team Guide, a Green Project List, and a Green Initiative Tracking Tool that tracks both leading indicators (status of project implementation) and lagging indicators (financial and environmental impacts).",Institutional Change,USPS,N/A,Fact sheet
