Title,Program_Area,State,City,County,Status,URL,Comments
DSS Strong Families - South Dakota's Foundations and Our Future,State,SD,,,Rent; Own,https://dss.sd.gov/economicassistance/energyassistance/lowincome.aspx,
DSS Strong Families - South Dakota's Foundations and Our Future (Weatherization),State,SD,,,Rent,https://dss.sd.gov/economicassistance/energyassistance/weatherization.aspx,
Benefits .gov,State,TN,,,Rent; Own,https://www.benefits.gov/benefit/1577,Eligible in each county https://s3.amazonaws.com/thda.org/Documents/Business-Partners/Grant-Administrators/LIHEAP-Contacts-2.pdf
Tennessee Housing Development Agency (LIHEAP),State,TN,,,Rent; Own,https://thda.org/business-partners/liheap,
Hub Nashville Customer Service,Local,TN,Nashville,Davidson,Rent; Own,https://www.nashville.gov/Metro-Action-Commission/Community-Programs/Utility-Assistance-Program.aspx,
Texas Department of Housing and Community Affairs (CEAP),State,TX,,,Rent; Own,https://database.aceee.org/state/oklahoma,
Texas Department of Housing and Community Affairs (Help for Texans),State,TX,,,Rent; Own,https://www.tdhca.state.tx.us/texans.htm,
"Workforce Services, Housing & Community Development (HEAT)",State,UT,,,Rent; Own,https://jobs.utah.gov/housing/scso/seal/heat.html,Eligible in each County https://jobs.utah.gov/housing/scso/seal/offices.html
Bear River Association of Governments,Local,UT,Perry/Logan,,Rent; Own,http://brag.utah.gov/test-1/heat-utility-assistance-program/,
Department for Children and Families,State,VT,,,Rent; Own,https://dcf.vermont.gov/benefits/eap,
Department of Public Service - Vermont Energy Saver,State,VT,,,Rent; Own,https://energysaver.vermont.gov/programs-incentives,
Virginia Department of Social Services,State,VA,,,Rent; Own,https://www.dss.virginia.gov/benefit/ea/,
Washington State Department of Commerce (LIHEAP),State,WA,Olympia,,Rent; Own,https://www.commerce.wa.gov/growing-the-economy/energy/low-income-home-energy-assistance/,Eligible in each County
Bureau for Children and Families,State,WV,,,Rent; Own,https://dhhr.wv.gov/bcf/Services/familyassistance/Pages/Utility-Assistance.aspx,
West Virginia Community Action Partnership,State,WV,Charleston,,Rent; Own,http://www.wvcommunityactionpartnership.org/lieap.html,
Milwaukee County DHHS,Local,WI,Milwaukee,Milwaukee,Rent; Own,https://county.milwaukee.gov/EN/DHHS/Energy-Assistance,
Home Energy (WHEAP),State,WI,,,Own,http://homeenergyplus.wi.gov/category.asp?linkcatid=239&linkid=118&locid=25,
Wisconsin Public Service,State,WI,,,Rent; Own,https://accel.wisconsinpublicservice.com/home/wi_assistance.aspx,
Wyoming Department of Family Services (LIEAP),State,WY,,,Rent; Own,https://www.lieapwyo.org/,
"Wyoming Department of Family Services (Home, Utilities & Energy Assistance)",State,WY,,,Rent; Own,https://dfs.wyo.gov/assistance-programs/,
