Title,Program_Area,State,City,County,Status,URL,Comments,
Iowa Department of Human Rights (WAP),State,IA,,,Rent; Own,https://humanrights.iowa.gov/dcaa/weatherization,,
Kansas Department for Children and Families (Economic and Employment Services/ Energy Assistance),State,KS,,,Rent; Own,http://www.dcf.ks.gov/services/ees/Pages/Energy/EnergyAssistance.aspx,,
Keep warm Illinois (LIHEAP),State,IL,,,Rent; Own,https://www2.illinois.gov/sites/KeepWarm/Pages/FamilyAssistance.aspx,Eligible in each state,
Kentucky Cabinet for Health and Family Services,State,KY,,,Rent,https://chfs.ky.gov/agencies/dcbs/dfs/pdb/Pages/liheap.aspx,,
LIHEAP,Federal,Nationwide; AL; AK; AZ; AR; CA; CO; CT; DC; DE; FL; GA; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MA; MI; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NY; NC; ND; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; WA; WV; WI; WY; GU; AS; VI; MP,,,Rent; Own,https://www.acf.hhs.gov/ocs/programs/liheap,,
Louisiana Housing Corporation (Energy Assistance),State,LA,Baton Rouge,,Rent; Own,https://www.lhc.la.gov/energy-assistance,,
Louisiana Housing Corporation (Weatherization Assistance Program(WAP)),State,LA,,,Rent; Own,https://www.lhc.la.gov/weatherization-assistance-program-wap,https://www.maine.gov/legis/housedems/liheap.htm,
Low-Income Home Energy Assistance Program,State,FL,,,Own,http://www.liheap.us/florida-heap/,,
Maine State Housing Authority,State,ME,Augusta,,Rent; Own,https://www.mainehousing.org/programs-services/energy/energydetails/low-income-home-energy-assistance-program,,
Maine State Housing Authority - Weatherization,State,ME,Augusta,,Rent; Own,https://www.mainehousing.org/programs-services/energy/energydetails/weatherization,,
Maine State Housing Authority (LIHEAP),State,ME,,,Rent; Own,https://www.mainehousing.org/programs-services/energy/energydetails/low-income-home-energy-assistance-program,,
Maine State Housing Authority (Weatherization),State,ME,,,Rent; Own,https://www.mainehousing.org/programs-services/energy/energydetails/weatherization,,
Mass.gov - Home Energy Assistance Programs,State,MA,,,Rent; Own,https://www.mass.gov/home-energy-assistance-programs,,
Mass.gov - Housing Energy Programs,State,MA,,,Rent; Own,https://www.mass.gov/housing-energy-programs,,
Michigan Department of Health and Human Services,State,MI,,,Rent; Own,"https://www.michigan.gov/som/0,4669,7-192-47796-479528--,00.html",,
Michigan.gov,State,MI,Lansing,,Rent; Own,"https://www.michigan.gov/mpsc/0,9535,7-395-93308_93327_93336---,00.html",,
Milwaukee County DHHS,Local,WI,Milwaukee,Milwaukee,Rent; Own,https://county.milwaukee.gov/EN/DHHS/Energy-Assistance,,
Minnesota Commerce Department,State,MN,,,Rent; Own,https://mn.gov/commerce/consumers/consumer-assistance/energy-assistance/,,
Minnesota Energy Resources,State,MN,,,Rent; Own,https://accel.minnesotaenergyresources.com/home/lieap.aspx,,
Mississippi Department of Human Services,State,MS,Jackson,,Rent; Own,https://www.mdhs.ms.gov/community-services/assistance-programs/,,
Mississippi Department of Human Services - Weatherization,State,MS,Jackson,,Rent; Own,https://www.mdhs.ms.gov/community-services/weatherization-assistance/,,
Mississippi Department of Human Services (LIHEAP),State,MS,,,Rent; Own,https://www.mdhs.ms.gov/community-services/assistance-programs/,,
Mississippi Department of Human Services (Weatherization),State,MS,,,Rent; Own,https://www.mdhs.ms.gov/community-services/weatherization-assistance/,,
Missouri Department of Social Services,State,MO,,,Rent; Own,https://dss.mo.gov/fsd/energy-assistance/index.htm,,
Montana Department of Public Health & Human Services (LIHEAP),State,MT,,,Rent; Own,https://dphhs.mt.gov/hcsd/energyassistance,,
National Grid,State,NY; MN; RI,,,Rent; Own,https://www.nationalgridus.com/Upstate-NY-Home/Bill-Help/Energy-Affordability-Program,,
NCDHHS,State,NC,,,Rent; Own,https://www.ncdhhs.gov/assistance/low-income-services/low-income-energy-assistance,,
Nebraska,State,NE,Lincoln,,Rent; Own,https://neo.ne.gov/programs/wx/wx.html,,
Nebraska DHHS (Energy Assistance (LIHEAP),State,NE,,,Rent; Own,http://dhhs.ne.gov/Pages/Energy-Assistance.aspx,Southern NV Services,
Nevada DHHS Division of Welfare and Supportive Services,State,NV,,,Rent; Own,https://dwss.nv.gov/Energy/1_Energy_Assistance/,Northern NV Services,
Nevada Energy - Project REACH (Relief Through Energy Assistance to Prevent Customer Hardships),Local,NV,,,Rent; Own,https://www.nvenergy.com/account-services/assistance-programs/project-reach,,
Nevada's Special Assistance Fund for Energy (SAFE),Local,NV,,,Rent; Own,https://www.nvenergy.com/account-services/assistance-programs/safe,Fuel,
New Mexico Gas Company,State,NM,Albuquerque,,Rent; Own,https://www.nmgco.com/en/low_income_assistance,,
North Dakota Human Services (LIHEAP),State,ND,,,Rent; Own,https://www.nd.gov/dhs/services/financialhelp/energyassist.html,,
Office of Strategic Initiatives -Electric,State,NH,Concord,,Rent; Own,https://www.nh.gov/osi/energy/programs/electric-assistance/index.htm,,
Office of Strategic Initiatives,state,NH,,,Own,https://www.nh.gov/osi/energy/programs/fuel-assistance/index.htm,,
Ohio Development Services Agency,State,OH,Columbus,,Rent; Own,https://www.development.ohio.gov/is/is_energyassist.htm,,
Ohio Public Utilities Commission,State,OH,Columbus,,Rent; Own,https://www.puco.ohio.gov/be-informed/consumer-topics/energy-assistance-programs-help-with-paying-your-utility-bills/,,
Oklahoma Human Services,State,OK,Oklahoma City,,Rent; Own,http://www.okdhs.org/services/liheap/Pages/UtilityServicesLIHEAPMain.aspx,,
Oklahoma Human Services (LIHEAP),State,OK,,,Rent; Own,http://www.dcf.ks.gov/services/ees/Pages/Energy/EnergyAssistance.aspx,,
Oregon Housing and Community Services (LIHEAP),State,OR,Salem,,Rent; Own,https://www.oregon.gov/ohcs/Pages/low-income-energy-assistance-oregon.aspx,,
Pennsylvania Department of Human Services,State,PA,Harrisburg,,Rent; Own,https://www.dhs.pa.gov/contact/DHS-Offices/Pages/default.aspx,,
Pennsylvania Public Utilities Commission,State,PA,Harrisburg,,Rent; Own,http://www.puc.state.pa.us/consumer_info/electricity/energy_assistance_programs.aspx,,
Regional Housing Authority,State,AK,Juneau,,Rent; Own,https://www.regionalhousingauthority.org/improve-your-home/low-income-energy-assistance-program-liheap-2/,,
South Carolina Office of Economic Opportunity,State,SC,,,Rent; Own,http://oeo.sc.gov/liheap.html,,
South Carolina Office of Economic Opportunity,State,SC,,,Rent; Own,http://oeo.sc.gov/weatherization.html,,
State of New Jersey,State,NJ,Trenton,,Rent; Own,https://www.state.nj.us/bpu/assistance/programs/,,
State of Rhode Island Department of Human Services,State,RI,,,Rent; Own,http://www.dhs.ri.gov/Programs/HEAPProgramInfo.php,,
State of Rhode Island Office of Energy Resources,State,RI,,,Own,http://www.energy.ri.gov/policies-programs/programs-incentives/,,
Tennessee Housing Development Agency (LIHEAP),State,TN,,,Rent; Own,https://thda.org/business-partners/liheap,,
Texas Department of Housing and Community Affairs (CEAP),State,TX,,,Rent; Own,https://database.aceee.org/state/oklahoma,,
Texas Department of Housing and Community Affairs (Help for Texans),State,TX,,,Rent; Own,https://www.tdhca.state.tx.us/texans.htm,,
US Department of Health and Human Services,State,AR,,,Rent; Own,https://liheapch.acf.hhs.gov/profiles/Arkansas.htm,Eligible in each County,
US Department of Health and Human Services,State,LA,,,Rent; Own,https://liheapch.acf.hhs.gov/profiles/Louisiana.htm,,
Virginia Department of Social Services,State,VA,,,Rent; Own,https://www.dss.virginia.gov/benefit/ea/,,
Washington State Department of Commerce (LIHEAP),State,WA,Olympia,,Rent; Own,https://www.commerce.wa.gov/growing-the-economy/energy/low-income-home-energy-assistance/,Eligible in each County https://jobs.utah.gov/housing/scso/seal/offices.html,
West Virginia Community Action Partnership,State,WV,Charleston,,Rent; Own,http://www.wvcommunityactionpartnership.org/lieap.html,,
Wisconsin Public Service,State,WI,,,Rent; Own,https://accel.wisconsinpublicservice.com/home/wi_assistance.aspx,,
"Workforce Services, Housing & Community Development (HEAT)",State,UT,,,Rent; Own,https://jobs.utah.gov/housing/scso/seal/heat.html,,
"Wyoming Department of Family Services (Home, Utilities & Energy Assistance)",State,WY,,,Rent; Own,https://dfs.wyo.gov/assistance-programs/,,
Wyoming Department of Family Services (LIEAP),State,WY,,,Rent; Own,https://www.lieapwyo.org/,,
Xcel Energy,State,MN,,,Rent; Own,https://www.xcelenergy.com/billing_and_payment/understanding_your_bill/energy_assistance_options/energy_assistance,,
Kentucky Low Income Home Energy Assistance Program,State,KY,,,Rent; Own,https://www.benefits.gov/benefit/1539,,
